# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,17,26,24,23,26,0,
(2,4),(4,6),-0.711767 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.721779 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-1.65648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.105468 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.363217 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.149753 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.938184 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.134002 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.47594 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.224149 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.854061 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.195494 # DEPENDENCYPART_GRANDPAR
(3,2),(2,4),-0.237536 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.804279 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.87624 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.685168 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0592459 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0739455 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.011865 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.850013 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.928668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.710797 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.198634 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.0705342 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.578936 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.876239 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.9194 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.0325941 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.0118673 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.0484731 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.848816 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.937601 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.77769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.833194 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.0363334 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.199491 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.00618143 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.0929873 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.145235 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),0.212184 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.0404812 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),0.0204014 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.258125 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.249014 # DEPENDENCYPART_GRANDPAR
(3,7),(7,23),-0.226718 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.0315675 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.28698 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.288242 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.130767 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.0715852 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.256192 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.329086 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),-0.430966 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.528308 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-0.670881 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.909469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),0.579215 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),-0.226934 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),-0.0506974 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.165015 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.156276 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.0747313 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.101445 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.449613 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.156061 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),-0.139942 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.359588 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.246152 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.264995 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),0.268179 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.101292 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.335172 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.743057 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.36871 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.29858 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.48531 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.287869 # DEPENDENCYPART_GRANDPAR
(3,11),(11,23),-0.410203 # DEPENDENCYPART_GRANDPAR
(3,11),(11,24),-1.42788 # DEPENDENCYPART_GRANDPAR
(3,11),(11,26),0.361195 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.852499 # DEPENDENCYPART_GRANDPAR
(3,13),(13,2),-0.946241 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.74233 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,4),0.916212 # DEPENDENCYPART_GRANDPAR
(3,13),(13,5),-0.0257292 # DEPENDENCYPART_GRANDPAR
(3,13),(13,6),0.282509 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),0.344559 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),0.167824 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),-0.00773669 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.0424048 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),0.412008 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.467835 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),0.0665967 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.586265 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.252394 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.2356 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.335751 # DEPENDENCYPART_GRANDPAR
(3,13),(13,20),-0.18964 # DEPENDENCYPART_GRANDPAR
(3,13),(13,21),-0.152208 # DEPENDENCYPART_GRANDPAR
(3,13),(13,22),-0.553302 # DEPENDENCYPART_GRANDPAR
(3,13),(13,23),-0.235359 # DEPENDENCYPART_GRANDPAR
(3,13),(13,24),-1.05429 # DEPENDENCYPART_GRANDPAR
(3,13),(13,26),0.561948 # DEPENDENCYPART_GRANDPAR
(3,13),(13,27),-0.175277 # DEPENDENCYPART_GRANDPAR
(3,17),(17,1),-0.675619 # DEPENDENCYPART_GRANDPAR
(3,17),(17,3),-0.946043 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,17),(17,7),0.101445 # DEPENDENCYPART_GRANDPAR
(3,17),(17,8),-0.24788 # DEPENDENCYPART_GRANDPAR
(3,17),(17,9),-0.449613 # DEPENDENCYPART_GRANDPAR
(3,17),(17,10),0.0553503 # DEPENDENCYPART_GRANDPAR
(3,17),(17,11),-0.00435684 # DEPENDENCYPART_GRANDPAR
(3,17),(17,13),-0.195628 # DEPENDENCYPART_GRANDPAR
(3,17),(17,14),-0.380298 # DEPENDENCYPART_GRANDPAR
(3,17),(17,15),-0.980425 # DEPENDENCYPART_GRANDPAR
(3,17),(17,16),-0.459699 # DEPENDENCYPART_GRANDPAR
(3,17),(17,18),-0.508596 # DEPENDENCYPART_GRANDPAR
(3,17),(17,20),-0.331129 # DEPENDENCYPART_GRANDPAR
(3,17),(17,21),-0.460242 # DEPENDENCYPART_GRANDPAR
(3,17),(17,22),-0.670023 # DEPENDENCYPART_GRANDPAR
(3,17),(17,23),-0.435859 # DEPENDENCYPART_GRANDPAR
(3,17),(17,24),-1.25673 # DEPENDENCYPART_GRANDPAR
(3,17),(17,26),0.246561 # DEPENDENCYPART_GRANDPAR
(3,17),(17,27),-0.299195 # DEPENDENCYPART_GRANDPAR
(3,20),(20,1),-0.848816 # DEPENDENCYPART_GRANDPAR
(3,20),(20,3),-0.776192 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,20),(20,4),0.836045 # DEPENDENCYPART_GRANDPAR
(3,20),(20,7),0.317993 # DEPENDENCYPART_GRANDPAR
(3,20),(20,8),0.0876567 # DEPENDENCYPART_GRANDPAR
(3,20),(20,9),-0.0580284 # DEPENDENCYPART_GRANDPAR
(3,20),(20,10),-0.0781327 # DEPENDENCYPART_GRANDPAR
(3,20),(20,11),0.376786 # DEPENDENCYPART_GRANDPAR
(3,20),(20,12),-0.539018 # DEPENDENCYPART_GRANDPAR
(3,20),(20,13),0.0298626 # DEPENDENCYPART_GRANDPAR
(3,20),(20,14),-0.0695663 # DEPENDENCYPART_GRANDPAR
(3,20),(20,15),-0.507499 # DEPENDENCYPART_GRANDPAR
(3,20),(20,16),-0.13225 # DEPENDENCYPART_GRANDPAR
(3,20),(20,17),-0.181913 # DEPENDENCYPART_GRANDPAR
(3,20),(20,18),-0.367961 # DEPENDENCYPART_GRANDPAR
(3,20),(20,19),-0.696007 # DEPENDENCYPART_GRANDPAR
(3,20),(20,21),-0.205927 # DEPENDENCYPART_GRANDPAR
(3,20),(20,22),-0.554486 # DEPENDENCYPART_GRANDPAR
(3,20),(20,23),-0.23269 # DEPENDENCYPART_GRANDPAR
(3,20),(20,24),-1.09658 # DEPENDENCYPART_GRANDPAR
(3,20),(20,25),-0.373772 # DEPENDENCYPART_GRANDPAR
(3,20),(20,26),0.547819 # DEPENDENCYPART_GRANDPAR
(3,20),(20,27),-0.176461 # DEPENDENCYPART_GRANDPAR
(3,20),(20,28),-0.292594 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-1.14743 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-2.70706 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.311195 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-1.00367 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.887814 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-2.8935 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.514109 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-1.61018 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-1.34994 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-2.15201 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.646851 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-1.48099 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.781089 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-1.45413 # DEPENDENCYPART_GRANDPAR
(4,3),(3,17),-1.59634 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-1.40208 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-2.32929 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-1.44441 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.53602 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.0116653 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.548284 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-1.551 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-2.13218 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.23342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.56594 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.356146 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-1.11083 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-1.60413 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-2.06524 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-1.35307 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.5652 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.260667 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.285677 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.519823 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.110611 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0739945 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.286332 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.462695 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.493085 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.251484 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.189344 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.270385 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.290532 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.816429 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.46019 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,1),-0.497306 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.958211 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-1.44924 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.64828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),0.736366 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.497687 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-1.71066 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.288815 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),-0.560275 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.387079 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-1.197 # DEPENDENCYPART_GRANDPAR
(5,3),(3,17),-0.229462 # DEPENDENCYPART_GRANDPAR
(5,3),(3,20),-1.53525 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-1.45398 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.518056 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.46019 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.779344 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.323501 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.710116 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-2.31935 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-2.21819 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.22633 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.438521 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.808333 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-1.22446 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),2.17819 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.000771532 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.0395827 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.169511 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.238983 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-1.67188 # DEPENDENCYPART_GRANDPAR
(5,8),(8,20),-0.575055 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.651652 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.135256 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),-0.332908 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-3.4039 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,1),-0.77546 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),-0.24214 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),-0.179736 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-1.16751 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.117054 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.179747 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-3.18666 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-1.69342 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.6055 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.197488 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.286762 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-3.38378 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,8),-2.21057 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-1.2322 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.9691 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.74524 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-1.65035 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.09705 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-2.04792 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.569207 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.0880923 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.0648013 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.217582 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-1.15581 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.792032 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.444298 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.342235 # DEPENDENCYPART_GRANDPAR
(6,7),(7,23),-0.164691 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-1.05651 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-1.72117 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,9),-0.198199 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.477988 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.325372 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-1.10412 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-1.03628 # DEPENDENCYPART_GRANDPAR
(6,8),(8,20),-1.27883 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),-0.0998697 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),0.144749 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),0.41289 # DEPENDENCYPART_GRANDPAR
(7,1),(1,6),0.371223 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),0.192868 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),0.373315 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.0811015 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),0.213408 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.247522 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),0.0745614 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.012703 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),0.0328933 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-2.49719 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,8),-0.490945 # DEPENDENCYPART_GRANDPAR
(7,3),(3,9),-0.312329 # DEPENDENCYPART_GRANDPAR
(7,3),(3,10),-0.721823 # DEPENDENCYPART_GRANDPAR
(7,3),(3,11),-0.620528 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-1.26595 # DEPENDENCYPART_GRANDPAR
(7,3),(3,17),-1.06045 # DEPENDENCYPART_GRANDPAR
(7,3),(3,20),-1.23773 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.274642 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.0297479 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.0810855 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),0.331627 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.9184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,2),-0.215492 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.0565533 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),0.297288 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.378709 # DEPENDENCYPART_GRANDPAR
(7,5),(5,8),-0.257064 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),0.192868 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.276401 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.236379 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.0479618 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.9184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),0.199523 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.0702599 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.174901 # DEPENDENCYPART_GRANDPAR
(7,8),(8,9),0.263367 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.313466 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.0470084 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.128582 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.458875 # DEPENDENCYPART_GRANDPAR
(7,8),(8,20),0.151563 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.0491684 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-0.744445 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.333308 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.231665 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.232499 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.273352 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),0.476655 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.135323 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.0634977 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-1.48092 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,9),0.166964 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.737864 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.725669 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.947838 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.279441 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.262775 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.932778 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.116437 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),-0.161031 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),-1.72601 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),-0.554802 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),-0.0518774 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),-0.698145 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),0.126657 # DEPENDENCYPART_GRANDPAR
(7,11),(11,23),0.0641324 # DEPENDENCYPART_GRANDPAR
(7,11),(11,24),-0.356885 # DEPENDENCYPART_GRANDPAR
(7,11),(11,26),-0.451387 # DEPENDENCYPART_GRANDPAR
(7,13),(13,1),-0.0859909 # DEPENDENCYPART_GRANDPAR
(7,13),(13,2),-0.892639 # DEPENDENCYPART_GRANDPAR
(7,13),(13,3),-0.426832 # DEPENDENCYPART_GRANDPAR
(7,13),(13,4),-0.379859 # DEPENDENCYPART_GRANDPAR
(7,13),(13,5),-0.167794 # DEPENDENCYPART_GRANDPAR
(7,13),(13,6),-0.421546 # DEPENDENCYPART_GRANDPAR
(7,13),(13,7),-1.40744 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,13),(13,8),0.26725 # DEPENDENCYPART_GRANDPAR
(7,13),(13,9),0.134478 # DEPENDENCYPART_GRANDPAR
(7,13),(13,10),0.567782 # DEPENDENCYPART_GRANDPAR
(7,13),(13,11),0.225943 # DEPENDENCYPART_GRANDPAR
(7,13),(13,12),-0.447471 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),-0.25796 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),-1.94031 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),-0.710906 # DEPENDENCYPART_GRANDPAR
(7,13),(13,17),-0.0391508 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),-0.853064 # DEPENDENCYPART_GRANDPAR
(7,13),(13,20),-0.295225 # DEPENDENCYPART_GRANDPAR
(7,13),(13,21),-0.490329 # DEPENDENCYPART_GRANDPAR
(7,13),(13,22),-1.15268 # DEPENDENCYPART_GRANDPAR
(7,13),(13,23),-0.0179242 # DEPENDENCYPART_GRANDPAR
(7,13),(13,24),-0.561598 # DEPENDENCYPART_GRANDPAR
(7,13),(13,26),-0.806789 # DEPENDENCYPART_GRANDPAR
(7,13),(13,27),-1.19833 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-1.64315 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.379954 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),-0.0918669 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),-0.514016 # DEPENDENCYPART_GRANDPAR
(7,16),(16,12),-0.32034 # DEPENDENCYPART_GRANDPAR
(7,16),(16,14),-0.0486974 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),-1.62489 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.585002 # DEPENDENCYPART_GRANDPAR
(7,16),(16,20),0.081574 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-0.465268 # DEPENDENCYPART_GRANDPAR
(7,16),(16,23),0.0458728 # DEPENDENCYPART_GRANDPAR
(7,16),(16,26),-0.537626 # DEPENDENCYPART_GRANDPAR
(7,17),(17,1),-0.333626 # DEPENDENCYPART_GRANDPAR
(7,17),(17,3),-0.667792 # DEPENDENCYPART_GRANDPAR
