# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
(16,12),(16,13),0.038789 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.036934 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0248542 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00991599 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.00671292 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.00241035 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0124166 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.0795129 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0639716 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.0617127 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.529227 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.128452 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.115762 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.430907 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.144207 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.23032 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.258646 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.549082 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.222197 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.103451 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.103899 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.108296 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.315301 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.532039 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.314611 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.370018 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.64728 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.633604 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.29119 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.290199 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.74398 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.22155 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.15289 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.280302 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.195345 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.132595 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.309068 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.0078746 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.343907 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.401191 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.392823 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.176819 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),0.171634 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.410071 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.264101 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),0.214951 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),-0.599755 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.0152058 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.499599 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.239693 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),0.108828 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.103899 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),-0.108296 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),-0.143853 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.137014 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.164494 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.0666533 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.453283 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.806681 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.299119 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.263834 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.37829 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.0418195 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),0.64728 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.464533 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.0496098 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.658195 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.699842 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.164257 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.82391 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.491938 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.912287 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.803528 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),0.168582 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.328697 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.89767 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.56695 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.197541 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.987821 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.151392 # DEPENDENCYPART_GRANDPAR
(0,15),(15,1),0.178949 # DEPENDENCYPART_GRANDPAR
(0,15),(15,2),0.0880671 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),-0.307999 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),-0.263487 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),0.0438261 # DEPENDENCYPART_GRANDPAR
(0,15),(15,6),0.119566 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),-0.0166987 # DEPENDENCYPART_GRANDPAR
(0,15),(15,8),-0.340477 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.426174 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),0.470299 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),0.043686 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.548962 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.444133 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.179501 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-0.367852 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),0.169933 # DEPENDENCYPART_GRANDPAR
(0,17),(17,1),-0.219128 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.105283 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.987147 # DEPENDENCYPART_GRANDPAR
(1,2),(2,3),0.160604 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.0990043 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.0553763 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.197939 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),0.0709052 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.199674 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.0477067 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.48482 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.635445 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.137958 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.475341 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.272894 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.189389 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.4685 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-1.31241 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),0.891332 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),0.347157 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.173705 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.0578155 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.265452 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.61695 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.0529306 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.253572 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.66191 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-1.28267 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-1.86537 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.349489 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.745695 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.532721 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-1.3092 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.614669 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),0.0727381 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.125889 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.172732 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.310515 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.0925892 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.0806941 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.147421 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-1.49205 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),-2.09882 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.125483 # DEPENDENCYPART_GRANDPAR
(1,8),(8,16),-0.951647 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.872128 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.12644 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.769849 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.615733 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),0.146163 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),0.423693 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),0.38365 # DEPENDENCYPART_GRANDPAR
(2,4),(4,3),1.36309 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.812041 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),0.101928 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.384533 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.891158 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.966896 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),2.0546 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),1.09566 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.248144 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.201463 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.103534 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),0.731237 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.21109 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.330495 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.0702072 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.369019 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),0.541338 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.249134 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.25635 # DEPENDENCYPART_GRANDPAR
(2,7),(7,3),1.43083 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.233783 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.30301 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.25651 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.551785 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.872128 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-1.12644 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),1.90046 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.0189479 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.777614 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),0.287344 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.176915 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.811125 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),0.10567 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.396173 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.318615 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.620731 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),0.38365 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.491515 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),0.391066 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.417628 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.192846 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.499316 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.369947 # DEPENDENCYPART_GRANDPAR
(2,15),(15,1),-0.88913 # DEPENDENCYPART_GRANDPAR
(2,15),(15,2),-0.974023 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,15),(15,3),2.06163 # DEPENDENCYPART_GRANDPAR
(2,15),(15,4),1.0869 # DEPENDENCYPART_GRANDPAR
(2,15),(15,5),0.230072 # DEPENDENCYPART_GRANDPAR
(2,15),(15,6),0.701021 # DEPENDENCYPART_GRANDPAR
(2,15),(15,7),0.308569 # DEPENDENCYPART_GRANDPAR
(2,15),(15,8),-0.0950368 # DEPENDENCYPART_GRANDPAR
(2,15),(15,9),1.02771 # DEPENDENCYPART_GRANDPAR
(2,15),(15,10),-0.586008 # DEPENDENCYPART_GRANDPAR
(2,15),(15,11),0.342303 # DEPENDENCYPART_GRANDPAR
(2,15),(15,12),-0.208302 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.0408357 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),-0.368865 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.257244 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.245215 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.310462 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-2.03055 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,6),-0.432658 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.808051 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-2.01891 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.33584 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.461962 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.879789 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.705681 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.638212 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.573705 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.52788 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,6),0.157082 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.315902 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.151044 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.888542 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.432234 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-1.48653 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.0865959 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.173951 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.178062 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.0638958 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.313395 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.0276104 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.199921 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.0896013 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.213123 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.0630763 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.0557179 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.408175 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-1.47861 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,8),0.0669817 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.348757 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.144848 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.254216 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.763101 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-0.417134 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-1.47478 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,5),-0.354818 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.0230084 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.460064 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.321534 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.733409 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.176169 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.415625 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.350423 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.467703 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.0853821 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.321247 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.887679 # DEPENDENCYPART_GRANDPAR
(3,15),(15,2),-0.429389 # DEPENDENCYPART_GRANDPAR
(3,15),(15,3),-1.46975 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,15),(15,4),0.101944 # DEPENDENCYPART_GRANDPAR
(3,15),(15,5),-0.16751 # DEPENDENCYPART_GRANDPAR
(3,15),(15,6),0.176514 # DEPENDENCYPART_GRANDPAR
(3,15),(15,7),-0.137176 # DEPENDENCYPART_GRANDPAR
(3,15),(15,8),0.0306184 # DEPENDENCYPART_GRANDPAR
(3,15),(15,9),-0.156523 # DEPENDENCYPART_GRANDPAR
(3,15),(15,10),-0.523271 # DEPENDENCYPART_GRANDPAR
(3,15),(15,11),0.213371 # DEPENDENCYPART_GRANDPAR
(3,15),(15,12),-0.132748 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.144748 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),-0.23182 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),-0.0450993 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),-0.371369 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.168416 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.15646 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.63511 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,6),-1.17882 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.667682 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-1.06728 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-1.55079 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.561773 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-0.415343 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.544597 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.866537 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.187646 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.120414 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),0.400361 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.0384117 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.26013 # DEPENDENCYPART_GRANDPAR
(4,6),(6,12),-0.602785 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),0.186263 # DEPENDENCYPART_GRANDPAR
(4,6),(6,14),0.349286 # DEPENDENCYPART_GRANDPAR
(4,6),(6,15),-0.914319 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),0.207633 # DEPENDENCYPART_GRANDPAR
(4,6),(6,17),-0.845121 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.515905 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),0.380818 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.344731 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),0.109999 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),0.277226 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.453558 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.440732 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.531347 # DEPENDENCYPART_GRANDPAR
(4,8),(8,5),-0.0245965 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.384901 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.0258934 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.196026 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.667087 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.297322 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),0.0023682 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.146084 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.875079 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),0.026566 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.0325718 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),0.134011 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-2.091 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,8),-0.77091 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.0391385 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.535585 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.94293 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),0.293157 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.498842 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),-0.109331 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.784598 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),0.382402 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.559617 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.249436 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-2.32326 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.0217747 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.750132 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-1.16506 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),0.166623 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.9349 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),0.327277 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.279893 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.649621 # DEPENDENCYPART_GRANDPAR
(6,7),(7,8),0.317126 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.0360491 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),0.00265846 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.397523 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),0.282856 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.363533 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.512669 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.0596851 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.883703 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.822165 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.0130706 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.44776 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.12978 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.22026 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.647744 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.0658622 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.150275 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.123012 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.617466 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.736022 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.314717 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-1.53823 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.591082 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.14321 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.738388 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.0642946 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.886957 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.447288 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.855334 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.891307 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.376284 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),0.108371 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.678402 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.00905763 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.427977 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),0.0606538 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),0.121373 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),-0.359525 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),0.348481 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.0711732 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.491571 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),-0.136666 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.00434916 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.386804 # DEPENDENCYPART_GRANDPAR
(6,13),(13,1),0.277549 # DEPENDENCYPART_GRANDPAR
