# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(11,1),(11,7),-0.00931352 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.034862 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.00674364 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0270855 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0461576 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0199152 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00671282 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0125312 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0199152 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.00671282 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0270861 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0125312 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0121573 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0429662 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0429662 # DEPENDENCYPART_SIBL
(11,1),(11,25),-0.0429662 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0413198 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0414133 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0692898 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0412928 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.033806 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0452937 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0370811 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0575884 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00841778 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0586459 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00207485 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.00841778 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0586459 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.128243 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.00207485 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.00169916 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.0840425 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.0840425 # DEPENDENCYPART_SIBL
(11,2),(11,25),-0.0840425 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.190357 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0125549 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.189701 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.00703672 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.187356 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0393208 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0981802 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00308231 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0165984 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0388748 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00308231 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0165984 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0170733 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0388748 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0512957 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0246514 # DEPENDENCYPART_SIBL
(11,3),(11,24),-0.0246514 # DEPENDENCYPART_SIBL
(11,3),(11,25),-0.0246514 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0122884 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.189119 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.00730313 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.186774 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0390473 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0972165 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00192992 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0156778 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0461844 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.00192992 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0156778 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.01755 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0461844 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0586053 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.0235375 # DEPENDENCYPART_SIBL
(11,4),(11,24),-0.0235375 # DEPENDENCYPART_SIBL
(11,4),(11,25),-0.0235375 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0866862 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0386297 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0906845 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0293602 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0735749 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.00346332 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.109597 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0272711 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.00346332 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.109597 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0560235 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0272711 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0268954 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.130184 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.130184 # DEPENDENCYPART_SIBL
(11,5),(11,25),-0.130184 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00730331 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.186759 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0390471 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0972081 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00191079 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0156261 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0419322 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.00191079 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0156261 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0185494 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0419322 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0543532 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0235203 # DEPENDENCYPART_SIBL
(11,7),(11,24),-0.0235203 # DEPENDENCYPART_SIBL
(11,7),(11,25),-0.0235203 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0161847 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0449904 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00816525 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00765719 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0525754 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0123647 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.00765719 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0525754 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0147633 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0123647 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.0127401 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.104338 # DEPENDENCYPART_SIBL
(11,8),(11,24),-0.104338 # DEPENDENCYPART_SIBL
(11,8),(11,25),-0.104338 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0390616 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0962221 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00103502 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0146856 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0436469 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00103502 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0146856 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.0195856 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0436469 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0560678 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0225788 # DEPENDENCYPART_SIBL
(11,9),(11,24),-0.0225788 # DEPENDENCYPART_SIBL
(11,9),(11,25),-0.0225788 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0432471 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.00948827 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0187148 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.00529173 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.00948827 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0187148 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.015368 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.00529173 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.00566769 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.0654297 # DEPENDENCYPART_SIBL
(11,10),(11,24),-0.0654297 # DEPENDENCYPART_SIBL
(11,10),(11,25),-0.0654297 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0145813 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0343507 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0420875 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0145813 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0343507 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0511314 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0420875 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.0423175 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0409721 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.0409721 # DEPENDENCYPART_SIBL
(11,12),(11,25),-0.0409721 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0995844 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.106766 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.124158 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0995844 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.133089 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.106766 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.106996 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.111555 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.111555 # DEPENDENCYPART_SIBL
(11,13),(11,25),-0.111555 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.033576 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.000347453 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.23459 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.0231539 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.033576 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.033345 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.00552719 # DEPENDENCYPART_SIBL
(11,15),(11,24),-0.00552719 # DEPENDENCYPART_SIBL
(11,15),(11,25),-0.00552719 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0126846 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.01606 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0647435 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.113629 # DEPENDENCYPART_SIBL
(11,16),(11,22),-0.115068 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.129663 # DEPENDENCYPART_SIBL
(11,16),(11,24),-0.129663 # DEPENDENCYPART_SIBL
(11,16),(11,25),-0.129663 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0995844 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.133089 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.106766 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.106996 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.111555 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.111555 # DEPENDENCYPART_SIBL
(11,17),(11,25),-0.111555 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0231539 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.033576 # DEPENDENCYPART_SIBL
(11,18),(11,22),0.033345 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.00552719 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.00552719 # DEPENDENCYPART_SIBL
(11,18),(11,25),-0.00552719 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.00236501 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.00167478 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.0293266 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.0293266 # DEPENDENCYPART_SIBL
(11,20),(11,25),-0.0293266 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.115068 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.129663 # DEPENDENCYPART_SIBL
(11,21),(11,24),-0.129663 # DEPENDENCYPART_SIBL
(11,21),(11,25),-0.129663 # DEPENDENCYPART_SIBL
(11,22),(11,23),-0.121013 # DEPENDENCYPART_SIBL
(11,22),(11,24),-0.121013 # DEPENDENCYPART_SIBL
(11,22),(11,25),-0.121013 # DEPENDENCYPART_SIBL
(11,23),(11,24),0.0812926 # DEPENDENCYPART_SIBL
(11,23),(11,25),0.0812926 # DEPENDENCYPART_SIBL
(11,24),(11,25),0.0812926 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.232991 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0011932 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0216657 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.133316 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0011932 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0342777 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.0178807 # DEPENDENCYPART_SIBL
(12,9),(12,24),0.0178807 # DEPENDENCYPART_SIBL
(12,9),(12,25),0.0178807 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0153154 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0597615 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.151183 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0153154 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0122601 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.0303685 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0303685 # DEPENDENCYPART_SIBL
(12,10),(12,25),0.0303685 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00506973 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0440484 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0688923 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0426048 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0503139 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0503139 # DEPENDENCYPART_SIBL
(12,13),(12,25),-0.0503139 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00288082 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0149433 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.00673413 # DEPENDENCYPART_SIBL
(12,15),(12,23),0.0210104 # DEPENDENCYPART_SIBL
(12,15),(12,24),0.0210104 # DEPENDENCYPART_SIBL
(12,15),(12,25),0.0210104 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.00108772 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0764458 # DEPENDENCYPART_SIBL
(12,16),(12,23),-0.133757 # DEPENDENCYPART_SIBL
(12,16),(12,24),-0.133757 # DEPENDENCYPART_SIBL
(12,16),(12,25),-0.133757 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.0426048 # DEPENDENCYPART_SIBL
(12,17),(12,23),-0.0503139 # DEPENDENCYPART_SIBL
(12,17),(12,24),-0.0503139 # DEPENDENCYPART_SIBL
(12,17),(12,25),-0.0503139 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.00509621 # DEPENDENCYPART_SIBL
(12,20),(12,24),0.00509621 # DEPENDENCYPART_SIBL
(12,20),(12,25),0.00509621 # DEPENDENCYPART_SIBL
(12,23),(12,24),0.00369115 # DEPENDENCYPART_SIBL
(12,23),(12,25),0.00369115 # DEPENDENCYPART_SIBL
(12,24),(12,25),0.00369115 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.00359162 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0571973 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.700736 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0206128 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0406724 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0569178 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.66662 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0125466 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0384604 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.119511 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.133822 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0949967 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0218049 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0471175 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0352269 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.192365 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.192365 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.196942 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.124524 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.125732 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.125732 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.00151681 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.00932086 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.00947361 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.0559379 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.00931352 # DEPENDENCYPART_SIBL
(15,1),(15,8),0.034862 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.00674364 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.232561 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0876399 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0919251 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.15602 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0125312 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0199152 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.00671282 # DEPENDENCYPART_SIBL
(15,1),(15,20),0.0270861 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0125312 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0121573 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0429662 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0429662 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0429662 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0413198 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0414133 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0692898 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0412928 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.033806 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0452937 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.109475 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0807468 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.290882 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.1978 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.00207485 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.00841778 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0586459 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.128243 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.00207485 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.00169916 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0840425 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.0840425 # DEPENDENCYPART_SIBL
(15,2),(15,25),-0.0840425 # DEPENDENCYPART_SIBL
(15,3),(15,4),-0.190357 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.0125549 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.189701 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.00703672 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.187356 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.00169307 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.145306 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.147543 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.308547 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0388748 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.00308231 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0165984 # DEPENDENCYPART_SIBL
(15,3),(15,20),0.0170733 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.0388748 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.0512957 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0246514 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.0246514 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.0246514 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.0122884 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.189119 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.00730313 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.186774 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.00227518 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.145042 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.147944 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.308283 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0461844 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.00192992 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.0156778 # DEPENDENCYPART_SIBL
(15,4),(15,20),0.01755 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.0461844 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.0586053 # DEPENDENCYPART_SIBL
(15,4),(15,23),-0.0235375 # DEPENDENCYPART_SIBL
(15,4),(15,24),-0.0235375 # DEPENDENCYPART_SIBL
(15,4),(15,25),-0.0235375 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0866862 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0386297 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0906845 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0664119 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0785285 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.293283 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.184935 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0272711 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.00346332 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.109597 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.0560235 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0272711 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.0268954 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.130184 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.130184 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.130184 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.00730331 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.186759 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.00253638 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.145042 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.147224 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.308283 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0419322 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.00191079 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0156261 # DEPENDENCYPART_SIBL
(15,7),(15,20),0.0185494 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0419322 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0543532 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.0235203 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0235203 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0235203 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0161847 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0173587 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.112315 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.30923 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.222336 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.0123647 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.00765719 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0525754 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0147633 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0123647 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0127401 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.104338 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.104338 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.104338 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.00251347 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.145061 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.147673 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.308302 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0436469 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.00103502 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0146856 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.0195856 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0436469 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0560678 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0225788 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0225788 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0225788 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0876387 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.091809 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.156019 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0145784 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0113785 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0116506 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0246407 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0145784 # DEPENDENCYPART_SIBL
