# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(14,2),(14,11),-0.163067 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0963008 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0640975 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0316653 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0472162 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0348852 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0340512 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0406091 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0292841 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0680567 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0824746 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.0105095 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0295585 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.00814983 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.23533 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0230921 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00965639 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0680567 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0921034 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.00375657 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0207992 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0218333 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0202399 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0232273 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0551313 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0390172 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.0643331 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.00180141 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0491003 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.145435 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0390737 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0507514 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.128533 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.646855 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0417545 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.051021 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0141628 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0114491 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.00161395 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.023515 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0790067 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0541513 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.102435 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.141978 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.129239 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.103884 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.162733 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.123154 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.147467 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.162638 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.134276 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.132088 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.184567 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.207914 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.218463 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.173672 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0355372 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.0837548 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.170897 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0673352 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0646435 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.0502619 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0462755 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0277854 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0269514 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0592057 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0547925 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.00828438 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0469972 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0322846 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0137424 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.222275 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.129265 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0197026 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.074916 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.208817 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.206832 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.00898396 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0936717 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.00685404 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0021956 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.175639 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.102968 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0716144 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0386246 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.044634 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.037262 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0364279 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.0475684 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0390318 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0228651 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.00972919 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0717013 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0921762 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.000582629 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0209081 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0219186 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0203252 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0264013 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0583745 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0299223 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.301548 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.246676 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0392572 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0306738 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0762502 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0742626 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0173409 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.119929 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.111388 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0755637 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0486446 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0379843 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0418896 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0410555 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0575884 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0466738 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.646855 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0417545 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.051021 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0141628 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0114491 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.00161395 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.023515 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0927071 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.120937 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0248237 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0262894 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0703374 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0934323 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.00461272 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0191652 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0193373 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.115069 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.148268 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0600433 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0598488 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.012005 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0463547 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.343584 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.102734 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.155046 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.102262 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.156763 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.138757 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.163069 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.191552 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.140843 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.140216 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.100471 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.112938 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.148645 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0667328 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0664342 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0595963 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.179188 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0083111 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.00775371 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0174482 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.118571 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.109154 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.031101 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.157392 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.030714 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.159264 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.215045 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0405479 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.221523 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0396344 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0403866 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0164541 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0508148 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.362952 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0115071 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0107441 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0167553 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0875853 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0337246 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0344767 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00940465 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0339263 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.240352 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.752785 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.212079 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.755379 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.216848 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.44144 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.16221 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.171868 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0168348 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.01094 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.179588 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.133184 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0408154 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.00207759 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0424721 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0828058 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0105154 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0718076 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0533663 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.106843 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.132481 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.162331 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.172205 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.102323 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0106908 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.179132 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.133307 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0604414 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.00189255 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0420818 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0389571 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0103365 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0714198 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.00906253 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0709791 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.132474 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.16261 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.0411556 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.177692 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.14639 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.146417 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.118634 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.183875 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.120886 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0575532 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0205519 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.181165 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.046665 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0186973 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.012359 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.00829704 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.050011 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0569683 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.121806 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0189182 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.109862 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.119 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.013953 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.251661 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.336728 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),-0.121556 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.0817567 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.306438 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.367489 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.384145 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.255901 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.240914 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),-0.0709486 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.288547 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.162541 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.123568 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.0234856 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.04063 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.479601 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.00902632 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),-0.335704 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),0.347236 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),-0.174931 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.165809 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.628697 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.125111 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.166821 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.115863 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),0.760688 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.0954524 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.144983 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.0976063 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.642746 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.423162 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.304684 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),-0.447876 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),0.161503 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),-0.075563 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),0.256845 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.575365 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.190157 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.24025 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.280234 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.00289962 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.452385 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.044757 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.245756 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.282012 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-1.05733 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),0.380521 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),0.268277 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.094789 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),-0.565276 # DEPENDENCYPART_GRANDPAR
(0,9),(9,19),-0.229576 # DEPENDENCYPART_GRANDPAR
(0,9),(9,20),0.0147831 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),0.165809 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.628697 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),-0.0341324 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),-0.238131 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),-0.370121 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-0.228308 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.540786 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.473745 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.31797 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.624734 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-1.01606 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),0.644353 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),0.0494862 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.104283 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.516816 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),-0.405418 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),-0.14507 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),0.273856 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),0.56945 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),-0.188763 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.260821 # DEPENDENCYPART_GRANDPAR
(0,14),(14,6),-0.263223 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.0108279 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.435373 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),0.417328 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.210348 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.524657 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.361927 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-1.09785 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),0.279552 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.102155 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),-0.577461 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),-0.654222 # DEPENDENCYPART_GRANDPAR
(0,14),(14,19),-0.223573 # DEPENDENCYPART_GRANDPAR
(0,14),(14,20),-0.0212817 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.42195 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.502595 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.189338 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.166263 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.664969 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.377532 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.769589 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.62758 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.204385 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.020329 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.25821 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.575444 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.352304 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.809368 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.435509 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.447446 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.977638 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),-0.456864 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.590308 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.226701 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.651305 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.404686 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.562176 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.502137 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.732755 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-2.36829 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-1.02524 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.446617 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.36557 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.26172 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.10756 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.159029 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.238307 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.423785 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-1.22574 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.634236 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.33101 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.695744 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.457655 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.25392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.0100987 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.13067 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.618838 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.596556 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-1.404 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-1.66152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.312181 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.0232341 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.661748 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.61811 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-1.01226 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.366858 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.484872 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.924187 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,4),-0.172112 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.377655 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.621479 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-1.03664 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-1.22306 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.827749 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-1.75128 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.744326 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.489106 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.687456 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-1.09409 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.624626 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.47698 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.47467 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-1.23106 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.365571 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-1.27401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),-0.175167 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.0768289 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.0210081 # DEPENDENCYPART_GRANDPAR
