# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,18,22,24,24,20,24,25,0,
(5,6),(6,7),-0.311487 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.235569 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.199049 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),0.357937 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),0.0947084 # DEPENDENCYPART_GRANDPAR
(5,7),(7,6),0.433142 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.0848243 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.330289 # DEPENDENCYPART_GRANDPAR
(5,8),(8,6),0.558214 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),-0.339858 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.455175 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.0821476 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.267198 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.0604333 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.363384 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.00161011 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.240428 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-2.1917 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-2.70847 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.330289 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.862596 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,7),-0.339858 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.223522 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.0821481 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.267198 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.112867 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0604333 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.365081 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.00330741 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),-0.240688 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.445726 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.14015 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.282758 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.0997487 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.00652858 # DEPENDENCYPART_GRANDPAR
(5,14),(14,1),-2.15912 # DEPENDENCYPART_GRANDPAR
(5,14),(14,2),-2.67626 # DEPENDENCYPART_GRANDPAR
(5,14),(14,3),-1.71298 # DEPENDENCYPART_GRANDPAR
(5,14),(14,5),-1.21508 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,14),(14,6),0.218049 # DEPENDENCYPART_GRANDPAR
(5,14),(14,8),-0.129812 # DEPENDENCYPART_GRANDPAR
(5,14),(14,9),-0.171084 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),-0.271718 # DEPENDENCYPART_GRANDPAR
(5,14),(14,11),-0.0038937 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),0.528723 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),0.62901 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),-0.0205156 # DEPENDENCYPART_GRANDPAR
(5,14),(14,16),-0.144181 # DEPENDENCYPART_GRANDPAR
(5,14),(14,17),-0.188154 # DEPENDENCYPART_GRANDPAR
(5,14),(14,18),-0.462925 # DEPENDENCYPART_GRANDPAR
(5,14),(14,19),-0.998237 # DEPENDENCYPART_GRANDPAR
(5,14),(14,20),-0.626433 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),-2.12399 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-2.64113 # DEPENDENCYPART_GRANDPAR
(5,15),(15,3),-1.71335 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),-1.2172 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,6),0.295134 # DEPENDENCYPART_GRANDPAR
(5,15),(15,7),-0.718739 # DEPENDENCYPART_GRANDPAR
(5,15),(15,8),-0.131931 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.173203 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.195237 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.00601256 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),0.542919 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),0.739218 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.0542072 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.139503 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.192926 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.440573 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-0.949565 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),-0.579015 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.957925 # DEPENDENCYPART_GRANDPAR
(5,15),(15,23),-1.09297 # DEPENDENCYPART_GRANDPAR
(5,15),(15,24),-1.25456 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),-0.388379 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-1.53258 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-1.55885 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.376567 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.245165 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.72932 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.00682363 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),0.50428 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.948778 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.46781 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),-0.716935 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.471471 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.5585 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,9),-0.256486 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-1.06846 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-1.54855 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.473293 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),-0.345032 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.0593922 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.913152 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.097601 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.233245 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),0.0420557 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.519344 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-2.11766 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-2.15674 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-1.07346 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-1.7136 # DEPENDENCYPART_GRANDPAR
(6,9),(9,7),0.473293 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),1.60867 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.0593927 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.913152 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.292442 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.097601 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.234942 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),0.0403583 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),-0.519605 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),-0.664439 # DEPENDENCYPART_GRANDPAR
(6,11),(11,7),0.481514 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),1.61197 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),0.15736 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.268719 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.283712 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.0890595 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.231555 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),0.0437453 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.377884 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.475255 # DEPENDENCYPART_GRANDPAR
(6,11),(11,18),-0.661052 # DEPENDENCYPART_GRANDPAR
(6,12),(12,1),-2.60007 # DEPENDENCYPART_GRANDPAR
(6,12),(12,2),-2.63929 # DEPENDENCYPART_GRANDPAR
(6,12),(12,3),-1.18555 # DEPENDENCYPART_GRANDPAR
(6,12),(12,4),-1.30136 # DEPENDENCYPART_GRANDPAR
(6,12),(12,5),-2.19596 # DEPENDENCYPART_GRANDPAR
(6,12),(12,6),-1.72898 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,12),(12,7),0.141454 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),1.2098 # DEPENDENCYPART_GRANDPAR
(6,12),(12,9),-0.244821 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),-0.518745 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),-0.808498 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.142185 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.576852 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),-0.295032 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.486896 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.547516 # DEPENDENCYPART_GRANDPAR
(6,12),(12,18),-0.999812 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.412553 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-2.33548 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-1.19466 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-1.2295 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-1.53885 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.910527 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-2.60167 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-2.87228 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-2.14727 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-1.39656 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-1.58998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),-0.0951578 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.160559 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.704118 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.41765 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),-0.417793 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.860261 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.645955 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),-0.268624 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.771635 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),-1.04559 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-1.59333 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.00754948 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),-0.143322 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-2.5995 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.886678 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-1.12246 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-0.887275 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.341107 # DEPENDENCYPART_GRANDPAR
(8,7),(7,9),-0.660193 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-2.44766 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-2.99634 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-1.62766 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-1.45764 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.731283 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.934592 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.0103495 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.0612154 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.0456632 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.135005 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),-0.384173 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),-0.206608 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.370163 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),-0.673487 # DEPENDENCYPART_GRANDPAR
(8,10),(10,9),0.463976 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.396543 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),-0.120579 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.150152 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),-0.731429 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.924004 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),0.788816 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),0.187214 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),-0.0446976 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),0.136496 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),-0.382945 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),-0.20538 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),-0.602797 # DEPENDENCYPART_GRANDPAR
(8,11),(11,17),-0.354291 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),-0.672259 # DEPENDENCYPART_GRANDPAR
(8,13),(13,3),-1.97731 # DEPENDENCYPART_GRANDPAR
(8,13),(13,8),-1.45579 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,13),(13,10),-0.0952434 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.018457 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),-0.0557117 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),-0.570563 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),-0.443031 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),-0.746031 # DEPENDENCYPART_GRANDPAR
(8,14),(14,1),-2.4153 # DEPENDENCYPART_GRANDPAR
(8,14),(14,2),-2.96436 # DEPENDENCYPART_GRANDPAR
(8,14),(14,3),-2.04943 # DEPENDENCYPART_GRANDPAR
(8,14),(14,5),-1.42437 # DEPENDENCYPART_GRANDPAR
(8,14),(14,6),-1.20737 # DEPENDENCYPART_GRANDPAR
(8,14),(14,8),-1.26903 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,14),(14,9),0.446843 # DEPENDENCYPART_GRANDPAR
(8,14),(14,10),-0.202839 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),0.192746 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),0.374767 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),0.810593 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),-0.240232 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),-0.200235 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),-0.324327 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),-0.707102 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),-0.760007 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.530931 # DEPENDENCYPART_GRANDPAR
(8,15),(15,1),-2.38017 # DEPENDENCYPART_GRANDPAR
(8,15),(15,2),-2.92923 # DEPENDENCYPART_GRANDPAR
(8,15),(15,3),-2.0498 # DEPENDENCYPART_GRANDPAR
(8,15),(15,5),-1.38924 # DEPENDENCYPART_GRANDPAR
(8,15),(15,6),-1.20123 # DEPENDENCYPART_GRANDPAR
(8,15),(15,7),-0.667548 # DEPENDENCYPART_GRANDPAR
(8,15),(15,8),-1.27115 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,15),(15,9),0.444724 # DEPENDENCYPART_GRANDPAR
(8,15),(15,10),-0.126357 # DEPENDENCYPART_GRANDPAR
(8,15),(15,11),0.190627 # DEPENDENCYPART_GRANDPAR
(8,15),(15,12),0.388963 # DEPENDENCYPART_GRANDPAR
(8,15),(15,13),0.920801 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.0701643 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),-0.195557 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),-0.329099 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),-0.68475 # DEPENDENCYPART_GRANDPAR
(8,15),(15,19),-0.711336 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),-0.483512 # DEPENDENCYPART_GRANDPAR
(8,15),(15,22),-0.934501 # DEPENDENCYPART_GRANDPAR
(8,15),(15,23),-1.10898 # DEPENDENCYPART_GRANDPAR
(8,15),(15,24),-1.00165 # DEPENDENCYPART_GRANDPAR
(8,15),(15,25),-0.571081 # DEPENDENCYPART_GRANDPAR
(8,17),(17,11),-0.191849 # DEPENDENCYPART_GRANDPAR
(8,17),(17,12),0.291878 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),0.324437 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),-0.280432 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.266221 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.606649 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),-1.08833 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),-0.629343 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-0.908039 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),-1.34026 # DEPENDENCYPART_GRANDPAR
(8,17),(17,23),-1.49479 # DEPENDENCYPART_GRANDPAR
(8,17),(17,24),-1.38763 # DEPENDENCYPART_GRANDPAR
(8,17),(17,25),-0.700102 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),-1.8781 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),-0.786731 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),-0.922637 # DEPENDENCYPART_GRANDPAR
(9,1),(1,5),-0.377314 # DEPENDENCYPART_GRANDPAR
(9,1),(1,6),-0.102121 # DEPENDENCYPART_GRANDPAR
(9,1),(1,7),-0.287516 # DEPENDENCYPART_GRANDPAR
(9,1),(1,8),0.0598133 # DEPENDENCYPART_GRANDPAR
(9,1),(1,10),-0.438041 # DEPENDENCYPART_GRANDPAR
(9,2),(2,1),-1.68427 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.802279 # DEPENDENCYPART_GRANDPAR
(9,2),(2,4),-0.937457 # DEPENDENCYPART_GRANDPAR
(9,2),(2,5),-0.407411 # DEPENDENCYPART_GRANDPAR
(9,2),(2,6),-0.113238 # DEPENDENCYPART_GRANDPAR
(9,4),(4,1),-1.13898 # DEPENDENCYPART_GRANDPAR
(9,4),(4,2),-1.97704 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-1.68643 # DEPENDENCYPART_GRANDPAR
(9,5),(5,2),-2.51327 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-1.17882 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-1.01596 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),-0.104595 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.301266 # DEPENDENCYPART_GRANDPAR
(9,5),(5,8),0.0253489 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-3.19887 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,5),(5,10),-0.433786 # DEPENDENCYPART_GRANDPAR
(9,5),(5,14),-1.86912 # DEPENDENCYPART_GRANDPAR
(9,5),(5,15),-1.67394 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.194135 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-3.16189 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,4),-1.00722 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.499218 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.364424 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-3.19861 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.435023 # DEPENDENCYPART_GRANDPAR
(9,8),(8,11),-1.42186 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.00269961 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-1.86893 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-1.67375 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.677766 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-2.03772 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),-0.093867 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),-0.0224034 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.11813 # DEPENDENCYPART_GRANDPAR
(9,11),(11,7),-1.32606 # DEPENDENCYPART_GRANDPAR
(9,11),(11,8),-1.44279 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-1.71288 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.39905 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.0534784 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.104474 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),-1.20781 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),-0.955686 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),-0.611523 # DEPENDENCYPART_GRANDPAR
(9,11),(11,17),-0.297328 # DEPENDENCYPART_GRANDPAR
(9,11),(11,18),-1.42916 # DEPENDENCYPART_GRANDPAR
(9,12),(12,1),-2.79645 # DEPENDENCYPART_GRANDPAR
(9,12),(12,2),-3.63559 # DEPENDENCYPART_GRANDPAR
(9,12),(12,3),-1.98752 # DEPENDENCYPART_GRANDPAR
(9,12),(12,4),-1.99405 # DEPENDENCYPART_GRANDPAR
(9,12),(12,5),-2.1439 # DEPENDENCYPART_GRANDPAR
(9,12),(12,6),-1.07987 # DEPENDENCYPART_GRANDPAR
(9,12),(12,7),-1.3542 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-1.69823 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-2.04609 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.227633 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),-0.264905 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.146738 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-1.39774 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),-1.14029 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.651572 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),-0.299674 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),-1.61375 # DEPENDENCYPART_GRANDPAR
(9,13),(13,3),-1.84756 # DEPENDENCYPART_GRANDPAR
(9,13),(13,8),-1.34253 # DEPENDENCYPART_GRANDPAR
(9,13),(13,10),0.11647 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),-0.472076 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.0418291 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),-0.579289 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),-0.386068 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),-1.50293 # DEPENDENCYPART_GRANDPAR
(9,14),(14,1),-2.50869 # DEPENDENCYPART_GRANDPAR
(9,14),(14,2),-3.34807 # DEPENDENCYPART_GRANDPAR
(9,14),(14,3),-1.91969 # DEPENDENCYPART_GRANDPAR
(9,14),(14,5),-1.85551 # DEPENDENCYPART_GRANDPAR
(9,14),(14,6),-1.05868 # DEPENDENCYPART_GRANDPAR
(9,14),(14,8),-1.41072 # DEPENDENCYPART_GRANDPAR
(9,14),(14,9),-2.05578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,14),(14,10),0.00806417 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),-0.298597 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),0.471498 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),0.777853 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),-0.991612 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),-0.210034 # DEPENDENCYPART_GRANDPAR
(9,14),(14,17),-0.268437 # DEPENDENCYPART_GRANDPAR
(9,14),(14,18),-1.46508 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),-1.19219 # DEPENDENCYPART_GRANDPAR
(9,14),(14,20),-0.751336 # DEPENDENCYPART_GRANDPAR
(9,15),(15,1),-2.47356 # DEPENDENCYPART_GRANDPAR
(9,15),(15,2),-3.31294 # DEPENDENCYPART_GRANDPAR
(9,15),(15,3),-1.92005 # DEPENDENCYPART_GRANDPAR
(9,15),(15,5),-1.82037 # DEPENDENCYPART_GRANDPAR
(9,15),(15,6),-1.05254 # DEPENDENCYPART_GRANDPAR
(9,15),(15,7),-1.26218 # DEPENDENCYPART_GRANDPAR
(9,15),(15,8),-1.37558 # DEPENDENCYPART_GRANDPAR
(9,15),(15,9),-2.0579 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,15),(15,10),0.0845461 # DEPENDENCYPART_GRANDPAR
(9,15),(15,11),-0.300716 # DEPENDENCYPART_GRANDPAR
(9,15),(15,12),0.485694 # DEPENDENCYPART_GRANDPAR
(9,15),(15,13),0.888061 # DEPENDENCYPART_GRANDPAR
(9,15),(15,14),-0.895704 # DEPENDENCYPART_GRANDPAR
(9,15),(15,16),-0.205355 # DEPENDENCYPART_GRANDPAR
(9,15),(15,17),-0.273209 # DEPENDENCYPART_GRANDPAR
(9,15),(15,18),-1.44273 # DEPENDENCYPART_GRANDPAR
(9,15),(15,19),-1.14352 # DEPENDENCYPART_GRANDPAR
(9,15),(15,20),-0.703917 # DEPENDENCYPART_GRANDPAR
(9,15),(15,22),-1.40297 # DEPENDENCYPART_GRANDPAR
(9,15),(15,23),-1.83829 # DEPENDENCYPART_GRANDPAR
(9,15),(15,24),-1.57421 # DEPENDENCYPART_GRANDPAR
(9,15),(15,25),-0.546291 # DEPENDENCYPART_GRANDPAR
(9,17),(17,11),-0.682516 # DEPENDENCYPART_GRANDPAR
