# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,0,20,16,17,18,15,22,24,24,20,0,
(3,20),(20,21),-1.74389 # DEPENDENCYPART_GRANDPAR
(3,20),(20,22),-1.5002 # DEPENDENCYPART_GRANDPAR
(3,20),(20,23),-1.82025 # DEPENDENCYPART_GRANDPAR
(3,20),(20,24),-1.66695 # DEPENDENCYPART_GRANDPAR
(3,20),(20,25),-1.09419 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.454345 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.411876 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-2.82342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.193127 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.210182 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.138915 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-2.6525 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.15412 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-1.14265 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.586461 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-2.49841 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.751093 # DEPENDENCYPART_GRANDPAR
(4,2),(2,20),-0.58895 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.205652 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),0.0434911 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-2.65176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.153379 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-1.1419 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.585562 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-2.49766 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-1.87147 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),-0.749995 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-0.587852 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.804756 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-1.04223 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-1.88521 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.50403 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,7),-0.077147 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.0479191 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-1.46605 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.54993 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.134576 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.21678 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.318385 # DEPENDENCYPART_GRANDPAR
(4,5),(5,20),-0.0546371 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.684894 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.786979 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-1.62971 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.17339 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.98971 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.159974 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.155302 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-1.56297 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.769345 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-1.03714 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.189191 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.0407114 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.287756 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.525266 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.569891 # DEPENDENCYPART_GRANDPAR
(4,8),(8,5),0.659708 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.247505 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-1.51954 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.134272 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.398115 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.147 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.477034 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.684134 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.161506 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.32774 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-1.47057 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-1.02024 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.184633 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.0348695 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.542635 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),-0.587258 # DEPENDENCYPART_GRANDPAR
(4,10),(10,20),0.127273 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),0.0237235 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),-0.637798 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),-0.882109 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.22098 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.853537 # DEPENDENCYPART_GRANDPAR
(4,14),(14,1),-0.752881 # DEPENDENCYPART_GRANDPAR
(4,14),(14,2),-0.719642 # DEPENDENCYPART_GRANDPAR
(4,14),(14,3),-1.56256 # DEPENDENCYPART_GRANDPAR
(4,14),(14,4),-1.51731 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,14),(14,5),1.07413 # DEPENDENCYPART_GRANDPAR
(4,14),(14,6),0.158538 # DEPENDENCYPART_GRANDPAR
(4,14),(14,7),0.00663804 # DEPENDENCYPART_GRANDPAR
(4,14),(14,8),-0.00686577 # DEPENDENCYPART_GRANDPAR
(4,14),(14,9),-1.84986 # DEPENDENCYPART_GRANDPAR
(4,14),(14,10),-0.479649 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.729347 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),-0.436051 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),-0.0358366 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),0.128767 # DEPENDENCYPART_GRANDPAR
(4,14),(14,16),-0.435089 # DEPENDENCYPART_GRANDPAR
(4,14),(14,17),-0.467358 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),-0.421531 # DEPENDENCYPART_GRANDPAR
(4,14),(14,19),-1.5327 # DEPENDENCYPART_GRANDPAR
(4,14),(14,20),0.117038 # DEPENDENCYPART_GRANDPAR
(4,14),(14,21),-1.29543 # DEPENDENCYPART_GRANDPAR
(4,14),(14,22),-1.06108 # DEPENDENCYPART_GRANDPAR
(4,14),(14,23),-1.48731 # DEPENDENCYPART_GRANDPAR
(4,14),(14,24),-1.31737 # DEPENDENCYPART_GRANDPAR
(4,20),(20,1),-0.753066 # DEPENDENCYPART_GRANDPAR
(4,20),(20,2),-0.719642 # DEPENDENCYPART_GRANDPAR
(4,20),(20,3),-1.56256 # DEPENDENCYPART_GRANDPAR
(4,20),(20,4),-1.51816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,20),(20,5),1.07163 # DEPENDENCYPART_GRANDPAR
(4,20),(20,6),0.158468 # DEPENDENCYPART_GRANDPAR
(4,20),(20,7),0.00578656 # DEPENDENCYPART_GRANDPAR
(4,20),(20,8),-0.00774782 # DEPENDENCYPART_GRANDPAR
(4,20),(20,10),-0.4805 # DEPENDENCYPART_GRANDPAR
(4,20),(20,11),-0.730198 # DEPENDENCYPART_GRANDPAR
(4,20),(20,12),-0.436088 # DEPENDENCYPART_GRANDPAR
(4,20),(20,13),-0.0362862 # DEPENDENCYPART_GRANDPAR
(4,20),(20,14),0.105729 # DEPENDENCYPART_GRANDPAR
(4,20),(20,15),0.152552 # DEPENDENCYPART_GRANDPAR
(4,20),(20,16),-0.656341 # DEPENDENCYPART_GRANDPAR
(4,20),(20,17),-0.768138 # DEPENDENCYPART_GRANDPAR
(4,20),(20,18),-0.540749 # DEPENDENCYPART_GRANDPAR
(4,20),(20,19),-1.82315 # DEPENDENCYPART_GRANDPAR
(4,20),(20,21),-1.29542 # DEPENDENCYPART_GRANDPAR
(4,20),(20,22),-1.06111 # DEPENDENCYPART_GRANDPAR
(4,20),(20,23),-1.48735 # DEPENDENCYPART_GRANDPAR
(4,20),(20,24),-1.31741 # DEPENDENCYPART_GRANDPAR
(4,20),(20,25),-0.906846 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.295047 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.234931 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.228802 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-2.11157 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,1),-0.166963 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.18508 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.173193 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-2.32358 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,7),-0.830067 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.972642 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-1.12969 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.804599 # DEPENDENCYPART_GRANDPAR
(5,2),(2,20),-0.744208 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.168703 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.310374 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.175989 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-2.32357 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,7),-0.830057 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.972558 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-1.12968 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-1.22161 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),-0.804416 # DEPENDENCYPART_GRANDPAR
(5,3),(3,20),-0.744025 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.169455 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.309785 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.232645 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-2.32357 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,7),-0.83006 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.972558 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-1.12968 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-1.0846 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.627274 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.804419 # DEPENDENCYPART_GRANDPAR
(5,4),(4,20),-0.744028 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.934494 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-1.29411 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.24353 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-1.23735 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-1.53627 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.135786 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.130989 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.174585 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.0922418 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.232778 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.131042 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.077964 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.425346 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.28591 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.457622 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-1.57531 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,7),0.230886 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.123544 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.168943 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.306964 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.182344 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.446122 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-0.933735 # DEPENDENCYPART_GRANDPAR
(5,10),(10,6),-0.14028 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.0561612 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.138206 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.214019 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.125646 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.071262 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.302451 # DEPENDENCYPART_GRANDPAR
(5,10),(10,18),-0.474159 # DEPENDENCYPART_GRANDPAR
(5,10),(10,20),-0.0117184 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),-0.281583 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),-0.343458 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.480839 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.526313 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.625245 # DEPENDENCYPART_GRANDPAR
(5,14),(14,1),-1.0147 # DEPENDENCYPART_GRANDPAR
(5,14),(14,2),-1.24412 # DEPENDENCYPART_GRANDPAR
(5,14),(14,3),-1.19371 # DEPENDENCYPART_GRANDPAR
(5,14),(14,4),-1.18749 # DEPENDENCYPART_GRANDPAR
(5,14),(14,5),-1.54935 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,14),(14,6),-0.0746898 # DEPENDENCYPART_GRANDPAR
(5,14),(14,7),0.209335 # DEPENDENCYPART_GRANDPAR
(5,14),(14,8),-0.140734 # DEPENDENCYPART_GRANDPAR
(5,14),(14,9),-0.218074 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),-0.0699774 # DEPENDENCYPART_GRANDPAR
(5,14),(14,11),-0.212735 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),-0.147178 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),-0.036083 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),-0.44293 # DEPENDENCYPART_GRANDPAR
(5,14),(14,16),-0.291156 # DEPENDENCYPART_GRANDPAR
(5,14),(14,17),-0.32235 # DEPENDENCYPART_GRANDPAR
(5,14),(14,18),-0.377955 # DEPENDENCYPART_GRANDPAR
(5,14),(14,19),-0.425752 # DEPENDENCYPART_GRANDPAR
(5,14),(14,20),0.00764305 # DEPENDENCYPART_GRANDPAR
(5,14),(14,21),-0.325394 # DEPENDENCYPART_GRANDPAR
(5,14),(14,22),-0.310518 # DEPENDENCYPART_GRANDPAR
(5,14),(14,23),-0.458154 # DEPENDENCYPART_GRANDPAR
(5,14),(14,24),-0.411429 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),-0.915764 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-1.36497 # DEPENDENCYPART_GRANDPAR
(5,15),(15,3),-1.3146 # DEPENDENCYPART_GRANDPAR
(5,15),(15,4),-1.30838 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),-1.55868 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,7),-0.157663 # DEPENDENCYPART_GRANDPAR
(5,15),(15,8),-0.45624 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.536695 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.430656 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.583056 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),-0.352297 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.284413 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.0970381 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.495193 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.608981 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.606345 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),-0.05966 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-0.51357 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.587625 # DEPENDENCYPART_GRANDPAR
(5,15),(15,23),-0.741801 # DEPENDENCYPART_GRANDPAR
(5,15),(15,24),-0.692883 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),-1.10405 # DEPENDENCYPART_GRANDPAR
(5,20),(20,1),-1.01489 # DEPENDENCYPART_GRANDPAR
(5,20),(20,2),-1.24412 # DEPENDENCYPART_GRANDPAR
(5,20),(20,3),-1.19371 # DEPENDENCYPART_GRANDPAR
(5,20),(20,4),-1.18749 # DEPENDENCYPART_GRANDPAR
(5,20),(20,5),-1.55342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,20),(20,6),-0.0763664 # DEPENDENCYPART_GRANDPAR
(5,20),(20,7),0.206814 # DEPENDENCYPART_GRANDPAR
(5,20),(20,8),-0.143285 # DEPENDENCYPART_GRANDPAR
(5,20),(20,10),-0.0724984 # DEPENDENCYPART_GRANDPAR
(5,20),(20,11),-0.215256 # DEPENDENCYPART_GRANDPAR
(5,20),(20,12),-0.148791 # DEPENDENCYPART_GRANDPAR
(5,20),(20,13),-0.0382018 # DEPENDENCYPART_GRANDPAR
(5,20),(20,14),0.0470271 # DEPENDENCYPART_GRANDPAR
(5,20),(20,15),-0.337101 # DEPENDENCYPART_GRANDPAR
(5,20),(20,16),-0.298069 # DEPENDENCYPART_GRANDPAR
(5,20),(20,17),-0.38356 # DEPENDENCYPART_GRANDPAR
(5,20),(20,18),-0.315345 # DEPENDENCYPART_GRANDPAR
(5,20),(20,19),-0.477282 # DEPENDENCYPART_GRANDPAR
(5,20),(20,21),-0.297256 # DEPENDENCYPART_GRANDPAR
(5,20),(20,22),-0.282696 # DEPENDENCYPART_GRANDPAR
(5,20),(20,23),-0.430332 # DEPENDENCYPART_GRANDPAR
(5,20),(20,24),-0.383607 # DEPENDENCYPART_GRANDPAR
(5,20),(20,25),-0.845109 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.235937 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.784798 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.93789 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-1.00124 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.269252 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.45733 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.107205 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.890447 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.294341 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.167176 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.613703 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.235919 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.102398 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.491127 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.758913 # DEPENDENCYPART_GRANDPAR
(6,10),(10,1),-0.235178 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-1.45701 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,8),0.0377151 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),-0.828951 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.154086 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),-0.612943 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),-0.233877 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.513935 # DEPENDENCYPART_GRANDPAR
(6,10),(10,18),-0.781719 # DEPENDENCYPART_GRANDPAR
(6,10),(10,20),-0.264829 # DEPENDENCYPART_GRANDPAR
(6,11),(11,2),-0.78479 # DEPENDENCYPART_GRANDPAR
(6,11),(11,3),-0.937883 # DEPENDENCYPART_GRANDPAR
(6,11),(11,4),-1.00124 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-1.45701 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.293285 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),-0.826257 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.040033 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.233906 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.613113 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.233564 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.101493 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.505653 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.818229 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),-0.641315 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-1.22502 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-1.40499 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),-0.924029 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.630007 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.973839 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-1.14773 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.587598 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-2.30786 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.302808 # DEPENDENCYPART_GRANDPAR
(7,2),(2,9),-1.74923 # DEPENDENCYPART_GRANDPAR
(7,2),(2,14),-1.02656 # DEPENDENCYPART_GRANDPAR
(7,2),(2,20),-1.33616 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.628194 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-1.02036 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-1.16892 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.591852 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-2.30711 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,8),-0.301909 # DEPENDENCYPART_GRANDPAR
(7,3),(3,9),-1.74847 # DEPENDENCYPART_GRANDPAR
(7,3),(3,11),-0.937239 # DEPENDENCYPART_GRANDPAR
(7,3),(3,14),-1.02546 # DEPENDENCYPART_GRANDPAR
(7,3),(3,20),-1.33506 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.630451 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-1.02061 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-1.54917 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.58509 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-2.30712 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),-0.301913 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),-1.74848 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),-1.39133 # DEPENDENCYPART_GRANDPAR
(7,4),(4,13),-0.37583 # DEPENDENCYPART_GRANDPAR
(7,4),(4,14),-1.02547 # DEPENDENCYPART_GRANDPAR
(7,4),(4,20),-1.33507 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.564598 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.76609 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-1.34009 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-1.51981 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-2.56261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.435927 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-1.77679 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-1.64683 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.592162 # DEPENDENCYPART_GRANDPAR
(7,5),(5,14),-1.11789 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-1.11676 # DEPENDENCYPART_GRANDPAR
(7,5),(5,20),-1.4275 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-2.08546 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,10),-1.16969 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.71545 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-1.78202 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.932696 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.710615 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.214165 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.659173 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.110095 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.473913 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-1.09028 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-1.23854 # DEPENDENCYPART_GRANDPAR
(7,10),(10,8),0.585319 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),-0.743401 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),-0.0687957 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.208932 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.314493 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.0634102 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),-0.471945 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),-0.624098 # DEPENDENCYPART_GRANDPAR
(7,11),(11,2),-1.86805 # DEPENDENCYPART_GRANDPAR
(7,11),(11,3),-2.42836 # DEPENDENCYPART_GRANDPAR
(7,11),(11,4),-2.60682 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-1.23854 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.872718 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,9),-0.750533 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.0401043 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.45612 # DEPENDENCYPART_GRANDPAR
