# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,16,16,14,11,16,8,16,17,18,17,20,0,
(12,2),(12,16),-0.0858574 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.0283922 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.123076 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.14324 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.187751 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.00611725 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0480992 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0449448 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0812453 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.000839644 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0340609 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0606061 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0621741 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0233908 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0199358 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0681747 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0335055 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.0140784 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.00893555 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.0167809 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0191172 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.0533333 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0507123 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0964158 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.032801 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0386812 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0437749 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0597858 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0989416 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0506477 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0420036 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0754461 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0342143 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0766561 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0871299 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.0461238 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0480748 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0971358 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.030081 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0547017 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0648707 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0492594 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0853274 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0888034 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0298353 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0495347 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.116798 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.0464321 # DEPENDENCYPART_SIBL
(12,5),(12,20),-0.0627352 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.107246 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.136278 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0185274 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0306068 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.051246 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0366337 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0882958 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0958427 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0230715 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0528189 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.122222 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0524574 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0697745 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.114285 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0745975 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0521829 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0234116 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0140789 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.030057 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0187985 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.00796885 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.017951 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0872918 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.010546 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0438246 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0367037 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0413495 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0411371 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0468208 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.100112 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.065188 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0257942 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.154304 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0522889 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0932792 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.10167 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0606642 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.049127 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0476681 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0698522 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0912844 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.110567 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0385492 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0799841 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00502852 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.118717 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.0793873 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0440361 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0340235 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0868412 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0478659 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0335303 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0299603 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0843613 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.13938 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0632367 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0713254 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0805865 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0178633 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0204571 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.113806 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0238407 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0545182 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0990292 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.132947 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0367787 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0812011 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.364295 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0509936 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.115218 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.136872 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0536595 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.145409 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.343333 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0791413 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0522696 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0751584 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.153416 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.33192 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0881924 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0433905 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0699884 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.201073 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0219098 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0103721 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0244964 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.05505 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.019555 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.0134952 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.00342931 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.019657 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.0854713 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00916616 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.00888675 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.00148578 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0355187 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.00109058 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0613059 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0558918 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0914027 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.017505 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.158709 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0129473 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0236865 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0250313 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.00707151 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.00239079 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0125563 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0507137 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0013508 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.145112 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0526944 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0294676 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0124986 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.173925 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0172533 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0470357 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0295857 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0935613 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0331806 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0468431 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.049811 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.083195 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0294888 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0384529 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0727515 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0687814 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0536951 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.0534355 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.012259 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.018524 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0195701 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0192084 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.00790936 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0122538 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0198688 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0338842 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0395226 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0300616 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0279878 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0363374 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0134822 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0091292 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.00214756 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0180981 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.00360126 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.00365322 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0732755 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0755994 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.080945 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.137035 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.119541 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.0082185 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.141295 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.00248956 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.029339 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0372632 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.00689478 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.0150122 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0669278 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.243836 # DEPENDENCYPART_SIBL
(15,1),(15,20),0.13445 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.142764 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.00451063 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0502557 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0127128 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0280144 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.0745146 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0369492 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0678905 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.665184 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0654402 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.0224587 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.0361306 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0215199 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0549304 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.00548343 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0333511 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0773978 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.041624 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0482771 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.63821 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0458537 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.00223484 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.0563544 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.0417438 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.142787 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0102843 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0284116 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0401014 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.00280469 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.014972 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0672536 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.244143 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.134757 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.14307 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0305476 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0804245 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.046382 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.123111 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.706096 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.115045 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0449937 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0135956 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.00101509 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0333223 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0106304 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.21604 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0299397 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0317251 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0879759 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.0304761 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0425864 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0149615 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0331101 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0166276 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0366367 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0336221 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0250627 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0110775 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00570461 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0126813 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0647172 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.251511 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.142124 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.150438 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0320012 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0305004 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.00761931 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.00439414 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.00289218 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0113343 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0118877 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0106577 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0224664 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0746004 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0661907 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0655633 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0183372 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0214123 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0316271 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0115613 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.00342516 # DEPENDENCYPART_SIBL
(16,1),(16,4),0.0467241 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.0504445 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.0355775 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.190585 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0221822 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0605512 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0242773 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0430198 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0270188 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.164141 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0110951 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.190585 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0300137 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.0842354 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.107113 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.138993 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0628495 # DEPENDENCYPART_SIBL
(16,1),(16,22),-0.0598155 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.00232596 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.0478658 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0502331 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0505728 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0651191 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.0108629 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0413108 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.00816085 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0515793 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.019147 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0885311 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.00624999 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0651191 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0283922 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.123076 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.179425 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.14324 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.187751 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.110704 # DEPENDENCYPART_SIBL
(16,3),(16,4),0.00611725 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0480992 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.0449448 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.0812453 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.000839644 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0340609 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0606061 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0621741 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.00594791 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0233082 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0558506 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0812453 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0140784 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.00893555 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.00784552 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.0167809 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0191172 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.139176 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0533333 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.0507123 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0964158 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.032801 # DEPENDENCYPART_SIBL
(16,4),(16,9),0.0386812 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0437749 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.0597858 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0395286 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.00192467 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.0540707 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0964158 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.0342143 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0766561 # DEPENDENCYPART_SIBL
(16,4),(16,19),0.0569123 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0871299 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.0461238 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0111054 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.0480748 # DEPENDENCYPART_SIBL
(16,5),(16,7),0.0971358 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.030081 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0547017 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0648707 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0492594 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0221626 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.102407 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0629566 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.0971358 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.116798 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.0464321 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0989175 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0627352 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.107246 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0185063 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.136278 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0185274 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0306068 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.051246 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0366337 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.010609 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0873642 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0493318 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.136278 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.122222 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0524574 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.105957 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0697745 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.114285 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.019458 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0745975 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0521829 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.0234116 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0140789 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.098052 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0472044 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00426134 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0611553 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0872918 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.010546 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.00437017 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0438246 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0367037 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0176789 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0413495 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0411371 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0468208 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0395832 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.00464303 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0514329 # DEPENDENCYPART_SIBL
