# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(13,6),(13,8),-0.000798701 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.509236 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0611129 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.00229411 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.00142712 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.115778 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.000840963 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0825114 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0579391 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.00759591 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.103404 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0745146 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.512797 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0635733 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.00262712 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0178315 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0956436 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00424222 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0900143 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0640271 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0126791 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.0832703 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.0789839 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.014608 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0823223 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0837089 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0362936 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.049579 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.075388 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.13009 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0601858 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.0532313 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0771277 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0570579 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0846572 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.146338 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0747009 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0630589 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.300943 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0735597 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.136975 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.0465363 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0711027 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.154728 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0546647 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.134368 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0505893 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.05395 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.145832 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.0088229 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.121145 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.00434518 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0944795 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0667968 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0127821 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.108772 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0840993 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0124005 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0342102 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.00152938 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0116487 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.814575 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.00961958 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0666052 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0189294 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0669093 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.360721 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.200205 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0169851 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.00240568 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.269117 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0346092 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0186249 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.42419 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.145667 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.361212 # DEPENDENCYPART_SIBL
(13,21),(13,23),-0.202204 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.0407041 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.184728 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.230778 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.0108248 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.00875215 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.211427 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.205122 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.16424 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0263154 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0555559 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.221229 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.0626316 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.00528802 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.033668 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.0428158 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0236776 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0168906 # DEPENDENCYPART_SIBL
(14,1),(14,22),0.00875432 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0554492 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0173395 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.007459 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0446154 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0465076 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0361321 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0337475 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0100004 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0603587 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0235779 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0656302 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.02682 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.057957 # DEPENDENCYPART_SIBL
(14,2),(14,20),0.0764897 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.0761352 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0819556 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.00140536 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.00337977 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.19923 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.192925 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.159206 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0120049 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.051253 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.209032 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0679812 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00708711 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0419765 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0479122 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0194377 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.0292657 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.011196 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0381306 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.00845095 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0016169 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.144236 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0872531 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0182308 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0264028 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.00217879 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.00601071 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0358013 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.048596 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0343336 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.0198494 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.00369688 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.020193 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.0180975 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0963503 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.00447737 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0549338 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0346322 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0214366 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0333987 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0017751 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.00133396 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0229157 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.0387082 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0179783 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.193274 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.159841 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.00713152 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0421177 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.209381 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0703828 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.0152329 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.059722 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.0611539 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0150312 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0374115 # DEPENDENCYPART_SIBL
(14,6),(14,22),0.0111218 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.171431 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0264271 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0567779 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.213492 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0613503 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0172645 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0357224 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0491689 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.01187 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0394431 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0180419 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0393203 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.000225087 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.00938475 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.115782 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0144036 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.212363 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0702571 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0246652 # DEPENDENCYPART_SIBL
(14,9),(14,21),0.00409196 # DEPENDENCYPART_SIBL
(14,9),(14,22),0.00820686 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0450778 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0470711 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0218165 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0131975 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.00479411 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0412638 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0393309 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.00340375 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0258273 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0783513 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00498128 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.00940992 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0585841 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0112308 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0666142 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.00489762 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0558321 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0675485 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0112049 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0382924 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0537689 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0203679 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0333835 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0072479 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0199934 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00725522 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0241153 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0192606 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0357539 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0051766 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0185867 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.057686 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0183292 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.112071 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0228796 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.19223 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0676497 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0926078 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0869343 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0196068 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0231995 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0231945 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.119308 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0414146 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.0234023 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0531684 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0894662 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0119046 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.00619531 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0127517 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0134419 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0230995 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.00706637 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0243139 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0301492 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0113793 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.011986 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0370488 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.0210425 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0408787 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.133075 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0341614 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.482207 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0289597 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.00151681 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0184678 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.120594 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.00177865 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.00513029 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.0227366 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.247964 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.0525229 # DEPENDENCYPART_SIBL
(16,1),(16,23),0.0039601 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0734921 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.063602 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0220144 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0508994 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0222144 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.00138837 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0498566 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0696696 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.00110964 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0129043 # DEPENDENCYPART_SIBL
(16,5),(16,22),0.664176 # DEPENDENCYPART_SIBL
(16,5),(16,23),0.00692759 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.521106 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0714907 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0127504 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0177581 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0680912 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0127579 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.00971393 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.56664 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.00145149 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0123822 # DEPENDENCYPART_SIBL
(16,7),(16,23),0.00461014 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.130316 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.0700153 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.105255 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0486925 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0728052 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.00665487 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.023328 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.0506759 # DEPENDENCYPART_SIBL
(16,9),(16,22),0.077397 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.018469 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0088786 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0445205 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0590081 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0122365 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.2677 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.023228 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0022655 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.00384977 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0599806 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0250591 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.127309 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0100377 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0323164 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0103676 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.159666 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.0175811 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.031821 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.024583 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0156476 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00361437 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0109307 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0174311 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.00870219 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0545951 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0571434 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0552808 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0150141 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0269074 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.645794 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0170962 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0341588 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0126693 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.154922 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0173336 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0355514 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0613216 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0832329 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0740294 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.00687236 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0427626 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0416556 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.108435 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.0206537 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.121967 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.129479 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0699708 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0053899 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0317201 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.262747 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.999845 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.726736 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0157322 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0140045 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.00417544 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.142973 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.137058 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.137592 # DEPENDENCYPART_SIBL
(22,1),(22,3),-0.217794 # DEPENDENCYPART_SIBL
(22,1),(22,4),0.000571426 # DEPENDENCYPART_SIBL
(22,1),(22,5),0.0026475 # DEPENDENCYPART_SIBL
(22,1),(22,6),-0.198443 # DEPENDENCYPART_SIBL
(22,1),(22,8),-0.192138 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.152922 # DEPENDENCYPART_SIBL
(22,1),(22,10),-0.00815774 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.0443422 # DEPENDENCYPART_SIBL
(22,1),(22,12),-0.208245 # DEPENDENCYPART_SIBL
(22,1),(22,13),0.0744272 # DEPENDENCYPART_SIBL
(22,1),(22,14),-0.00042875 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.19804 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.152922 # DEPENDENCYPART_SIBL
(22,1),(22,17),0.00889428 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.173504 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.198492 # DEPENDENCYPART_SIBL
(22,1),(22,23),-0.0285249 # DEPENDENCYPART_SIBL
(22,3),(22,4),0.0128016 # DEPENDENCYPART_SIBL
(22,3),(22,5),0.00801987 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.186246 # DEPENDENCYPART_SIBL
(22,3),(22,8),-0.179941 # DEPENDENCYPART_SIBL
(22,3),(22,9),-0.147888 # DEPENDENCYPART_SIBL
(22,3),(22,10),0.00615278 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.0400393 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.196048 # DEPENDENCYPART_SIBL
(22,3),(22,13),0.0797767 # DEPENDENCYPART_SIBL
(22,3),(22,14),0.00494363 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.185843 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.147888 # DEPENDENCYPART_SIBL
(22,3),(22,17),0.023537 # DEPENDENCYPART_SIBL
(22,3),(22,20),-0.169219 # DEPENDENCYPART_SIBL
(22,3),(22,21),-0.186295 # DEPENDENCYPART_SIBL
(22,3),(22,23),-0.022604 # DEPENDENCYPART_SIBL
(22,4),(22,5),0.0349505 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.0123772 # DEPENDENCYPART_SIBL
(22,4),(22,8),-0.00230933 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.149421 # DEPENDENCYPART_SIBL
(22,4),(22,10),0.086056 # DEPENDENCYPART_SIBL
(22,4),(22,11),-0.0216019 # DEPENDENCYPART_SIBL
(22,4),(22,12),-0.030329 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.00467998 # DEPENDENCYPART_SIBL
(22,4),(22,14),0.0348335 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.0121104 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.149421 # DEPENDENCYPART_SIBL
(22,4),(22,17),0.0393792 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.0142045 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.0113748 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.195495 # DEPENDENCYPART_SIBL
(22,5),(22,6),-0.0147214 # DEPENDENCYPART_SIBL
(22,5),(22,8),-0.0126259 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.0961041 # DEPENDENCYPART_SIBL
(22,5),(22,10),-0.000994024 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.0528739 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.0291606 # DEPENDENCYPART_SIBL
(22,5),(22,13),0.0241427 # DEPENDENCYPART_SIBL
(22,5),(22,14),-0.232645 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.0169042 # DEPENDENCYPART_SIBL
(22,5),(22,16),-0.0961041 # DEPENDENCYPART_SIBL
(22,5),(22,17),0.0350934 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.0686485 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.0168036 # DEPENDENCYPART_SIBL
(22,5),(22,23),-0.0386911 # DEPENDENCYPART_SIBL
(22,6),(22,8),-0.180289 # DEPENDENCYPART_SIBL
(22,6),(22,9),-0.148523 # DEPENDENCYPART_SIBL
(22,6),(22,10),0.0110262 # DEPENDENCYPART_SIBL
