# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,5,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
(9,3),(9,13),-0.0177657 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0481279 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0328838 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.668964 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0234549 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00827367 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0089927 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0166632 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.00438975 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0224679 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0224679 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00711729 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0474908 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0149994 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.00267347 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.00641593 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0065785 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.113481 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0285125 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0108005 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0108005 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.175738 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0215173 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0248356 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0662752 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.173816 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.110827 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.027633 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00769815 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00769815 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.161709 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00306288 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00811258 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0142034 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.159787 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0201646 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0204656 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0204656 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00676285 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.96436 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0598583 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.211075 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.00156748 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.5686 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.5686 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00851222 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.00368304 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0314168 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.00595574 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0073108 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.117025 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0374885 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0485983 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0154095 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0414409 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0375352 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0374885 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0485983 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0154095 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0414409 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0375352 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0374083 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.03158 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0146548 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0187291 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0700705 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0615984 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.0223695 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0429737 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0611159 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.0220394 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0902177 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0624 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.039544 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00192965 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.00472603 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.00956861 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.162167 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.259411 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.135206 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.259409 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0291932 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.035762 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0404368 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0353425 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.00124432 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0466196 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0370542 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.0681527 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0881493 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0365245 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.00303918 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00544478 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.00683335 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0687329 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0450202 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0766633 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0450201 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0462507 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0220465 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.117528 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0879757 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0588005 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0158247 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0486932 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.00109431 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.210662 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0671598 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.130753 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.144779 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.219818 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.196106 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00167415 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.196106 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0778035 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.173354 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00377152 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.00870563 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.469069 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.161121 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0804052 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.15157 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0392701 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0533492 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.067296 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0677928 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0898098 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0237895 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0898196 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0350096 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0674056 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0248797 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0404829 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0249208 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0557983 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0399449 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0434015 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.0858805 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0239797 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.170915 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.263991 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.1246 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.263989 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0384399 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.021429 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0421071 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0369911 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0203761 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0322866 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.046301 # DEPENDENCYPART_SIBL
(11,5),(11,22),0.0538197 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0903802 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.174706 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.266611 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.118778 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.266608 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0424539 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0155407 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0468369 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0412319 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0351476 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.0263983 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0503149 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.0479314 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0954203 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0277939 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0339939 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0274739 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.025679 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.131462 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.753605 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0134314 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0521482 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.124913 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0307774 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.104042 # DEPENDENCYPART_SIBL
(11,7),(11,23),0.0209646 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.325125 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0141051 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.64919 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.00504657 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0174933 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.029338 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.211131 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.00198033 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.643691 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.0126122 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.121916 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.016446 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0141173 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.031917 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0898319 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0343656 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0179471 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0193025 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0179575 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.0142246 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0364068 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.649221 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.00506104 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0174858 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0293304 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.21642 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0019948 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.643722 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0126267 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.121908 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.200497 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0084617 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0173418 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.477184 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.193295 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.295624 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.18817 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.163388 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0721596 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0618915 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.480518 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0430928 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.00176947 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.0282437 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.250403 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.132118 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.318394 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0424982 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0128425 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0439875 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.146521 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.284829 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0248555 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.04717 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.03211 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.0987846 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.026046 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0298549 # DEPENDENCYPART_SIBL
(11,18),(11,22),0.0310917 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.0576205 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.00283003 # DEPENDENCYPART_SIBL
(11,20),(11,22),-0.0196559 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.245164 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.188199 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.163549 # DEPENDENCYPART_SIBL
(11,22),(11,23),-0.240445 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.224837 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.127928 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.00501338 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.118404 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.155828 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.118418 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0553943 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0699348 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0179373 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0649475 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.113191 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0733949 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0995242 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0645104 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.00634447 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0645248 # DEPENDENCYPART_SIBL
(13,7),(13,14),1.6808 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0386637 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.014131 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0410144 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.0707636 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0199988 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0126235 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0104714 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0126091 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.223411 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0701968 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0562721 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0687267 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.115048 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0582852 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.119987 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0582708 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.233465 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0477909 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.00515107 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0475631 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0189393 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.014163 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.00160086 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.218691 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0749206 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0409578 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0734504 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.11035 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.341966 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0137547 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.043648 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0101858 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0399966 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.00172555 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.218693 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0749147 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0409598 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0734445 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.110352 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0321737 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00239642 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0390893 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.00739492 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0156506 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0122722 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0350578 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.028626 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.014983 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.0417931 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0442812 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0336873 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.405036 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0152163 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0109653 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0156454 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0288258 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0258197 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0561402 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.019529 # DEPENDENCYPART_SIBL
(15,1),(15,3),0.11998 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.467031 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.137581 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0259787 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.0983292 # DEPENDENCYPART_SIBL
(15,1),(15,20),0.129883 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0272424 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.13473 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0575096 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.0617475 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.213546 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.668964 # DEPENDENCYPART_SIBL
(15,3),(15,19),0.0591135 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.016996 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.00192201 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.0234549 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.00434428 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.104474 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.0762838 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0443463 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.0393645 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.0281751 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.0457702 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.018469 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.211075 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0677462 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.00141471 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0234066 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.00156748 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0911872 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.000945651 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0218049 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0237014 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0220394 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.132306 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.00408633 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0251954 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.00544452 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.00163281 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0274883 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0157484 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.124193 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0376591 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.106333 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.12086 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0695266 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.192494 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.207073 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.161706 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0252301 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.026479 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0280361 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.120325 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.135798 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.130865 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.0115742 # DEPENDENCYPART_SIBL
(18,1),(18,3),0.00787482 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.0142444 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.171856 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.169882 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.0232062 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.1728 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0469975 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.1728 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.176213 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.0232062 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.14664 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.341378 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.106615 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0680472 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0350658 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.0412892 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.0013806 # DEPENDENCYPART_SIBL
(18,1),(18,23),-0.0142272 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.0961788 # DEPENDENCYPART_SIBL
(18,2),(18,4),0.165954 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0541114 # DEPENDENCYPART_SIBL
(18,2),(18,6),0.0599635 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.0306155 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0303173 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.0822329 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.0303173 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.0590653 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0306155 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.246632 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.129126 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.0411697 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0987233 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0292702 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.199687 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0656996 # DEPENDENCYPART_SIBL
(18,2),(18,23),-0.193668 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.00197477 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0140718 # DEPENDENCYPART_SIBL
(18,3),(18,6),-0.0117139 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0548531 # DEPENDENCYPART_SIBL
