# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=5,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(5,11),(11,5),-1.35261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.358123 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),0.398324 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),0.143781 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),0.00367092 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.00924815 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.506839 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.688996 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),-1.1656 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),-0.389706 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),-1.3774 # DEPENDENCYPART_GRANDPAR
(5,11),(11,17),-0.663851 # DEPENDENCYPART_GRANDPAR
(5,11),(11,19),-0.944906 # DEPENDENCYPART_GRANDPAR
(5,11),(11,20),-0.576353 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),-0.244011 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),-0.282153 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.298741 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.789462 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),-0.303348 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-1.00539 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),-0.81158 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),0.298597 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),-0.0785137 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),-0.0423193 # DEPENDENCYPART_GRANDPAR
(5,14),(14,16),-0.9535 # DEPENDENCYPART_GRANDPAR
(5,14),(14,17),-0.429892 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),-0.379031 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-0.86044 # DEPENDENCYPART_GRANDPAR
(5,15),(15,3),-0.701403 # DEPENDENCYPART_GRANDPAR
(5,15),(15,4),-0.765192 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),-1.44598 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,6),0.304445 # DEPENDENCYPART_GRANDPAR
(5,15),(15,8),-0.171347 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.0576243 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.0345193 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.397954 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),-0.300213 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.482122 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.893829 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.921381 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.413075 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-1.03661 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-0.714408 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),-0.53042 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-0.945822 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.662498 # DEPENDENCYPART_GRANDPAR
(5,15),(15,23),-1.15476 # DEPENDENCYPART_GRANDPAR
(5,15),(15,24),-0.352149 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),-1.37141 # DEPENDENCYPART_GRANDPAR
(5,15),(15,28),-2.06647 # DEPENDENCYPART_GRANDPAR
(5,19),(19,5),-1.65585 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,19),(19,6),0.104435 # DEPENDENCYPART_GRANDPAR
(5,19),(19,8),-0.0807141 # DEPENDENCYPART_GRANDPAR
(5,19),(19,9),-0.242444 # DEPENDENCYPART_GRANDPAR
(5,19),(19,11),-0.367215 # DEPENDENCYPART_GRANDPAR
(5,19),(19,12),-0.342208 # DEPENDENCYPART_GRANDPAR
(5,19),(19,13),-0.551639 # DEPENDENCYPART_GRANDPAR
(5,19),(19,14),-1.02024 # DEPENDENCYPART_GRANDPAR
(5,19),(19,15),-0.154475 # DEPENDENCYPART_GRANDPAR
(5,19),(19,16),-1.24197 # DEPENDENCYPART_GRANDPAR
(5,19),(19,17),-0.502135 # DEPENDENCYPART_GRANDPAR
(5,19),(19,18),-1.35635 # DEPENDENCYPART_GRANDPAR
(5,19),(19,20),-1.05972 # DEPENDENCYPART_GRANDPAR
(5,19),(19,21),-1.2436 # DEPENDENCYPART_GRANDPAR
(5,19),(19,23),-1.44741 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.172685 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.0165395 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),0.0928115 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.19278 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),-0.243344 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),-0.329229 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-2.09227 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,8),-0.795818 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.83926 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.382146 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),0.171666 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.146498 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),0.303383 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.00465002 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0140834 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.168457 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-2.13162 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,1),0.186036 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.325679 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.153444 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.294419 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-2.20763 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.716618 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.804605 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.954623 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.659248 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-0.167479 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),-1.2939 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.459598 # DEPENDENCYPART_GRANDPAR
(6,5),(5,19),-0.927813 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.266007 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.474974 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.910377 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-1.14996 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-1.58873 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-1.67701 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.543891 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),-0.922168 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.180124 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.0486267 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.11562 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.613212 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-0.711556 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-1.32558 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-1.59452 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.547799 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.0109402 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.455437 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.272749 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.310563 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.985699 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.940884 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.107829 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.662088 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),-0.461936 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),-1.1398 # DEPENDENCYPART_GRANDPAR
(6,9),(9,19),-0.404506 # DEPENDENCYPART_GRANDPAR
(6,9),(9,20),-0.855578 # DEPENDENCYPART_GRANDPAR
(6,9),(9,21),-1.2003 # DEPENDENCYPART_GRANDPAR
(6,9),(9,22),-0.571533 # DEPENDENCYPART_GRANDPAR
(6,9),(9,23),-1.61266 # DEPENDENCYPART_GRANDPAR
(6,9),(9,24),-0.336983 # DEPENDENCYPART_GRANDPAR
(6,9),(9,25),-1.8033 # DEPENDENCYPART_GRANDPAR
(6,9),(9,26),-1.47443 # DEPENDENCYPART_GRANDPAR
(6,9),(9,28),-1.81681 # DEPENDENCYPART_GRANDPAR
(6,11),(11,1),-0.277532 # DEPENDENCYPART_GRANDPAR
(6,11),(11,2),-0.488801 # DEPENDENCYPART_GRANDPAR
(6,11),(11,4),-0.980317 # DEPENDENCYPART_GRANDPAR
(6,11),(11,5),-1.66061 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-1.52719 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.472672 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),0.0549122 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),-0.282539 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.566714 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.362509 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-1.17951 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-1.14778 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.26277 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.863207 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.557545 # DEPENDENCYPART_GRANDPAR
(6,11),(11,19),-0.619823 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),-0.875853 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),-0.29388 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),-0.25999 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.781046 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.763489 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),-0.170302 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.483041 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),-0.499552 # DEPENDENCYPART_GRANDPAR
(6,13),(13,10),-0.312277 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),-0.289306 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),-0.012674 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.709272 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.0456752 # DEPENDENCYPART_GRANDPAR
(6,13),(13,16),-0.431618 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),-0.359936 # DEPENDENCYPART_GRANDPAR
(6,13),(13,18),-0.908173 # DEPENDENCYPART_GRANDPAR
(6,13),(13,19),-0.411105 # DEPENDENCYPART_GRANDPAR
(6,13),(13,20),-0.48054 # DEPENDENCYPART_GRANDPAR
(6,13),(13,22),-0.460957 # DEPENDENCYPART_GRANDPAR
(6,13),(13,24),-0.282472 # DEPENDENCYPART_GRANDPAR
(6,13),(13,26),-1.24915 # DEPENDENCYPART_GRANDPAR
(6,14),(14,10),-0.302077 # DEPENDENCYPART_GRANDPAR
(6,14),(14,12),-0.0047129 # DEPENDENCYPART_GRANDPAR
(6,14),(14,13),-0.61669 # DEPENDENCYPART_GRANDPAR
(6,14),(14,16),-0.41029 # DEPENDENCYPART_GRANDPAR
(6,14),(14,17),-0.358473 # DEPENDENCYPART_GRANDPAR
(6,15),(15,1),-0.367338 # DEPENDENCYPART_GRANDPAR
(6,15),(15,2),-0.537782 # DEPENDENCYPART_GRANDPAR
(6,15),(15,3),-1.04805 # DEPENDENCYPART_GRANDPAR
(6,15),(15,4),-1.13407 # DEPENDENCYPART_GRANDPAR
(6,15),(15,5),-1.79173 # DEPENDENCYPART_GRANDPAR
(6,15),(15,6),-1.55574 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,15),(15,8),-0.212328 # DEPENDENCYPART_GRANDPAR
(6,15),(15,9),-0.318702 # DEPENDENCYPART_GRANDPAR
(6,15),(15,10),-0.570514 # DEPENDENCYPART_GRANDPAR
(6,15),(15,11),-0.361471 # DEPENDENCYPART_GRANDPAR
(6,15),(15,12),-0.167817 # DEPENDENCYPART_GRANDPAR
(6,15),(15,13),-0.965002 # DEPENDENCYPART_GRANDPAR
(6,15),(15,14),-0.867946 # DEPENDENCYPART_GRANDPAR
(6,15),(15,16),-0.398301 # DEPENDENCYPART_GRANDPAR
(6,15),(15,17),-0.304922 # DEPENDENCYPART_GRANDPAR
(6,15),(15,18),-0.874393 # DEPENDENCYPART_GRANDPAR
(6,15),(15,19),-0.400394 # DEPENDENCYPART_GRANDPAR
(6,15),(15,20),-0.822938 # DEPENDENCYPART_GRANDPAR
(6,15),(15,21),-0.926706 # DEPENDENCYPART_GRANDPAR
(6,15),(15,22),-0.400237 # DEPENDENCYPART_GRANDPAR
(6,15),(15,23),-1.34741 # DEPENDENCYPART_GRANDPAR
(6,15),(15,24),-0.268771 # DEPENDENCYPART_GRANDPAR
(6,15),(15,25),-1.54359 # DEPENDENCYPART_GRANDPAR
(6,15),(15,28),-1.56649 # DEPENDENCYPART_GRANDPAR
(6,17),(17,13),-0.604058 # DEPENDENCYPART_GRANDPAR
(6,17),(17,16),-0.254074 # DEPENDENCYPART_GRANDPAR
(6,17),(17,18),-0.754066 # DEPENDENCYPART_GRANDPAR
(6,17),(17,19),-0.426054 # DEPENDENCYPART_GRANDPAR
(6,17),(17,20),-0.568389 # DEPENDENCYPART_GRANDPAR
(6,17),(17,21),-0.811131 # DEPENDENCYPART_GRANDPAR
(6,19),(19,5),-1.58873 # DEPENDENCYPART_GRANDPAR
(6,19),(19,6),-1.67701 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,19),(19,8),-0.0470565 # DEPENDENCYPART_GRANDPAR
(6,19),(19,9),-0.424786 # DEPENDENCYPART_GRANDPAR
(6,19),(19,11),-0.265599 # DEPENDENCYPART_GRANDPAR
(6,19),(19,12),-0.166035 # DEPENDENCYPART_GRANDPAR
(6,19),(19,13),-0.93773 # DEPENDENCYPART_GRANDPAR
(6,19),(19,14),-0.897569 # DEPENDENCYPART_GRANDPAR
(6,19),(19,15),0.0525851 # DEPENDENCYPART_GRANDPAR
(6,19),(19,16),-0.622921 # DEPENDENCYPART_GRANDPAR
(6,19),(19,17),-0.377004 # DEPENDENCYPART_GRANDPAR
(6,19),(19,18),-1.09816 # DEPENDENCYPART_GRANDPAR
(6,19),(19,20),-1.27997 # DEPENDENCYPART_GRANDPAR
(6,19),(19,21),-1.15127 # DEPENDENCYPART_GRANDPAR
(6,19),(19,23),-1.56684 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.447714 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.451623 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.378844 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.93716 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.852172 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.692397 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.964095 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.181807 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.140078 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.40812 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-0.358776 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.31277 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.684676 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.815975 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.655588 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.804621 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),1.16169 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.0965105 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.122564 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.182314 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.104717 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.1302 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.18788 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),0.121776 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),-0.259332 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),0.0961876 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),0.217353 # DEPENDENCYPART_GRANDPAR
(7,9),(9,20),-0.80842 # DEPENDENCYPART_GRANDPAR
(7,9),(9,21),0.124107 # DEPENDENCYPART_GRANDPAR
(7,9),(9,22),-0.444774 # DEPENDENCYPART_GRANDPAR
(7,9),(9,23),-0.0472652 # DEPENDENCYPART_GRANDPAR
(7,9),(9,24),-0.523169 # DEPENDENCYPART_GRANDPAR
(7,9),(9,25),0.0211058 # DEPENDENCYPART_GRANDPAR
(7,9),(9,26),-0.185491 # DEPENDENCYPART_GRANDPAR
(7,9),(9,28),0.047763 # DEPENDENCYPART_GRANDPAR
(7,11),(11,1),-0.483625 # DEPENDENCYPART_GRANDPAR
(7,11),(11,2),-0.501246 # DEPENDENCYPART_GRANDPAR
(7,11),(11,4),-0.801851 # DEPENDENCYPART_GRANDPAR
(7,11),(11,5),-0.964944 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.816457 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-1.06799 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.949977 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),-0.0832153 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),-0.172903 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.0682231 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.00492409 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),0.0225354 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.421141 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.0168071 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),-0.211435 # DEPENDENCYPART_GRANDPAR
(7,11),(11,19),0.215855 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),-0.68882 # DEPENDENCYPART_GRANDPAR
(7,20),(20,1),-0.40812 # DEPENDENCYPART_GRANDPAR
(7,20),(20,4),-0.684471 # DEPENDENCYPART_GRANDPAR
(7,20),(20,5),-0.815975 # DEPENDENCYPART_GRANDPAR
(7,20),(20,6),-0.655588 # DEPENDENCYPART_GRANDPAR
(7,20),(20,9),-0.0126466 # DEPENDENCYPART_GRANDPAR
(7,20),(20,10),0.122605 # DEPENDENCYPART_GRANDPAR
(7,20),(20,11),0.469567 # DEPENDENCYPART_GRANDPAR
(7,20),(20,12),-0.00597115 # DEPENDENCYPART_GRANDPAR
(7,20),(20,13),0.189204 # DEPENDENCYPART_GRANDPAR
(7,20),(20,14),0.21304 # DEPENDENCYPART_GRANDPAR
(7,20),(20,15),0.509015 # DEPENDENCYPART_GRANDPAR
(7,20),(20,16),0.206113 # DEPENDENCYPART_GRANDPAR
(7,20),(20,17),-0.117739 # DEPENDENCYPART_GRANDPAR
(7,20),(20,18),0.180106 # DEPENDENCYPART_GRANDPAR
(7,20),(20,19),0.51457 # DEPENDENCYPART_GRANDPAR
(7,20),(20,21),0.125867 # DEPENDENCYPART_GRANDPAR
(7,20),(20,22),-0.459271 # DEPENDENCYPART_GRANDPAR
(7,20),(20,23),-0.0455044 # DEPENDENCYPART_GRANDPAR
(7,20),(20,24),-0.545414 # DEPENDENCYPART_GRANDPAR
(7,20),(20,25),0.0228666 # DEPENDENCYPART_GRANDPAR
(7,20),(20,26),-0.18549 # DEPENDENCYPART_GRANDPAR
(7,20),(20,27),-0.198603 # DEPENDENCYPART_GRANDPAR
(7,20),(20,28),0.0495238 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),-0.00331333 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),-0.385938 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.12547 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),-0.309445 # DEPENDENCYPART_GRANDPAR
(8,2),(2,4),-0.248971 # DEPENDENCYPART_GRANDPAR
(8,2),(2,5),0.195796 # DEPENDENCYPART_GRANDPAR
(8,2),(2,6),0.0329881 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-1.96598 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,9),-0.28611 # DEPENDENCYPART_GRANDPAR
(8,2),(2,15),-0.619529 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.0456586 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.182679 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),0.111818 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),0.0501624 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.205494 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),0.164042 # DEPENDENCYPART_GRANDPAR
(8,4),(4,6),0.0121767 # DEPENDENCYPART_GRANDPAR
(8,5),(5,1),0.0982629 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.0769526 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.113216 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),0.0210001 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.120742 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),0.403163 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-2.05998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,9),-0.485041 # DEPENDENCYPART_GRANDPAR
(8,5),(5,11),-0.870737 # DEPENDENCYPART_GRANDPAR
(8,5),(5,12),-0.916687 # DEPENDENCYPART_GRANDPAR
(8,5),(5,14),-1.23704 # DEPENDENCYPART_GRANDPAR
(8,5),(5,15),-0.855078 # DEPENDENCYPART_GRANDPAR
(8,5),(5,19),-0.771419 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),0.128722 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.041338 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.148551 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.03387 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),0.146781 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-2.06253 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.480302 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-0.865089 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-0.898691 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),-1.10618 # DEPENDENCYPART_GRANDPAR
(8,6),(6,14),-1.23331 # DEPENDENCYPART_GRANDPAR
(8,6),(6,15),-0.847378 # DEPENDENCYPART_GRANDPAR
(8,6),(6,17),-1.35549 # DEPENDENCYPART_GRANDPAR
(8,6),(6,19),-0.773973 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.96598 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.286035 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.594969 # DEPENDENCYPART_GRANDPAR
(8,7),(7,20),-0.810451 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.752198 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-0.650562 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-1.03667 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-1.0899 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.642823 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.833178 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.37506 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-1.42258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.180763 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),0.085728 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.100804 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),-0.0911328 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),-0.218643 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),0.0613076 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),-0.210832 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.37736 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),-0.182401 # DEPENDENCYPART_GRANDPAR
(8,9),(9,19),-0.244788 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),-0.257247 # DEPENDENCYPART_GRANDPAR
(8,9),(9,21),-0.432766 # DEPENDENCYPART_GRANDPAR
(8,9),(9,22),-0.0549866 # DEPENDENCYPART_GRANDPAR
(8,9),(9,23),-0.462422 # DEPENDENCYPART_GRANDPAR
(8,9),(9,24),-0.112526 # DEPENDENCYPART_GRANDPAR
(8,9),(9,25),-0.594068 # DEPENDENCYPART_GRANDPAR
(8,9),(9,26),-0.248369 # DEPENDENCYPART_GRANDPAR
(8,9),(9,28),-0.482401 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-1.50491 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,11),-0.147175 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),-0.228538 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),-0.384949 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),-0.0291315 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),-0.376694 # DEPENDENCYPART_GRANDPAR
(8,12),(12,19),-0.317945 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),0.0822223 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),0.0835792 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),0.104001 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.10861 # DEPENDENCYPART_GRANDPAR
