# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,24,13,26,24,28,26,30,28,32,30,0,
(31,21),-1.92207 # DEPENDENCYPART_ARC
(31,22),-2.08183 # DEPENDENCYPART_ARC
(31,23),-1.6026 # DEPENDENCYPART_ARC
(31,24),-1.36053 # DEPENDENCYPART_ARC
(31,25),-1.43248 # DEPENDENCYPART_ARC
(31,26),-2.42871 # DEPENDENCYPART_ARC
(31,27),-1.0496 # DEPENDENCYPART_ARC
(31,28),-1.50923 # DEPENDENCYPART_ARC
(31,29),-1.11978 # DEPENDENCYPART_ARC
(31,30),-1.19234 # DEPENDENCYPART_ARC
(31,32),-0.240277 # DEPENDENCYPART_ARC
(31,33),-0.506945 # DEPENDENCYPART_ARC
(32,1),-1.90972 # DEPENDENCYPART_ARC
(32,2),-3.13566 # DEPENDENCYPART_ARC
(32,3),-5.44676 # DEPENDENCYPART_ARC
(32,4),-3.86722 # DEPENDENCYPART_ARC
(32,5),-3.79299 # DEPENDENCYPART_ARC
(32,6),-1.6335 # DEPENDENCYPART_ARC
(32,7),-2.61473 # DEPENDENCYPART_ARC
(32,8),-1.78088 # DEPENDENCYPART_ARC
(32,9),-1.70563 # DEPENDENCYPART_ARC
(32,10),-2.72174 # DEPENDENCYPART_ARC
(32,11),-1.75088 # DEPENDENCYPART_ARC
(32,12),-1.45439 # DEPENDENCYPART_ARC
(32,13),-2.29282 # DEPENDENCYPART_ARC
(32,14),-1.45163 # DEPENDENCYPART_ARC
(32,15),-1.91978 # DEPENDENCYPART_ARC
(32,16),-1.85761 # DEPENDENCYPART_ARC
(32,17),-1.13293 # DEPENDENCYPART_ARC
(32,18),-1.21028 # DEPENDENCYPART_ARC
(32,19),-1.50114 # DEPENDENCYPART_ARC
(32,20),-3.23383 # DEPENDENCYPART_ARC
(32,21),-3.63599 # DEPENDENCYPART_ARC
(32,22),-2.13011 # DEPENDENCYPART_ARC
(32,23),-1.41161 # DEPENDENCYPART_ARC
(32,24),-0.97596 # DEPENDENCYPART_ARC
(32,25),-0.993634 # DEPENDENCYPART_ARC
(32,26),-2.7481 # DEPENDENCYPART_ARC
(32,27),-0.602687 # DEPENDENCYPART_ARC
(32,28),-1.19244 # DEPENDENCYPART_ARC
(32,29),-1.68568 # DEPENDENCYPART_ARC
(32,30),-0.680108 # DEPENDENCYPART_ARC
(32,31),3.56408 # DEPENDENCYPART_ARC
(32,33),0.256891 # DEPENDENCYPART_ARC
(33,1),-2.52318 # DEPENDENCYPART_ARC
(33,2),-2.80615 # DEPENDENCYPART_ARC
(33,3),-2.66836 # DEPENDENCYPART_ARC
(33,4),-3.80951 # DEPENDENCYPART_ARC
(33,5),-2.23093 # DEPENDENCYPART_ARC
(33,6),-3.22073 # DEPENDENCYPART_ARC
(33,7),-2.60123 # DEPENDENCYPART_ARC
(33,8),-2.08552 # DEPENDENCYPART_ARC
(33,9),-2.23981 # DEPENDENCYPART_ARC
(33,10),-2.9074 # DEPENDENCYPART_ARC
(33,11),-2.42587 # DEPENDENCYPART_ARC
(33,12),-2.90114 # DEPENDENCYPART_ARC
(33,13),-2.0359 # DEPENDENCYPART_ARC
(33,14),-2.72493 # DEPENDENCYPART_ARC
(33,15),-2.25972 # DEPENDENCYPART_ARC
(33,16),-2.43014 # DEPENDENCYPART_ARC
(33,17),-2.4558 # DEPENDENCYPART_ARC
(33,18),-1.93613 # DEPENDENCYPART_ARC
(33,19),-2.22574 # DEPENDENCYPART_ARC
(33,20),-2.86962 # DEPENDENCYPART_ARC
(33,21),-2.30761 # DEPENDENCYPART_ARC
(33,22),-2.90396 # DEPENDENCYPART_ARC
(33,23),-2.26166 # DEPENDENCYPART_ARC
(33,24),-2.11083 # DEPENDENCYPART_ARC
(33,25),-1.60586 # DEPENDENCYPART_ARC
(33,26),-2.08407 # DEPENDENCYPART_ARC
(33,27),-1.99116 # DEPENDENCYPART_ARC
(33,28),-2.2505 # DEPENDENCYPART_ARC
(33,29),-1.90941 # DEPENDENCYPART_ARC
(33,30),-1.67361 # DEPENDENCYPART_ARC
(33,31),-1.36968 # DEPENDENCYPART_ARC
(33,32),-1.72406 # DEPENDENCYPART_ARC
