# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,7,12,13,16,14,20,20,20,14,22,20,24,20,26,24,28,26,30,28,32,30,0,
(4,30),(30,24),-0.305033 # DEPENDENCYPART_GRANDPAR
(4,30),(30,27),-1.24097 # DEPENDENCYPART_GRANDPAR
(4,30),(30,28),-1.09224 # DEPENDENCYPART_GRANDPAR
(4,30),(30,29),-0.567442 # DEPENDENCYPART_GRANDPAR
(4,30),(30,31),-1.1834 # DEPENDENCYPART_GRANDPAR
(4,30),(30,32),-0.642726 # DEPENDENCYPART_GRANDPAR
(4,30),(30,33),-0.692105 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.0492086 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),0.162716 # DEPENDENCYPART_GRANDPAR
(6,1),(1,7),-0.15022 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.115424 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.100854 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.330561 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-0.935969 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.107225 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.494357 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.471627 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),-0.626917 # DEPENDENCYPART_GRANDPAR
(6,2),(2,12),-0.320886 # DEPENDENCYPART_GRANDPAR
(6,2),(2,14),-0.655611 # DEPENDENCYPART_GRANDPAR
(6,2),(2,17),-0.610195 # DEPENDENCYPART_GRANDPAR
(6,2),(2,18),-0.65859 # DEPENDENCYPART_GRANDPAR
(6,2),(2,23),-0.202146 # DEPENDENCYPART_GRANDPAR
(6,2),(2,24),-0.233828 # DEPENDENCYPART_GRANDPAR
(6,2),(2,33),-0.713332 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-0.95114 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,1),-0.0643849 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.00039773 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0566361 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.0789179 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-0.990371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.21911 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.492938 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.469249 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.688855 # DEPENDENCYPART_GRANDPAR
(6,4),(4,30),-0.713223 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.393861 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.331937 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.559726 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.151297 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.435519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.0561035 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.0908952 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.0871591 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.24548 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.163011 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.122886 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.183892 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.114075 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.270022 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.259233 # DEPENDENCYPART_GRANDPAR
(6,7),(7,23),-0.0442718 # DEPENDENCYPART_GRANDPAR
(6,7),(7,24),0.302008 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),0.0667983 # DEPENDENCYPART_GRANDPAR
(6,7),(7,28),-0.512579 # DEPENDENCYPART_GRANDPAR
(6,7),(7,32),-0.485173 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.455295 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.36298 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-0.164061 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.505451 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.369264 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),-0.075167 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.26437 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.220977 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.265783 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.204857 # DEPENDENCYPART_GRANDPAR
(6,8),(8,18),-0.2673 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.455295 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.363333 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-0.164071 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.505644 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.369106 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.0032525 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.23771 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.222256 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.240282 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),-0.207139 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),-0.271477 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),-0.0377028 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),-0.022088 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.1657 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),-0.133881 # DEPENDENCYPART_GRANDPAR
(6,12),(12,2),-0.39581 # DEPENDENCYPART_GRANDPAR
(6,12),(12,7),0.202656 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),-0.25141 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),-0.268198 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.47526 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.302798 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.475033 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),-1.55115 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-0.228861 # DEPENDENCYPART_GRANDPAR
(7,1),(1,7),-3.04266 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,1),-0.480115 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-1.11765 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.310841 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),-0.202134 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-2.92271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.131862 # DEPENDENCYPART_GRANDPAR
(7,2),(2,9),-0.293141 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.0621536 # DEPENDENCYPART_GRANDPAR
(7,2),(2,12),-0.286503 # DEPENDENCYPART_GRANDPAR
(7,2),(2,14),-0.151561 # DEPENDENCYPART_GRANDPAR
(7,2),(2,17),-0.272978 # DEPENDENCYPART_GRANDPAR
(7,2),(2,18),-0.32502 # DEPENDENCYPART_GRANDPAR
(7,2),(2,23),-0.243982 # DEPENDENCYPART_GRANDPAR
(7,2),(2,24),-0.359409 # DEPENDENCYPART_GRANDPAR
(7,2),(2,33),-0.867004 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),-0.0814454 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.463416 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-1.12413 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.847015 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.385901 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),0.0273182 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-3.14468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),-0.281335 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),-0.442069 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),-0.488785 # DEPENDENCYPART_GRANDPAR
(7,4),(4,30),-2.29995 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.570229 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-1.47132 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-1.01989 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.0877596 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-3.29646 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.362303 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.52304 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.369969 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.599615 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.917387 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-2.07579 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.649235 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.611981 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-2.40559 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),2.23773e-05 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.113916 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.0896319 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),0.0756091 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),0.0158888 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.021893 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.91774 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-2.07685 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.649599 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.612335 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-2.39678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.290814 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.183949 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.0695011 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.144524 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),0.0336389 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.00754171 # DEPENDENCYPART_GRANDPAR
(7,10),(10,8),0.234634 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.0550138 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.104579 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.00243207 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.590549 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.0289636 # DEPENDENCYPART_GRANDPAR
(7,12),(12,2),-2.11088 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-2.56919 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,12),(12,10),0.253802 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),-0.056905 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),0.31086 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),0.0151384 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.454145 # DEPENDENCYPART_GRANDPAR
(7,14),(14,12),-0.0243181 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),0.307817 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-0.94842 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.359562 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),-0.0321678 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),0.0216373 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.117454 # DEPENDENCYPART_GRANDPAR
(7,14),(14,20),0.198357 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),-0.606264 # DEPENDENCYPART_GRANDPAR
(7,14),(14,23),0.0764708 # DEPENDENCYPART_GRANDPAR
(7,17),(17,1),-1.04863 # DEPENDENCYPART_GRANDPAR
(7,17),(17,2),-2.32331 # DEPENDENCYPART_GRANDPAR
(7,17),(17,4),-0.84316 # DEPENDENCYPART_GRANDPAR
(7,17),(17,6),-0.69902 # DEPENDENCYPART_GRANDPAR
(7,17),(17,7),-2.42743 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,17),(17,8),0.216077 # DEPENDENCYPART_GRANDPAR
(7,17),(17,9),0.0486993 # DEPENDENCYPART_GRANDPAR
(7,17),(17,10),0.307102 # DEPENDENCYPART_GRANDPAR
(7,17),(17,11),-0.0221485 # DEPENDENCYPART_GRANDPAR
(7,17),(17,12),0.0654891 # DEPENDENCYPART_GRANDPAR
(7,17),(17,13),0.326521 # DEPENDENCYPART_GRANDPAR
(7,17),(17,14),0.25999 # DEPENDENCYPART_GRANDPAR
(7,17),(17,15),-1.17828 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),-0.564118 # DEPENDENCYPART_GRANDPAR
(7,17),(17,18),0.0236881 # DEPENDENCYPART_GRANDPAR
(7,17),(17,19),-0.0959167 # DEPENDENCYPART_GRANDPAR
(7,17),(17,20),0.208209 # DEPENDENCYPART_GRANDPAR
(7,17),(17,22),-0.574931 # DEPENDENCYPART_GRANDPAR
(7,17),(17,23),-0.0785191 # DEPENDENCYPART_GRANDPAR
(7,17),(17,24),-0.0489786 # DEPENDENCYPART_GRANDPAR
(7,17),(17,26),-0.828057 # DEPENDENCYPART_GRANDPAR
(7,17),(17,30),-1.59973 # DEPENDENCYPART_GRANDPAR
(7,18),(18,8),0.266987 # DEPENDENCYPART_GRANDPAR
(7,18),(18,9),0.108899 # DEPENDENCYPART_GRANDPAR
(7,18),(18,10),0.361418 # DEPENDENCYPART_GRANDPAR
(7,18),(18,15),-0.936708 # DEPENDENCYPART_GRANDPAR
(7,18),(18,16),-0.382995 # DEPENDENCYPART_GRANDPAR
(7,18),(18,17),0.140226 # DEPENDENCYPART_GRANDPAR
(7,18),(18,20),0.0602667 # DEPENDENCYPART_GRANDPAR
(7,18),(18,22),-0.728796 # DEPENDENCYPART_GRANDPAR
(7,18),(18,23),-0.050392 # DEPENDENCYPART_GRANDPAR
(7,18),(18,24),-0.265089 # DEPENDENCYPART_GRANDPAR
(7,18),(18,26),-0.689999 # DEPENDENCYPART_GRANDPAR
(7,20),(20,15),-0.813888 # DEPENDENCYPART_GRANDPAR
(7,20),(20,16),-0.264922 # DEPENDENCYPART_GRANDPAR
(7,20),(20,17),0.250144 # DEPENDENCYPART_GRANDPAR
(7,20),(20,18),0.0628861 # DEPENDENCYPART_GRANDPAR
(7,20),(20,19),-0.0151761 # DEPENDENCYPART_GRANDPAR
(7,20),(20,21),-1.27046 # DEPENDENCYPART_GRANDPAR
(7,20),(20,22),-0.575929 # DEPENDENCYPART_GRANDPAR
(7,20),(20,23),-0.0054797 # DEPENDENCYPART_GRANDPAR
(7,20),(20,24),0.00524269 # DEPENDENCYPART_GRANDPAR
(7,20),(20,26),-0.48446 # DEPENDENCYPART_GRANDPAR
(7,20),(20,28),-0.498253 # DEPENDENCYPART_GRANDPAR
(7,20),(20,30),-1.2528 # DEPENDENCYPART_GRANDPAR
(7,20),(20,32),-0.681242 # DEPENDENCYPART_GRANDPAR
(7,22),(22,15),-0.827446 # DEPENDENCYPART_GRANDPAR
(7,22),(22,16),-0.267849 # DEPENDENCYPART_GRANDPAR
(7,22),(22,20),0.306139 # DEPENDENCYPART_GRANDPAR
(7,22),(22,21),-1.27877 # DEPENDENCYPART_GRANDPAR
(7,22),(22,23),-0.00456135 # DEPENDENCYPART_GRANDPAR
(7,22),(22,24),0.00530616 # DEPENDENCYPART_GRANDPAR
(7,22),(22,25),-0.128415 # DEPENDENCYPART_GRANDPAR
(7,22),(22,26),-0.483942 # DEPENDENCYPART_GRANDPAR
(7,22),(22,28),-0.498166 # DEPENDENCYPART_GRANDPAR
(7,22),(22,30),-1.25228 # DEPENDENCYPART_GRANDPAR
(7,22),(22,32),-0.681154 # DEPENDENCYPART_GRANDPAR
(7,23),(23,14),0.141535 # DEPENDENCYPART_GRANDPAR
(7,23),(23,16),-0.589528 # DEPENDENCYPART_GRANDPAR
(7,23),(23,20),0.0915268 # DEPENDENCYPART_GRANDPAR
(7,23),(23,22),-0.688747 # DEPENDENCYPART_GRANDPAR
(7,23),(23,24),-0.193419 # DEPENDENCYPART_GRANDPAR
(7,23),(23,26),-0.970553 # DEPENDENCYPART_GRANDPAR
(7,23),(23,28),-0.710121 # DEPENDENCYPART_GRANDPAR
(7,23),(23,32),-0.89311 # DEPENDENCYPART_GRANDPAR
(7,24),(24,22),-0.609751 # DEPENDENCYPART_GRANDPAR
(7,24),(24,23),0.0582204 # DEPENDENCYPART_GRANDPAR
(7,24),(24,25),-0.119255 # DEPENDENCYPART_GRANDPAR
(7,24),(24,26),-0.523794 # DEPENDENCYPART_GRANDPAR
(7,24),(24,28),-0.493122 # DEPENDENCYPART_GRANDPAR
(7,24),(24,30),-1.29249 # DEPENDENCYPART_GRANDPAR
(7,24),(24,32),-0.675485 # DEPENDENCYPART_GRANDPAR
(7,26),(26,1),-0.768847 # DEPENDENCYPART_GRANDPAR
(7,26),(26,2),-1.94561 # DEPENDENCYPART_GRANDPAR
(7,26),(26,4),-0.498839 # DEPENDENCYPART_GRANDPAR
(7,26),(26,7),-2.46258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,26),(26,8),0.157449 # DEPENDENCYPART_GRANDPAR
(7,26),(26,9),-0.00559756 # DEPENDENCYPART_GRANDPAR
(7,26),(26,10),0.204132 # DEPENDENCYPART_GRANDPAR
(7,26),(26,14),0.0757448 # DEPENDENCYPART_GRANDPAR
(7,26),(26,16),-0.525857 # DEPENDENCYPART_GRANDPAR
(7,26),(26,17),0.0202946 # DEPENDENCYPART_GRANDPAR
(7,26),(26,18),-0.0308312 # DEPENDENCYPART_GRANDPAR
(7,26),(26,19),-0.218073 # DEPENDENCYPART_GRANDPAR
(7,26),(26,20),-0.0125025 # DEPENDENCYPART_GRANDPAR
(7,26),(26,21),-1.50769 # DEPENDENCYPART_GRANDPAR
(7,26),(26,22),-0.79583 # DEPENDENCYPART_GRANDPAR
(7,26),(26,23),0.0492833 # DEPENDENCYPART_GRANDPAR
(7,26),(26,24),-0.113949 # DEPENDENCYPART_GRANDPAR
(7,26),(26,25),0.315856 # DEPENDENCYPART_GRANDPAR
(7,26),(26,27),-1.16103 # DEPENDENCYPART_GRANDPAR
(7,26),(26,28),-0.546483 # DEPENDENCYPART_GRANDPAR
(7,26),(26,30),-1.47723 # DEPENDENCYPART_GRANDPAR
(7,26),(26,32),-0.728986 # DEPENDENCYPART_GRANDPAR
(7,26),(26,33),-0.616951 # DEPENDENCYPART_GRANDPAR
(7,28),(28,21),-1.28046 # DEPENDENCYPART_GRANDPAR
(7,28),(28,27),-1.07905 # DEPENDENCYPART_GRANDPAR
(7,28),(28,29),-0.960455 # DEPENDENCYPART_GRANDPAR
(7,28),(28,30),-1.25467 # DEPENDENCYPART_GRANDPAR
(7,28),(28,32),-0.682905 # DEPENDENCYPART_GRANDPAR
(7,32),(32,27),-1.07731 # DEPENDENCYPART_GRANDPAR
(7,32),(32,28),-0.407221 # DEPENDENCYPART_GRANDPAR
(7,32),(32,29),-0.973701 # DEPENDENCYPART_GRANDPAR
(7,32),(32,30),-1.35369 # DEPENDENCYPART_GRANDPAR
(7,32),(32,31),-1.22024 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),-0.0899791 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.158743 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),-0.0910527 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),-0.297702 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),-0.346262 # DEPENDENCYPART_GRANDPAR
(8,2),(2,4),-0.103027 # DEPENDENCYPART_GRANDPAR
(8,2),(2,6),-0.107748 # DEPENDENCYPART_GRANDPAR
(8,2),(2,7),-0.0162856 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-1.22955 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,9),-0.475165 # DEPENDENCYPART_GRANDPAR
(8,2),(2,10),-0.45431 # DEPENDENCYPART_GRANDPAR
(8,2),(2,12),-0.49522 # DEPENDENCYPART_GRANDPAR
(8,2),(2,14),-0.811617 # DEPENDENCYPART_GRANDPAR
(8,2),(2,17),-0.559355 # DEPENDENCYPART_GRANDPAR
(8,2),(2,18),-0.806328 # DEPENDENCYPART_GRANDPAR
(8,2),(2,23),-0.558661 # DEPENDENCYPART_GRANDPAR
(8,2),(2,24),-0.73584 # DEPENDENCYPART_GRANDPAR
(8,2),(2,33),-0.803503 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),-0.300267 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.0947141 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.318322 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),-0.421098 # DEPENDENCYPART_GRANDPAR
(8,4),(4,6),-0.0893715 # DEPENDENCYPART_GRANDPAR
(8,4),(4,7),-0.0190183 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-1.2266 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,4),(4,9),-0.471717 # DEPENDENCYPART_GRANDPAR
(8,4),(4,11),-0.537629 # DEPENDENCYPART_GRANDPAR
(8,4),(4,30),-0.799298 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.396524 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.16819 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.376266 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.0979439 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.0489223 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.22805 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.473169 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.497105 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-0.592306 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),-0.297702 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.0893126 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.312974 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.0319234 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.107949 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.22955 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.475165 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.45431 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.514841 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.49522 # DEPENDENCYPART_GRANDPAR
(8,7),(7,14),-0.811617 # DEPENDENCYPART_GRANDPAR
(8,7),(7,17),-0.559355 # DEPENDENCYPART_GRANDPAR
(8,7),(7,18),-0.806328 # DEPENDENCYPART_GRANDPAR
(8,7),(7,20),-0.805308 # DEPENDENCYPART_GRANDPAR
(8,7),(7,22),-0.828576 # DEPENDENCYPART_GRANDPAR
(8,7),(7,23),-0.558661 # DEPENDENCYPART_GRANDPAR
(8,7),(7,24),-0.73584 # DEPENDENCYPART_GRANDPAR
(8,7),(7,26),-0.757915 # DEPENDENCYPART_GRANDPAR
(8,7),(7,28),-1.02911 # DEPENDENCYPART_GRANDPAR
(8,7),(7,32),-1.0847 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.734913 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-0.539684 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-0.589011 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.56695 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.540758 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.773382 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.0788903 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.286702 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),-0.426597 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.164414 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),-0.400377 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.806142 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),-0.0602612 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),-0.0625541 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),-0.216209 # DEPENDENCYPART_GRANDPAR
(8,12),(12,2),-0.558264 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),-0.559337 # DEPENDENCYPART_GRANDPAR
(8,12),(12,10),-0.0656177 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),-0.0753002 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),-0.234913 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),-0.512951 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),-0.548628 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),-0.2412 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),-0.19358 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),-0.558717 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),-0.37281 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),-0.121396 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),-0.319782 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),-0.21156 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.264411 # DEPENDENCYPART_GRANDPAR
(8,14),(14,22),-0.298879 # DEPENDENCYPART_GRANDPAR
(8,14),(14,23),-0.220981 # DEPENDENCYPART_GRANDPAR
(8,17),(17,1),-0.732315 # DEPENDENCYPART_GRANDPAR
(8,17),(17,2),-0.607799 # DEPENDENCYPART_GRANDPAR
(8,17),(17,4),-0.63142 # DEPENDENCYPART_GRANDPAR
(8,17),(17,6),-0.533717 # DEPENDENCYPART_GRANDPAR
(8,17),(17,7),-0.608873 # DEPENDENCYPART_GRANDPAR
(8,17),(17,8),-0.810263 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,17),(17,9),-0.0572112 # DEPENDENCYPART_GRANDPAR
(8,17),(17,10),-0.0419317 # DEPENDENCYPART_GRANDPAR
