# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,4,15,4,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(15,4),(15,5),0.0825519 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.00513237 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.00513237 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.00676812 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0571892 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0117095 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0106196 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.015719 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.0276692 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.0153581 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.0410228 # DEPENDENCYPART_SIBL
(15,4),(15,19),-0.0808086 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0181622 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0180765 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.016504 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.00194633 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0266132 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0162039 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0499427 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0693774 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0262145 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0125807 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0458094 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.235016 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.236904 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0307233 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0766256 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.239482 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0326233 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0147785 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0300391 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.00463249 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0345823 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.237249 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.0310106 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0769953 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.239822 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0333774 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0155042 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.029464 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.00654023 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0355005 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0307709 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0766761 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.240366 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0328097 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0154695 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0292861 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0112056 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.035253 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.00959775 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00544531 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0950432 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.000730126 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0389305 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.00665651 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0484919 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0670122 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0132426 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00696986 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.123422 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0581438 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0216054 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0353285 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0156256 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0298905 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.00788769 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0371435 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0276692 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0153581 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0410228 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0808086 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0913244 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0238796 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0470249 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0599045 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0580752 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.113531 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0505777 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0311062 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0475088 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00129321 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0234755 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0370783 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.230199 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.145325 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0893127 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.157239 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0255744 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0019647 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0160805 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0424468 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0714591 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.054547 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.0487717 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0617725 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0100707 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0108156 # DEPENDENCYPART_SIBL
(18,11),(18,13),-1.03893e-05 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0220802 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0138672 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0503472 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.0216356 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0115704 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.00268973 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0235081 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.018297 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0226261 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.00831764 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.00413698 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0403797 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0301439 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.0468631 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.00420317 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.00974543 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.00364335 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.0115053 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.0961336 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),-0.0176001 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.119127 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.00420317 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.00974543 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.00364335 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.0115053 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.0961336 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.0752848 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.0311056 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.0196069 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.0568464 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.0267128 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.0730193 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.155302 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.0489116 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.0636367 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.00419536 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.0631704 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.0449539 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.219012 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),-0.0339459 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),0.34247 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.0642215 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.0118844 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.0786864 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.296161 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.14967 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.257617 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.286979 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.219393 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.295025 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.177853 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.293767 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.304482 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.073933 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),-0.0324575 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.00695612 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),-0.0457806 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),-0.202203 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.185933 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),-0.393055 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.0754766 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),-0.114811 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),-0.0730122 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.235731 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.116858 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),0.041473 # DEPENDENCYPART_GRANDPAR
(0,7),(7,15),0.284002 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),-0.126993 # DEPENDENCYPART_GRANDPAR
(0,7),(7,18),-0.239003 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.002511 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.0471152 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.203613 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.192979 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.0109276 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.40842 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.0991429 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.078325 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.238322 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.123414 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.0378292 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.279444 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.1323 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.0236238 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.100128 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.133512 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),0.028197 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),0.39882 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.0904302 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.255555 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),0.0636367 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),0.259235 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.0823925 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),0.0770683 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),-0.029888 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.0601556 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.155026 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.248373 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.0671679 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),0.34247 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.126206 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),-0.327484 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),-0.203845 # DEPENDENCYPART_GRANDPAR
(0,15),(15,1),0.268614 # DEPENDENCYPART_GRANDPAR
(0,15),(15,2),0.162223 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),0.109919 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),0.245296 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),-0.161524 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),0.124955 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),0.0171962 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),-0.0140668 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),-0.0167905 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.135078 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.0184923 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),0.263747 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),0.0728922 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),-0.117104 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),0.008288 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),-0.0386927 # DEPENDENCYPART_GRANDPAR
(0,18),(18,8),-0.398806 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),-0.156098 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),-0.333272 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.123658 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-0.25042 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),-0.438201 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),-0.0732287 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.437872 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.834305 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.140011 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.147963 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.107078 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.340946 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.152896 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.773237 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.0177634 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.177128 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.116774 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.390913 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.26634 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.862172 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),-0.106698 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.147197 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.135132 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.378061 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.190496 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.478448 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),-0.184424 # DEPENDENCYPART_GRANDPAR
(1,4),(4,15),-0.578013 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),-0.0753453 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.172109 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.105497 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.597156 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.353908 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.166166 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.40825 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.164155 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.0388991 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.222241 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.435909 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.179838 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.774597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),-0.0191229 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),-0.0591254 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),-0.114994 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.0773077 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.544827 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),0.0882758 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.1974 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),-0.447712 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.26632 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),-0.486579 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.0741057 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.241364 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),-0.453148 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),-0.248284 # DEPENDENCYPART_GRANDPAR
(1,7),(7,18),-0.697132 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.541387 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.262724 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.279675 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.438673 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.26632 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.486579 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.0696497 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.453737 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.248284 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),-0.124401 # DEPENDENCYPART_GRANDPAR
(1,11),(11,10),-0.367277 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.446254 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),0.0774608 # DEPENDENCYPART_GRANDPAR
(1,11),(11,14),-0.196574 # DEPENDENCYPART_GRANDPAR
(1,11),(11,15),-0.451664 # DEPENDENCYPART_GRANDPAR
(1,11),(11,18),-0.559039 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.3392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.489253 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.535138 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.44975 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.857725 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.738752 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),-0.552107 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.891761 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.814017 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.189516 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.0641545 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.447004 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.264079 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.858854 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.902952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.035736 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.082513 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.434152 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.315664 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.530824 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.185507 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.60633 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.871599 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.0606484 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.117885 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.651818 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.41 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.291334 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.488504 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.161894 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.0958784 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.223324 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.464227 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.229859 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.891761 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.815377 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),0.0523353 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.127382 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.0246885 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.599488 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.00407275 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.322568 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.527966 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.264059 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.538955 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.131085 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.242447 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.481466 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.298304 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.76573 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.596049 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.318815 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),0.187326 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.518927 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.264059 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.538955 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.126629 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.482055 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.298304 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.43074 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.36574 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.366021 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.432904 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.871756 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.755126 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.456206 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.14639 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.36574 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.366021 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.432904 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.871756 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.755126 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.26308 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.0597468 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.799517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0535302 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.325308 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.210999 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.339508 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.243493 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.543859 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.0862953 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.880823 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.0133304 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.811935 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.308414 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.194386 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.00207166 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.090324 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.548624 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.318088 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.432331 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.232709 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.379323 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.17599 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.777503 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
