# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,26,30,28,30,0,
(5,10),(10,2),-0.866296 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-0.45243 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),-0.357918 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.292107 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.818368 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.468149 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-1.62203 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.298964 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-1.80911 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.297639 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.0125252 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.137011 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.263226 # DEPENDENCYPART_GRANDPAR
(5,10),(10,18),-0.454845 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),0.28211 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),-0.146149 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.635916 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.215766 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.0286306 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),-0.0572466 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.30734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,2),-0.732609 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.0389177 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),-0.0972054 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.21369 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.304635 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.565757 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.419404 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-0.856204 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.527164 # DEPENDENCYPART_GRANDPAR
(6,3),(3,14),-0.757308 # DEPENDENCYPART_GRANDPAR
(6,3),(3,21),-0.981699 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.610398 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.684567 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.31251 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.0972098 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.20709 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.313495 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.559156 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.429482 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-0.536757 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-0.769707 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.28269 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.0110211 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.22242 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.299893 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.574491 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.433862 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.29027 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.719186 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.421836 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.59389 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.675152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,9),-0.0421249 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.0100109 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.339271 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.0213471 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.507625 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.254592 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.460359 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-1.12749 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.649914 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.145835 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.461337 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-1.04487 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.372377 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.366095 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.760505 # DEPENDENCYPART_GRANDPAR
(6,9),(9,23),-0.0110625 # DEPENDENCYPART_GRANDPAR
(6,10),(10,2),-1.35244 # DEPENDENCYPART_GRANDPAR
(6,10),(10,3),-0.751665 # DEPENDENCYPART_GRANDPAR
(6,10),(10,4),-0.474353 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),-0.666027 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-0.63949 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),0.199946 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),-0.625162 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),0.00843882 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.897701 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),-0.136748 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),-0.0201435 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),-0.28049 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.179784 # DEPENDENCYPART_GRANDPAR
(6,10),(10,18),-0.63262 # DEPENDENCYPART_GRANDPAR
(6,10),(10,19),-0.401473 # DEPENDENCYPART_GRANDPAR
(6,10),(10,22),-0.148132 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),-0.469523 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),0.115515 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),-0.85852 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.0748364 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.366098 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),0.0155695 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.041023 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.000972579 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.0341439 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),0.137382 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.096282 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.0387456 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.109048 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),0.00144003 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.00602 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,9),-0.419535 # DEPENDENCYPART_GRANDPAR
(7,3),(3,10),-0.301512 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.494492 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-0.458802 # DEPENDENCYPART_GRANDPAR
(7,3),(3,14),-0.273725 # DEPENDENCYPART_GRANDPAR
(7,3),(3,21),-0.840362 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.0735195 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.0308996 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.187387 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.0383188 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),0.0745373 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.00342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,9),-0.400982 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),-0.298725 # DEPENDENCYPART_GRANDPAR
(7,4),(4,13),-0.456419 # DEPENDENCYPART_GRANDPAR
(7,4),(4,14),-0.272253 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.150431 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.0294411 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.0865933 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-0.981045 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,9),-0.402364 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.295675 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),0.0162803 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),0.0587578 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.137964 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.0145307 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.062807 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-0.999875 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.282408 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.440442 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.284234 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.515398 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.536791 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.405133 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.582679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.207739 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.122083 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.0678226 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.145587 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.109616 # DEPENDENCYPART_GRANDPAR
(7,9),(9,23),-0.168307 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.552997 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-0.526915 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.464089 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.52221 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.417764 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.330885 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.0699072 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.0821248 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),-0.0830961 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),0.130138 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.00331918 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),0.133721 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.0738912 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),-0.126104 # DEPENDENCYPART_GRANDPAR
(7,10),(10,19),-0.294774 # DEPENDENCYPART_GRANDPAR
(7,10),(10,22),-0.105652 # DEPENDENCYPART_GRANDPAR
(7,12),(12,8),0.205108 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.253703 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),-0.10874 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.0481096 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),0.144162 # DEPENDENCYPART_GRANDPAR
(7,13),(13,3),-0.535007 # DEPENDENCYPART_GRANDPAR
(7,13),(13,5),-0.495374 # DEPENDENCYPART_GRANDPAR
(7,13),(13,9),-0.0616513 # DEPENDENCYPART_GRANDPAR
(7,13),(13,12),-0.137382 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),0.0134521 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),-0.191838 # DEPENDENCYPART_GRANDPAR
(7,13),(13,19),-0.496025 # DEPENDENCYPART_GRANDPAR
(7,14),(14,2),-0.499412 # DEPENDENCYPART_GRANDPAR
(7,14),(14,3),-0.514625 # DEPENDENCYPART_GRANDPAR
(7,14),(14,4),-0.491385 # DEPENDENCYPART_GRANDPAR
(7,14),(14,5),-0.508376 # DEPENDENCYPART_GRANDPAR
(7,14),(14,6),-0.367385 # DEPENDENCYPART_GRANDPAR
(7,14),(14,7),-0.524576 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,14),(14,9),0.0188486 # DEPENDENCYPART_GRANDPAR
(7,14),(14,10),0.176253 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),-0.212777 # DEPENDENCYPART_GRANDPAR
(7,14),(14,12),-0.0522012 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),-0.0541568 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-0.17645 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.0903953 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),-0.141848 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.379865 # DEPENDENCYPART_GRANDPAR
(7,14),(14,21),-0.300852 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),-0.160171 # DEPENDENCYPART_GRANDPAR
(7,14),(14,23),-0.134 # DEPENDENCYPART_GRANDPAR
(7,14),(14,25),-0.174413 # DEPENDENCYPART_GRANDPAR
(7,14),(14,26),-0.50774 # DEPENDENCYPART_GRANDPAR
(7,14),(14,27),-0.205617 # DEPENDENCYPART_GRANDPAR
(7,14),(14,28),-0.506148 # DEPENDENCYPART_GRANDPAR
(7,14),(14,29),-0.507318 # DEPENDENCYPART_GRANDPAR
(7,14),(14,30),-0.122831 # DEPENDENCYPART_GRANDPAR
(7,14),(14,31),-0.390796 # DEPENDENCYPART_GRANDPAR
(7,14),(14,32),-0.529244 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),-0.0325227 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),-0.195984 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.157436 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.167404 # DEPENDENCYPART_GRANDPAR
(7,16),(16,19),-0.382517 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-0.307597 # DEPENDENCYPART_GRANDPAR
(7,16),(16,22),-0.201309 # DEPENDENCYPART_GRANDPAR
(7,16),(16,30),-0.118677 # DEPENDENCYPART_GRANDPAR
(7,21),(21,17),-0.0500007 # DEPENDENCYPART_GRANDPAR
(7,21),(21,19),-0.390515 # DEPENDENCYPART_GRANDPAR
(7,21),(21,20),-0.0602181 # DEPENDENCYPART_GRANDPAR
(7,21),(21,22),-0.207523 # DEPENDENCYPART_GRANDPAR
(7,21),(21,23),-0.170931 # DEPENDENCYPART_GRANDPAR
(7,21),(21,25),-0.106807 # DEPENDENCYPART_GRANDPAR
(9,6),(6,1),-0.688771 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.854416 # DEPENDENCYPART_GRANDPAR
(9,6),(6,3),-0.498025 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),-0.369342 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),-0.689723 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),-0.317432 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),-0.279293 # DEPENDENCYPART_GRANDPAR
(9,6),(6,9),-1.34737 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,10),-0.328721 # DEPENDENCYPART_GRANDPAR
(9,6),(6,12),-0.850652 # DEPENDENCYPART_GRANDPAR
(9,7),(7,2),-0.818696 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.483468 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.37444 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),-0.636793 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.552277 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.26256 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.280271 # DEPENDENCYPART_GRANDPAR
(9,7),(7,12),-0.765844 # DEPENDENCYPART_GRANDPAR
(9,7),(7,13),-0.60447 # DEPENDENCYPART_GRANDPAR
(9,7),(7,14),-0.733196 # DEPENDENCYPART_GRANDPAR
(9,7),(7,16),-0.7432 # DEPENDENCYPART_GRANDPAR
(9,7),(7,21),-1.01294 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.815441 # DEPENDENCYPART_GRANDPAR
(9,12),(12,10),0.252351 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),-0.603939 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),-0.155553 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.333675 # DEPENDENCYPART_GRANDPAR
(9,14),(14,2),-1.31296 # DEPENDENCYPART_GRANDPAR
(9,14),(14,3),-0.885375 # DEPENDENCYPART_GRANDPAR
(9,14),(14,4),-0.784011 # DEPENDENCYPART_GRANDPAR
(9,14),(14,5),-1.03488 # DEPENDENCYPART_GRANDPAR
(9,14),(14,6),-1.04932 # DEPENDENCYPART_GRANDPAR
(9,14),(14,7),-0.709357 # DEPENDENCYPART_GRANDPAR
(9,14),(14,9),-0.7512 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,14),(14,10),0.238138 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),-0.618207 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),-0.250565 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),-0.153296 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),-0.534737 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),-0.149908 # DEPENDENCYPART_GRANDPAR
(9,14),(14,18),-0.916625 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),-0.34321 # DEPENDENCYPART_GRANDPAR
(9,14),(14,21),-0.206974 # DEPENDENCYPART_GRANDPAR
(9,14),(14,22),-0.101089 # DEPENDENCYPART_GRANDPAR
(9,14),(14,23),0.00650024 # DEPENDENCYPART_GRANDPAR
(9,14),(14,25),-0.288462 # DEPENDENCYPART_GRANDPAR
(9,14),(14,26),-0.494332 # DEPENDENCYPART_GRANDPAR
(9,14),(14,27),-0.400132 # DEPENDENCYPART_GRANDPAR
(9,14),(14,28),-0.472483 # DEPENDENCYPART_GRANDPAR
(9,14),(14,29),-0.338988 # DEPENDENCYPART_GRANDPAR
(9,14),(14,30),-0.186427 # DEPENDENCYPART_GRANDPAR
(9,14),(14,31),-0.428062 # DEPENDENCYPART_GRANDPAR
(9,14),(14,32),-0.637681 # DEPENDENCYPART_GRANDPAR
(9,15),(15,16),-0.339277 # DEPENDENCYPART_GRANDPAR
(9,15),(15,25),-0.387203 # DEPENDENCYPART_GRANDPAR
(9,23),(23,22),-0.287646 # DEPENDENCYPART_GRANDPAR
(9,23),(23,24),-0.837612 # DEPENDENCYPART_GRANDPAR
(9,23),(23,25),-0.411861 # DEPENDENCYPART_GRANDPAR
(9,23),(23,26),-0.612843 # DEPENDENCYPART_GRANDPAR
(10,2),(2,1),0.217214 # DEPENDENCYPART_GRANDPAR
(10,2),(2,3),-0.0545035 # DEPENDENCYPART_GRANDPAR
(10,2),(2,4),0.0291232 # DEPENDENCYPART_GRANDPAR
(10,2),(2,5),0.101293 # DEPENDENCYPART_GRANDPAR
(10,2),(2,6),-0.0291707 # DEPENDENCYPART_GRANDPAR
(10,3),(3,2),-0.137728 # DEPENDENCYPART_GRANDPAR
(10,3),(3,4),-0.0367165 # DEPENDENCYPART_GRANDPAR
(10,3),(3,5),-0.0380157 # DEPENDENCYPART_GRANDPAR
(10,3),(3,6),-0.14887 # DEPENDENCYPART_GRANDPAR
(10,3),(3,7),-0.0705865 # DEPENDENCYPART_GRANDPAR
(10,3),(3,9),0.201637 # DEPENDENCYPART_GRANDPAR
(10,3),(3,10),-0.910275 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,3),(3,12),-0.0136047 # DEPENDENCYPART_GRANDPAR
(10,3),(3,13),-0.433012 # DEPENDENCYPART_GRANDPAR
(10,3),(3,14),-0.396163 # DEPENDENCYPART_GRANDPAR
(10,3),(3,21),-0.302205 # DEPENDENCYPART_GRANDPAR
(10,4),(4,1),0.092591 # DEPENDENCYPART_GRANDPAR
(10,4),(4,2),-0.196921 # DEPENDENCYPART_GRANDPAR
(10,4),(4,3),-0.242102 # DEPENDENCYPART_GRANDPAR
(10,4),(4,5),0.080407 # DEPENDENCYPART_GRANDPAR
(10,4),(4,6),-0.139749 # DEPENDENCYPART_GRANDPAR
(10,4),(4,7),-0.0283433 # DEPENDENCYPART_GRANDPAR
(10,4),(4,9),0.210757 # DEPENDENCYPART_GRANDPAR
(10,4),(4,10),-0.896097 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,4),(4,13),-0.418881 # DEPENDENCYPART_GRANDPAR
(10,4),(4,14),-0.384008 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),-0.171186 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),-0.0485384 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),-0.0687535 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),-0.0654731 # DEPENDENCYPART_GRANDPAR
(10,5),(5,9),0.281753 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-0.827367 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,6),(6,1),0.220956 # DEPENDENCYPART_GRANDPAR
(10,6),(6,2),-0.0839877 # DEPENDENCYPART_GRANDPAR
(10,6),(6,3),-0.117983 # DEPENDENCYPART_GRANDPAR
(10,6),(6,4),-0.0345267 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),-0.00658049 # DEPENDENCYPART_GRANDPAR
(10,6),(6,7),-0.10053 # DEPENDENCYPART_GRANDPAR
(10,6),(6,8),0.424114 # DEPENDENCYPART_GRANDPAR
(10,6),(6,9),0.325 # DEPENDENCYPART_GRANDPAR
(10,6),(6,10),-0.944658 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,6),(6,12),-0.0962806 # DEPENDENCYPART_GRANDPAR
(10,7),(7,2),-0.212267 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),-0.221602 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),-0.118542 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),-0.172577 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),-0.275834 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),0.095776 # DEPENDENCYPART_GRANDPAR
(10,7),(7,10),-0.920842 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,12),-0.0341634 # DEPENDENCYPART_GRANDPAR
(10,7),(7,13),-0.440776 # DEPENDENCYPART_GRANDPAR
(10,7),(7,14),-0.416566 # DEPENDENCYPART_GRANDPAR
(10,7),(7,16),-0.598443 # DEPENDENCYPART_GRANDPAR
(10,7),(7,21),-0.322764 # DEPENDENCYPART_GRANDPAR
(10,9),(9,1),0.220956 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),-0.147705 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),-0.105942 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),0.494709 # DEPENDENCYPART_GRANDPAR
(10,9),(9,11),0.273865 # DEPENDENCYPART_GRANDPAR
(10,9),(9,12),-0.0962806 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),-0.460346 # DEPENDENCYPART_GRANDPAR
(10,9),(9,15),-0.687146 # DEPENDENCYPART_GRANDPAR
(10,9),(9,23),-0.835331 # DEPENDENCYPART_GRANDPAR
(10,12),(12,8),-0.129395 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-0.387989 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),0.91022 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),-0.00753285 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),-0.0205129 # DEPENDENCYPART_GRANDPAR
(10,13),(13,3),-0.523292 # DEPENDENCYPART_GRANDPAR
(10,13),(13,5),-0.509643 # DEPENDENCYPART_GRANDPAR
(10,13),(13,9),-0.221843 # DEPENDENCYPART_GRANDPAR
(10,13),(13,12),0.349931 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),-0.0643436 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),-0.202635 # DEPENDENCYPART_GRANDPAR
(10,13),(13,19),-0.259017 # DEPENDENCYPART_GRANDPAR
(10,14),(14,2),-0.454555 # DEPENDENCYPART_GRANDPAR
(10,14),(14,3),-0.448741 # DEPENDENCYPART_GRANDPAR
(10,14),(14,4),-0.484767 # DEPENDENCYPART_GRANDPAR
(10,14),(14,5),-0.517979 # DEPENDENCYPART_GRANDPAR
(10,14),(14,6),-0.516898 # DEPENDENCYPART_GRANDPAR
(10,14),(14,7),-0.328528 # DEPENDENCYPART_GRANDPAR
(10,14),(14,9),-0.166392 # DEPENDENCYPART_GRANDPAR
(10,14),(14,10),-0.392759 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,14),(14,11),0.886756 # DEPENDENCYPART_GRANDPAR
(10,14),(14,12),0.528432 # DEPENDENCYPART_GRANDPAR
(10,14),(14,13),-0.0726658 # DEPENDENCYPART_GRANDPAR
(10,14),(14,15),-0.185015 # DEPENDENCYPART_GRANDPAR
(10,14),(14,16),-0.0831715 # DEPENDENCYPART_GRANDPAR
(10,14),(14,18),0.00231865 # DEPENDENCYPART_GRANDPAR
(10,14),(14,19),-0.177667 # DEPENDENCYPART_GRANDPAR
(10,14),(14,21),0.123232 # DEPENDENCYPART_GRANDPAR
(10,14),(14,22),-0.0314938 # DEPENDENCYPART_GRANDPAR
(10,14),(14,23),-0.299555 # DEPENDENCYPART_GRANDPAR
(10,14),(14,25),0.000499817 # DEPENDENCYPART_GRANDPAR
(10,14),(14,26),-0.288889 # DEPENDENCYPART_GRANDPAR
(10,14),(14,27),-0.121153 # DEPENDENCYPART_GRANDPAR
(10,14),(14,28),-0.314665 # DEPENDENCYPART_GRANDPAR
(10,14),(14,29),-0.352848 # DEPENDENCYPART_GRANDPAR
(10,14),(14,30),0.0764968 # DEPENDENCYPART_GRANDPAR
(10,14),(14,31),-0.455925 # DEPENDENCYPART_GRANDPAR
(10,14),(14,32),-0.313394 # DEPENDENCYPART_GRANDPAR
(10,16),(16,13),-0.0532342 # DEPENDENCYPART_GRANDPAR
(10,16),(16,15),-0.193671 # DEPENDENCYPART_GRANDPAR
(10,16),(16,17),-0.287194 # DEPENDENCYPART_GRANDPAR
