# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,30,26,0,33,31,33,33,34,0,
(32,12),-11.9015 # DEPENDENCYPART_ARC
(32,13),-0.886133 # DEPENDENCYPART_ARC
(32,14),0.765832 # DEPENDENCYPART_ARC
(32,15),-0.580112 # DEPENDENCYPART_ARC
(32,16),-1.67114 # DEPENDENCYPART_ARC
(32,17),-0.889587 # DEPENDENCYPART_ARC
(32,18),-0.995172 # DEPENDENCYPART_ARC
(32,19),-0.772958 # DEPENDENCYPART_ARC
(32,20),-6.98168 # DEPENDENCYPART_ARC
(32,21),-6.04186 # DEPENDENCYPART_ARC
(32,22),-0.753495 # DEPENDENCYPART_ARC
(32,23),-3.7089 # DEPENDENCYPART_ARC
(32,24),-0.475494 # DEPENDENCYPART_ARC
(32,25),-0.0763937 # DEPENDENCYPART_ARC
(32,26),-0.176925 # DEPENDENCYPART_ARC
(32,27),-0.745057 # DEPENDENCYPART_ARC
(32,28),0.151261 # DEPENDENCYPART_ARC
(32,29),1.31893 # DEPENDENCYPART_ARC
(32,30),0.610994 # DEPENDENCYPART_ARC
(32,31),1.79296 # DEPENDENCYPART_ARC
(32,33),0.707186 # DEPENDENCYPART_ARC
(32,34),-0.190265 # DEPENDENCYPART_ARC
(33,1),0.0877663 # DEPENDENCYPART_ARC
(33,2),0.108682 # DEPENDENCYPART_ARC
(33,3),-0.412635 # DEPENDENCYPART_ARC
(33,4),-0.0126647 # DEPENDENCYPART_ARC
(33,5),0.513724 # DEPENDENCYPART_ARC
(33,6),-0.783457 # DEPENDENCYPART_ARC
(33,7),-11.423 # DEPENDENCYPART_ARC
(33,8),-11.9771 # DEPENDENCYPART_ARC
(33,9),0.0679184 # DEPENDENCYPART_ARC
(33,10),-0.206751 # DEPENDENCYPART_ARC
(33,11),-0.972799 # DEPENDENCYPART_ARC
(33,12),-9.84425 # DEPENDENCYPART_ARC
(33,13),0.278004 # DEPENDENCYPART_ARC
(33,14),0.677851 # DEPENDENCYPART_ARC
(33,15),-0.110308 # DEPENDENCYPART_ARC
(33,16),-1.04403 # DEPENDENCYPART_ARC
(33,17),-0.732662 # DEPENDENCYPART_ARC
(33,18),-0.793744 # DEPENDENCYPART_ARC
(33,19),0.356429 # DEPENDENCYPART_ARC
(33,20),-5.58577 # DEPENDENCYPART_ARC
(33,21),-6.35898 # DEPENDENCYPART_ARC
(33,22),0.969635 # DEPENDENCYPART_ARC
(33,23),-4.53804 # DEPENDENCYPART_ARC
(33,24),0.119599 # DEPENDENCYPART_ARC
(33,25),0.360433 # DEPENDENCYPART_ARC
(33,26),0.0825044 # DEPENDENCYPART_ARC
(33,27),-0.360841 # DEPENDENCYPART_ARC
(33,28),0.470444 # DEPENDENCYPART_ARC
(33,29),2.40416 # DEPENDENCYPART_ARC
(33,30),0.526824 # DEPENDENCYPART_ARC
(33,31),3.03474 # DEPENDENCYPART_ARC
(33,32),2.63119 # DEPENDENCYPART_ARC
(33,34),-0.504085 # DEPENDENCYPART_ARC
(34,1),-0.77879 # DEPENDENCYPART_ARC
(34,2),-0.697071 # DEPENDENCYPART_ARC
(34,3),-0.897532 # DEPENDENCYPART_ARC
(34,4),-0.631294 # DEPENDENCYPART_ARC
(34,5),-0.606139 # DEPENDENCYPART_ARC
(34,6),-1.32037 # DEPENDENCYPART_ARC
(34,7),-8.39343 # DEPENDENCYPART_ARC
(34,8),-8.48654 # DEPENDENCYPART_ARC
(34,9),-1.12029 # DEPENDENCYPART_ARC
(34,10),-1.72735 # DEPENDENCYPART_ARC
(34,11),-0.601484 # DEPENDENCYPART_ARC
(34,12),-6.70603 # DEPENDENCYPART_ARC
(34,13),-0.594012 # DEPENDENCYPART_ARC
(34,14),0.392154 # DEPENDENCYPART_ARC
(34,15),-1.43368 # DEPENDENCYPART_ARC
(34,16),-1.29321 # DEPENDENCYPART_ARC
(34,17),-1.47727 # DEPENDENCYPART_ARC
(34,18),-0.4445 # DEPENDENCYPART_ARC
(34,19),-0.582491 # DEPENDENCYPART_ARC
(34,20),-4.38031 # DEPENDENCYPART_ARC
(34,21),-3.92854 # DEPENDENCYPART_ARC
(34,22),-0.495465 # DEPENDENCYPART_ARC
(34,23),-3.40098 # DEPENDENCYPART_ARC
(34,24),-0.598164 # DEPENDENCYPART_ARC
(34,25),-0.178785 # DEPENDENCYPART_ARC
(34,26),-0.134375 # DEPENDENCYPART_ARC
(34,27),-0.684114 # DEPENDENCYPART_ARC
(34,28),0.34734 # DEPENDENCYPART_ARC
(34,29),0.146375 # DEPENDENCYPART_ARC
(34,30),0.29501 # DEPENDENCYPART_ARC
(34,31),0.432255 # DEPENDENCYPART_ARC
(34,32),-0.538754 # DEPENDENCYPART_ARC
(34,33),1.92845 # DEPENDENCYPART_ARC
