# _root_ The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .
#goldHeads=2,18,2,3,4,4,4,12,12,12,12,4,12,15,13,12,12,0,18,19,22,25,22,25,20,18,26,27,28,31,29,27,35,35,32,18,
#predictedHeads=2,18,2,3,4,3,6,4,12,12,12,18,12,15,13,12,18,0,18,19,22,25,22,25,20,18,26,27,28,31,29,31,35,35,32,18,
(29,3),-3.70156 # DEPENDENCYPART_ARC
(29,4),-3.71142 # DEPENDENCYPART_ARC
(29,5),-3.20367 # DEPENDENCYPART_ARC
(29,6),-3.74358 # DEPENDENCYPART_ARC
(29,7),-2.83012 # DEPENDENCYPART_ARC
(29,8),-2.9197 # DEPENDENCYPART_ARC
(29,9),-2.83309 # DEPENDENCYPART_ARC
(29,10),-2.93881 # DEPENDENCYPART_ARC
(29,11),-1.56469 # DEPENDENCYPART_ARC
(29,12),-2.51128 # DEPENDENCYPART_ARC
(29,13),-2.95763 # DEPENDENCYPART_ARC
(29,14),-2.45237 # DEPENDENCYPART_ARC
(29,15),-2.28767 # DEPENDENCYPART_ARC
(29,16),-1.76659 # DEPENDENCYPART_ARC
(29,17),-2.12628 # DEPENDENCYPART_ARC
(29,18),-1.81676 # DEPENDENCYPART_ARC
(29,19),-1.47061 # DEPENDENCYPART_ARC
(29,20),-1.47263 # DEPENDENCYPART_ARC
(29,21),-0.735843 # DEPENDENCYPART_ARC
(29,22),-1.01399 # DEPENDENCYPART_ARC
(29,23),-0.680718 # DEPENDENCYPART_ARC
(29,24),-0.738474 # DEPENDENCYPART_ARC
(29,25),-0.752474 # DEPENDENCYPART_ARC
(29,26),-0.560515 # DEPENDENCYPART_ARC
(29,27),-0.502655 # DEPENDENCYPART_ARC
(29,28),0.148136 # DEPENDENCYPART_ARC
(29,30),1.43522 # DEPENDENCYPART_ARC
(29,31),4.05499 # DEPENDENCYPART_ARC
(29,32),0.474629 # DEPENDENCYPART_ARC
(29,33),-0.90934 # DEPENDENCYPART_ARC
(29,34),-0.608213 # DEPENDENCYPART_ARC
(29,35),-0.234647 # DEPENDENCYPART_ARC
(29,36),-0.275634 # DEPENDENCYPART_ARC
(30,1),-4.33018 # DEPENDENCYPART_ARC
(30,2),-4.60238 # DEPENDENCYPART_ARC
(30,3),-4.36872 # DEPENDENCYPART_ARC
(30,4),-4.44942 # DEPENDENCYPART_ARC
(30,5),-4.13987 # DEPENDENCYPART_ARC
(30,6),-4.07997 # DEPENDENCYPART_ARC
(30,7),-4.06233 # DEPENDENCYPART_ARC
(30,8),-3.56444 # DEPENDENCYPART_ARC
(30,9),-3.79148 # DEPENDENCYPART_ARC
(30,10),-3.51415 # DEPENDENCYPART_ARC
(30,11),-3.41355 # DEPENDENCYPART_ARC
(30,12),-3.66371 # DEPENDENCYPART_ARC
(30,13),-3.21223 # DEPENDENCYPART_ARC
(30,14),-3.06227 # DEPENDENCYPART_ARC
(30,15),-3.40986 # DEPENDENCYPART_ARC
(30,16),-2.86319 # DEPENDENCYPART_ARC
(30,17),-3.08574 # DEPENDENCYPART_ARC
(30,18),-2.8881 # DEPENDENCYPART_ARC
(30,19),-2.76829 # DEPENDENCYPART_ARC
(30,20),-2.48367 # DEPENDENCYPART_ARC
(30,21),-2.05994 # DEPENDENCYPART_ARC
(30,22),-2.5296 # DEPENDENCYPART_ARC
(30,23),-2.41491 # DEPENDENCYPART_ARC
(30,24),-2.10917 # DEPENDENCYPART_ARC
(30,25),-1.99231 # DEPENDENCYPART_ARC
(30,26),-2.16633 # DEPENDENCYPART_ARC
(30,27),-1.64875 # DEPENDENCYPART_ARC
(30,28),-1.14791 # DEPENDENCYPART_ARC
(30,29),-0.52982 # DEPENDENCYPART_ARC
(30,31),0.396747 # DEPENDENCYPART_ARC
(30,32),-0.632029 # DEPENDENCYPART_ARC
(30,33),-1.41439 # DEPENDENCYPART_ARC
(30,34),-1.41209 # DEPENDENCYPART_ARC
(30,35),-1.48496 # DEPENDENCYPART_ARC
(30,36),-1.20669 # DEPENDENCYPART_ARC
(31,1),-8.92661 # DEPENDENCYPART_ARC
(31,2),-5.95841 # DEPENDENCYPART_ARC
(31,3),-5.23472 # DEPENDENCYPART_ARC
(31,4),-5.556 # DEPENDENCYPART_ARC
(31,5),-8.12434 # DEPENDENCYPART_ARC
(31,6),-1.94404 # DEPENDENCYPART_ARC
(31,7),-6.88721 # DEPENDENCYPART_ARC
(31,8),-3.56573 # DEPENDENCYPART_ARC
(31,9),-6.45947 # DEPENDENCYPART_ARC
(31,10),-6.60376 # DEPENDENCYPART_ARC
(31,11),-2.58191 # DEPENDENCYPART_ARC
(31,12),-5.09256 # DEPENDENCYPART_ARC
(31,13),-1.65478 # DEPENDENCYPART_ARC
(31,14),-4.38877 # DEPENDENCYPART_ARC
(31,15),-4.39746 # DEPENDENCYPART_ARC
(31,16),-3.69253 # DEPENDENCYPART_ARC
(31,17),-2.72923 # DEPENDENCYPART_ARC
(31,18),-2.46196 # DEPENDENCYPART_ARC
(31,19),-3.38562 # DEPENDENCYPART_ARC
(31,20),-1.1092 # DEPENDENCYPART_ARC
(31,21),-0.422261 # DEPENDENCYPART_ARC
(31,22),0.0152138 # DEPENDENCYPART_ARC
(31,23),-1.5042 # DEPENDENCYPART_ARC
(31,24),-1.34091 # DEPENDENCYPART_ARC
(31,25),-1.61708 # DEPENDENCYPART_ARC
(31,26),-1.44494 # DEPENDENCYPART_ARC
(31,27),-0.940164 # DEPENDENCYPART_ARC
(31,28),0.663529 # DEPENDENCYPART_ARC
(31,29),0.812298 # DEPENDENCYPART_ARC
(31,30),4.26981 # DEPENDENCYPART_ARC
(31,32),2.35758 # DEPENDENCYPART_ARC
(31,33),0.104763 # DEPENDENCYPART_ARC
(31,34),0.363325 # DEPENDENCYPART_ARC
(31,35),0.575085 # DEPENDENCYPART_ARC
(31,36),0.465217 # DEPENDENCYPART_ARC
(32,1),-4.51651 # DEPENDENCYPART_ARC
(32,2),-2.84054 # DEPENDENCYPART_ARC
(32,3),-4.11758 # DEPENDENCYPART_ARC
(32,4),-2.85121 # DEPENDENCYPART_ARC
(32,5),-2.5443 # DEPENDENCYPART_ARC
(32,6),-4.41735 # DEPENDENCYPART_ARC
(32,7),-2.43371 # DEPENDENCYPART_ARC
(32,8),-3.29803 # DEPENDENCYPART_ARC
(32,9),-3.2744 # DEPENDENCYPART_ARC
(32,10),-3.16409 # DEPENDENCYPART_ARC
(32,11),-1.54912 # DEPENDENCYPART_ARC
(32,12),-3.07 # DEPENDENCYPART_ARC
(32,13),-3.77495 # DEPENDENCYPART_ARC
(32,14),-2.674 # DEPENDENCYPART_ARC
(32,15),-2.88715 # DEPENDENCYPART_ARC
(32,16),-2.03261 # DEPENDENCYPART_ARC
(32,17),-2.38356 # DEPENDENCYPART_ARC
(32,18),-2.14067 # DEPENDENCYPART_ARC
(32,19),-1.30766 # DEPENDENCYPART_ARC
(32,20),-2.49007 # DEPENDENCYPART_ARC
(32,21),-1.4359 # DEPENDENCYPART_ARC
(32,22),-1.77226 # DEPENDENCYPART_ARC
(32,23),-1.21316 # DEPENDENCYPART_ARC
(32,24),-0.640553 # DEPENDENCYPART_ARC
(32,25),-0.485423 # DEPENDENCYPART_ARC
(32,26),-1.40562 # DEPENDENCYPART_ARC
(32,27),-1.06577 # DEPENDENCYPART_ARC
(32,28),-0.383409 # DEPENDENCYPART_ARC
(32,29),-0.518343 # DEPENDENCYPART_ARC
(32,30),0.278424 # DEPENDENCYPART_ARC
(32,31),0.257455 # DEPENDENCYPART_ARC
(32,33),0.925372 # DEPENDENCYPART_ARC
(32,34),1.48261 # DEPENDENCYPART_ARC
(32,35),3.6232 # DEPENDENCYPART_ARC
(32,36),-0.713234 # DEPENDENCYPART_ARC
(33,1),-4.42033 # DEPENDENCYPART_ARC
(33,2),-5.39231 # DEPENDENCYPART_ARC
(33,3),-4.56303 # DEPENDENCYPART_ARC
(33,4),-4.98694 # DEPENDENCYPART_ARC
(33,5),-4.04607 # DEPENDENCYPART_ARC
(33,6),-3.32134 # DEPENDENCYPART_ARC
(33,7),-3.91506 # DEPENDENCYPART_ARC
(33,8),-4.18218 # DEPENDENCYPART_ARC
(33,9),-4.40874 # DEPENDENCYPART_ARC
(33,10),-3.51144 # DEPENDENCYPART_ARC
(33,11),-3.93871 # DEPENDENCYPART_ARC
(33,12),-4.52738 # DEPENDENCYPART_ARC
(33,13),-3.17466 # DEPENDENCYPART_ARC
(33,14),-3.07901 # DEPENDENCYPART_ARC
(33,15),-4.02709 # DEPENDENCYPART_ARC
(33,16),-3.4191 # DEPENDENCYPART_ARC
(33,17),-3.68701 # DEPENDENCYPART_ARC
(33,18),-3.26746 # DEPENDENCYPART_ARC
(33,19),-2.77483 # DEPENDENCYPART_ARC
(33,20),-1.98108 # DEPENDENCYPART_ARC
(33,21),-2.5457 # DEPENDENCYPART_ARC
(33,22),-3.32677 # DEPENDENCYPART_ARC
(33,23),-2.76153 # DEPENDENCYPART_ARC
(33,24),-2.33379 # DEPENDENCYPART_ARC
(33,25),-2.70661 # DEPENDENCYPART_ARC
(33,26),-2.88124 # DEPENDENCYPART_ARC
(33,27),-2.24968 # DEPENDENCYPART_ARC
(33,28),-1.53677 # DEPENDENCYPART_ARC
(33,29),-0.886625 # DEPENDENCYPART_ARC
(33,30),-0.944575 # DEPENDENCYPART_ARC
(33,31),-1.54126 # DEPENDENCYPART_ARC
(33,32),0.138465 # DEPENDENCYPART_ARC
(33,34),1.69435 # DEPENDENCYPART_ARC
(33,35),0.333319 # DEPENDENCYPART_ARC
(33,36),-0.627071 # DEPENDENCYPART_ARC
(34,1),-4.07783 # DEPENDENCYPART_ARC
(34,2),-4.75212 # DEPENDENCYPART_ARC
(34,3),-4.00276 # DEPENDENCYPART_ARC
(34,4),-4.25771 # DEPENDENCYPART_ARC
(34,5),-3.74519 # DEPENDENCYPART_ARC
(34,6),-3.77652 # DEPENDENCYPART_ARC
(34,7),-3.40701 # DEPENDENCYPART_ARC
(34,8),-2.93633 # DEPENDENCYPART_ARC
(34,9),-3.39343 # DEPENDENCYPART_ARC
(34,10),-3.12617 # DEPENDENCYPART_ARC
(34,11),-3.08918 # DEPENDENCYPART_ARC
(34,12),-3.86616 # DEPENDENCYPART_ARC
(34,13),-2.33103 # DEPENDENCYPART_ARC
(34,14),-2.65457 # DEPENDENCYPART_ARC
(34,15),-3.55782 # DEPENDENCYPART_ARC
(34,16),-2.10792 # DEPENDENCYPART_ARC
(34,17),-2.60222 # DEPENDENCYPART_ARC
(34,18),-2.75478 # DEPENDENCYPART_ARC
(34,19),-1.78821 # DEPENDENCYPART_ARC
(34,20),-1.08131 # DEPENDENCYPART_ARC
(34,21),-1.73342 # DEPENDENCYPART_ARC
(34,22),-2.69625 # DEPENDENCYPART_ARC
(34,23),-2.44845 # DEPENDENCYPART_ARC
(34,24),-1.42365 # DEPENDENCYPART_ARC
(34,25),-1.87707 # DEPENDENCYPART_ARC
(34,26),-2.2942 # DEPENDENCYPART_ARC
(34,27),-1.60167 # DEPENDENCYPART_ARC
(34,28),-0.696242 # DEPENDENCYPART_ARC
(34,29),-0.227277 # DEPENDENCYPART_ARC
(34,30),-0.157162 # DEPENDENCYPART_ARC
(34,31),-0.643643 # DEPENDENCYPART_ARC
(34,32),-0.000629127 # DEPENDENCYPART_ARC
(34,33),1.56183 # DEPENDENCYPART_ARC
(34,35),0.764851 # DEPENDENCYPART_ARC
(34,36),-0.14959 # DEPENDENCYPART_ARC
(35,1),-10.8952 # DEPENDENCYPART_ARC
(35,2),-3.79178 # DEPENDENCYPART_ARC
(35,3),-3.91248 # DEPENDENCYPART_ARC
(35,4),-4.28092 # DEPENDENCYPART_ARC
(35,5),-8.06937 # DEPENDENCYPART_ARC
(35,6),-3.68714 # DEPENDENCYPART_ARC
(35,7),-6.99758 # DEPENDENCYPART_ARC
(35,8),-2.63414 # DEPENDENCYPART_ARC
(35,9),-6.68214 # DEPENDENCYPART_ARC
(35,10),-8.4113 # DEPENDENCYPART_ARC
(35,11),-2.30161 # DEPENDENCYPART_ARC
(35,12),-7.29264 # DEPENDENCYPART_ARC
(35,13),-2.36658 # DEPENDENCYPART_ARC
(35,14),-5.83863 # DEPENDENCYPART_ARC
(35,15),-5.29359 # DEPENDENCYPART_ARC
(35,16),-2.31269 # DEPENDENCYPART_ARC
(35,17),-1.08795 # DEPENDENCYPART_ARC
(35,18),-1.32922 # DEPENDENCYPART_ARC
(35,19),-3.62942 # DEPENDENCYPART_ARC
(35,20),-1.32714 # DEPENDENCYPART_ARC
(35,21),-1.22316 # DEPENDENCYPART_ARC
(35,22),-1.31947 # DEPENDENCYPART_ARC
(35,23),-0.576022 # DEPENDENCYPART_ARC
(35,24),-2.13209 # DEPENDENCYPART_ARC
(35,25),-1.23953 # DEPENDENCYPART_ARC
(35,26),-0.557332 # DEPENDENCYPART_ARC
(35,27),-0.260751 # DEPENDENCYPART_ARC
(35,28),-1.43262 # DEPENDENCYPART_ARC
(35,29),0.0240343 # DEPENDENCYPART_ARC
(35,30),1.4947 # DEPENDENCYPART_ARC
(35,31),0.418836 # DEPENDENCYPART_ARC
(35,32),0.957965 # DEPENDENCYPART_ARC
(35,33),4.51198 # DEPENDENCYPART_ARC
(35,34),3.44185 # DEPENDENCYPART_ARC
(35,36),0.890327 # DEPENDENCYPART_ARC
(36,1),-4.06661 # DEPENDENCYPART_ARC
(36,2),-2.17938 # DEPENDENCYPART_ARC
(36,3),-2.06609 # DEPENDENCYPART_ARC
(36,4),-2.31873 # DEPENDENCYPART_ARC
(36,5),-4.40113 # DEPENDENCYPART_ARC
(36,6),-4.10483 # DEPENDENCYPART_ARC
(36,7),-3.91778 # DEPENDENCYPART_ARC
(36,8),-1.57579 # DEPENDENCYPART_ARC
(36,9),-3.65919 # DEPENDENCYPART_ARC
(36,10),-3.15113 # DEPENDENCYPART_ARC
(36,11),-2.83239 # DEPENDENCYPART_ARC
(36,12),-3.44157 # DEPENDENCYPART_ARC
(36,13),-3.52944 # DEPENDENCYPART_ARC
(36,14),-2.7013 # DEPENDENCYPART_ARC
(36,15),-3.51918 # DEPENDENCYPART_ARC
(36,16),-1.27284 # DEPENDENCYPART_ARC
(36,17),-2.55445 # DEPENDENCYPART_ARC
(36,18),-1.84187 # DEPENDENCYPART_ARC
(36,19),-2.72813 # DEPENDENCYPART_ARC
(36,20),-2.43507 # DEPENDENCYPART_ARC
(36,21),-1.68147 # DEPENDENCYPART_ARC
(36,22),-2.38093 # DEPENDENCYPART_ARC
(36,23),-2.05119 # DEPENDENCYPART_ARC
(36,24),-2.22268 # DEPENDENCYPART_ARC
(36,25),-1.33375 # DEPENDENCYPART_ARC
(36,26),-1.68956 # DEPENDENCYPART_ARC
(36,27),-1.16003 # DEPENDENCYPART_ARC
(36,28),-1.85919 # DEPENDENCYPART_ARC
(36,29),-1.48282 # DEPENDENCYPART_ARC
(36,30),-0.693179 # DEPENDENCYPART_ARC
(36,31),-1.52398 # DEPENDENCYPART_ARC
(36,32),-1.53645 # DEPENDENCYPART_ARC
(36,33),-0.520407 # DEPENDENCYPART_ARC
(36,34),-1.55458 # DEPENDENCYPART_ARC
(36,35),-1.54452 # DEPENDENCYPART_ARC
