# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,9,15,13,9,19,19,16,21,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(30,29),-0.0911448 # DEPENDENCYPART_ARC
(30,31),3.61678 # DEPENDENCYPART_ARC
(30,32),2.23699 # DEPENDENCYPART_ARC
(30,33),2.87973 # DEPENDENCYPART_ARC
(30,34),-1.04702 # DEPENDENCYPART_ARC
(31,1),-8.38286 # DEPENDENCYPART_ARC
(31,2),-7.95467 # DEPENDENCYPART_ARC
(31,3),-7.10586 # DEPENDENCYPART_ARC
(31,4),-7.62706 # DEPENDENCYPART_ARC
(31,5),-5.19827 # DEPENDENCYPART_ARC
(31,6),-7.4372 # DEPENDENCYPART_ARC
(31,7),-4.81869 # DEPENDENCYPART_ARC
(31,8),-5.69069 # DEPENDENCYPART_ARC
(31,9),-6.30275 # DEPENDENCYPART_ARC
(31,10),-6.69085 # DEPENDENCYPART_ARC
(31,11),-6.94958 # DEPENDENCYPART_ARC
(31,12),-5.47753 # DEPENDENCYPART_ARC
(31,13),-4.78873 # DEPENDENCYPART_ARC
(31,14),-3.47162 # DEPENDENCYPART_ARC
(31,15),-5.60893 # DEPENDENCYPART_ARC
(31,16),-4.99462 # DEPENDENCYPART_ARC
(31,17),-4.91415 # DEPENDENCYPART_ARC
(31,18),-4.99092 # DEPENDENCYPART_ARC
(31,19),-5.47947 # DEPENDENCYPART_ARC
(31,20),-3.89351 # DEPENDENCYPART_ARC
(31,21),-4.49632 # DEPENDENCYPART_ARC
(31,22),-3.64384 # DEPENDENCYPART_ARC
(31,23),-4.32646 # DEPENDENCYPART_ARC
(31,24),-3.4515 # DEPENDENCYPART_ARC
(31,25),-1.90157 # DEPENDENCYPART_ARC
(31,26),-2.13778 # DEPENDENCYPART_ARC
(31,27),-1.83343 # DEPENDENCYPART_ARC
(31,28),-1.57108 # DEPENDENCYPART_ARC
(31,29),-2.43021 # DEPENDENCYPART_ARC
(31,30),-0.964548 # DEPENDENCYPART_ARC
(31,32),0.654607 # DEPENDENCYPART_ARC
(31,33),-0.629009 # DEPENDENCYPART_ARC
(31,34),-0.919551 # DEPENDENCYPART_ARC
(32,1),-8.45397 # DEPENDENCYPART_ARC
(32,2),-6.43106 # DEPENDENCYPART_ARC
(32,3),-2.93866 # DEPENDENCYPART_ARC
(32,4),-5.53925 # DEPENDENCYPART_ARC
(32,5),-4.93981 # DEPENDENCYPART_ARC
(32,6),-8.6342 # DEPENDENCYPART_ARC
(32,7),-4.26978 # DEPENDENCYPART_ARC
(32,8),-3.80087 # DEPENDENCYPART_ARC
(32,9),-3.81319 # DEPENDENCYPART_ARC
(32,10),-5.64116 # DEPENDENCYPART_ARC
(32,11),-5.65634 # DEPENDENCYPART_ARC
(32,12),-5.4809 # DEPENDENCYPART_ARC
(32,13),-4.29197 # DEPENDENCYPART_ARC
(32,14),-3.46457 # DEPENDENCYPART_ARC
(32,15),-3.3396 # DEPENDENCYPART_ARC
(32,16),-2.48459 # DEPENDENCYPART_ARC
(32,17),-2.79923 # DEPENDENCYPART_ARC
(32,18),-3.14075 # DEPENDENCYPART_ARC
(32,19),-3.43038 # DEPENDENCYPART_ARC
(32,20),-2.7242 # DEPENDENCYPART_ARC
(32,21),-2.4413 # DEPENDENCYPART_ARC
(32,22),-2.47686 # DEPENDENCYPART_ARC
(32,23),-2.95793 # DEPENDENCYPART_ARC
(32,24),-1.15631 # DEPENDENCYPART_ARC
(32,25),0.43173 # DEPENDENCYPART_ARC
(32,26),-0.024031 # DEPENDENCYPART_ARC
(32,27),0.146587 # DEPENDENCYPART_ARC
(32,28),0.205205 # DEPENDENCYPART_ARC
(32,29),-0.91291 # DEPENDENCYPART_ARC
(32,30),0.0554685 # DEPENDENCYPART_ARC
(32,31),2.59312 # DEPENDENCYPART_ARC
(32,33),0.515695 # DEPENDENCYPART_ARC
(32,34),-0.960267 # DEPENDENCYPART_ARC
(33,1),-6.37438 # DEPENDENCYPART_ARC
(33,2),-6.24052 # DEPENDENCYPART_ARC
(33,3),-1.90998 # DEPENDENCYPART_ARC
(33,4),-4.76152 # DEPENDENCYPART_ARC
(33,5),-2.35371 # DEPENDENCYPART_ARC
(33,6),-5.34137 # DEPENDENCYPART_ARC
(33,7),-2.09816 # DEPENDENCYPART_ARC
(33,8),-1.56818 # DEPENDENCYPART_ARC
(33,9),-1.26491 # DEPENDENCYPART_ARC
(33,10),-4.70498 # DEPENDENCYPART_ARC
(33,11),-4.22955 # DEPENDENCYPART_ARC
(33,12),-3.96335 # DEPENDENCYPART_ARC
(33,13),-2.13856 # DEPENDENCYPART_ARC
(33,14),-0.595535 # DEPENDENCYPART_ARC
(33,15),-2.18868 # DEPENDENCYPART_ARC
(33,16),-0.614332 # DEPENDENCYPART_ARC
(33,17),-0.63086 # DEPENDENCYPART_ARC
(33,18),-0.733186 # DEPENDENCYPART_ARC
(33,19),-2.39743 # DEPENDENCYPART_ARC
(33,20),-0.798329 # DEPENDENCYPART_ARC
(33,21),-0.241332 # DEPENDENCYPART_ARC
(33,22),-0.42257 # DEPENDENCYPART_ARC
(33,23),-0.90659 # DEPENDENCYPART_ARC
(33,24),0.175956 # DEPENDENCYPART_ARC
(33,25),1.86203 # DEPENDENCYPART_ARC
(33,26),1.82765 # DEPENDENCYPART_ARC
(33,27),1.26656 # DEPENDENCYPART_ARC
(33,28),2.34024 # DEPENDENCYPART_ARC
(33,29),0.484318 # DEPENDENCYPART_ARC
(33,30),0.805512 # DEPENDENCYPART_ARC
(33,31),4.81361 # DEPENDENCYPART_ARC
(33,32),5.20264 # DEPENDENCYPART_ARC
(33,34),0.282766 # DEPENDENCYPART_ARC
(34,1),-4.60819 # DEPENDENCYPART_ARC
(34,2),-3.65821 # DEPENDENCYPART_ARC
(34,3),-4.41229 # DEPENDENCYPART_ARC
(34,4),-3.04685 # DEPENDENCYPART_ARC
(34,5),-1.57469 # DEPENDENCYPART_ARC
(34,6),-3.45341 # DEPENDENCYPART_ARC
(34,7),-3.96545 # DEPENDENCYPART_ARC
(34,8),-2.48588 # DEPENDENCYPART_ARC
(34,9),-2.15564 # DEPENDENCYPART_ARC
(34,10),-3.16265 # DEPENDENCYPART_ARC
(34,11),-3.16253 # DEPENDENCYPART_ARC
(34,12),-2.42567 # DEPENDENCYPART_ARC
(34,13),-3.27716 # DEPENDENCYPART_ARC
(34,14),-2.36919 # DEPENDENCYPART_ARC
(34,15),-2.59081 # DEPENDENCYPART_ARC
(34,16),-1.63233 # DEPENDENCYPART_ARC
(34,17),-2.77616 # DEPENDENCYPART_ARC
(34,18),-2.72037 # DEPENDENCYPART_ARC
(34,19),-2.36197 # DEPENDENCYPART_ARC
(34,20),-1.17351 # DEPENDENCYPART_ARC
(34,21),-1.3258 # DEPENDENCYPART_ARC
(34,22),-2.00694 # DEPENDENCYPART_ARC
(34,23),-2.13759 # DEPENDENCYPART_ARC
(34,24),-2.0722 # DEPENDENCYPART_ARC
(34,25),-1.38562 # DEPENDENCYPART_ARC
(34,26),-1.87998 # DEPENDENCYPART_ARC
(34,27),-1.85041 # DEPENDENCYPART_ARC
(34,28),-1.22823 # DEPENDENCYPART_ARC
(34,29),-1.60251 # DEPENDENCYPART_ARC
(34,30),-1.43028 # DEPENDENCYPART_ARC
(34,31),-1.07332 # DEPENDENCYPART_ARC
(34,32),-1.818 # DEPENDENCYPART_ARC
(34,33),-1.72317 # DEPENDENCYPART_ARC
