# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(29,33),0.62866 # DEPENDENCYPART_ARC
(29,34),-0.121598 # DEPENDENCYPART_ARC
(29,35),0.233571 # DEPENDENCYPART_ARC
(30,1),-4.43774 # DEPENDENCYPART_ARC
(30,2),-5.70221 # DEPENDENCYPART_ARC
(30,3),-6.41803 # DEPENDENCYPART_ARC
(30,4),-7.79387 # DEPENDENCYPART_ARC
(30,5),-5.76063 # DEPENDENCYPART_ARC
(30,6),-6.51716 # DEPENDENCYPART_ARC
(30,7),-5.67588 # DEPENDENCYPART_ARC
(30,8),-3.69355 # DEPENDENCYPART_ARC
(30,9),-5.22967 # DEPENDENCYPART_ARC
(30,10),-6.6658 # DEPENDENCYPART_ARC
(30,11),-5.33629 # DEPENDENCYPART_ARC
(30,12),-4.86491 # DEPENDENCYPART_ARC
(30,13),-5.26698 # DEPENDENCYPART_ARC
(30,14),-5.70899 # DEPENDENCYPART_ARC
(30,15),-4.61196 # DEPENDENCYPART_ARC
(30,16),-5.20229 # DEPENDENCYPART_ARC
(30,17),-4.09447 # DEPENDENCYPART_ARC
(30,18),-4.87712 # DEPENDENCYPART_ARC
(30,19),-4.28443 # DEPENDENCYPART_ARC
(30,20),-2.60095 # DEPENDENCYPART_ARC
(30,21),-2.70466 # DEPENDENCYPART_ARC
(30,22),-4.07046 # DEPENDENCYPART_ARC
(30,23),-3.49361 # DEPENDENCYPART_ARC
(30,24),-1.87071 # DEPENDENCYPART_ARC
(30,25),-1.16768 # DEPENDENCYPART_ARC
(30,26),-1.2411 # DEPENDENCYPART_ARC
(30,27),-1.22039 # DEPENDENCYPART_ARC
(30,28),-2.44 # DEPENDENCYPART_ARC
(30,29),-1.29826 # DEPENDENCYPART_ARC
(30,31),2.11337 # DEPENDENCYPART_ARC
(30,32),2.08788 # DEPENDENCYPART_ARC
(30,33),-0.905126 # DEPENDENCYPART_ARC
(30,34),0.239658 # DEPENDENCYPART_ARC
(30,35),-0.849388 # DEPENDENCYPART_ARC
(31,1),-1.85268 # DEPENDENCYPART_ARC
(31,2),-2.819 # DEPENDENCYPART_ARC
(31,3),-3.77548 # DEPENDENCYPART_ARC
(31,4),-3.86011 # DEPENDENCYPART_ARC
(31,5),-2.60972 # DEPENDENCYPART_ARC
(31,6),-3.74221 # DEPENDENCYPART_ARC
(31,7),-2.9451 # DEPENDENCYPART_ARC
(31,8),-0.640597 # DEPENDENCYPART_ARC
(31,9),-1.91252 # DEPENDENCYPART_ARC
(31,10),-4.06535 # DEPENDENCYPART_ARC
(31,11),-2.92816 # DEPENDENCYPART_ARC
(31,12),-1.75534 # DEPENDENCYPART_ARC
(31,13),-2.15324 # DEPENDENCYPART_ARC
(31,14),-3.37497 # DEPENDENCYPART_ARC
(31,15),-1.82839 # DEPENDENCYPART_ARC
(31,16),-2.52943 # DEPENDENCYPART_ARC
(31,17),-0.399999 # DEPENDENCYPART_ARC
(31,18),-2.14806 # DEPENDENCYPART_ARC
(31,19),-1.66396 # DEPENDENCYPART_ARC
(31,20),0.365595 # DEPENDENCYPART_ARC
(31,21),0.608608 # DEPENDENCYPART_ARC
(31,22),-1.20286 # DEPENDENCYPART_ARC
(31,23),-1.09241 # DEPENDENCYPART_ARC
(31,24),2.03022 # DEPENDENCYPART_ARC
(31,25),1.19615 # DEPENDENCYPART_ARC
(31,26),2.02241 # DEPENDENCYPART_ARC
(31,27),2.01576 # DEPENDENCYPART_ARC
(31,28),0.297929 # DEPENDENCYPART_ARC
(31,29),0.486329 # DEPENDENCYPART_ARC
(31,30),5.55776 # DEPENDENCYPART_ARC
(31,32),4.75799 # DEPENDENCYPART_ARC
(31,33),1.11938 # DEPENDENCYPART_ARC
(31,34),2.63048 # DEPENDENCYPART_ARC
(31,35),1.38669 # DEPENDENCYPART_ARC
(32,1),-4.07288 # DEPENDENCYPART_ARC
(32,2),-3.91203 # DEPENDENCYPART_ARC
(32,3),-3.662 # DEPENDENCYPART_ARC
(32,4),-3.63882 # DEPENDENCYPART_ARC
(32,5),-3.6349 # DEPENDENCYPART_ARC
(32,6),-3.41458 # DEPENDENCYPART_ARC
(32,7),-3.3454 # DEPENDENCYPART_ARC
(32,8),-2.93139 # DEPENDENCYPART_ARC
(32,9),-3.93956 # DEPENDENCYPART_ARC
(32,10),-3.68595 # DEPENDENCYPART_ARC
(32,11),-2.94209 # DEPENDENCYPART_ARC
(32,12),-3.06807 # DEPENDENCYPART_ARC
(32,13),-2.89945 # DEPENDENCYPART_ARC
(32,14),-2.86726 # DEPENDENCYPART_ARC
(32,15),-3.01356 # DEPENDENCYPART_ARC
(32,16),-1.39285 # DEPENDENCYPART_ARC
(32,17),-2.33458 # DEPENDENCYPART_ARC
(32,18),-2.39006 # DEPENDENCYPART_ARC
(32,19),-2.35061 # DEPENDENCYPART_ARC
(32,20),-2.20299 # DEPENDENCYPART_ARC
(32,21),-2.47002 # DEPENDENCYPART_ARC
(32,22),-2.10305 # DEPENDENCYPART_ARC
(32,23),-1.52305 # DEPENDENCYPART_ARC
(32,24),-1.39406 # DEPENDENCYPART_ARC
(32,25),-1.78918 # DEPENDENCYPART_ARC
(32,26),-1.55383 # DEPENDENCYPART_ARC
(32,27),-1.38308 # DEPENDENCYPART_ARC
(32,28),-1.15047 # DEPENDENCYPART_ARC
(32,29),-0.800633 # DEPENDENCYPART_ARC
(32,30),-0.532015 # DEPENDENCYPART_ARC
(32,31),-0.00109428 # DEPENDENCYPART_ARC
(32,33),3.14578 # DEPENDENCYPART_ARC
(32,34),2.48817 # DEPENDENCYPART_ARC
(32,35),0.0872645 # DEPENDENCYPART_ARC
(33,1),-3.45543 # DEPENDENCYPART_ARC
(33,2),-4.83692 # DEPENDENCYPART_ARC
(33,3),-5.40832 # DEPENDENCYPART_ARC
(33,4),-6.73962 # DEPENDENCYPART_ARC
(33,5),-4.69215 # DEPENDENCYPART_ARC
(33,6),-5.59007 # DEPENDENCYPART_ARC
(33,7),-4.7128 # DEPENDENCYPART_ARC
(33,8),-2.79101 # DEPENDENCYPART_ARC
(33,9),-4.61935 # DEPENDENCYPART_ARC
(33,10),-6.18317 # DEPENDENCYPART_ARC
(33,11),-4.93113 # DEPENDENCYPART_ARC
(33,12),-3.62348 # DEPENDENCYPART_ARC
(33,13),-4.23757 # DEPENDENCYPART_ARC
(33,14),-4.99566 # DEPENDENCYPART_ARC
(33,15),-3.63138 # DEPENDENCYPART_ARC
(33,16),-4.25359 # DEPENDENCYPART_ARC
(33,17),-4.60187 # DEPENDENCYPART_ARC
(33,18),-5.20872 # DEPENDENCYPART_ARC
(33,19),-3.59728 # DEPENDENCYPART_ARC
(33,20),-1.42345 # DEPENDENCYPART_ARC
(33,21),-2.41221 # DEPENDENCYPART_ARC
(33,22),-3.6263 # DEPENDENCYPART_ARC
(33,23),-3.0374 # DEPENDENCYPART_ARC
(33,24),-0.863822 # DEPENDENCYPART_ARC
(33,25),-1.16756 # DEPENDENCYPART_ARC
(33,26),-1.35019 # DEPENDENCYPART_ARC
(33,27),-1.38098 # DEPENDENCYPART_ARC
(33,28),-2.06828 # DEPENDENCYPART_ARC
(33,29),-2.19082 # DEPENDENCYPART_ARC
(33,30),0.318501 # DEPENDENCYPART_ARC
(33,31),-0.499093 # DEPENDENCYPART_ARC
(33,32),0.0850502 # DEPENDENCYPART_ARC
(33,34),3.34643 # DEPENDENCYPART_ARC
(33,35),0.264945 # DEPENDENCYPART_ARC
(34,1),-2.97723 # DEPENDENCYPART_ARC
(34,2),-4.01189 # DEPENDENCYPART_ARC
(34,3),-5.2575 # DEPENDENCYPART_ARC
(34,4),-5.71371 # DEPENDENCYPART_ARC
(34,5),-3.76274 # DEPENDENCYPART_ARC
(34,6),-5.15092 # DEPENDENCYPART_ARC
(34,7),-4.05169 # DEPENDENCYPART_ARC
(34,8),-1.74049 # DEPENDENCYPART_ARC
(34,9),-3.13996 # DEPENDENCYPART_ARC
(34,10),-5.49006 # DEPENDENCYPART_ARC
(34,11),-4.42944 # DEPENDENCYPART_ARC
(34,12),-3.17264 # DEPENDENCYPART_ARC
(34,13),-3.83186 # DEPENDENCYPART_ARC
(34,14),-4.33492 # DEPENDENCYPART_ARC
(34,15),-3.09161 # DEPENDENCYPART_ARC
(34,16),-3.72418 # DEPENDENCYPART_ARC
(34,17),-3.27954 # DEPENDENCYPART_ARC
(34,18),-4.66152 # DEPENDENCYPART_ARC
(34,19),-2.64721 # DEPENDENCYPART_ARC
(34,20),-0.451505 # DEPENDENCYPART_ARC
(34,21),-0.908593 # DEPENDENCYPART_ARC
(34,22),-2.9848 # DEPENDENCYPART_ARC
(34,23),-2.69085 # DEPENDENCYPART_ARC
(34,24),-0.258932 # DEPENDENCYPART_ARC
(34,25),-0.00485652 # DEPENDENCYPART_ARC
(34,26),-0.23063 # DEPENDENCYPART_ARC
(34,27),-0.244158 # DEPENDENCYPART_ARC
(34,28),-2.29678 # DEPENDENCYPART_ARC
(34,29),-1.54542 # DEPENDENCYPART_ARC
(34,30),0.835952 # DEPENDENCYPART_ARC
(34,31),-0.70895 # DEPENDENCYPART_ARC
(34,32),0.0937892 # DEPENDENCYPART_ARC
(34,33),3.00368 # DEPENDENCYPART_ARC
(34,35),1.62679 # DEPENDENCYPART_ARC
(35,1),-3.68407 # DEPENDENCYPART_ARC
(35,2),-2.66825 # DEPENDENCYPART_ARC
(35,3),-3.94605 # DEPENDENCYPART_ARC
(35,4),-3.80858 # DEPENDENCYPART_ARC
(35,5),-3.65905 # DEPENDENCYPART_ARC
(35,6),-3.71188 # DEPENDENCYPART_ARC
(35,7),-3.39456 # DEPENDENCYPART_ARC
(35,8),-2.74841 # DEPENDENCYPART_ARC
(35,9),-2.74934 # DEPENDENCYPART_ARC
(35,10),-2.80962 # DEPENDENCYPART_ARC
(35,11),-3.66442 # DEPENDENCYPART_ARC
(35,12),-3.32545 # DEPENDENCYPART_ARC
(35,13),-3.2751 # DEPENDENCYPART_ARC
(35,14),-2.23015 # DEPENDENCYPART_ARC
(35,15),-2.62603 # DEPENDENCYPART_ARC
(35,16),-2.06653 # DEPENDENCYPART_ARC
(35,17),-1.98982 # DEPENDENCYPART_ARC
(35,18),-2.25421 # DEPENDENCYPART_ARC
(35,19),-1.53104 # DEPENDENCYPART_ARC
(35,20),-2.37323 # DEPENDENCYPART_ARC
(35,21),-1.44429 # DEPENDENCYPART_ARC
(35,22),-1.59175 # DEPENDENCYPART_ARC
(35,23),-2.15276 # DEPENDENCYPART_ARC
(35,24),-1.52456 # DEPENDENCYPART_ARC
(35,25),-1.51582 # DEPENDENCYPART_ARC
(35,26),-1.47581 # DEPENDENCYPART_ARC
(35,27),-1.44736 # DEPENDENCYPART_ARC
(35,28),-1.41687 # DEPENDENCYPART_ARC
(35,29),-0.959232 # DEPENDENCYPART_ARC
(35,30),-1.40765 # DEPENDENCYPART_ARC
(35,31),-1.40267 # DEPENDENCYPART_ARC
(35,32),-0.732583 # DEPENDENCYPART_ARC
(35,33),-1.32566 # DEPENDENCYPART_ARC
(35,34),-1.25587 # DEPENDENCYPART_ARC
