# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(31,26),-2.0108 # DEPENDENCYPART_ARC
(31,27),-2.151 # DEPENDENCYPART_ARC
(31,28),-1.70115 # DEPENDENCYPART_ARC
(31,29),-0.929916 # DEPENDENCYPART_ARC
(31,30),-0.64803 # DEPENDENCYPART_ARC
(31,32),1.32235 # DEPENDENCYPART_ARC
(31,33),-0.510134 # DEPENDENCYPART_ARC
(32,1),-4.12139 # DEPENDENCYPART_ARC
(32,2),-4.12325 # DEPENDENCYPART_ARC
(32,3),-4.60512 # DEPENDENCYPART_ARC
(32,4),-3.83464 # DEPENDENCYPART_ARC
(32,5),-4.43825 # DEPENDENCYPART_ARC
(32,6),-7.29924 # DEPENDENCYPART_ARC
(32,7),-3.83917 # DEPENDENCYPART_ARC
(32,8),-2.37326 # DEPENDENCYPART_ARC
(32,9),-3.32445 # DEPENDENCYPART_ARC
(32,10),-3.32606 # DEPENDENCYPART_ARC
(32,11),-2.61595 # DEPENDENCYPART_ARC
(32,12),-2.93912 # DEPENDENCYPART_ARC
(32,13),-1.85391 # DEPENDENCYPART_ARC
(32,14),-1.5725 # DEPENDENCYPART_ARC
(32,15),-4.23435 # DEPENDENCYPART_ARC
(32,16),-2.83708 # DEPENDENCYPART_ARC
(32,17),-2.52944 # DEPENDENCYPART_ARC
(32,18),-2.34591 # DEPENDENCYPART_ARC
(32,19),-1.30258 # DEPENDENCYPART_ARC
(32,20),-2.16202 # DEPENDENCYPART_ARC
(32,21),-2.08306 # DEPENDENCYPART_ARC
(32,22),-1.30476 # DEPENDENCYPART_ARC
(32,23),-0.656494 # DEPENDENCYPART_ARC
(32,24),0.0574401 # DEPENDENCYPART_ARC
(32,25),-0.0236666 # DEPENDENCYPART_ARC
(32,26),-0.77973 # DEPENDENCYPART_ARC
(32,27),-0.831474 # DEPENDENCYPART_ARC
(32,28),-0.398617 # DEPENDENCYPART_ARC
(32,29),0.135096 # DEPENDENCYPART_ARC
(32,30),0.255681 # DEPENDENCYPART_ARC
(32,31),4.52936 # DEPENDENCYPART_ARC
(32,33),1.04146 # DEPENDENCYPART_ARC
(33,1),-4.33538 # DEPENDENCYPART_ARC
(33,2),-3.54013 # DEPENDENCYPART_ARC
(33,3),-2.8541 # DEPENDENCYPART_ARC
(33,4),-2.95803 # DEPENDENCYPART_ARC
(33,5),-3.17754 # DEPENDENCYPART_ARC
(33,6),-3.31001 # DEPENDENCYPART_ARC
(33,7),-2.38806 # DEPENDENCYPART_ARC
(33,8),-3.92401 # DEPENDENCYPART_ARC
(33,9),-2.90628 # DEPENDENCYPART_ARC
(33,10),-3.31723 # DEPENDENCYPART_ARC
(33,11),-3.10189 # DEPENDENCYPART_ARC
(33,12),-3.08586 # DEPENDENCYPART_ARC
(33,13),-2.1155 # DEPENDENCYPART_ARC
(33,14),-2.15858 # DEPENDENCYPART_ARC
(33,15),-2.00267 # DEPENDENCYPART_ARC
(33,16),-0.48829 # DEPENDENCYPART_ARC
(33,17),-1.96549 # DEPENDENCYPART_ARC
(33,18),-2.09327 # DEPENDENCYPART_ARC
(33,19),-1.65935 # DEPENDENCYPART_ARC
(33,20),-1.72362 # DEPENDENCYPART_ARC
(33,21),-1.48344 # DEPENDENCYPART_ARC
(33,22),-1.58808 # DEPENDENCYPART_ARC
(33,23),-1.5795 # DEPENDENCYPART_ARC
(33,24),-1.11644 # DEPENDENCYPART_ARC
(33,25),-1.76732 # DEPENDENCYPART_ARC
(33,26),-1.21448 # DEPENDENCYPART_ARC
(33,27),-1.13468 # DEPENDENCYPART_ARC
(33,28),-0.473412 # DEPENDENCYPART_ARC
(33,29),-1.01909 # DEPENDENCYPART_ARC
(33,30),0.0592624 # DEPENDENCYPART_ARC
(33,31),-1.27014 # DEPENDENCYPART_ARC
(33,32),-1.18344 # DEPENDENCYPART_ARC
