# _root_ SHV , which last year merged its North Sea oil and gas operations with those of Calor Group PLC , has been pegged by speculators as a possible suitor for Burmah Oil in recent weeks .
#goldHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,23,29,29,26,29,32,30,23,35,33,21,
#predictedHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,25,29,29,26,29,32,30,23,35,33,21,
(29,2),-4.79567 # DEPENDENCYPART_ARC
(29,3),-3.73376 # DEPENDENCYPART_ARC
(29,4),-7.02786 # DEPENDENCYPART_ARC
(29,5),-9.72924 # DEPENDENCYPART_ARC
(29,6),-2.93596 # DEPENDENCYPART_ARC
(29,7),-3.7122 # DEPENDENCYPART_ARC
(29,8),-7.44175 # DEPENDENCYPART_ARC
(29,9),-7.10862 # DEPENDENCYPART_ARC
(29,10),-6.84804 # DEPENDENCYPART_ARC
(29,11),-1.80978 # DEPENDENCYPART_ARC
(29,12),-5.35707 # DEPENDENCYPART_ARC
(29,13),-3.51886 # DEPENDENCYPART_ARC
(29,14),-2.73231 # DEPENDENCYPART_ARC
(29,15),-4.4238 # DEPENDENCYPART_ARC
(29,16),-1.60495 # DEPENDENCYPART_ARC
(29,17),-3.2506 # DEPENDENCYPART_ARC
(29,18),-3.74284 # DEPENDENCYPART_ARC
(29,19),-4.67425 # DEPENDENCYPART_ARC
(29,20),-1.59316 # DEPENDENCYPART_ARC
(29,21),-1.18103 # DEPENDENCYPART_ARC
(29,22),-0.909506 # DEPENDENCYPART_ARC
(29,23),-0.916667 # DEPENDENCYPART_ARC
(29,24),0.0477493 # DEPENDENCYPART_ARC
(29,25),0.263782 # DEPENDENCYPART_ARC
(29,26),0.405904 # DEPENDENCYPART_ARC
(29,27),4.55191 # DEPENDENCYPART_ARC
(29,28),4.59901 # DEPENDENCYPART_ARC
(29,30),3.16675 # DEPENDENCYPART_ARC
(29,31),0.630163 # DEPENDENCYPART_ARC
(29,32),0.843516 # DEPENDENCYPART_ARC
(29,33),1.39532 # DEPENDENCYPART_ARC
(29,34),0.268092 # DEPENDENCYPART_ARC
(29,35),0.665518 # DEPENDENCYPART_ARC
(29,36),1.05442 # DEPENDENCYPART_ARC
(30,1),-4.03198 # DEPENDENCYPART_ARC
(30,2),-3.53154 # DEPENDENCYPART_ARC
(30,3),-0.66976 # DEPENDENCYPART_ARC
(30,4),-3.38508 # DEPENDENCYPART_ARC
(30,5),-3.77006 # DEPENDENCYPART_ARC
(30,6),-3.30487 # DEPENDENCYPART_ARC
(30,7),-2.61667 # DEPENDENCYPART_ARC
(30,8),-3.31803 # DEPENDENCYPART_ARC
(30,9),-3.39899 # DEPENDENCYPART_ARC
(30,10),-3.55083 # DEPENDENCYPART_ARC
(30,11),-3.56439 # DEPENDENCYPART_ARC
(30,12),-3.26112 # DEPENDENCYPART_ARC
(30,13),-2.66895 # DEPENDENCYPART_ARC
(30,14),-2.19617 # DEPENDENCYPART_ARC
(30,15),-2.24033 # DEPENDENCYPART_ARC
(30,16),-1.45462 # DEPENDENCYPART_ARC
(30,17),-2.12703 # DEPENDENCYPART_ARC
(30,18),-2.21095 # DEPENDENCYPART_ARC
(30,19),-2.30858 # DEPENDENCYPART_ARC
(30,20),-1.40885 # DEPENDENCYPART_ARC
(30,21),-1.4359 # DEPENDENCYPART_ARC
(30,22),-1.05856 # DEPENDENCYPART_ARC
(30,23),-0.906933 # DEPENDENCYPART_ARC
(30,24),-0.199438 # DEPENDENCYPART_ARC
(30,25),-0.90753 # DEPENDENCYPART_ARC
(30,26),-0.320347 # DEPENDENCYPART_ARC
(30,27),0.183845 # DEPENDENCYPART_ARC
(30,28),-0.497262 # DEPENDENCYPART_ARC
(30,29),-0.394405 # DEPENDENCYPART_ARC
(30,31),2.22107 # DEPENDENCYPART_ARC
(30,32),2.81171 # DEPENDENCYPART_ARC
(30,33),-0.194717 # DEPENDENCYPART_ARC
(30,34),0.0260437 # DEPENDENCYPART_ARC
(30,35),1.99564 # DEPENDENCYPART_ARC
(30,36),-0.539906 # DEPENDENCYPART_ARC
(31,1),-13.0237 # DEPENDENCYPART_ARC
(31,2),-7.06475 # DEPENDENCYPART_ARC
(31,3),-6.66217 # DEPENDENCYPART_ARC
(31,4),-9.74773 # DEPENDENCYPART_ARC
(31,5),-9.55232 # DEPENDENCYPART_ARC
(31,6),-5.83584 # DEPENDENCYPART_ARC
(31,7),-4.0784 # DEPENDENCYPART_ARC
(31,8),-9.53769 # DEPENDENCYPART_ARC
(31,9),-10.4823 # DEPENDENCYPART_ARC
(31,10),-7.97347 # DEPENDENCYPART_ARC
(31,11),-6.07236 # DEPENDENCYPART_ARC
(31,12),-7.03638 # DEPENDENCYPART_ARC
(31,13),-6.12347 # DEPENDENCYPART_ARC
(31,14),-5.50326 # DEPENDENCYPART_ARC
(31,15),-6.36512 # DEPENDENCYPART_ARC
(31,16),-4.57563 # DEPENDENCYPART_ARC
(31,17),-6.33813 # DEPENDENCYPART_ARC
(31,18),-6.98577 # DEPENDENCYPART_ARC
(31,19),-7.29677 # DEPENDENCYPART_ARC
(31,20),-4.23711 # DEPENDENCYPART_ARC
(31,21),-3.93079 # DEPENDENCYPART_ARC
(31,22),-3.87576 # DEPENDENCYPART_ARC
(31,23),-3.96424 # DEPENDENCYPART_ARC
(31,24),-3.2035 # DEPENDENCYPART_ARC
(31,25),-3.34697 # DEPENDENCYPART_ARC
(31,26),-2.61272 # DEPENDENCYPART_ARC
(31,27),-0.827087 # DEPENDENCYPART_ARC
(31,28),-0.818301 # DEPENDENCYPART_ARC
(31,29),-2.05152 # DEPENDENCYPART_ARC
(31,30),-0.762407 # DEPENDENCYPART_ARC
(31,32),1.95974 # DEPENDENCYPART_ARC
(31,33),0.153579 # DEPENDENCYPART_ARC
(31,34),-0.283073 # DEPENDENCYPART_ARC
(31,35),-0.562187 # DEPENDENCYPART_ARC
(31,36),-0.347237 # DEPENDENCYPART_ARC
(32,1),-11.6137 # DEPENDENCYPART_ARC
(32,2),-5.21816 # DEPENDENCYPART_ARC
(32,3),-5.0376 # DEPENDENCYPART_ARC
(32,4),-8.01177 # DEPENDENCYPART_ARC
(32,5),-7.80409 # DEPENDENCYPART_ARC
(32,6),-4.10677 # DEPENDENCYPART_ARC
(32,7),-1.53403 # DEPENDENCYPART_ARC
(32,8),-7.07502 # DEPENDENCYPART_ARC
(32,9),-8.39556 # DEPENDENCYPART_ARC
(32,10),-6.02885 # DEPENDENCYPART_ARC
(32,11),-4.25329 # DEPENDENCYPART_ARC
(32,12),-4.90686 # DEPENDENCYPART_ARC
(32,13),-4.27751 # DEPENDENCYPART_ARC
(32,14),-3.96422 # DEPENDENCYPART_ARC
(32,15),-4.36004 # DEPENDENCYPART_ARC
(32,16),-2.8253 # DEPENDENCYPART_ARC
(32,17),-3.92093 # DEPENDENCYPART_ARC
(32,18),-4.85729 # DEPENDENCYPART_ARC
(32,19),-5.34523 # DEPENDENCYPART_ARC
(32,20),-2.32056 # DEPENDENCYPART_ARC
(32,21),-2.6856 # DEPENDENCYPART_ARC
(32,22),-1.83251 # DEPENDENCYPART_ARC
(32,23),-2.05294 # DEPENDENCYPART_ARC
(32,24),-1.70688 # DEPENDENCYPART_ARC
(32,25),-1.31727 # DEPENDENCYPART_ARC
(32,26),-1.45461 # DEPENDENCYPART_ARC
(32,27),1.26248 # DEPENDENCYPART_ARC
(32,28),1.10047 # DEPENDENCYPART_ARC
(32,29),-0.508365 # DEPENDENCYPART_ARC
(32,30),0.351999 # DEPENDENCYPART_ARC
(32,31),4.49894 # DEPENDENCYPART_ARC
(32,33),1.27865 # DEPENDENCYPART_ARC
(32,34),1.12754 # DEPENDENCYPART_ARC
(32,35),0.569711 # DEPENDENCYPART_ARC
(32,36),0.91554 # DEPENDENCYPART_ARC
(33,1),-4.40918 # DEPENDENCYPART_ARC
(33,2),-3.99242 # DEPENDENCYPART_ARC
(33,3),-1.44752 # DEPENDENCYPART_ARC
(33,4),-3.62222 # DEPENDENCYPART_ARC
(33,5),-2.95031 # DEPENDENCYPART_ARC
(33,6),-2.95172 # DEPENDENCYPART_ARC
(33,7),-2.75946 # DEPENDENCYPART_ARC
(33,8),-3.44141 # DEPENDENCYPART_ARC
(33,9),-3.62919 # DEPENDENCYPART_ARC
(33,10),-3.18322 # DEPENDENCYPART_ARC
(33,11),-3.68519 # DEPENDENCYPART_ARC
(33,12),-3.04757 # DEPENDENCYPART_ARC
(33,13),-1.86503 # DEPENDENCYPART_ARC
(33,14),-2.83503 # DEPENDENCYPART_ARC
(33,15),-2.41666 # DEPENDENCYPART_ARC
(33,16),-2.25267 # DEPENDENCYPART_ARC
(33,17),-2.19782 # DEPENDENCYPART_ARC
(33,18),-2.34312 # DEPENDENCYPART_ARC
(33,19),-2.47483 # DEPENDENCYPART_ARC
(33,20),-1.697 # DEPENDENCYPART_ARC
(33,21),-1.9061 # DEPENDENCYPART_ARC
(33,22),-1.30999 # DEPENDENCYPART_ARC
(33,23),-1.01519 # DEPENDENCYPART_ARC
(33,24),-0.800724 # DEPENDENCYPART_ARC
(33,25),-0.532959 # DEPENDENCYPART_ARC
(33,26),-0.651972 # DEPENDENCYPART_ARC
(33,27),-0.53457 # DEPENDENCYPART_ARC
(33,28),-1.01848 # DEPENDENCYPART_ARC
(33,29),-0.545146 # DEPENDENCYPART_ARC
(33,30),0.0282972 # DEPENDENCYPART_ARC
(33,31),-0.176507 # DEPENDENCYPART_ARC
(33,32),0.00968677 # DEPENDENCYPART_ARC
(33,34),1.75136 # DEPENDENCYPART_ARC
(33,35),3.70655 # DEPENDENCYPART_ARC
(33,36),-0.397274 # DEPENDENCYPART_ARC
(34,1),-6.18299 # DEPENDENCYPART_ARC
(34,2),-3.90012 # DEPENDENCYPART_ARC
(34,3),-4.21217 # DEPENDENCYPART_ARC
(34,4),-4.61309 # DEPENDENCYPART_ARC
(34,5),-4.92776 # DEPENDENCYPART_ARC
(34,6),-5.03585 # DEPENDENCYPART_ARC
(34,7),-2.37735 # DEPENDENCYPART_ARC
(34,8),-4.63064 # DEPENDENCYPART_ARC
(34,9),-5.30155 # DEPENDENCYPART_ARC
(34,10),-4.52835 # DEPENDENCYPART_ARC
(34,11),-5.17267 # DEPENDENCYPART_ARC
(34,12),-4.33585 # DEPENDENCYPART_ARC
(34,13),-4.26159 # DEPENDENCYPART_ARC
(34,14),-4.20805 # DEPENDENCYPART_ARC
(34,15),-3.66364 # DEPENDENCYPART_ARC
(34,16),-3.49259 # DEPENDENCYPART_ARC
(34,17),-3.24626 # DEPENDENCYPART_ARC
(34,18),-3.60804 # DEPENDENCYPART_ARC
(34,19),-4.02147 # DEPENDENCYPART_ARC
(34,20),-2.56102 # DEPENDENCYPART_ARC
(34,21),-3.35174 # DEPENDENCYPART_ARC
(34,22),-3.11045 # DEPENDENCYPART_ARC
(34,23),-3.00264 # DEPENDENCYPART_ARC
(34,24),-2.08228 # DEPENDENCYPART_ARC
(34,25),-2.47978 # DEPENDENCYPART_ARC
(34,26),-2.1773 # DEPENDENCYPART_ARC
(34,27),-0.579296 # DEPENDENCYPART_ARC
(34,28),-1.34328 # DEPENDENCYPART_ARC
(34,29),-1.79095 # DEPENDENCYPART_ARC
(34,30),-1.63851 # DEPENDENCYPART_ARC
(34,31),-0.522807 # DEPENDENCYPART_ARC
(34,32),-0.834461 # DEPENDENCYPART_ARC
(34,33),-0.307088 # DEPENDENCYPART_ARC
(34,35),0.433517 # DEPENDENCYPART_ARC
(34,36),-0.813255 # DEPENDENCYPART_ARC
(35,1),-9.46397 # DEPENDENCYPART_ARC
(35,2),-3.49166 # DEPENDENCYPART_ARC
(35,3),-4.67475 # DEPENDENCYPART_ARC
(35,4),-9.24274 # DEPENDENCYPART_ARC
(35,5),-8.12635 # DEPENDENCYPART_ARC
(35,6),-2.75839 # DEPENDENCYPART_ARC
(35,7),-4.85719 # DEPENDENCYPART_ARC
(35,8),-6.55496 # DEPENDENCYPART_ARC
(35,9),-6.95944 # DEPENDENCYPART_ARC
(35,10),-6.40322 # DEPENDENCYPART_ARC
(35,11),-2.38121 # DEPENDENCYPART_ARC
(35,12),-6.13372 # DEPENDENCYPART_ARC
(35,13),-5.68638 # DEPENDENCYPART_ARC
(35,14),-1.4728 # DEPENDENCYPART_ARC
(35,15),-7.45978 # DEPENDENCYPART_ARC
(35,16),-1.46787 # DEPENDENCYPART_ARC
(35,17),-3.4657 # DEPENDENCYPART_ARC
(35,18),-3.38768 # DEPENDENCYPART_ARC
(35,19),-5.2102 # DEPENDENCYPART_ARC
(35,20),-2.0408 # DEPENDENCYPART_ARC
(35,21),-2.06579 # DEPENDENCYPART_ARC
(35,22),-2.27387 # DEPENDENCYPART_ARC
(35,23),-2.41191 # DEPENDENCYPART_ARC
(35,24),-0.997332 # DEPENDENCYPART_ARC
(35,25),-1.951 # DEPENDENCYPART_ARC
(35,26),-0.235101 # DEPENDENCYPART_ARC
(35,27),-0.206868 # DEPENDENCYPART_ARC
(35,28),-0.213925 # DEPENDENCYPART_ARC
(35,29),-1.27273 # DEPENDENCYPART_ARC
(35,30),-0.359472 # DEPENDENCYPART_ARC
(35,31),1.82511 # DEPENDENCYPART_ARC
(35,32),0.667611 # DEPENDENCYPART_ARC
(35,33),0.54262 # DEPENDENCYPART_ARC
(35,34),4.10216 # DEPENDENCYPART_ARC
(35,36),-0.503258 # DEPENDENCYPART_ARC
(36,1),-4.25587 # DEPENDENCYPART_ARC
(36,2),-3.35734 # DEPENDENCYPART_ARC
(36,3),-3.43786 # DEPENDENCYPART_ARC
(36,4),-4.27427 # DEPENDENCYPART_ARC
(36,5),-3.64267 # DEPENDENCYPART_ARC
(36,6),-2.99998 # DEPENDENCYPART_ARC
(36,7),-2.9668 # DEPENDENCYPART_ARC
(36,8),-3.48484 # DEPENDENCYPART_ARC
(36,9),-3.43197 # DEPENDENCYPART_ARC
(36,10),-2.87724 # DEPENDENCYPART_ARC
(36,11),-2.98919 # DEPENDENCYPART_ARC
(36,12),-2.8414 # DEPENDENCYPART_ARC
(36,13),-2.75935 # DEPENDENCYPART_ARC
(36,14),-3.31346 # DEPENDENCYPART_ARC
(36,15),-2.60424 # DEPENDENCYPART_ARC
(36,16),-2.54865 # DEPENDENCYPART_ARC
(36,17),-2.55487 # DEPENDENCYPART_ARC
(36,18),-2.48998 # DEPENDENCYPART_ARC
(36,19),-2.62908 # DEPENDENCYPART_ARC
(36,20),-1.17068 # DEPENDENCYPART_ARC
(36,21),-2.13113 # DEPENDENCYPART_ARC
(36,22),-1.80058 # DEPENDENCYPART_ARC
(36,23),-1.63686 # DEPENDENCYPART_ARC
(36,24),-1.7492 # DEPENDENCYPART_ARC
(36,25),-1.677 # DEPENDENCYPART_ARC
(36,26),-1.23081 # DEPENDENCYPART_ARC
(36,27),-1.3992 # DEPENDENCYPART_ARC
(36,28),-1.67313 # DEPENDENCYPART_ARC
(36,29),-1.22366 # DEPENDENCYPART_ARC
(36,30),-1.08646 # DEPENDENCYPART_ARC
(36,31),-1.50914 # DEPENDENCYPART_ARC
(36,32),-1.42369 # DEPENDENCYPART_ARC
(36,33),-0.762061 # DEPENDENCYPART_ARC
(36,34),-1.46064 # DEPENDENCYPART_ARC
(36,35),-1.48968 # DEPENDENCYPART_ARC
