# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(15,18),(18,18),(18,25),0.0651955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,26),-0.0472872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,27),0.00436462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,19),(18,20),-0.0420282 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,21),-0.0395566 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,22),-0.0678337 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,23),-0.0478868 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,24),0.00752029 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,25),-0.047887 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,26),-0.0453245 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,27),-0.00505665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,20),(18,21),-0.043635 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,27),-0.0323222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,21),(18,22),-0.0398895 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,23),-0.0441099 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,24),-0.0445059 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,25),-0.0441099 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,26),-0.0438649 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,27),-0.00580535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,22),(18,23),-0.0459708 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,22),(18,24),-0.120362 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,22),(18,25),-0.0459708 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,22),(18,26),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,22),(18,27),-0.0505853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,23),(18,24),-0.0543176 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,25),-0.036412 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,26),-0.0430852 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,27),-0.00140866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,24),(18,25),-0.0510257 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,24),(18,26),-0.0424346 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,24),(18,27),-0.0775286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,25),(18,26),-0.0430852 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,25),(18,27),-0.00132744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,26),(18,27),-0.0562346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,18),(18,17),0.109061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,16),0.0879076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,15),0.0954981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,18),(18,14),-0.0667526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,13),-0.0667526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,11),-0.0664285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,8),-0.00953237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,7),-0.0641611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,6),-0.0518579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,5),-0.0618675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,1),-0.0127073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,-1),-0.0374168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,17),(18,16),0.103047 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,15),0.103069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,17),(18,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,8),-0.0655789 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,6),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,1),-0.0652093 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,-1),-0.0500844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,16),(18,15),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,16),(18,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,8),-0.0641473 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,5),-0.0641474 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,1),-0.0641473 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,-1),-0.0516238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,15),(18,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,-1),-0.0566572 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,14),(18,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,8),-0.0641763 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,1),-0.0641697 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,14),(18,-1),-0.0821875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,13),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,8),-0.0641763 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,1),-0.0641697 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,-1),-0.0822115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,11),(18,8),-0.0655769 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,11),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,11),(18,6),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,11),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,11),(18,1),-0.0652073 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,11),(18,-1),-0.0500515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,8),(18,7),-0.064147 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,8),(18,6),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,8),(18,5),-0.0647778 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,8),(18,1),-0.064774 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,8),(18,-1),-0.0350331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,7),(18,6),-0.0641526 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,7),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,7),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,7),(18,-1),-0.0715794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,6),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,6),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,6),(18,-1),-0.0604081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,5),(18,1),-0.0656519 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,5),(18,-1),-0.0494682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,1),(18,-1),-0.027895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,19),(19,20),-0.0410184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,21),-0.101452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,22),0.000354553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,23),-0.0500802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,24),-0.0809487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,25),-0.0503819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,27),-0.163473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,19),(19,20),(19,21),-0.0420287 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,20),(19,22),-0.0420141 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,20),(19,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,20),(19,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,20),(19,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,20),(19,27),-0.0410045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,21),(19,22),-0.0598162 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,21),(19,23),-0.0505877 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,21),(19,24),-0.0213851 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,21),(19,25),-0.0505877 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,21),(19,27),-0.0285019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,22),(19,23),-0.0433646 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,22),(19,24),-0.00685228 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,22),(19,25),-0.0433645 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,22),(19,27),-0.0743219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,23),(19,24),-0.07399 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,23),(19,25),-0.0488272 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,23),(19,27),0.052733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,24),(19,25),-0.0366491 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,24),(19,27),-0.0717007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,25),(19,27),0.0524346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,19),(19,18),0.158662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,17),0.115933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,19),(19,19),(19,-1),-0.0789223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,19),(19,18),(19,17),0.103067 # DEPENDENCYPART_GRANDSIBL
(15,19),(19,18),(19,-1),-0.0329647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,17),(19,-1),-0.00571964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,21),(21,22),-0.00625758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,23),-0.0411935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,24),-0.0547327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,25),-0.0411935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,27),0.157335 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,21),(21,22),(21,23),0.0225596 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,24),-0.0622582 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,25),0.0225596 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,27),-0.0748494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,23),(21,24),-0.0458033 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,25),-0.0448198 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,27),-0.0397918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,24),(21,25),-0.0422111 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,24),(21,27),-0.0974033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,25),(21,27),-0.0397918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,21),(21,20),0.117923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,19),0.135615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,18),0.0739587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,17),0.105353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,16),0.154559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,9),-0.0677402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,-1),-0.11578 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,21),(21,20),(21,19),0.113399 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,20),(21,18),0.10252 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,20),(21,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,20),(21,16),0.103068 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,20),(21,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,20),(21,-1),-0.071338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,19),(21,18),0.104219 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,19),(21,17),0.10144 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,19),(21,16),0.0930254 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,19),(21,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,19),(21,-1),0.043443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,18),(21,17),0.102869 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,18),(21,16),0.105313 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,18),(21,9),-0.0641562 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,18),(21,-1),-0.0869669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,17),(21,16),0.106733 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,17),(21,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,17),(21,-1),-0.080858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,16),(21,9),-0.0642946 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,16),(21,-1),0.00100607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,9),(21,-1),0.010711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,22),(22,23),-0.0458192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,27),0.0471597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,22),(22,23),(22,27),-0.0297491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,22),(22,-1),0.051059 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,23),(23,24),-0.0802551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,25),-0.0288976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,26),-0.0508254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,27),0.0454819 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,24),(23,25),-0.0503364 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,24),(23,26),-0.0421551 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,24),(23,27),-0.106867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,25),(23,26),-0.0420531 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,25),(23,27),-0.0777291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,26),(23,27),-0.0520023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,23),(23,22),0.067305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,21),0.0865273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,20),0.122053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,19),0.105052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,18),0.0691931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,-1),-0.0898707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,22),(23,21),0.0435477 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,20),0.102237 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,19),0.137236 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,18),0.143254 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,-1),-0.0301472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,21),(23,20),0.101691 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,19),0.100597 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,18),0.102468 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,-1),-0.0954218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,20),(23,19),0.112001 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,20),(23,18),0.103064 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,20),(23,-1),-0.0802424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,19),(23,18),0.100308 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,19),(23,-1),0.0541594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,18),(23,-1),-0.0930508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,24),(24,24),(24,25),-0.201304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,24),(24,24),(24,26),-0.0425316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,24),(24,24),(24,27),-0.27093 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,24),(24,25),(24,26),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(15,24),(24,25),(24,27),-0.238314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,24),(24,26),(24,27),-0.0420253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,24),(24,24),(24,-1),0.239725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,25),(25,25),(25,27),0.0433018 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,25),(25,25),(25,23),0.115416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,25),(25,25),(25,21),0.0865249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,25),(25,25),(25,20),0.12197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,25),(25,25),(25,-1),-0.0880563 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,25),(25,23),(25,21),0.103342 # DEPENDENCYPART_GRANDSIBL
(15,25),(25,23),(25,20),0.0902684 # DEPENDENCYPART_GRANDSIBL
(15,25),(25,23),(25,-1),-0.038182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,25),(25,21),(25,20),0.101691 # DEPENDENCYPART_GRANDSIBL
(15,25),(25,21),(25,-1),-0.0954225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,25),(25,20),(25,-1),-0.0803255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,26),(26,26),(26,27),0.142809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,26),(26,26),(26,-1),0.176948 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,14),(14,16),-0.0645396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,14),(14,17),-0.064155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,27),0.016958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,16),(14,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,27),-0.0551853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,17),(14,27),-0.0661832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,13),-0.0807163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,12),-0.042124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,11),-0.0420251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,10),-0.0528053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,9),0.00798022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.029881 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,13),(14,12),-0.0432267 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,11),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,10),-0.0455102 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,9),-0.0434595 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,-1),-0.0563122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,12),(14,11),-0.0420478 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,10),-0.0312248 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,9),-0.0390222 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,-1),-0.0403953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,11),(14,10),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,9),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,-1),-0.0423842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,10),(14,9),-0.0420141 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,-1),-0.0443861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,9),(14,-1),0.00470422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,18),-0.0497572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,19),-0.0542699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,21),-0.0449967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,22),-0.0453628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,23),-0.020878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,24),-0.0246197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,25),-0.020878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,26),-0.0430542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,27),-0.149359 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,18),(17,19),-0.0420639 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,21),-0.0420144 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,22),-0.0421947 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,24),-0.0420584 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,27),-0.0446112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
