# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,17,20,21,22,26,24,23,23,27,4,
(9,6),(6,9),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,18),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,29),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,30),-0.0699118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,10),(6,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,22),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,30),-0.0700281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,11),(6,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,18),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,29),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,11),(6,30),-0.0699118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,12),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,30),-0.0642742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,13),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,17),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,13),(6,30),-0.0793906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,14),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,14),(6,30),-0.0642285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,17),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,17),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,17),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,17),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,17),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,17),(6,30),-0.0795063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,18),(6,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,18),(6,22),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,18),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,18),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,18),(6,30),-0.0700281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,20),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,20),(6,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,20),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,20),(6,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,22),(6,27),-0.0641489 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,22),(6,29),-0.0641639 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,22),(6,30),-0.0661386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,27),(6,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,27),(6,30),-0.0782913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,29),(6,30),-0.0641658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,5),0.00226509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,4),-0.049485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,3),-0.0490405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,2),-0.0440617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,1),-0.0433199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,-1),-0.118619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,5),(6,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,3),-0.0421698 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,1),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,-1),0.0187868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,4),(6,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,-1),-0.0494886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,3),(6,2),-0.042012 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,3),(6,1),-0.0420307 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,3),(6,-1),-0.0494802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,2),(6,1),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,2),(6,-1),-0.0429087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,1),(6,-1),-0.0423776 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,9),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,8),(8,10),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,11),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,12),-0.0654802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,13),-0.0654717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,14),-0.0709684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,17),-0.0654717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,18),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,30),0.160009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,9),(8,10),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,11),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,12),-0.0642375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,13),-0.0643654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,14),-0.0648431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,17),-0.0643654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,18),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,30),-0.00236467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,10),(8,11),-0.0700439 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,13),-0.0673921 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,14),-0.066699 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,17),-0.0673916 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,18),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,30),-0.0132543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,11),(8,12),-0.0642375 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,13),-0.0643654 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,14),-0.0648431 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,17),-0.0643654 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,18),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,30),-0.00236467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,12),(8,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,14),-0.0642269 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,18),-0.0641868 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,30),0.00542802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,13),(8,14),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,18),-0.0647451 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,30),-0.0735863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,14),(8,17),-0.0641487 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,14),(8,18),-0.0641482 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,14),(8,30),-0.101152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,17),(8,18),-0.0647451 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,17),(8,30),-0.0757264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,18),(8,30),-0.0132543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,-1),0.150078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,10),(10,30),0.0819963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,10),(10,-1),0.0157772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,12),-0.0610082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),-0.0280575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,14),-0.0969901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),0.0793218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,25),-0.0610082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,30),0.146694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0423818 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,14),-0.0165021 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.00772016 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,30),-0.110267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,14),-0.0464487 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0780117 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,30),-0.116924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,14),(11,18),-0.121171 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,30),0.153247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,25),-0.0420932 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,30),-0.0851982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,25),(11,30),-0.110267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.117363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,9),0.211326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,8),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,6),-0.0641467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,1),-0.0641522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),0.158402 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,9),0.0783123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,10),(11,8),-0.0700439 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,-1),-0.0132543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,9),(11,8),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,1),-0.0646234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,-1),-0.00236467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,8),(11,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,1),-0.0646234 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,-1),-0.00236467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,6),(11,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,-1),-0.0655872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,1),(11,-1),-0.0738774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,30),0.205252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,12),(12,-1),0.152782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,14),-0.0251554 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),-0.0640639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.0560454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),-0.0625211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,18),-0.0699402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,19),-0.0469679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,20),-0.038468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,21),-0.0447194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,22),-0.0309564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,24),-0.0443692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,25),-0.0412478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,26),-0.0317067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,27),0.00720892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,28),-0.0443692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,29),-0.0321513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,30),-0.0146908 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,14),(13,15),-0.0474135 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,16),-0.047414 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,17),-0.0492028 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,18),-0.0411515 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,20),-0.0437613 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,22),-0.0429823 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,24),-0.0438735 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,25),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,26),-0.0447726 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,27),-0.0799008 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,28),-0.0438735 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,29),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,30),-0.0761718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,15),(13,16),-0.0351836 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,17),-0.0420618 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,18),-0.048638 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,20),-0.0420816 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,22),-0.0420874 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,24),-0.0447495 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,25),-0.0421566 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,26),-0.042131 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,27),-0.0469852 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,28),-0.0447495 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,29),-0.0420281 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,30),-0.0493301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,16),(13,17),-0.0420618 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,18),-0.0490774 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,19),-0.0422166 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,20),-0.0420816 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,22),-0.0420874 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,24),-0.0446108 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,25),-0.0421566 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,26),-0.042131 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,27),-0.0465122 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,28),-0.0446108 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,29),-0.0420281 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,30),-0.0434234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,17),(13,18),-0.0191038 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,19),-0.0437087 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,22),-0.0432516 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,24),-0.0375211 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,25),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,26),-0.0424618 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,27),-0.0360839 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,28),-0.0375211 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,29),-0.0420588 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,30),-0.0925731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,18),(13,19),-0.0438421 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,20),-0.0487212 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,21),-0.0423022 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,22),-0.0636896 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,24),-0.0941657 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,26),-0.0230162 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,27),-0.0272251 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,28),-0.0941657 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,30),-0.0429193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,19),(13,20),-0.0421927 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,27),-0.042545 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,30),-0.0501398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,20),(13,21),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,22),-0.042678 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,27),-0.0421428 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,30),-0.0470119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,21),(13,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,27),-0.0420147 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,21),(13,30),-0.0494603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,22),(13,24),-0.0420173 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,26),-0.0422094 # DEPENDENCYPART_GRANDSIBL
