# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(11,3),(3,4),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,4),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,4),(3,28),-0.0648281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,5),(3,6),0.0990498 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,7),0.102535 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,8),0.103056 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,10),0.101452 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,5),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,16),-0.0644306 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,22),-0.0642556 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,24),-0.0644957 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,5),(3,28),-0.0713033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,6),(3,7),0.103011 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,8),0.101569 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,10),0.117209 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,11),-0.0641573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,6),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,15),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,16),-0.0662816 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,24),-0.0662816 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,28),-0.0636084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,7),(3,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,10),0.102008 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,7),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,22),-0.0641483 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,28),-0.0660529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,8),(3,10),0.103066 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,8),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,8),(3,28),-0.0648727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,10),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,10),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,16),-0.0643233 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,24),-0.0644205 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,10),(3,28),-0.135144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,11),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,16),-0.0643233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,24),-0.0644205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,11),(3,28),-0.135144 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,3),(3,12),(3,15),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,16),-0.0662816 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,24),-0.0662816 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,28),-0.0636084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,15),(3,16),-0.0644306 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,15),(3,22),-0.0642556 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,15),(3,24),-0.0644957 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,15),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,15),(3,28),-0.071306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,16),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,16),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,16),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,16),(3,28),-0.0769868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,22),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,22),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,22),(3,28),-0.0666802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,24),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,24),(3,28),-0.0794856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,27),(3,28),-0.0647682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,3),(3,2),-0.0504644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,3),(3,1),-0.0456794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,3),(3,-1),0.142102 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,3),(3,2),(3,1),-0.0429745 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,2),(3,-1),-0.0498428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,1),(3,-1),-0.0430356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,4),(4,5),0.0943512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,6),0.113934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,7),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,8),0.103028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,28),0.0608929 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,5),(4,6),0.10306 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,7),0.103055 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,28),-0.0653806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,6),(4,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,28),-0.0469194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,7),(4,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,8),(4,28),-0.0641792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,4),(4,3),-0.0423332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,2),-0.042017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,1),-0.0452313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,-1),0.0503918 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,3),(4,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,-1),-0.0435109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,2),(4,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,2),(4,-1),-0.0420112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,1),(4,-1),-0.0420441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,6),0.090953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,7),0.0947974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,8),0.104601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,9),0.135244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,10),0.135244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,11),-0.0660912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,5),(5,12),-0.0641629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,15),-0.0652907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,16),-0.0641876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,19),-0.0660912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,28),0.00162973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,6),(5,7),0.102862 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,8),0.102494 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,9),0.0703476 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,10),0.0703476 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,11),-0.0651247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,6),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,15),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,16),-0.0641772 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,19),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,28),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,8),0.103064 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,9),0.0993286 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,10),0.0993286 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,28),-0.0645725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,8),(5,9),0.102382 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,10),0.102382 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,8),(5,12),-0.0641523 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,28),-0.0576737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,10),0.120516 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,11),-0.0641593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,12),-0.0641701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,15),-0.0641587 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,16),-0.0642142 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,19),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,28),-0.0450307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,11),-0.0641593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,12),-0.0641701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,15),-0.0641587 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,16),-0.0642142 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,19),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,28),-0.0450247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,11),(5,12),-0.0641701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,15),-0.0641587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,16),-0.0642142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,19),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,28),-0.0450247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,12),(5,15),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,16),-0.0641772 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,19),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,28),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,15),(5,16),-0.0641801 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,28),-0.0118018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,16),(5,19),-0.0641889 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,16),(5,28),-0.106206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,19),(5,28),-0.0454015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,4),-0.0601923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,3),-0.00520428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,2),-0.036407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,1),-0.0447863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,-1),-0.0286633 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,4),(5,3),-0.0421761 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,1),-0.0426131 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,-1),-0.0439815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,3),(5,2),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,-1),0.0358097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,2),(5,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,2),(5,-1),-0.0437865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,1),(5,-1),-0.0432849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,28),0.0198722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,6),(6,5),-0.0430414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,3),-0.0420144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),0.0860913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),-0.0430414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,3),(6,-1),-0.0420144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,7),(7,28),-0.0472787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,11),(7,28),-0.0752136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,7),(7,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,5),-0.0420119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,3),-0.0422189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,-1),-0.0147069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,6),(7,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,5),(7,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,-1),-0.0420119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,3),(7,-1),-0.0422189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,9),0.068136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,10),0.068136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,11),-0.0673285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,8),(8,12),-0.0643932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,15),-0.066499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,16),-0.0656777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,19),-0.0673285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,23),-0.0673285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,24),-0.0657199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,26),-0.0673285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,28),-0.128321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,10),0.100664 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,11),-0.0642113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,9),(8,12),-0.0643281 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,15),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,16),-0.0642387 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,19),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,23),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,24),-0.0642631 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,26),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,28),-0.0953587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,11),-0.0642113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,12),-0.0643281 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,15),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,16),-0.0642387 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,19),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,23),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,24),-0.0642631 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,26),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,28),-0.0953587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,12),-0.0643281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,15),-0.0642081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,16),-0.0642387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,19),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,23),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,24),-0.0642631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,26),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,28),-0.0953587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,12),(8,15),-0.0643087 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,16),-0.0663963 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,19),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,20),-0.0644351 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,23),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,24),-0.0666222 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,26),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,28),-0.0864084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,15),(8,16),-0.0641832 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,19),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,20),-0.0641539 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,22),-0.0641468 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,23),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,24),-0.0641817 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,26),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,28),-0.0848173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,16),(8,19),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,23),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,24),-0.0648974 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,26),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,28),-0.0617153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
