# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,6,6,17,18,19,20,20,6,
(5,7),(7,10),(7,16),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,17),-0.0378975 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,18),-0.035299 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,19),-0.0379943 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,20),-0.0421169 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,22),-0.0420636 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,24),-0.0620919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,11),(7,12),-0.0420146 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,13),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,15),-0.0435667 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,16),-0.0513355 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,17),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,18),-0.0433364 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,19),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,20),-0.0422585 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,22),-0.0420146 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,24),-0.0688354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,12),(7,13),-0.0420155 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,15),-0.040634 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,16),-0.0816931 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,17),-0.0461913 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,18),-0.040701 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,19),-0.0518584 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,20),-0.0472454 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,22),-0.0223684 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,24),-0.0195256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,13),(7,15),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,17),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,18),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,19),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,22),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,24),-0.0195065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,15),(7,16),-0.03287 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,17),-0.0426725 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,18),-0.0422195 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,19),-0.0426781 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,20),-0.0427762 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,22),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,24),-0.041988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,16),(7,17),-0.0378975 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,18),-0.035299 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,19),-0.0379943 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,20),-0.0421169 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,22),-0.0420636 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,24),-0.0620919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,17),(7,18),-0.0426182 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,19),-0.0390931 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,20),-0.0424367 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,22),-0.0423063 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,24),-0.0917882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,18),(7,19),-0.0426739 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,20),-0.0427762 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,22),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,24),-0.0397108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,19),(7,20),-0.0424367 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,22),-0.0423063 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,24),-0.0960573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,20),(7,22),-0.0436815 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,20),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,20),(7,24),-0.021015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,22),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,22),(7,24),-0.0133581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,23),(7,24),-0.0420629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,5),0.0980779 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,2),-0.0643723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,1),-0.0642023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,-1),-0.0323272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,5),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,1),-0.064148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,-1),-0.0414573 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,2),(7,1),-0.0647614 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,2),(7,-1),0.00472018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,1),(7,-1),-0.150616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,11),-0.0465259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,24),-0.000624208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,11),(10,24),-0.0440047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,-1),-0.0171539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,11),(11,12),0.00214591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,13),0.114006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,15),0.146661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,16),0.0232509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,17),-0.050357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,18),0.158884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,19),-0.044853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,20),0.00135689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,24),-0.283468 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,12),(11,13),-0.042019 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,15),-0.0449739 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,16),-0.0420369 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,17),-0.0420182 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,18),-0.0448974 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,19),-0.0420182 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,24),0.011343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,13),(11,15),-0.0481865 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,16),-0.0468032 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,17),-0.044029 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,18),-0.0481867 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,19),-0.0440282 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,20),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,24),0.155363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,15),(11,16),-0.0518843 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,17),-0.0605422 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,18),-0.0529092 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,19),-0.059778 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,20),-0.0420137 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,24),0.268574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,16),(11,17),-0.0401511 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,18),-0.00788744 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,19),-0.0401212 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,20),-0.0420598 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,24),-0.06713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,17),(11,18),-0.0448818 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,17),(11,19),-0.0390056 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,17),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,17),(11,24),-0.106602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,18),(11,19),-0.059778 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,18),(11,20),-0.0420137 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,18),(11,24),0.281748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,19),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,19),(11,24),-0.105338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,20),(11,24),0.00638019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,11),(11,10),0.100251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,-1),0.110862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,10),(11,-1),-0.0669581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,17),-0.044242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,24),-0.000624208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,16),(16,17),(16,24),-0.0438319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,-1),-0.0171539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,2),0.157879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,4),0.128893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,5),0.180495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,6),-0.115979 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,7),-0.0646053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,9),-0.0645357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,10),-0.0648269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,11),-0.0643158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,16),-0.0648269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,17),-0.0593578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,23),-0.064146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,24),-0.00155645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,2),(1,4),0.103069 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,5),0.102565 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,2),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,17),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,24),-0.0156059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,4),(1,5),0.101858 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,6),-0.064146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,4),(1,7),-0.0641958 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,11),-0.0643129 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,17),-0.0641488 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,23),-0.064243 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,24),-0.0313824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,5),(1,6),-0.0641752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,5),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,10),-0.0642627 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,11),-0.071961 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,16),-0.0642627 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,17),-0.0641575 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,23),-0.0643802 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,24),-0.0209005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,6),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,10),-0.0643747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,11),-0.0641824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,16),-0.0643747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,23),-0.0662086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,24),0.0184445 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,7),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,10),-0.0649335 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,16),-0.0649335 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,24),-0.12426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,9),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,17),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,24),-0.0149204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,10),(1,11),-0.0647474 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,10),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,10),(1,17),-0.0642852 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,10),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,10),(1,24),-0.12736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,11),(1,16),-0.0641572 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,17),-0.0644673 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,23),-0.0654106 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,24),-0.127119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,16),(1,17),-0.0642852 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,16),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,16),(1,24),-0.12736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,17),(1,23),-0.0645593 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,17),(1,24),-0.0273994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,23),(1,24),-0.0330534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,1),(1,-1),-0.0952184 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,2),(2,3),0.0868094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,4),0.0898539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,5),0.105801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,6),-0.064147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,2),(2,7),-0.0641539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,10),-0.064196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,11),-0.065819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,16),-0.064196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,24),-0.198207 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,3),(2,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,3),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,24),-0.0810053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,4),(2,5),0.103051 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,4),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,10),-0.0644944 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,16),-0.0644944 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,24),-0.0762838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,5),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,5),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,10),-0.0643313 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,16),-0.0643313 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,24),-0.0631511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,6),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,24),-0.0689106 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,7),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,7),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,7),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,7),(2,24),-0.0648352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,10),(2,11),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,10),(2,16),-0.0644701 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,10),(2,24),-0.0398371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,11),(2,16),-0.0641534 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,11),(2,24),-0.0917405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,16),(2,24),-0.0398371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,2),(2,1),-0.0579137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,-1),-0.156649 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,1),(2,-1),-0.0312971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,24),-0.163904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,7),(3,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,2),-0.0457374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,1),-0.0358588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,-1),-0.185605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,2),(3,1),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,2),(3,-1),-0.0514742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,1),(3,-1),-0.0400147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,7),-0.0642188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,24),-0.0133354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,7),(4,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,24),-0.0539043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,23),(4,24),-0.0569787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,3),-0.0935247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,2),0.0142037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,1),-0.0512601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,-1),0.105535 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,3),(4,2),-0.0422235 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,1),-0.0436904 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,-1),-0.0137312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,2),(4,1),-0.0459888 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,2),(4,-1),0.0441974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,1),(4,-1),-0.0509106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,6),-0.068244 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,7),-0.0660599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,10),-0.0641582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,11),-0.0671245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
