# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(20,28),(28,28),(28,32),-0.0420337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,33),-0.0420113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,34),-0.0589623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,36),-0.0459158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,38),-0.0427778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,28),(28,29),(28,30),0.0762099 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,31),-0.0923955 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,32),-0.0432116 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,33),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,34),0.0400027 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,36),-0.0375383 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,29),(28,38),0.00669996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,30),(28,31),-0.104519 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,30),(28,32),-0.0432116 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,30),(28,33),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,30),(28,34),0.0398542 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,30),(28,36),-0.0380185 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,30),(28,38),0.0578749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,31),(28,32),-0.0922813 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,31),(28,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,31),(28,34),-0.0424684 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,31),(28,36),-0.0462393 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,31),(28,38),-0.0448277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,32),(28,33),-0.0420171 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,32),(28,34),-0.0420934 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,32),(28,36),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,32),(28,38),-0.0884748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,33),(28,34),-0.0334835 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,33),(28,36),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,33),(28,38),-0.0427911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,34),(28,36),-0.0375383 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,34),(28,38),0.00669996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,36),(28,38),-0.0375313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,28),(28,27),0.118564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,26),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,24),0.130926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,23),0.106764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,22),0.099028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,-1),-0.160078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,28),(28,27),(28,26),0.103069 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,24),0.103068 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,23),0.102813 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,22),0.10307 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,-1),-0.0679065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,26),(28,24),0.10307 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,23),0.10307 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,22),0.10307 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,24),(28,23),0.10306 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,24),(28,22),0.10307 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,24),(28,-1),-0.0285114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,23),(28,22),0.106792 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,23),(28,-1),-0.0655149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,22),(28,-1),-0.0640272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,30),(30,31),-0.054315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,32),-0.0292215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,33),-0.042265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,36),-0.0503197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,38),0.0454545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,30),(30,31),(30,32),-0.0442098 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,31),(30,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,31),(30,36),-0.0432864 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,31),(30,38),-0.0482762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,32),(30,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,32),(30,36),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,32),(30,38),-0.0371455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,33),(30,36),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,33),(30,38),-0.0422788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,36),(30,38),-0.0514434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,30),(30,29),0.0812011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,24),0.0812011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,22),0.096185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,30),(30,30),(30,-1),-0.00122651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,30),(30,29),(30,24),0.101908 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,29),(30,22),0.103069 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,29),(30,-1),-0.0675984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,24),(30,22),0.103069 # DEPENDENCYPART_GRANDSIBL
(20,30),(30,24),(30,-1),-0.0675984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,30),(30,22),(30,-1),-0.0777545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,31),(31,31),(31,38),-0.0513807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,31),(31,31),(31,-1),-0.0599679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,32),(32,32),(32,33),-0.0466087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,32),(32,32),(32,34),-0.0534479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,32),(32,32),(32,36),-0.0222254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,32),(32,32),(32,38),-0.266146 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,32),(32,33),(32,34),-0.042019 # DEPENDENCYPART_GRANDSIBL
(20,32),(32,33),(32,36),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(20,32),(32,33),(32,38),-0.046633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,32),(32,34),(32,36),-0.042015 # DEPENDENCYPART_GRANDSIBL
(20,32),(32,34),(32,38),-0.0523235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,32),(32,36),(32,38),0.00324974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,32),(32,32),(32,-1),0.0681658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,38),-0.0207637 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,-1),0.00145166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,16),(18,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,20),0.0977002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,19),(19,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,23),-0.0645092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,24),-0.0641516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,27),-0.065511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,28),-0.0641468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,30),-0.0641516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,38),-0.0695782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,20),(19,21),-0.0641712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,20),(19,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,23),-0.0641465 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,38),-0.065551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,21),(19,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,38),-0.0670313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,22),(19,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,38),-0.0823902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,23),(19,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,38),-0.0655025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,24),(19,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,38),-0.0677215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,27),(19,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,27),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,27),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,27),(19,38),-0.0380587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,28),(19,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,28),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,28),(19,38),-0.0641838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,30),(19,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,30),(19,38),-0.067722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,32),(19,38),-0.0657332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,18),-0.0443804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,-1),0.001229 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,18),(19,-1),-0.043531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,22),(22,23),-0.0469666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,24),-0.0314883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,38),-0.129823 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,23),(22,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,23),(22,38),-0.0459003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,24),(22,38),-0.0428818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,22),(22,-1),-0.123231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,23),(23,24),-0.065353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,26),-0.0460176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,27),-0.0900365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,28),-0.0548345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,31),-0.0685316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,32),-0.014528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,38),-0.0679607 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,24),(23,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,27),-0.0439241 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,31),-0.0477488 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,38),-0.056756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,26),(23,27),-0.0420232 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,31),-0.0420151 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,32),-0.0420383 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,38),-0.0433681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,27),(23,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,31),-0.0430644 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,32),-0.0420222 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,38),-0.063328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,28),(23,31),-0.0320227 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,38),-0.0712709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,31),(23,32),-0.0376618 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,31),(23,38),-0.0478175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,32),(23,38),-0.0219697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,23),(23,22),0.139069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,-1),-0.118606 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,22),(23,-1),-0.0428268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,24),(24,24),(24,27),-0.0719302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,24),(24,24),(24,28),-0.0449297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,24),(24,24),(24,38),0.0553184 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,24),(24,27),(24,28),-0.0424353 # DEPENDENCYPART_GRANDSIBL
(21,24),(24,27),(24,38),-0.0271664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,24),(24,28),(24,38),-0.0474564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,24),(24,24),(24,23),0.140306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,24),(24,24),(24,22),0.104717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,24),(24,24),(24,-1),-0.187368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,24),(24,23),(24,22),0.119179 # DEPENDENCYPART_GRANDSIBL
(21,24),(24,23),(24,-1),-0.0492619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,24),(24,22),(24,-1),-0.0358488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,25),(25,26),-0.0548233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,27),-0.0774667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,28),-0.0299156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,30),-0.058085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,31),-0.0731358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,32),-0.0588061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,33),-0.0299156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,36),-0.0409234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,38),0.187153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,25),(25,26),(25,27),-0.0348304 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,30),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,31),-0.0423021 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,32),-0.0429979 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,36),-0.0425877 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,26),(25,38),-0.0391356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,27),(25,28),-0.0439577 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,30),-0.0426726 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,31),-0.0622877 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,32),-0.0268609 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,33),-0.0439577 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,36),-0.0467004 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,27),(25,38),-0.0785899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,28),(25,30),-0.0423679 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,28),(25,31),-0.0569013 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,28),(25,32),-0.0334763 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,28),(25,33),-0.0425347 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,28),(25,36),-0.0405593 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,28),(25,38),-0.0148177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,30),(25,31),-0.0420555 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,30),(25,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,30),(25,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,30),(25,36),-0.0438101 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,30),(25,38),-0.0365059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,31),(25,32),-0.0626188 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,31),(25,33),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,31),(25,36),-0.039926 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,31),(25,38),-0.0558465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,32),(25,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,32),(25,36),-0.027256 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,32),(25,38),-0.114162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,33),(25,36),-0.0405593 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,33),(25,38),-0.0148177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,36),(25,38),-0.0444843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,25),(25,24),0.0915224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,23),0.178052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,22),0.0902985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,20),-0.0743912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,19),-0.0675734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,16),-0.0695292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,25),(25,-1),-0.192416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,25),(25,24),(25,23),0.094724 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,22),0.103331 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,20),-0.0644143 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,-1),-0.0566231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,23),(25,22),0.0885212 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,20),-0.0679451 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,16),-0.0642501 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,13),-0.0648449 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,-1),-0.0629854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,22),(25,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,19),-0.0642286 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,-1),-0.137827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,20),(25,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,20),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,20),(25,16),-0.0642501 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,20),(25,13),-0.0648449 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,20),(25,-1),-0.0629856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,19),(25,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,19),(25,16),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,19),(25,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,19),(25,-1),-0.0336683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,18),(25,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,18),(25,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,18),(25,-1),-0.0892934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
