# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(7,5),(5,6),(5,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,19),-0.02358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,7),(5,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,19),-0.0554668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,8),(5,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,11),-0.0643552 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,14),-0.0643552 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,19),-0.0286329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,10),(5,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,10),(5,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,10),(5,19),-0.067595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,11),(5,14),-0.064173 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,11),(5,19),-0.139546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,14),(5,19),-0.141869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,5),(5,4),-0.0463745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,3),0.00824006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,2),-0.0254849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,1),-0.0332042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,-1),0.0299772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,4),(5,3),-0.0248485 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,2),-0.0421655 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,1),-0.0427595 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,-1),-0.0468107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,3),(5,2),-0.0499766 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,3),(5,1),-0.0429046 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,3),(5,-1),-0.0144704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,2),(5,1),-0.0423542 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,2),(5,-1),0.0097246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,1),(5,-1),-0.0294578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,7),-0.0677386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,6),(6,8),-0.0641654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,9),-0.0641769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,10),-0.064564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,11),-0.0777524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,13),-0.0677386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,14),-0.0786107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,16),-0.064564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,17),-0.0677386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,19),0.125662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,7),(6,8),-0.0641725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,11),-0.0642142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,14),-0.0642142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,19),-0.0687785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,8),(6,9),-0.0641887 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,11),-0.0641673 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,14),-0.0641673 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,18),-0.064167 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,19),-0.053931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,9),(6,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,19),-0.0653028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,10),(6,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,19),-0.0706444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,11),(6,13),-0.0641851 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,14),-0.0653613 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,17),-0.0641851 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,19),-0.0625481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,13),(6,14),-0.0642142 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,13),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,13),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,13),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,13),(6,19),-0.0685636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,14),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,14),(6,17),-0.0641861 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,14),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,14),(6,19),-0.0653634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,16),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,16),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,16),(6,19),-0.0706444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,17),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,17),(6,19),-0.0685632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,18),(6,19),-0.064167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,5),0.00878752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,4),-0.0474266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,3),0.0106095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,2),-0.0655614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,1),0.0487017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,-1),-0.0696707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,5),(6,4),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,3),-0.0458862 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,2),-0.0440418 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,1),-0.044296 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,-1),-0.032474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,4),(6,3),-0.0422832 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,1),-0.0421839 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,-1),-0.0443698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,3),(6,2),-0.0440527 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,1),-0.0442961 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,-1),-0.0306784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,2),(6,1),-0.0451176 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,2),(6,-1),-0.0420959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,1),(6,-1),0.055094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,19),-0.000624208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,8),(8,7),0.0960548 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,8),(8,-1),-0.0171539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,7),(8,-1),-0.0716142 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,10),-0.0162646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,11),-0.0124722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,13),-0.0440875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,14),-0.0195855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,16),-0.0162646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,17),-0.0455911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,18),-0.0420187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,19),0.0125405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,10),(9,11),-0.0464717 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,13),-0.0405498 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,14),-0.0462039 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,17),-0.0405498 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,18),-0.0427243 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,19),-0.0487605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,11),(9,13),-0.0351242 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,14),-0.0590506 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,16),-0.0448439 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,17),-0.0351242 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,18),-0.0432972 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,19),0.0127013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,13),(9,14),-0.0329353 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,16),-0.0428355 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,17),-0.0338429 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,18),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,19),-0.0896626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,14),(9,16),-0.0447105 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,17),-0.0361867 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,18),-0.0432972 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,19),0.0124331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,16),(9,17),-0.0405498 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,18),-0.0427243 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,19),-0.0487605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,17),(9,18),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,19),-0.0885904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,18),(9,19),-0.0585553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,8),0.128406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,7),0.123017 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,6),-0.0649935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,5),-0.0641913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,4),-0.0642808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,3),-0.0641913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,2),-0.0641484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,1),-0.0699601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.110531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,7),0.102615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,8),(9,6),-0.064369 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,5),-0.0642249 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,4),-0.0641551 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,3),-0.0642249 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,1),-0.064369 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,-1),-0.111369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,7),(9,6),-0.064161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,4),-0.0643032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,2),-0.0646013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,1),-0.0643681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,-1),-0.0819587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,6),(9,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,4),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,1),-0.0641471 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,-1),-0.0796319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,5),(9,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,1),-0.0641503 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,-1),-0.127898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,4),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,-1),-0.0647824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,3),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,1),-0.0641503 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,-1),-0.126043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,2),(9,1),-0.064369 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,2),(9,-1),-0.111369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,1),(9,-1),-0.0240596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,11),-0.0475794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,12),-0.0520923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),0.00734785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),-0.045709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,15),-0.0461569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,16),-0.0496172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,17),0.00735215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,19),-0.0551479 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,11),(10,12),-0.0421324 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,13),-0.04118 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,14),-0.049751 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,16),-0.0430616 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,17),-0.04118 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,19),-0.0432846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,12),(10,13),-0.0420293 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,14),-0.0358789 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,17),-0.0420293 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,19),-0.0500989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),-0.0454008 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,16),-0.0377052 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,17),-0.0376292 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,19),-0.0138935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,16),-0.0430616 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,17),-0.0420925 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,19),-0.0452327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,15),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,19),-0.0461569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,16),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,19),-0.0563952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,17),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,19),-0.0138858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,18),(10,19),-0.0423271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,8),0.108835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,7),0.099826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,6),-0.0667131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,5),-0.0655304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,3),-0.0655304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,1),-0.0653102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),0.116829 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,8),(10,7),0.102822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,-1),-0.0590804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,7),(10,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,-1),-0.107104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,-1),-0.0724935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,5),(10,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,-1),-0.0461472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,3),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,3),(10,-1),-0.0479204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,1),(10,-1),-0.0628766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,12),-0.00312128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),-0.0136111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,14),-0.0610621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,16),-0.0367623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,17),-0.0265226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,18),-0.0420282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,19),-0.23163 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.0424028 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,14),-0.0421639 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,16),-0.0420557 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,17),-0.0424028 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,18),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,19),-0.0114716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
