# _root_ Ilford , for example , recently introduced a black-and-white film that can be processed quickly by color labs .
#goldHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
#predictedHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
(7,1),(1,6),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,6),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,6),(1,19),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,6),(1,20),-0.0640495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,7),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,7),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,7),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,7),(1,19),-0.0641656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,7),(1,20),-0.083625 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,1),(1,10),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,10),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,10),(1,19),-0.0559858 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,10),(1,20),-0.099914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,12),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,12),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,12),(1,20),-0.0709622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,15),(1,19),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,15),(1,20),-0.0627377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,19),(1,20),-0.0569791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,1),(1,-1),0.108557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,2),(2,2),(2,3),0.0976879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,2),(2,2),(2,20),0.0442354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,2),(2,3),(2,20),-0.0694744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,2),(2,2),(2,1),-0.0482625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,2),(2,2),(2,-1),0.0397224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,2),(2,1),(2,-1),-0.0445551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,3),(3,4),0.189947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,5),0.0833144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,6),0.151562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,7),-0.115939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,3),(3,3),(3,10),-0.0766536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,11),-0.0498033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,12),-0.0769726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,13),-0.064326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,19),-0.064146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,20),-0.0214552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,3),(3,4),(3,5),0.110479 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,6),0.097874 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,7),-0.0641752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,4),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,19),-0.064364 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,4),(3,20),-0.0113812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,5),(3,6),0.0926117 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,7),-0.0648689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,5),(3,10),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,12),-0.0551201 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,13),-0.064146 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,5),(3,20),-0.123594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,6),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,6),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,6),(3,11),-0.0641463 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,6),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,6),(3,13),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,6),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,6),(3,20),-0.0372116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,7),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,7),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,7),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,7),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,7),(3,19),-0.0655758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,7),(3,20),0.0232353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,3),(3,10),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,10),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,10),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,10),(3,19),-0.064364 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,10),(3,20),-0.0299744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,11),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,11),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,11),(3,19),-0.0641619 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,11),(3,20),-0.00838733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,12),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,12),(3,19),-0.0551692 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,12),(3,20),-0.110456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,13),(3,19),-0.0641481 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,13),(3,20),-0.0318793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,19),(3,20),-0.0411358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,3),(3,2),-0.000669527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,1),0.0389867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,3),(3,3),(3,-1),-0.192754 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,3),(3,2),(3,1),-0.0436444 # DEPENDENCYPART_GRANDSIBL
(7,3),(3,2),(3,-1),-0.07529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,3),(3,1),(3,-1),-0.0077469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,4),(4,5),0.0630602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,6),0.118985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,7),-0.0681925 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,4),(4,10),-0.0501235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,12),-0.0726115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,19),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,20),-0.081097 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,5),(4,6),0.0712726 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,5),(4,7),-0.0728185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,5),(4,10),-0.0724488 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,5),(4,12),-0.0652226 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,5),(4,19),-0.064151 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,5),(4,20),-0.0378004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,6),(4,7),-0.0641481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,6),(4,10),-0.0643618 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,12),-0.0642119 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,20),-0.0764678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,7),(4,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,19),-0.0641532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,20),-0.0543609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,10),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,10),(4,19),-0.0641482 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,10),(4,20),-0.0496192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,12),(4,19),-0.0641504 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,12),(4,20),-0.0782091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,19),(4,20),-0.0665985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,4),(4,3),-0.0632344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,2),-0.0153564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,1),-0.0315951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,-1),0.0479055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,3),(4,2),0.0320894 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,1),-0.0525502 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,-1),0.000863644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,2),(4,1),0.0198599 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,2),(4,-1),-0.0998997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,1),(4,-1),-0.0389011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,5),(5,20),0.0442354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,5),(5,-1),0.0397224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,6),(6,7),-0.0642108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,6),(6,10),-0.066746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,15),-0.064923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,16),-0.0661408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,20),-0.0333822 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,7),(6,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,20),-0.08441 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,10),(6,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,16),-0.0642003 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,20),-0.0301934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,12),(6,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,12),(6,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,12),(6,20),-0.0702524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,15),(6,16),-0.0648843 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,15),(6,20),-0.0383225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,16),(6,20),-0.0466476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,5),-0.00793202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,4),-0.016181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,3),-0.0570868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,2),-0.00793202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,1),-0.0585313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,-1),0.0195144 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,5),(6,4),-0.044524 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,3),-0.0503482 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,1),-0.0426778 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,-1),-0.0245205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,4),(6,3),-0.045089 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,2),-0.0494805 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,1),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,-1),-0.0235539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,3),(6,2),-0.0431265 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,1),-0.0420153 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,-1),-0.0478636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,2),(6,1),-0.0426778 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,2),(6,-1),-0.0245205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,1),(6,-1),-0.0513728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,9),-0.0659685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,12),-0.0280097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,20),-0.175254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,9),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,20),-0.0675882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,12),(8,20),-0.0293637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,-1),-0.144109 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,6),(8,-1),-0.0760818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,11),-0.0328808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,12),-0.0404737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,16),-0.00480826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,20),0.00380234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,11),(9,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,16),-0.0423424 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,20),-0.0290228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,12),(9,16),-0.0420227 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,20),-0.0367668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,16),(9,20),0.0229201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,8),0.0281114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,6),-0.0698084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,1),-0.0642541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.139324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,6),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,-1),-0.138494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,6),(9,5),-0.0641482 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,-1),-0.0685597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,5),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,-1),-0.0249313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,1),(9,-1),-0.0670206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,11),-0.0354761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,12),-0.0268192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),-0.0650076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),-0.0253676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,15),-0.00519766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,16),-0.083596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,18),-0.0605092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,19),-0.0508245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,20),0.0478515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,11),(10,12),-0.0421116 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,14),-0.0420151 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,15),-0.0403526 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,16),-0.0446166 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,19),-0.042018 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,20),-0.0192395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,12),(10,13),-0.0422112 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,14),-0.0421724 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,15),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,16),-0.0420907 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,18),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,19),-0.0420153 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,20),-0.02584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,16),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,18),-0.0420902 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,19),-0.0429834 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,20),-0.0676294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,15),-0.0430666 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,16),-0.0400273 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,19),-0.0420467 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,20),-0.105242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,15),(10,16),-0.0399376 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,18),-0.0438065 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,19),-0.0420751 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,20),0.0183802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,16),(10,18),-0.0431459 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,19),-0.0426443 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,20),-0.0436665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,18),(10,19),-0.0420266 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,18),(10,20),-0.0491118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,19),(10,20),-0.0520026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,9),0.143777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,8),0.0628411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,7),0.0861641 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,6),-0.0642308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,5),-0.0641579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,4),-0.0501235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,3),0.0257857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,2),-0.0641579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),-0.0810362 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,9),(10,8),0.157629 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,7),0.100798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,9),(10,6),-0.0659471 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,5),-0.0653636 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,4),-0.0656778 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,3),-0.064301 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,2),-0.0653636 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,-1),-0.0504172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,7),0.10219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,6),-0.0642481 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,5),-0.0642559 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,3),-0.048287 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,2),-0.0642559 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,-1),-0.107144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,7),(10,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,5),-0.0675412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,3),-0.0641497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,2),-0.0675412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,-1),-0.0543545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,5),-0.0641631 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,4),-0.0643618 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,3),-0.0648881 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,2),-0.0641631 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,-1),-0.0760155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,5),(10,4),-0.0724481 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,3),-0.0676257 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,2),-0.065503 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,-1),-0.0363016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,4),(10,3),-0.0650616 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,4),(10,2),-0.0645399 # DEPENDENCYPART_GRANDSIBL
