# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,10,10,
(12,13),(13,13),(13,2),-0.0641548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,1),-0.0641548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,-1),0.00162877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,12),(13,11),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,8),-0.0641701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,7),-0.0641587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,5),-0.0641587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,4),-0.0686986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,3),-0.0642136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,1),-0.0641709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,-1),-0.0450247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,11),(13,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,8),-0.0641701 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,7),-0.0641587 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,5),-0.0641587 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,4),-0.0686986 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,3),-0.0642136 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,1),-0.0641709 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,11),(13,-1),-0.0454202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,10),(13,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,10),(13,-1),-0.0638357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,9),(13,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,9),(13,-1),-0.0642861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,8),(13,7),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,6),-0.0642262 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,5),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,4),-0.0641651 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,3),-0.0641772 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,1),-0.0641503 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,8),(13,-1),-0.0493059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,7),(13,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,4),-0.0643396 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,3),-0.0641801 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,7),(13,-1),-0.0171436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,6),(13,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,6),(13,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,6),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,6),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,6),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,6),(13,-1),-0.0576661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,5),(13,4),-0.0643396 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,5),(13,3),-0.0641801 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,5),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,5),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,5),(13,-1),-0.0182809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,4),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,4),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,4),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,4),(13,-1),-0.0322691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,3),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,3),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,3),(13,-1),-0.102475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,2),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,2),(13,-1),-0.0633974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,1),(13,-1),-0.0802654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,30),0.0830676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,14),(14,-1),0.0168486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,15),(15,16),-0.0420579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,30),-0.0357706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,16),(15,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,17),(15,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,15),(15,14),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,13),0.103033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,-1),-0.0607782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,14),(15,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,13),(15,-1),-0.0641822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,17),(17,18),-0.0345316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,19),-0.0506122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,20),-0.0402137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,21),-0.0469869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,22),-0.0510173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,23),-0.0469767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,24),-0.0344777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,25),-0.0402138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,26),-0.0495578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,27),-0.0505852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,28),-0.0421915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,29),-0.0420894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,30),-0.0397056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,18),(17,19),-0.042084 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,21),-0.0420182 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,23),-0.0420182 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,26),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,27),-0.042084 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,30),-0.0423252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,19),(17,20),-0.0420636 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,21),-0.0392992 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,22),-0.0429345 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,23),-0.0387386 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,24),-0.0420274 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,25),-0.0420636 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,26),-0.0420474 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,27),-0.0425704 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,28),-0.0422163 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,29),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,30),-0.0656978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,20),(17,21),-0.0392362 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,22),-0.0414898 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,23),-0.0392362 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,24),-0.0420251 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,25),-0.0422288 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,26),-0.0391831 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,27),-0.0425475 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,29),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,20),(17,30),-0.0362519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,21),(17,22),-0.0420961 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,23),-0.0383642 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,24),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,25),-0.0422049 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,26),-0.0420838 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,27),-0.0423653 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,28),-0.0423263 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,30),-0.0395149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,22),(17,23),-0.0420202 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,25),-0.0420169 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,27),-0.042026 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,28),-0.0425253 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,29),-0.0396304 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,30),-0.0522045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,23),(17,24),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,25),-0.0422042 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,26),-0.0420801 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,27),-0.0423653 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,28),-0.0423263 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,30),-0.0389306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,24),(17,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,24),(17,26),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,24),(17,27),-0.0421276 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,24),(17,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,24),(17,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,24),(17,30),-0.0423254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,25),(17,26),-0.0391831 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,25),(17,27),-0.0425475 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,25),(17,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,25),(17,29),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,25),(17,30),-0.0362519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,26),(17,27),-0.0420338 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,26),(17,28),-0.0420124 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,26),(17,29),-0.0426078 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,26),(17,30),-0.0469546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,27),(17,28),-0.0422163 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,27),(17,29),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,27),(17,30),-0.0656708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,28),(17,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,28),(17,30),-0.0376826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,29),(17,30),-0.0417212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,17),(17,16),0.100328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,15),0.103062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,14),0.100004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,13),0.104287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,12),0.0845554 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,17),(17,11),-0.0646567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,10),-0.0642003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,8),-0.064147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,7),-0.0650579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,5),-0.0650579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,3),-0.0641736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,-1),-0.0968525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,16),(17,15),0.104604 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,14),0.105355 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,13),0.103066 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,12),0.102286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,16),(17,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,16),(17,-1),-0.0656846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,15),(17,14),0.103034 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,13),0.103046 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,12),0.103063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,15),(17,11),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,15),(17,-1),-0.0681949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,14),(17,13),0.10303 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,12),0.101872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,14),(17,11),-0.0641579 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,10),-0.0641786 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,3),-0.0649117 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,14),(17,-1),-0.0708321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,13),(17,12),0.103025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,13),(17,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,13),(17,-1),-0.0597428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,12),(17,11),-0.0641535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,8),-0.0642515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,12),(17,-1),-0.0891653 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,11),(17,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,8),-0.0642515 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,11),(17,-1),-0.0891653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,10),(17,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,10),(17,-1),-0.0643558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,9),(17,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,9),(17,-1),-0.0660913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,8),(17,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,8),(17,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,8),(17,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,8),(17,3),-0.0649117 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,8),(17,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,8),(17,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
