# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(13,10),(10,10),(10,15),-0.0654151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,19),-0.0641647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,24),-0.0307366 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,11),(10,12),0.0628921 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,13),-0.0641513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,11),(10,14),-0.0641683 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,15),-0.0641683 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,19),-0.0643017 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,23),-0.0642491 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,24),-0.00962084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,13),-0.0799185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,14),-0.0641889 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,15),-0.0641885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,16),-0.06418 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,19),-0.0645723 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,24),-0.0798441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,13),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,23),-0.0642716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,24),-0.129675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,14),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,23),-0.0641544 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,24),-0.0592546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,15),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,23),-0.0641544 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,24),-0.0592149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,16),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,23),-0.064209 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,24),-0.0662951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,19),(10,23),-0.0642289 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,24),-0.0636949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,23),(10,24),-0.0533786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,8),-0.028152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,7),-0.0485874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,6),-0.0278168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,1),-0.028144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,-1),0.057326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,8),(10,7),-0.0385173 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,6),-0.0686705 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,1),-0.0686705 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,-1),-0.0390003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,7),(10,6),-0.035063 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,1),-0.035063 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,-1),-0.0548801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,6),(10,1),-0.0686704 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,-1),-0.038673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,1),(10,-1),-0.0390001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,12),0.0712741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,13),-0.0684945 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,11),(11,14),-0.0654151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,24),-0.0486062 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,12),(11,13),-0.0799185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,12),(11,14),-0.0641889 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,24),-0.0832412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,13),(11,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,24),-0.129675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,14),(11,24),-0.0592546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,10),-0.0441181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,8),-0.0441262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,7),-0.0485874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,6),-0.043791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,4),-0.0158546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,-1),0.0514023 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,10),(11,8),-0.0809302 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,7),-0.0385173 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,6),-0.0809302 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,4),-0.0410821 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,-1),-0.056203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,8),(11,7),-0.0385173 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,6),-0.0809303 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,4),-0.0410821 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,-1),-0.0562032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,7),(11,6),-0.035063 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,4),-0.0420153 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,-1),-0.0548801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,6),(11,4),-0.0410821 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,-1),-0.0558758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,4),(11,-1),0.0274542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,24),0.0234369 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,12),(12,-1),0.0406395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,14),(14,15),0.00767887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,16),-0.0755447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,17),-0.0346514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,18),-0.0111151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,19),0.0845755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,20),-0.124303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,22),0.0668455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,23),-0.0452484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,24),-0.12334 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,16),-0.0442988 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,19),-0.0422673 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,20),-0.046457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,22),-0.0422156 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,23),-0.0433075 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,24),0.0570306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,16),(14,17),-0.0430202 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,18),-0.0454657 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,19),-0.0572217 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,20),-0.0563197 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,22),-0.0581917 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,23),-0.0434859 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,24),-0.00129446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,17),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,19),-0.0422816 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,20),-0.0370923 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,22),-0.0426857 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,23),-0.0420227 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,24),-0.0346769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,18),(14,19),-0.0451146 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,20),-0.0613804 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,22),-0.0313242 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,24),-0.0200696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,19),(14,20),-0.0467141 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,22),-0.0394314 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,23),-0.042022 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,24),0.0264139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,20),(14,22),-0.0928115 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,20),(14,23),-0.051148 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,20),(14,24),0.0323715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,22),(14,23),-0.045997 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,22),(14,24),-0.0340847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,23),(14,24),-0.0630608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,13),0.0947242 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,14),(14,11),-0.067068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,10),-0.067068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,8),-0.067068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,6),-0.067068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,5),-0.0641764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,4),-0.0393828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,-1),-0.0702455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,13),(14,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,4),-0.0641475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,-1),-0.0539087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,11),(14,10),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,8),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,7),-0.0641492 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,-1),-0.0786887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,10),(14,8),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,7),-0.0641492 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,-1),-0.0786885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,8),(14,7),-0.0641492 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,-1),-0.0786885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,7),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,7),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,7),(14,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,7),(14,-1),-0.0642089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,6),(14,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,6),(14,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,6),(14,-1),-0.0786885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,5),(14,4),-0.0643656 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,5),(14,-1),-0.0788379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,4),(14,-1),-0.0623887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,16),-0.0737332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,17),-0.0346444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,18),-0.0204426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,19),0.0944587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,20),-0.146276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,22),0.0863306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,23),-0.0452484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,24),-0.112051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,16),(15,17),-0.0427902 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,18),-0.0454657 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,19),-0.0565454 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,20),-0.0529528 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,22),-0.0581734 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,23),-0.0434857 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,24),-0.00513948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,17),(15,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,19),-0.0422816 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,20),-0.0370921 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,22),-0.0426857 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,23),-0.0420227 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,24),-0.0319635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,18),(15,19),-0.0448906 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,20),-0.0536534 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,22),-0.0346794 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,24),-0.0164053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,19),(15,20),-0.0438018 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,22),-0.0394303 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,23),-0.042022 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,24),0.0288474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,20),(15,22),-0.0933647 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,23),-0.0511424 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,24),0.0114499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,22),(15,23),-0.045997 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,22),(15,24),-0.000301768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,23),(15,24),-0.0627281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,14),0.0949671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,13),0.0954198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,12),-0.0641764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,11),-0.0656854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,10),-0.0656854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,8),-0.0656854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,6),-0.0656854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,5),-0.0641764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,4),-0.0372718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.0943864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,14),(15,13),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,14),(15,12),-0.0641622 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,7),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,5),-0.0641622 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,-1),-0.07257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,13),(15,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,4),-0.0641475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,-1),-0.0532146 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,12),(15,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,4),-0.0643656 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.0788323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,11),(15,10),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,8),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,7),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,-1),-0.0773007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,10),(15,8),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,7),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,-1),-0.0773005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,8),(15,7),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,6),-0.0646729 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,-1),-0.0773005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,7),(15,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,-1),-0.0642085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,6),(15,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,6),(15,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,6),(15,-1),-0.0773005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,5),(15,4),-0.0643656 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,5),(15,-1),-0.0788323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,4),(15,-1),-0.0598915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),0.0188669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),-0.0401643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,19),-0.0588531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,20),-0.0378536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,24),-0.134122 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,18),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,19),-0.0438104 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,20),-0.0395863 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,24),-0.00527341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,18),(16,19),-0.0420305 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,20),-0.0420255 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,24),-0.0415934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
