# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,12,22,20,3,0,29,27,28,24,28,24,
(28,8),(8,7),(8,4),-0.0259574 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,7),(8,3),-0.0430153 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,7),(8,2),-0.0420144 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,7),(8,1),-0.042053 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,7),(8,-1),-0.0360412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,6),(8,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,6),(8,4),-0.0429153 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,6),(8,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,6),(8,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,6),(8,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,6),(8,-1),-0.0423903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,5),(8,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,5),(8,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,5),(8,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,5),(8,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,5),(8,-1),-0.0335223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,4),(8,3),-0.0487871 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,4),(8,2),-0.0432605 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,4),(8,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,4),(8,-1),-0.048026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,3),(8,2),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,3),(8,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,3),(8,-1),-0.0246645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,2),(8,1),-0.0420531 # DEPENDENCYPART_GRANDSIBL
(28,8),(8,2),(8,-1),-0.0374959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,8),(8,1),(8,-1),-0.0423903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,9),(9,10),0.106449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,11),0.10838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,12),0.092063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,13),0.0828079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,14),0.0834552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,15),0.108115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,16),0.106416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,17),0.106413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,18),0.092063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,19),0.0834552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,20),0.0794066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,21),0.100654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,22),0.0920605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,23),0.124142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,24),0.100435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,25),0.100392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,28),-0.0642091 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,9),(9,9),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,31),-0.0545078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,9),(9,10),(9,11),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,12),0.106013 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,13),0.103053 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,14),0.101739 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,15),0.110554 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,16),0.108059 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,17),0.108059 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,18),0.106013 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,19),0.101739 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,20),0.10306 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,21),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,22),0.106013 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,23),0.10286 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,24),0.103065 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,25),0.102746 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,10),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,10),(9,31),-0.0656057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,11),(9,12),0.10305 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,13),0.103053 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,18),0.10305 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,20),0.103055 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,21),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,22),0.10305 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,23),0.102971 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,24),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,25),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,11),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,11),(9,31),-0.0631305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,12),(9,13),0.100728 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,14),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,15),0.0979822 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,16),0.100526 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,17),0.100524 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,18),0.102901 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,20),0.100629 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,21),0.102137 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,22),0.102901 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,23),0.11308 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,24),0.103061 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,25),0.102793 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,12),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,30),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,12),(9,31),-0.0887342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,13),(9,14),0.102811 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,15),0.106337 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,16),0.10456 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,17),0.10428 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,18),0.102351 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,19),0.102811 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,20),0.102745 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,21),0.103068 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,22),0.102352 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,23),0.104047 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,24),0.103067 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,25),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,13),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,30),-0.0641681 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,13),(9,31),-0.0797777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,14),(9,15),0.102197 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,16),0.102633 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,17),0.102633 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,18),0.102995 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,19),0.102742 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,20),0.101062 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,21),0.103058 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,22),0.102995 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,23),0.107108 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,24),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,25),0.102963 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,14),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,30),-0.0641513 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,14),(9,31),-0.0655302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,15),(9,16),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,17),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,18),0.102978 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,19),0.103016 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,20),0.102524 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,21),0.103024 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,22),0.102978 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,23),0.102673 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,24),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,25),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,15),(9,29),-0.0641467 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,30),-0.0544817 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,15),(9,31),-0.0466349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,16),(9,17),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,18),0.103005 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,19),0.103043 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,20),0.102779 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,21),0.103029 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,22),0.103005 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,23),0.102779 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,24),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,25),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,16),(9,29),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,30),-0.0577073 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,16),(9,31),-0.0529793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,17),(9,18),0.102984 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,19),0.103043 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,20),0.102776 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,21),0.102991 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,22),0.102984 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,23),0.102772 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,24),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,25),0.103069 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,17),(9,29),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,30),-0.0577073 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,17),(9,31),-0.0533298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,18),(9,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,20),0.100629 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,21),0.102137 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,22),0.102901 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,23),0.11308 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,24),0.103061 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,25),0.102793 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,18),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,30),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,18),(9,31),-0.0887342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,19),(9,20),0.101062 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,21),0.103058 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,22),0.102995 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,23),0.107107 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,24),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,25),0.102963 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,19),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,30),-0.0641513 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,19),(9,31),-0.0652675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,20),(9,21),0.103068 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,22),0.105729 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,23),0.103898 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,24),0.103067 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,25),0.103066 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,20),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,30),-0.0641689 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,20),(9,31),-0.0871556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,21),(9,22),0.104697 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,23),0.102755 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,24),0.103068 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,25),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,21),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,21),(9,31),-0.065453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,22),(9,23),0.113078 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,22),(9,24),0.103061 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,22),(9,25),0.102793 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,22),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,22),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,22),(9,30),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,22),(9,31),-0.0887342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,23),(9,24),0.102598 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,23),(9,25),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,23),(9,28),-0.0646168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,23),(9,29),-0.0641481 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,23),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,23),(9,31),-0.0544907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,24),(9,25),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,24),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,24),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,24),(9,30),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,24),(9,31),-0.0674215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,25),(9,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,25),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,25),(9,30),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,25),(9,31),-0.0472118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,28),(9,29),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,28),(9,30),-0.0641462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,28),(9,31),-0.0674399 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,9),(9,29),(9,30),-0.0641544 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,29),(9,31),-0.0630239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,30),(9,31),-0.0553915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,9),(9,8),-0.031707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,7),-0.0106899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,6),-0.0377787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,5),-0.0330786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,4),-0.0662876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,3),-0.0652465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,9),(9,9),(9,-1),-0.113789 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,9),(9,8),(9,7),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,8),(9,6),-0.0420181 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,8),(9,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,8),(9,4),-0.0420298 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,8),(9,3),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,8),(9,-1),-0.0371064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,7),(9,6),-0.0433413 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,7),(9,5),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,7),(9,4),-0.0533331 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,7),(9,3),-0.0417846 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,7),(9,-1),-0.00874452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,6),(9,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,6),(9,4),-0.0432925 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,6),(9,3),-0.0420354 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,6),(9,-1),-0.0170135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,5),(9,4),-0.0426189 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,5),(9,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,5),(9,-1),-0.031241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,4),(9,3),-0.0428963 # DEPENDENCYPART_GRANDSIBL
(28,9),(9,4),(9,-1),-0.0354325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,9),(9,3),(9,-1),-0.0490339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,10),(10,10),(10,12),0.102412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,10),(10,10),(10,13),0.104185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,10),(10,10),(10,14),0.106048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,10),(10,10),(10,31),-0.0151889 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,10),(10,12),(10,13),0.103051 # DEPENDENCYPART_GRANDSIBL
(28,10),(10,12),(10,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,10),(10,12),(10,31),-0.0647564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,10),(10,13),(10,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(28,10),(10,13),(10,31),-0.0510088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,10),(10,14),(10,31),-0.0648516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,10),(10,10),(10,7),-0.0267831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,10),(10,10),(10,5),-0.0423605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,10),(10,10),(10,-1),-0.0080276 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,10),(10,7),(10,5),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(28,10),(10,7),(10,-1),-0.0443847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,10),(10,5),(10,-1),-0.0423651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,12),(12,12),(12,13),0.132759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,14),0.0912385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,15),0.162154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,16),0.139929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,17),0.147582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,20),0.129516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,22),0.134299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,23),0.0461513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,24),0.124595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,28),-0.0665339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,12),(12,12),(12,29),-0.06894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,30),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,12),(12,12),(12,31),-0.100765 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,12),(12,13),(12,14),0.100485 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,15),0.109721 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,16),0.100871 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,17),0.10037 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,20),0.120972 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,22),0.106448 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,23),0.122435 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,24),0.112623 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,28),-0.0645423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,12),(12,13),(12,29),-0.0644061 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,30),-0.06477 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,13),(12,31),0.0419171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,12),(12,14),(12,15),0.101084 # DEPENDENCYPART_GRANDSIBL
(28,12),(12,14),(12,16),0.101827 # DEPENDENCYPART_GRANDSIBL
