# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,28,31,25,31,32,16,
(14,18),(18,14),(18,-1),-0.138593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,13),(18,12),-0.0643271 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,8),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,4),-0.064146 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,-1),-0.138593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,12),(18,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,9),-0.0641509 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,8),-0.0641685 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,6),-0.0641496 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,-1),-0.0777635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,11),(18,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,8),-0.0641502 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,4),-0.064146 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,-1),-0.0584014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,10),(18,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,-1),-0.0642781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,9),(18,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,-1),-0.0648675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,8),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,5),-0.0641777 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,3),-0.0641777 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,-1),-0.0833404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,7),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,7),(18,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,7),(18,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,7),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,7),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,7),(18,-1),0.0375604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,6),(18,5),-0.0641573 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,6),(18,4),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,6),(18,3),-0.0641573 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,6),(18,2),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,6),(18,-1),-0.0664526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,5),(18,4),-0.064146 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,5),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,5),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,5),(18,-1),-0.138593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,4),(18,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,4),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,4),(18,-1),-0.0712813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,3),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,3),(18,-1),-0.138606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,2),(18,-1),-0.058406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,20),-0.0545933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,22),-0.125932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,35),0.284978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,20),(19,22),-0.0424263 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,20),(19,35),-0.0508386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,22),(19,35),-0.131203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,17),0.102035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,-1),0.0563517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,17),(19,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,21),(21,22),-0.0393765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,23),-0.042017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,24),-0.0436331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,25),-0.0322926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,27),-0.0258143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,28),-0.0212223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,32),-0.0212223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,35),0.0649888 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,22),(21,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,25),-0.0452547 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,27),-0.0420146 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,28),-0.0451837 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,32),-0.0451837 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,35),-0.0413563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,23),(21,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,23),(21,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,23),(21,27),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,23),(21,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,23),(21,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,23),(21,35),-0.0420112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,24),(21,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,24),(21,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,24),(21,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,24),(21,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,24),(21,35),-0.0457752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,25),(21,27),-0.0427443 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,25),(21,28),-0.0415633 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,25),(21,32),-0.0415633 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,25),(21,35),-0.0585262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,27),(21,28),-0.044009 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,27),(21,32),-0.044009 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,27),(21,35),0.0577214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,28),(21,32),-0.042035 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,28),(21,35),-0.0573811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,32),(21,35),-0.0573811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,21),(21,20),0.144542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,19),0.110036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,17),0.103062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,14),0.0985009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,21),(21,12),-0.0703341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,5),-0.0643268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,3),-0.0643268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,-1),0.0616516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,20),(21,19),0.103069 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,14),0.102663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,20),(21,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,-1),-0.0182098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,19),(21,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,14),0.103067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,19),(21,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,-1),-0.0575484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,17),(21,14),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,17),(21,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,17),(21,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,17),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,17),(21,-1),-0.0641467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,14),(21,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,14),(21,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,14),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,14),(21,-1),-0.0721279 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,12),(21,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,12),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,12),(21,-1),-0.0823398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,5),(21,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,5),(21,-1),-0.0721279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,3),(21,-1),-0.0721279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,24),(24,25),-0.0578413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,26),-0.0415324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,27),-0.0535785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,28),-0.0655082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,29),-0.0535785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,30),-0.0535785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,31),-0.0540404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,32),-0.0655082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,33),-0.0535785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,34),-0.0420996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,35),-0.105821 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,24),(24,25),(24,26),-0.0420191 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,27),-0.033642 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,28),-0.0535912 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,29),-0.0336336 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,30),-0.0336336 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,31),-0.0336336 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,32),-0.0535912 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,33),-0.0336336 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,34),-0.0460357 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,25),(24,35),-0.0240927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,26),(24,27),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,28),-0.0420252 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,29),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,30),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,31),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,32),-0.0420252 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,33),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,34),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,26),(24,35),-0.0403283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,27),(24,28),-0.0421893 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,29),-0.0433085 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,30),-0.0433085 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,31),-0.0433085 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,32),-0.0421893 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,33),-0.0433085 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,34),-0.0426586 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,27),(24,35),-0.0569056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,28),(24,29),-0.0354998 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,30),-0.0354998 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,31),-0.0354998 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,32),-0.0467044 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,33),-0.0354998 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,34),-0.0457417 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,28),(24,35),-0.0476341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,29),(24,30),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,29),(24,31),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,29),(24,32),-0.042189 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,29),(24,33),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,29),(24,34),-0.0426586 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,29),(24,35),-0.0568978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,30),(24,31),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,30),(24,32),-0.042189 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,30),(24,33),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,30),(24,34),-0.0426586 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,30),(24,35),-0.0568978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,31),(24,32),-0.0426401 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,31),(24,33),-0.0433082 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,31),(24,34),-0.0426586 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,31),(24,35),-0.0569088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,32),(24,33),-0.0354998 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,32),(24,34),-0.0457417 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,32),(24,35),-0.0476341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,33),(24,34),-0.0426586 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,33),(24,35),-0.0568978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,34),(24,35),-0.0715525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,24),(24,23),0.116329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,22),0.101308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,21),0.100061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,20),0.0860936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,19),0.0943825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,17),0.116329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,14),0.0714932 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,24),(24,24),(24,12),-0.0655138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,11),-0.0664768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,9),-0.0642559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,8),-0.0641651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,7),-0.064495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,6),-0.0643356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,5),-0.0672943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,4),-0.064291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,3),-0.0673182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,2),-0.0664768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,24),(24,24),(24,-1),-0.139804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,24),(24,23),(24,22),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,21),0.103067 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,20),0.103068 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,14),0.103066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,23),(24,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,8),-0.0645104 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,23),(24,-1),-0.0597185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,22),(24,21),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,20),0.103069 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,19),0.103069 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,17),0.103067 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,14),0.102963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,22),(24,12),-0.0641514 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,11),-0.06416 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,5),-0.0641504 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,3),-0.0641504 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,2),-0.06416 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,22),(24,-1),-0.0675042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,21),(24,20),0.102856 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,19),0.103067 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,14),0.103021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,21),(24,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,21),(24,-1),-0.0679188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,20),(24,19),0.103054 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,14),0.102367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,20),(24,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(14,24),(24,20),(24,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
