# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(12,3),(3,9),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,9),(3,28),-0.0660529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,10),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,10),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,10),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,10),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,10),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,10),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,10),(3,28),-0.0648727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,12),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,12),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,12),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,12),(3,20),-0.0643233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,12),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,12),(3,28),-0.135144 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,3),(3,13),(3,18),-0.0642103 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,13),(3,19),-0.0641645 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,13),(3,20),-0.0662816 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,13),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,13),(3,28),-0.0636084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,18),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,18),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,18),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,18),(3,28),-0.0648348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,19),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,19),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,19),(3,28),-0.0623212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,20),(3,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,20),(3,28),-0.0759299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,27),(3,28),-0.0647682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,3),(3,2),-0.0504644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,3),(3,1),-0.0456794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,3),(3,3),(3,-1),0.142102 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,3),(3,2),(3,1),-0.0429745 # DEPENDENCYPART_GRANDSIBL
(12,3),(3,2),(3,-1),-0.0498428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,3),(3,1),(3,-1),-0.0430356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,4),(4,5),0.100705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,7),0.10067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,8),0.102643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,9),0.101093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,10),0.103066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,12),-0.0675686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,4),(4,13),-0.0641519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,16),-0.0667438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,18),-0.0645531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,19),-0.0641463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,20),-0.0653144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,28),-0.0772138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,5),(4,7),0.103067 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,8),0.103043 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,5),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,16),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,20),-0.0641465 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,28),-0.0684418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,7),(4,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,7),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,20),-0.0642397 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,7),(4,28),-0.0686208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,8),(4,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,8),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,28),-0.0641511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,9),(4,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,9),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,28),-0.0661228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,10),(4,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,10),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,10),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,10),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,10),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,10),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,10),(4,28),-0.0646208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,12),(4,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,12),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,12),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,12),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,12),(4,20),-0.0641581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,12),(4,28),-0.071782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,13),(4,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,28),-0.0641511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,16),(4,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,16),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,16),(4,20),-0.0642397 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,16),(4,28),-0.0686208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,18),(4,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,18),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,18),(4,28),-0.0645779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,19),(4,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,19),(4,28),-0.0642396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,20),(4,28),-0.0684418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,4),(4,3),-0.042416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,2),-0.0451783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,1),-0.0426085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,-1),0.00729265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,3),(4,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,3),(4,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,3),(4,-1),-0.0424471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,2),(4,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,2),(4,-1),-0.0430693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,1),(4,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,5),(5,6),0.100027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,7),0.121028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,8),0.12294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,9),0.102443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,10),0.102729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,12),-0.0757972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,5),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,28),-0.0746454 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,6),(5,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,6),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,28),-0.0672059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,7),(5,8),0.102232 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,12),-0.0641836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,7),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,28),-0.0601922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,8),(5,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,10),0.103065 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,8),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,28),-0.00791572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,9),(5,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,9),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,28),-0.064791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,10),(5,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,10),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,10),(5,28),-0.067465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,12),(5,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,12),(5,28),-0.0718828 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,13),(5,28),-0.00791572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,5),(5,4),-0.0729365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,3),-0.0498316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,1),-0.032814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,-1),-0.158772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,4),(5,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,4),(5,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,4),(5,-1),-0.0752353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,3),(5,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,3),(5,-1),-0.0480022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,1),(5,-1),-0.0424532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,8),0.090953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,9),0.0947974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,10),0.104601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,11),0.135243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,12),-0.0660912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,7),(7,13),-0.0641629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,16),-0.0652907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,18),-0.0651087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,19),-0.0641458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,25),-0.0660912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,26),-0.0660912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,28),0.0018463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,8),(7,9),0.102862 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,10),0.102494 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,11),0.0703476 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,12),-0.0651247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,8),(7,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,16),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,18),-0.0642262 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,19),-0.064146 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,25),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,26),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,28),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,9),(7,10),0.103064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,11),0.0993286 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,9),(7,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,28),-0.0645725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,10),(7,11),0.102382 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,10),(7,13),-0.0641523 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,28),-0.0576737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,11),(7,12),-0.0641593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,11),(7,13),-0.0641701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,16),-0.0641587 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,25),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,26),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,28),-0.0450249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,12),(7,13),-0.0641701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,16),-0.0641587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,25),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,26),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,28),-0.0450249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,13),(7,16),-0.0648362 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,18),-0.0642262 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,19),-0.064146 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,25),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,26),-0.0651247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,28),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,16),(7,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,28),-0.0169812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,17),(7,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,17),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,17),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,17),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,17),(7,28),-0.0928561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,18),(7,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,18),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,18),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,18),(7,28),-0.0586092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,19),(7,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,28),-0.0470582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,25),(7,26),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,25),(7,28),-0.0453707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,26),(7,28),-0.04546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,6),-0.0966735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,5),-0.00845997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,4),-0.0267492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,1),-0.0447863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,-1),-0.0284472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,6),(7,5),-0.0421179 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,-1),-0.09914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,5),(7,4),-0.0424497 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,1),-0.0426681 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,-1),0.00279882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,4),(7,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,4),(7,-1),-0.0279467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,1),(7,-1),-0.0432849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,28),0.0198722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,8),(8,8),(8,-1),0.0860913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,28),-0.0472787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,12),(9,28),-0.0752136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,7),-0.0420119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,-1),-0.0147069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,8),(9,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,7),(9,-1),-0.0420119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,11),0.068136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,12),-0.0673285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,10),(10,13),-0.0643932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,15),-0.066499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,16),-0.066499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,17),-0.065502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
