# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,12,16,16,12,10,10,18,21,23,21,18,10,
(10,12),(12,6),(12,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,4),-0.0643018 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,3),-0.0653098 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,2),-0.0653098 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,1),-0.0675213 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,-1),-0.0514829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,5),(12,4),-0.0643131 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,5),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,5),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,5),(12,1),-0.0641487 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,5),(12,-1),-0.0341852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,4),(12,3),-0.0650444 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,4),(12,2),-0.0650444 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,4),(12,1),-0.0641541 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,4),(12,-1),0.027517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,3),(12,2),-0.0641541 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,3),(12,1),-0.0671297 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,3),(12,-1),-0.0839487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,2),(12,1),-0.0671297 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,2),(12,-1),-0.0828079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,1),(12,-1),-0.105905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,25),0.0396852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,13),(13,-1),0.0441957 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,14),(14,15),-0.0659685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,18),-0.0425424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,25),-0.1752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,15),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,25),-0.0675882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,18),(14,25),-0.0430303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,14),(14,-1),-0.14266 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,15),(15,17),-0.0514164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,18),-0.0377726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,25),-0.00273429 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,17),(15,18),-0.0413329 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,17),(15,25),-0.0527711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,18),(15,25),-0.0600921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,15),(15,14),0.028141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,-1),-0.141852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,14),(15,-1),-0.138463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,17),-0.0166486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,18),-0.00151157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,19),-0.0407731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,21),-0.00764381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,22),-0.0914211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,23),-0.0623595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,24),-0.0508245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,25),0.0439688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,17),(16,18),-0.0409505 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,19),-0.0384185 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,21),-0.0648964 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,22),-0.0420123 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,23),-0.0155697 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,24),-0.0421276 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,25),-0.0989289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,18),(16,19),-0.0421905 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,21),-0.0358872 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,23),-0.0438721 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,24),-0.0429193 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,25),-0.0177429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,19),(16,21),-0.042714 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,23),-0.0270329 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,25),-0.0443182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,21),(16,22),-0.0266101 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,23),-0.04045 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,24),-0.0420531 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,25),-0.0750831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,22),(16,23),-0.0429395 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,22),(16,24),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,22),(16,25),-0.0528825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,23),(16,24),-0.0420266 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,23),(16,25),-0.0468647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,24),(16,25),-0.0520014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,15),0.143213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,14),0.0645765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,13),0.0665238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,12),0.111294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,11),0.0985459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,9),-0.0574123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,8),-0.0672239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,7),-0.0672239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,6),-0.0672239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,1),-0.0693952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,-1),-0.0922396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,15),(16,14),0.16185 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,13),0.0906745 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,12),0.0942692 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,11),0.10595 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,9),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,8),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,7),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,6),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,1),-0.0675213 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,-1),-0.0507909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,14),(16,13),0.0938281 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,12),0.100057 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,1),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,-1),-0.105354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,13),(16,12),0.0710618 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,11),0.105257 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,9),-0.0647127 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,8),-0.0660189 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,7),-0.0660189 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,6),-0.0660189 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,1),-0.064153 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,-1),-0.0333615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,12),(16,11),0.143227 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,8),-0.0641639 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,7),-0.0641639 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,6),-0.0641639 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,1),-0.0648674 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,-1),-0.0535996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,11),(16,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,1),-0.0641487 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,-1),-0.0666855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,9),(16,8),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,9),(16,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,9),(16,6),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,9),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,9),(16,-1),-0.0845017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,8),(16,7),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,8),(16,6),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,8),(16,1),-0.0675213 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,8),(16,-1),-0.0507902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,7),(16,6),-0.0647377 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,7),(16,1),-0.0675213 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,7),(16,-1),-0.0522084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,6),(16,1),-0.0675213 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,6),(16,-1),-0.0506786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,1),(16,-1),-0.0984842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,17),(17,17),(17,25),0.0396852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,17),(17,17),(17,-1),0.0441957 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,18),(18,19),-0.0248654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,20),-0.0484684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,21),0.00577292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,22),-0.0426867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,23),-0.0173109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,24),-0.0487735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,25),-0.00267593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,19),(18,20),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,21),-0.0455147 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,23),-0.0387112 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,24),-0.0425537 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,25),-0.0161567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,20),(18,21),-0.0405497 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,23),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,25),-0.0255916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,21),(18,22),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,23),-0.0423134 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,24),-0.042018 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,25),-0.0648375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,22),(18,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,24),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,25),-0.0440226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,23),(18,24),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,25),-0.0309292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,24),(18,25),-0.0533929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,18),(18,17),0.110723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,16),0.0663056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,12),0.0616107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,9),-0.0667403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,-1),-0.0938006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,17),(18,16),0.100217 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,12),0.100217 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,9),-0.0641514 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,-1),-0.0549378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,16),(18,12),0.103786 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,9),-0.0642529 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,-1),-0.0706153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,12),(18,9),-0.0642529 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,-1),-0.0755722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,9),(18,-1),-0.0185421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,20),-0.0427964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,21),-0.0443978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,23),-0.0423807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,25),0.000478408 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,20),(19,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,20),(19,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,20),(19,25),-0.042799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,21),(19,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,21),(19,25),-0.043757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,23),(19,25),-0.0405631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,17),0.103068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,16),0.107991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,-1),-0.0582896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,17),(19,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,17),(19,-1),-0.0642025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,16),(19,-1),-0.0594773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,21),(21,22),-0.0914211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,23),-0.0618675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,24),-0.0508245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,25),0.0650557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,21),(21,22),(21,23),-0.0429395 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,22),(21,24),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,22),(21,25),-0.0528825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,23),(21,24),-0.0420266 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,23),(21,25),-0.0491808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,24),(21,25),-0.0520014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,21),(21,20),0.113849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,19),0.0977741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,16),0.0954124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,14),0.066422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,-1),-0.0816028 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,21),(21,20),(21,19),0.101857 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,16),0.100432 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,14),0.104861 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,-1),-0.091602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,19),(21,16),0.10301 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,-1),-0.0594599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,16),(21,14),0.0639146 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,16),(21,-1),-0.0482379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,14),(21,-1),-0.098472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,22),(22,22),(22,23),-0.0459544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,22),(22,22),(22,25),-0.0509331 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,22),(22,23),(22,25),-0.0441016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,22),(22,22),(22,-1),-0.0719316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,23),(23,23),(23,24),-0.044045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,25),0.154774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,23),(23,24),(23,25),-0.032681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,23),(23,22),0.0913571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,21),0.0921946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,20),0.112278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,19),0.0959193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,18),0.149133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,16),0.0924423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,15),0.150435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,14),0.116122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,7),-0.0590233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,6),-0.0590232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,5),-0.0670723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,-1),-0.127557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,23),(23,22),(23,21),0.102546 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,20),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,16),0.102546 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,-1),-0.0673159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,21),(23,20),0.114999 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,18),0.106805 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,16),0.10203 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,15),0.104681 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,14),0.113033 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,6),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,5),-0.0647926 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,21),(23,-1),-0.0318091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,20),(23,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,18),0.102969 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,16),0.102984 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,15),0.0997414 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,14),0.1079 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,20),(23,-1),-0.103679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,19),(23,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,16),0.102227 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,15),0.103069 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,19),(23,-1),-0.0702962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,18),(23,16),0.0983064 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,15),0.103013 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,14),0.108857 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,18),(23,-1),-0.0216965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,16),(23,15),0.10468 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,16),(23,14),0.113033 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,16),(23,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,16),(23,6),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,16),(23,5),-0.0647926 # DEPENDENCYPART_GRANDSIBL
