# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,22,22,28,28,28,29,24,31,29,5,
(26,28),(28,28),(28,30),-0.074356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,31),-0.0648382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,33),-0.0254136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,28),(28,29),(28,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,29),(28,31),-0.0423277 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,29),(28,33),0.0531372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,30),(28,31),-0.0406173 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,30),(28,33),-0.0796741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,31),(28,33),-0.0827796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,28),(28,27),0.132597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,26),0.135001 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,28),(28,28),(28,25),-0.0660912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,21),-0.064184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,18),-0.0650345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,15),-0.0660912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,28),(28,-1),0.00440835 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,28),(28,27),(28,26),0.119155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,27),(28,25),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,27),(28,21),-0.0642136 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,27),(28,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,27),(28,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,27),(28,15),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,27),(28,-1),-0.0539219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,26),(28,25),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,26),(28,21),-0.0642136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,26),(28,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,26),(28,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,26),(28,15),-0.0641593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,28),(28,26),(28,-1),-0.0452748 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,28),(28,25),(28,21),-0.0642136 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,25),(28,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,25),(28,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,25),(28,15),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,25),(28,-1),-0.0440954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,21),(28,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,21),(28,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,21),(28,15),-0.0641889 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,21),(28,-1),-0.10199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,20),(28,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,20),(28,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,20),(28,-1),-0.0678823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,18),(28,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,28),(28,18),(28,-1),-0.0520174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,28),(28,15),(28,-1),-0.0450357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,29),(29,30),-0.0321295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,31),-0.02416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,32),-0.0420996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,33),-0.104011 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,29),(29,30),(29,31),-0.0425831 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,30),(29,32),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,30),(29,33),-0.05172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,31),(29,32),-0.0504568 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,31),(29,33),-0.0649561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,32),(29,33),-0.071794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,29),(29,28),0.123718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,27),0.0685668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,26),0.071123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,29),(29,29),(29,25),-0.0672943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,23),-0.0643356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,22),-0.0642559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,21),-0.0655093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,19),-0.0665449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,18),-0.0641499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,16),-0.0672963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,15),-0.0672943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,14),-0.0655093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,13),-0.0643356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,12),-0.0665449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,9),-0.0655534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,8),-0.0665449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,5),-0.0642559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,3),-0.064291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,2),-0.0672943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,1),-0.0672943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,29),(29,-1),-0.140465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,29),(29,28),(29,27),0.101584 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,26),0.101598 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,28),(29,25),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,23),-0.0642007 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,21),-0.0641691 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,19),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,16),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,15),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,14),-0.0641691 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,13),-0.0642007 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,12),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,9),-0.0641705 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,8),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,2),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,1),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,28),(29,-1),-0.0821278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,27),(29,26),0.100711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,27),(29,25),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,23),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,21),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,19),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,16),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,15),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,14),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,13),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,12),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,9),-0.0642612 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,8),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,3),-0.0641571 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,2),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,1),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,27),(29,-1),-0.101473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,26),(29,25),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,23),-0.0643485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,21),-0.0642368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,19),-0.0642081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,16),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,15),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,14),-0.0642368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,13),-0.0643485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,12),-0.0642081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,9),-0.0642612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,8),-0.0642081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,3),-0.0641571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,2),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,1),-0.0642113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,29),(29,26),(29,-1),-0.0988119 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,29),(29,25),(29,23),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,21),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,19),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,16),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,15),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,14),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,13),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,12),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,9),-0.0642612 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,8),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,3),-0.0641571 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,2),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,1),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,25),(29,-1),-0.0987333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,23),(29,22),-0.0649191 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,21),-0.0663738 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,19),-0.0642544 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,18),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,16),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,15),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,14),-0.0663781 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,13),-0.0641757 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,12),-0.0642544 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,9),-0.0666222 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,8),-0.0642544 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,5),-0.0649191 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,3),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,2),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,1),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,23),(29,-1),-0.0846251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,22),(29,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,22),(29,-1),-0.0677074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,21),(29,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,19),-0.0641547 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,16),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,15),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,14),-0.064875 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,13),-0.0642517 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,12),-0.0641547 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,9),-0.0648899 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,8),-0.0641547 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,3),-0.064148 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,2),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,1),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,21),(29,-1),-0.0594217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,20),(29,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,20),(29,-1),-0.0655497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,19),(29,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,16),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,15),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,14),-0.0641691 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,13),-0.0642007 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,12),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,9),-0.0641705 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,8),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,2),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,1),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,19),(29,-1),-0.082376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,18),(29,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,18),(29,-1),-0.0679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,16),(29,15),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,14),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,13),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,12),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,9),-0.0642612 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,8),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,3),-0.0641571 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,2),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,1),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,16),(29,-1),-0.101473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,15),(29,14),-0.0642368 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,13),-0.0643485 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,12),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,9),-0.0642612 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,8),-0.0642081 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,3),-0.0641571 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,2),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,1),-0.0642113 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,15),(29,-1),-0.0987333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,14),(29,13),-0.0642517 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,12),-0.0641547 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,9),-0.0648899 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,8),-0.0641547 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,3),-0.064148 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,2),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,1),-0.0641516 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,14),(29,-1),-0.0594258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,13),(29,12),-0.0642544 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,9),-0.0666222 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,8),-0.0642544 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,5),-0.0649191 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,3),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,2),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,1),-0.0642382 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,13),(29,-1),-0.0846251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,12),(29,9),-0.0641705 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,8),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,2),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,1),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,12),(29,-1),-0.0822043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,9),(29,8),-0.0641637 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,9),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,9),(29,3),-0.064148 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,9),(29,2),-0.0641576 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,9),(29,1),-0.0641576 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,9),(29,-1),-0.0571901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,8),(29,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,8),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,8),(29,2),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,8),(29,1),-0.0641669 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,8),(29,-1),-0.0821279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,29),(29,5),(29,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,5),(29,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(26,29),(29,5),(29,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
