# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(11,8),(8,10),(8,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,27),-0.0473436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,27),-0.0689683 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,12),(8,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,13),(8,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,27),-0.0642264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,14),(8,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,27),-0.0642419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,15),(8,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,27),-0.0641582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,17),(8,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,27),-0.0642266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,18),(8,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,18),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,18),(8,27),-0.0641789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,23),(8,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,23),(8,27),-0.0642272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,25),(8,27),-0.0642264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0460452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,6),-0.0460433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,4),-0.0493838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,3),-0.0421328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),-0.116365 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,6),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,4),-0.0422898 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,3),-0.0423338 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.0452819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,6),(8,4),-0.0422898 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,3),-0.0423338 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),-0.0452815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,4),(8,3),-0.0422292 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,4),(8,-1),-0.0506466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,3),(8,-1),-0.022585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.102528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,9),(9,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,27),0.0565205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,10),(9,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,27),-0.067267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,11),(9,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,27),-0.0580557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,12),(9,27),-0.0641787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),-0.0420136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0518786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),-0.0518786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,4),-0.0478606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,1),-0.0537796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),0.284823 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,1),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),-0.0421487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,6),-0.0421034 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,1),-0.0420481 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.0593837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,1),-0.0420481 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,-1),-0.0593837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,4),(9,1),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,-1),-0.0552981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,1),(9,-1),-0.0617824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,27),0.0214178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,-1),0.0876367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,14),-0.0520656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,15),-0.0420136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,16),-0.0520656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,17),-0.0520656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),-0.126358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,21),-0.0420963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,27),0.277992 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,16),-0.0421034 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),-0.0421034 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,27),-0.0597844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,27),-0.0421487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,16),(13,17),-0.0421034 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,27),-0.0597844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,27),-0.0597844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,27),-0.131426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,21),(13,27),-0.0457459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),0.048857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,9),(13,-1),-0.0751547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,15),-0.0420136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.0518786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,17),-0.0518786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,18),-0.125932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,21),-0.0420963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,27),0.281075 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,27),-0.0421487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,17),-0.0421034 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,27),-0.0593837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,17),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,27),-0.0593837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,18),(14,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,27),-0.131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,21),(14,27),-0.0457459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,13),0.0937231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,12),0.103041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,11),0.108796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,14),(14,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),0.05333 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,13),(14,12),0.103067 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,11),0.103068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,13),(14,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,-1),-0.0753785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,12),(14,11),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,12),(14,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,-1),-0.0641787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,11),(14,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,-1),-0.0580557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,9),(14,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,-1),-0.0752543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,8),(14,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,-1),-0.0655069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,7),(14,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,7),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,7),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,7),(14,-1),-0.0759196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,6),(14,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,6),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,6),(14,-1),-0.0753111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,5),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,5),(14,-1),-0.0641747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,1),(14,-1),-0.0892174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,19),0.22529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,20),0.225699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,21),-0.184868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,22),-0.0561215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,23),-0.0561126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,24),-0.0602194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,25),-0.0561126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,27),-0.294697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,19),(18,20),-0.0615649 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,21),-0.0421849 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,22),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,23),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,24),-0.0476629 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,25),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,27),0.360457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,20),(18,21),-0.0421849 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,22),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,23),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,24),-0.0476629 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,25),-0.0420977 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,27),0.361013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,21),(18,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,21),(18,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,21),(18,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,21),(18,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,21),(18,27),-0.18506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,22),(18,23),-0.0422414 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,24),-0.0420166 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,25),-0.0422414 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,27),-0.0510286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,23),(18,24),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,25),-0.0422414 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,27),-0.0510196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,24),(18,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,24),(18,27),-0.0714919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,25),(18,27),-0.0510196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,17),0.101734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,-1),0.00133531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,17),(18,-1),-0.0654817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,1),(1,2),0.189635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,1),(1,1),(1,3),0.0814934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,1),(1,1),(1,4),0.102478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,1),(1,1),(1,5),0.244493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,1),(1,1),(1,8),0.0726098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,1),(1,1),(1,12),-0.117046 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,1),(1,1),(1,27),0.000876624 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,1),(1,2),(1,3),0.107193 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,2),(1,4),0.101867 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,2),(1,5),0.100837 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,2),(1,8),0.105734 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,2),(1,12),-0.0641752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,2),(1,27),-0.00838925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,3),(1,4),0.10079 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,3),(1,5),0.106701 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,3),(1,8),0.100846 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,3),(1,12),-0.0648695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,3),(1,27),-0.129106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,4),(1,5),0.102709 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,4),(1,8),0.107757 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,4),(1,12),-0.0641458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,4),(1,27),-0.0628566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,5),(1,8),0.103059 # DEPENDENCYPART_GRANDSIBL
(12,1),(1,5),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,5),(1,27),0.024518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,8),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,8),(1,27),-0.0529506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,1),(1,12),(1,27),0.0266688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,1),(1,1),(1,-1),-0.185456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,2),(2,2),(2,3),0.0675701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,4),0.0998304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,5),0.0831686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,6),0.101581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,7),0.0961221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,8),0.172675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,10),0.0675701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,2),(2,2),(2,12),-0.0682012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,2),(2,2),(2,27),-0.0913142 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,2),(2,3),(2,4),0.180421 # DEPENDENCYPART_GRANDSIBL
(12,2),(2,3),(2,5),0.133094 # DEPENDENCYPART_GRANDSIBL
(12,2),(2,3),(2,6),0.103829 # DEPENDENCYPART_GRANDSIBL
(12,2),(2,3),(2,7),0.103829 # DEPENDENCYPART_GRANDSIBL
(12,2),(2,3),(2,8),0.0963043 # DEPENDENCYPART_GRANDSIBL
