# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(10,18),(18,14),(18,9),-0.0642117 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,8),-0.0641528 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,14),(18,-1),-0.10439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,12),(18,11),0.0948587 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,10),0.0971965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,12),(18,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,7),-0.0644121 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,12),(18,-1),-0.0499211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,11),(18,10),0.0872907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,11),(18,9),-0.0769853 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,8),-0.0641597 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,7),-0.0658041 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,6),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,11),(18,-1),-0.0723423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,10),(18,9),-0.064316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,8),-0.0641592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,7),-0.0642285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,1),-0.0641489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,10),(18,-1),-0.0598897 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,9),(18,8),-0.0641592 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,9),(18,7),-0.0642285 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,9),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,9),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,9),(18,1),-0.0641489 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,9),(18,-1),-0.0599533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,8),(18,7),-0.0641476 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,8),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,8),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,8),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,8),(18,-1),-0.111041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,7),(18,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,7),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,7),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,7),(18,-1),-0.0656807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,6),(18,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,6),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,6),(18,-1),-0.0594001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,2),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,2),(18,-1),-0.0717545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,1),(18,-1),-0.0724982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,20),0.053051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,21),0.0612756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,23),-0.212913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,20),(19,21),-0.0533328 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,20),(19,23),0.0314776 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,21),(19,23),0.0393294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,18),0.0797784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,-1),0.00667978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,18),(19,-1),-0.108408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,21),(21,22),-0.0338415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,23),0.122655 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,21),(21,22),(21,23),-0.0226387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,21),(21,20),0.0905201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,19),0.183478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,18),0.0874665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,17),0.0874374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,16),0.158128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,15),0.0914497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,14),0.0888606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,21),(21,21),(21,-1),-0.0203012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,21),(21,20),(21,19),0.0985195 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,18),0.0942226 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,17),0.0944977 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,16),0.0561005 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,15),0.121708 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,14),0.122718 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,20),(21,-1),-0.0513913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,19),(21,18),0.10271 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,17),0.10271 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,16),0.0999031 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,15),0.109474 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,14),0.109474 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,19),(21,-1),-0.017853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,18),(21,17),0.100858 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,16),0.0934462 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,15),0.100904 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,14),0.100904 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,18),(21,-1),-0.107366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,17),(21,16),0.0935596 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,17),(21,15),0.100904 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,17),(21,14),0.100904 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,17),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,17),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,17),(21,-1),-0.106889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,16),(21,15),0.05596 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,16),(21,14),0.05596 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,16),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,16),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,16),(21,-1),0.0981871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,15),(21,14),0.123635 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,15),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,15),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,15),(21,-1),-0.0513687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,14),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,14),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,14),(21,-1),-0.0529325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,2),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(10,21),(21,2),(21,-1),-0.0664378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,21),(21,1),(21,-1),-0.050721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.0648958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.0648958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,23),-0.0867001 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,23),-0.0648958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,13),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,15),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,23),-0.0648958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,17),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,17),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,17),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,17),(10,23),-0.0642078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,18),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,23),-0.0642078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,19),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,19),(10,23),-0.054391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,21),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0358549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.0492463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.0487085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),-0.0420356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,5),-0.0358549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.0492463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,3),-0.0505678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),-0.0557147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0425808 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.042072 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,5),-0.0421718 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0425808 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,3),-0.042072 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,1),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),-0.033935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0431829 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,3),-0.0431829 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0705698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,5),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,3),-0.0420124 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,1),-0.0420302 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.0489308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,4),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,3),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),-0.0420356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,5),(10,4),-0.0425808 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,3),-0.042072 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,1),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,-1),-0.033935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,3),-0.0431829 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,-1),-0.0705698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,3),(10,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,1),-0.0420302 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,-1),-0.050707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,2),(10,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,2),(10,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,1),(10,-1),-0.0428813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,11),0.103023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,10),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,17),-0.0641492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,18),-0.0641492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,19),-0.0641525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,23),-0.147405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,11),(10,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,11),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,23),-0.0641792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,12),(10,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,13),(10,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,14),(10,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,23),-0.0641513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,15),(10,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,23),-0.0641513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,16),(10,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,23),-0.0641792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,17),(10,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
