# _root_ `` When you 're in the groove , you see every ball tremendously , '' he lectured .
#goldHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
#predictedHeads=17,4,4,17,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
(17,2),(17,8),-0.0205198 # DEPENDENCYPART_SIBL
(17,2),(17,9),0.041243 # DEPENDENCYPART_SIBL
(17,2),(17,10),-0.0793561 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.00663037 # DEPENDENCYPART_SIBL
(17,2),(17,12),0.0615975 # DEPENDENCYPART_SIBL
(17,2),(17,13),0.0486095 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.0205198 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.020526 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.0805634 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.636959 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.210127 # DEPENDENCYPART_SIBL
(17,3),(17,5),-0.0292196 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.173486 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.0465824 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.463612 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.210893 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.118316 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.173843 # DEPENDENCYPART_SIBL
(17,3),(17,13),0.125051 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0465824 # DEPENDENCYPART_SIBL
(17,3),(17,15),-0.0346085 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.485629 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.0379906 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.0887242 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.0374592 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.172693 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.0199701 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.292088 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.0627218 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0378881 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0245893 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.172693 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.218792 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.0606327 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0114071 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.00445037 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.302809 # DEPENDENCYPART_SIBL
(17,5),(17,9),0.0809993 # DEPENDENCYPART_SIBL
(17,5),(17,10),-0.147518 # DEPENDENCYPART_SIBL
(17,5),(17,11),0.00518144 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.00505264 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0681683 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.302809 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0125598 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.0451824 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0777921 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0593808 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.369586 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.311388 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.371256 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.526124 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0362451 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0593808 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.144887 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.393263 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.000538913 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.00206114 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.137578 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.006169 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.024252 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0780882 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0140343 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.474115 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.169466 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0826269 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.210893 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.118316 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.173843 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.125051 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0465824 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0346085 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.485629 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0379906 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0825794 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0615206 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0394158 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.160395 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.173699 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0319586 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0210855 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.162704 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0424874 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0195455 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0548058 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.257733 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.00873246 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.0390984 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0622354 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.147886 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.407343 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.00192806 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.09642 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.110224 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.00106308 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0301341 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.474115 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.169466 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0826269 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.32645 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0737226 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.128515 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.760847 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.835106 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.337418 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.335523 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.681909 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.059138 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.0630786 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),-0.694923 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.230402 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),0.029568 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),-0.0683581 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.693729 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.744353 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.811157 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.243816 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.926914 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.437287 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.162816 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),1.04756 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.184886 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.453332 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.407662 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.33408 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.0897081 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),0.0170383 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),1.15989 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.700884 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),-0.655817 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.674519 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.241893 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.492342 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-1.17387 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.613412 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.518926 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.944524 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.421921 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.352392 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.451611 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.390502 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.034198 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.560491 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.0790812 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),1.24375 # DEPENDENCYPART_GRANDPAR
(0,17),(17,1),0.606276 # DEPENDENCYPART_GRANDPAR
(0,17),(17,2),-0.612681 # DEPENDENCYPART_GRANDPAR
(0,17),(17,3),-0.815167 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),0.271254 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),-0.415975 # DEPENDENCYPART_GRANDPAR
(0,17),(17,7),-0.53158 # DEPENDENCYPART_GRANDPAR
(0,17),(17,8),0.419999 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),0.803876 # DEPENDENCYPART_GRANDPAR
(0,17),(17,10),-0.0568055 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),-0.726863 # DEPENDENCYPART_GRANDPAR
(0,17),(17,12),-0.537826 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),-0.674976 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),0.591263 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),0.836963 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),0.781554 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),1.12114 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.06767 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.385247 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.253794 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.397109 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.329565 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.224051 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.371638 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),-0.383941 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.320456 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.284367 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-0.507353 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-1.08762 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),-0.0435935 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.20763 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.385725 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.624191 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.177956 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.260449 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.54556 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.383624 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.234513 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.535375 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),-0.356855 # DEPENDENCYPART_GRANDPAR
(1,4),(4,15),-0.346441 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),-0.540054 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),-0.660117 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.2169 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,4),-0.64386 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.838663 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.753679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.191984 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.084361 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.114663 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.698374 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.679756 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.0877765 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0376175 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.406669 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.113387 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.172664 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.356462 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.136362 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.222791 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.270323 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.304878 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.369395 # DEPENDENCYPART_GRANDPAR
(2,4),(4,17),-0.0900921 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.492574 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.849571 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.830805 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.105547 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.0756475 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.352008 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.0889363 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.119537 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.388649 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.209224 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.19496 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.320788 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.251751 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.245245 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.164144 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.456088 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.875479 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.934764 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.160741 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.15829 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.00453783 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.300155 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.139827 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.472746 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.145774 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.308342 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.389846 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.272041 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.317203 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.0673965 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.346854 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-0.711405 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.671059 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.0689612 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.207627 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),0.0155109 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.421839 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.288087 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.20299 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.328158 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.34892 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.220324 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.328776 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.310006 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.340666 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.447901 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.0853253 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.481713 # DEPENDENCYPART_GRANDPAR
(2,12),(12,1),-0.87551 # DEPENDENCYPART_GRANDPAR
(2,12),(12,2),-0.934769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,12),(12,6),-0.298242 # DEPENDENCYPART_GRANDPAR
(2,12),(12,7),-0.195012 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),-0.0864681 # DEPENDENCYPART_GRANDPAR
(2,12),(12,9),-0.55786 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.0868499 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),-0.305729 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.389846 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.255717 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.309574 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),-0.512762 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.0694154 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.345838 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.292134 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.301451 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),-0.20708 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.503787 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.0586029 # DEPENDENCYPART_GRANDPAR
(2,17),(17,1),-0.799783 # DEPENDENCYPART_GRANDPAR
(2,17),(17,2),-0.444998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,17),(17,3),0.0128875 # DEPENDENCYPART_GRANDPAR
(2,17),(17,4),-0.155454 # DEPENDENCYPART_GRANDPAR
(2,17),(17,5),0.0691952 # DEPENDENCYPART_GRANDPAR
(2,17),(17,7),-0.211562 # DEPENDENCYPART_GRANDPAR
(2,17),(17,8),-0.21082 # DEPENDENCYPART_GRANDPAR
(2,17),(17,9),-0.384232 # DEPENDENCYPART_GRANDPAR
(2,17),(17,10),-0.0832229 # DEPENDENCYPART_GRANDPAR
(2,17),(17,11),-0.342269 # DEPENDENCYPART_GRANDPAR
(2,17),(17,12),-0.319299 # DEPENDENCYPART_GRANDPAR
(2,17),(17,13),-0.267028 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),-0.343034 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.30803 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),-0.335635 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.535091 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.129925 # DEPENDENCYPART_GRANDPAR
(3,1),(1,4),-0.583213 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.455341 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.34085 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.583282 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.845608 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.604444 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.890749 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.65203 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.73022 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-0.983027 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.896476 # DEPENDENCYPART_GRANDPAR
(3,2),(2,17),-0.755096 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.737826 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.638679 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.705268 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.432637 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.255698 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.0980775 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.533295 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.0757363 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.23675 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.226034 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.297409 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.625573 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.532059 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),-0.380465 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.532442 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.889036 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.508433 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.966209 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.078246 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.195161 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.0632105 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.47284 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.0950995 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.302444 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),-0.187788 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.340221 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.565118 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.400468 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.424473 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.486676 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.203279 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.27159 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,1),-0.489017 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.0720511 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.2716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.0632848 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.530868 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.738369 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.492555 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-0.792944 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.771545 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.88436 # DEPENDENCYPART_GRANDPAR
(4,2),(2,17),-0.803102 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.556436 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),0.100738 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.24959 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),0.00734189 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.72361 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.847903 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.0741372 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.437553 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.608033 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.413239 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.0484129 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.46887 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.500545 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.153007 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.214226 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.407011 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.502046 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.345511 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.540785 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.729269 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),0.0948608 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.872598 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.112338 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.42817 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.710476 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.261718 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.287567 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.328483 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.545597 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0314787 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.397568 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.473536 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.361659 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.415835 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.35935 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.572181 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.0514475 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.507366 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.680463 # DEPENDENCYPART_GRANDPAR
(4,10),(10,2),-0.191134 # DEPENDENCYPART_GRANDPAR
(4,10),(10,3),-0.40603 # DEPENDENCYPART_GRANDPAR
