# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(11,8),(11,9),-0.532604 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.057702 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00255872 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.030509 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0460694 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0770266 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00890175 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0108418 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0460694 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0201075 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0359626 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0189181 # DEPENDENCYPART_SIBL
(11,8),(11,24),-0.0104907 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00189649 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0643819 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.017712 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0934375 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0809518 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0535719 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0560816 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0934375 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.062942 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.00252931 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0697536 # DEPENDENCYPART_SIBL
(11,9),(11,24),-0.0249061 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0273229 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0191891 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.180834 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.123999 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.017557 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.00668559 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.180834 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0216576 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0601042 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.0331054 # DEPENDENCYPART_SIBL
(11,10),(11,24),0.0582691 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.277315 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0444758 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0420793 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.151761 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.150799 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0444758 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.151214 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0109793 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.163978 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.0775238 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0950754 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00558468 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.192503 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.192731 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0950754 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.191654 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0313217 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.207664 # DEPENDENCYPART_SIBL
(11,13),(11,24),0.00619234 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0561914 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.108933 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.108135 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.467485 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.102381 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0890467 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.141716 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.049361 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.197084 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.197078 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.210178 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.197506 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.116155 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.209747 # DEPENDENCYPART_SIBL
(11,15),(11,24),-0.112994 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.204657 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0053781 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.21833 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0948084 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.230584 # DEPENDENCYPART_SIBL
(11,16),(11,24),0.00462752 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.00249871 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.228583 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0507344 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.240836 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.00510965 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.102381 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0890467 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.141716 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.049361 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.0153142 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.246732 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.0146724 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.0914777 # DEPENDENCYPART_SIBL
(11,21),(11,24),0.00647169 # DEPENDENCYPART_SIBL
(11,23),(11,24),-0.0206703 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0119269 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.604119 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.00935286 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0591725 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.160252 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0253464 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0899497 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.108273 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0378206 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0182904 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.189922 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.0569845 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.123763 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.188212 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.126336 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.364386 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.133332 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.210562 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.057784 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0461068 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0460797 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.210562 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0553536 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.170203 # DEPENDENCYPART_SIBL
(13,4),(13,23),0.0445245 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.00167787 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0252085 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0472441 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0429666 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.015154 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.106513 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0373223 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0356199 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0965565 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0566018 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0568044 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0356199 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0531983 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.022961 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.0525543 # DEPENDENCYPART_SIBL
(13,5),(13,24),-0.017045 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0260314 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0805513 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0214929 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.242333 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0177245 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.000380859 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.124125 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0615402 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0588858 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.000380859 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0593012 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0981101 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0715626 # DEPENDENCYPART_SIBL
(13,6),(13,24),0.0196028 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.145595 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0927548 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.256429 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.00914474 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0358386 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0610512 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0131559 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0156642 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0358386 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.00982091 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0821958 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.00942064 # DEPENDENCYPART_SIBL
(13,7),(13,24),-0.0132472 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0140314 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.111897 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0279466 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0385136 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.100526 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0513994 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.051602 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0385136 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0479959 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0298953 # DEPENDENCYPART_SIBL
(13,8),(13,23),0.0473519 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.021018 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0852447 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0623952 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0137772 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0424751 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0224742 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.023816 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0137772 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0219163 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0669902 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0145908 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.125863 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.103456 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0766453 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0909217 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0570288 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0452729 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0766453 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0497357 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.110958 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.0628436 # DEPENDENCYPART_SIBL
(13,10),(13,24),0.0498236 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00941412 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0437265 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0373309 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0398391 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.00941412 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0339959 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0441908 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.0147543 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.00318882 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.103012 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0124801 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0101554 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.457396 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.00198904 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.00535036 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0303673 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.104454 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.102534 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0985712 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.045359 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0937663 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.132008 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0967831 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.197634 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.113266 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0944424 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.121706 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.048474 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.124736 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.0478475 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0928984 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.120003 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.032358 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.123033 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.0462156 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.00198904 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.00535036 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.0303673 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.104454 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.00806595 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.132356 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0589704 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.0423232 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.0455306 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.0414151 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0661319 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.042023 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0262219 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0297072 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0795158 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0305694 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0283548 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0295344 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0351461 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0960717 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0454598 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0498991 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0950876 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0491994 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0471989 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0489608 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0475025 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.429273 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.430085 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0465081 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.428481 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.426966 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.432616 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.428794 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.822374 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0243833 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.833999 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.832534 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.838154 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.834341 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0291688 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.836366 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.8349 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.84052 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.836707 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.142675 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.133732 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.14557 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.166049 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.841764 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.847384 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.843571 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.865345 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.861532 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.842491 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0548701 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.218427 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0251641 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0100856 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0280116 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0504179 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0571409 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.00685629 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0620755 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0878027 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.293033 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.0576013 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0364547 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0629281 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.00580534 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.166065 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.135497 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.299752 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.224682 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.142896 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0837062 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0242163 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.019967 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0538131 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0239423 # DEPENDENCYPART_SIBL
(17,7),(17,23),0.00841753 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0174016 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.0607898 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.13785 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0333854 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0170165 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.0750822 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0131371 # DEPENDENCYPART_SIBL
(17,9),(17,20),0.0133853 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.249661 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.0151458 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.00227809 # DEPENDENCYPART_SIBL
(17,9),(17,24),0.0393028 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.305297 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.230716 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.170706 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.0881352 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.0325891 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0283397 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.00171943 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.0323151 # DEPENDENCYPART_SIBL
(17,12),(17,23),0.0167903 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.0283381 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.169295 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.1465 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0615585 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0539014 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0587611 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0398234 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0549516 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0629794 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.126674 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.132602 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.388853 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0675983 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0726022 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0184336 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0639838 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.069848 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0114432 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.150478 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0494941 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0533974 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0727314 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.050488 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0726722 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0485396 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.102696 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.103516 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.246916 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.103984 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.0733905 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0210783 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0604315 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.066079 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0579948 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0653279 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0134179 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0836083 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0602664 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0675994 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.00663546 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0261115 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0337442 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.197282 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0653414 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.000932521 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0248237 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.841764 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.11606 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.847384 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.843571 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.164633 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.865345 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.861532 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0448903 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0413855 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.842491 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.119867 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0376075 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0329358 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0404551 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0440432 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.180683 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.024632 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0254767 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0664451 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0289909 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.21716 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.20888 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.211465 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0189408 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.193722 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.0417808 # DEPENDENCYPART_SIBL
(20,12),(20,22),0.0123692 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.00314161 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.10097 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.126986 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0126796 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0930212 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0103626 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0305309 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0246552 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.165199 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0999615 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.137088 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.105504 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0186338 # DEPENDENCYPART_SIBL
