# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(2,15),(15,26),-0.371367 # DEPENDENCYPART_GRANDPAR
(2,15),(15,29),-1.00128 # DEPENDENCYPART_GRANDPAR
(2,15),(15,32),-0.84973 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.45462 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.175047 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),-0.45779 # DEPENDENCYPART_GRANDPAR
(2,19),(19,21),-0.406867 # DEPENDENCYPART_GRANDPAR
(2,19),(19,22),-0.216235 # DEPENDENCYPART_GRANDPAR
(2,19),(19,23),-0.935403 # DEPENDENCYPART_GRANDPAR
(2,19),(19,24),-0.492923 # DEPENDENCYPART_GRANDPAR
(2,19),(19,26),-0.377943 # DEPENDENCYPART_GRANDPAR
(2,19),(19,27),-0.672855 # DEPENDENCYPART_GRANDPAR
(2,20),(20,2),-0.766921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,20),(20,14),-0.263981 # DEPENDENCYPART_GRANDPAR
(2,20),(20,16),-0.668566 # DEPENDENCYPART_GRANDPAR
(2,20),(20,17),-0.394224 # DEPENDENCYPART_GRANDPAR
(2,20),(20,19),-0.235679 # DEPENDENCYPART_GRANDPAR
(2,20),(20,21),-0.398348 # DEPENDENCYPART_GRANDPAR
(2,20),(20,22),-0.374756 # DEPENDENCYPART_GRANDPAR
(2,20),(20,23),-0.791237 # DEPENDENCYPART_GRANDPAR
(2,20),(20,24),-0.354353 # DEPENDENCYPART_GRANDPAR
(2,20),(20,25),-0.779918 # DEPENDENCYPART_GRANDPAR
(2,20),(20,26),-0.404085 # DEPENDENCYPART_GRANDPAR
(2,20),(20,27),-0.795721 # DEPENDENCYPART_GRANDPAR
(2,20),(20,29),-1.09049 # DEPENDENCYPART_GRANDPAR
(2,20),(20,31),-0.97001 # DEPENDENCYPART_GRANDPAR
(2,20),(20,32),-0.938944 # DEPENDENCYPART_GRANDPAR
(2,24),(24,23),-0.862001 # DEPENDENCYPART_GRANDPAR
(2,24),(24,25),-0.7481 # DEPENDENCYPART_GRANDPAR
(2,24),(24,27),-0.872234 # DEPENDENCYPART_GRANDPAR
(2,24),(24,29),-0.991979 # DEPENDENCYPART_GRANDPAR
(2,24),(24,31),-0.919745 # DEPENDENCYPART_GRANDPAR
(2,24),(24,32),-0.846595 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-1.03876 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.328234 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0183066 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.0757843 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.825896 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-1.04379 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.951041 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.467088 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-1.52018 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-1.18813 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.963822 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.783092 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.433237 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.0341787 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.332902 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.893116 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.384265 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.586047 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-1.24514 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.981853 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-1.34035 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.22645 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.0574101 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.262355 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.540152 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.917148 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.31146 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.465037 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.938046 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.909093 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.447667 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.313021 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.705368 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.371321 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.250525 # DEPENDENCYPART_GRANDPAR
(3,7),(7,20),-0.328052 # DEPENDENCYPART_GRANDPAR
(3,7),(7,21),-1.17076 # DEPENDENCYPART_GRANDPAR
(3,7),(7,24),-0.554205 # DEPENDENCYPART_GRANDPAR
(3,7),(7,26),-0.79077 # DEPENDENCYPART_GRANDPAR
(3,7),(7,27),-0.305543 # DEPENDENCYPART_GRANDPAR
(3,7),(7,32),-1.25452 # DEPENDENCYPART_GRANDPAR
(3,7),(7,33),-2.33218 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-1.50969 # DEPENDENCYPART_GRANDPAR
(3,10),(10,2),-1.21027 # DEPENDENCYPART_GRANDPAR
(3,10),(10,4),0.523361 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),0.561408 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.115976 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.274092 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.073024 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.973272 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.458312 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.766535 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.516069 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),-0.246936 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.762255 # DEPENDENCYPART_GRANDPAR
(3,10),(10,18),-0.376868 # DEPENDENCYPART_GRANDPAR
(3,10),(10,20),-0.330923 # DEPENDENCYPART_GRANDPAR
(3,10),(10,23),-0.251948 # DEPENDENCYPART_GRANDPAR
(3,10),(10,26),-0.796316 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.881395 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.555946 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.73756 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.395062 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.734244 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.919961 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.867001 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-1.0238 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-1.18943 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-1.11844 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-1.02145 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-1.22087 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-1.40737 # DEPENDENCYPART_GRANDPAR
(4,2),(2,20),-1.10292 # DEPENDENCYPART_GRANDPAR
(4,2),(2,24),-1.44578 # DEPENDENCYPART_GRANDPAR
(4,2),(2,33),-2.08677 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-1.21436 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-1.12914 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.19685 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,1),-1.48335 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-1.24599 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-1.09385 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.13992 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.225797 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.367819 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.295039 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.436382 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.522209 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.615433 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-1.34767 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-1.16879 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-1.15719 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.18413 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.128091 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.220601 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.361275 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.402173 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.387272 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.464733 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-1.16442 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.420375 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.637965 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.517428 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.457272 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.521762 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.768641 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.582809 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.618919 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-0.792078 # DEPENDENCYPART_GRANDPAR
(4,7),(7,26),-0.554432 # DEPENDENCYPART_GRANDPAR
(4,7),(7,27),-1.03435 # DEPENDENCYPART_GRANDPAR
(4,7),(7,32),-0.897313 # DEPENDENCYPART_GRANDPAR
(4,7),(7,33),-1.59456 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-1.20109 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-1.10308 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.206546 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),-0.222754 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),-0.429142 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.2528 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.919957 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.853678 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.275318 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.145923 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.306351 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.51888 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),-0.28441 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),-0.826091 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.660286 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.705828 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.952528 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-0.581705 # DEPENDENCYPART_GRANDPAR
(5,2),(2,15),-0.801935 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-1.17833 # DEPENDENCYPART_GRANDPAR
(5,2),(2,19),-0.695896 # DEPENDENCYPART_GRANDPAR
(5,2),(2,20),-0.94396 # DEPENDENCYPART_GRANDPAR
(5,2),(2,24),-0.788293 # DEPENDENCYPART_GRANDPAR
(5,2),(2,33),-0.948932 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.418416 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.46968 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.322804 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.821886 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),-0.914133 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.194679 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.50097 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.298722 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.814914 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.697958 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.547555 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.0921537 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),-0.112091 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),-0.0866095 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.40295 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.691325 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.78797 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.740112 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),-0.811854 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),-1.15378 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.822722 # DEPENDENCYPART_GRANDPAR
(6,2),(2,18),-1.00692 # DEPENDENCYPART_GRANDPAR
(6,2),(2,19),-1.06041 # DEPENDENCYPART_GRANDPAR
(6,2),(2,20),-0.827553 # DEPENDENCYPART_GRANDPAR
(6,2),(2,24),-1.70109 # DEPENDENCYPART_GRANDPAR
(6,2),(2,33),-1.5277 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.311965 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),-0.285389 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.40543 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.650673 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.738614 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.201033 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.00470833 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.34023 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.604657 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.655776 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.154557 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.103967 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.160753 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.995359 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.654656 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.792604 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.688523 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.692811 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.937011 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.171653 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.0712076 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.137659 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.175122 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.282321 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.173145 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.365968 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.197001 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.15508 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.299218 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.159902 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.179934 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.519553 # DEPENDENCYPART_GRANDPAR
(6,7),(7,24),-0.722432 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),-0.502263 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-0.858191 # DEPENDENCYPART_GRANDPAR
(6,7),(7,32),-0.607195 # DEPENDENCYPART_GRANDPAR
(6,7),(7,33),-1.12028 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.748651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.0726882 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),-0.290001 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.0446379 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.284687 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.25995 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.365805 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.163471 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.0457587 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.641383 # DEPENDENCYPART_GRANDPAR
(6,8),(8,18),-0.183475 # DEPENDENCYPART_GRANDPAR
(6,8),(8,22),-0.623537 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.698284 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.747552 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.698791 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.848807 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),-0.0944598 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.0194326 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.259709 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.0837263 # DEPENDENCYPART_GRANDPAR
(6,10),(10,1),-1.24768 # DEPENDENCYPART_GRANDPAR
(6,10),(10,2),-0.87079 # DEPENDENCYPART_GRANDPAR
(6,10),(10,4),-0.869074 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),-0.826628 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-0.931226 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),-0.0720384 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),-0.0838141 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),-0.00760216 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.203439 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),0.0912795 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),-0.27628 # DEPENDENCYPART_GRANDPAR
(6,10),(10,15),-0.170989 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.163381 # DEPENDENCYPART_GRANDPAR
(6,10),(10,18),-0.120302 # DEPENDENCYPART_GRANDPAR
(6,10),(10,20),-0.191974 # DEPENDENCYPART_GRANDPAR
(6,10),(10,23),-0.280224 # DEPENDENCYPART_GRANDPAR
(6,10),(10,26),-0.323348 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),-0.227704 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.111886 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.290143 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.265955 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.542097 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.38257 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.0881958 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.520153 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),-0.379662 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),0.979688 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),0.958059 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),0.120535 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.123326 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),-0.00101239 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-0.791588 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),0.167818 # DEPENDENCYPART_GRANDPAR
(7,2),(2,9),-0.64561 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.175976 # DEPENDENCYPART_GRANDPAR
(7,2),(2,11),0.200371 # DEPENDENCYPART_GRANDPAR
(7,2),(2,15),0.00639184 # DEPENDENCYPART_GRANDPAR
(7,2),(2,18),-0.483554 # DEPENDENCYPART_GRANDPAR
(7,2),(2,19),0.0204686 # DEPENDENCYPART_GRANDPAR
(7,2),(2,20),-0.215714 # DEPENDENCYPART_GRANDPAR
(7,2),(2,24),-0.0764879 # DEPENDENCYPART_GRANDPAR
(7,2),(2,33),-1.50452 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.0746506 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.172408 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),-0.00976654 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-0.85597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,10),-0.197548 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.05838 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.0929905 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),0.0775221 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-0.841319 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,9),-0.696096 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.0219939 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),0.627501 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),0.0267935 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),0.829308 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.046726 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),0.541317 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.137723 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),0.042704 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-0.727635 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),0.255089 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.609138 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.0228761 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),0.28668 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.44542 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.169972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.494753 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.161568 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.291829 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.191366 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.58118 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),0.137644 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),0.420192 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.25092 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),0.075941 # DEPENDENCYPART_GRANDPAR
(7,8),(8,22),-0.976605 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-0.409725 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),0.407239 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.445391 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.420505 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.158361 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.798099 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.200466 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.466296 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-0.108974 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.516095 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.646571 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.523586 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.432187 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.151334 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.76145 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),-0.146494 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.121688 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.239774 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.0677063 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),0.288902 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.0636782 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),0.0199701 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),0.0325756 # DEPENDENCYPART_GRANDPAR
(7,10),(10,23),-0.212225 # DEPENDENCYPART_GRANDPAR
(7,10),(10,26),-0.377074 # DEPENDENCYPART_GRANDPAR
(7,11),(11,8),0.498638 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.34924 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.0349466 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.14721 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),0.24221 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.417327 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.317672 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),0.485856 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),0.174775 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.277265 # DEPENDENCYPART_GRANDPAR
(7,13),(13,9),-0.0194066 # DEPENDENCYPART_GRANDPAR
(7,13),(13,11),0.530309 # DEPENDENCYPART_GRANDPAR
(7,13),(13,12),0.0135905 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),0.125205 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),0.433641 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),0.0683752 # DEPENDENCYPART_GRANDPAR
(7,14),(14,4),-0.513684 # DEPENDENCYPART_GRANDPAR
(7,14),(14,6),-0.415399 # DEPENDENCYPART_GRANDPAR
(7,14),(14,8),0.739844 # DEPENDENCYPART_GRANDPAR
(7,14),(14,9),-0.00224874 # DEPENDENCYPART_GRANDPAR
(7,14),(14,10),0.338403 # DEPENDENCYPART_GRANDPAR
