# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,1,3,1,0,6,9,10,6,6,11,12,16,16,13,6,
(11,2),(11,17),0.0148219 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.303109 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00499837 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00286217 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0300935 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.00561918 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0474784 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0182097 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0878846 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.13875 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0480588 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0257121 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.052099 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0148219 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0747444 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0125389 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0178251 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0269502 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0602705 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.110296 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0407531 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.030641 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0291972 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0909758 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.969662 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.134151 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0138851 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0725186 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0887841 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0674368 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.121319 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0193399 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.105788 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.128945 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.101553 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0723076 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0159673 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.034348 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0148557 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0436139 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0541951 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0788146 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0149082 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0286633 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.061413 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0371291 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0534236 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.113238 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0156423 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0239027 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.018744 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.101399 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0764121 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0449876 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0907411 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0081757 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0249455 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0483784 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.195384 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0574597 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.61671 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.603154 # DEPENDENCYPART_SIBL
(13,15),(13,16),-1.14793 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.071388 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0405406 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0580068 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.30297 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.069171 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0588098 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.101378 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.283229 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.313702 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0272776 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.106819 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0341783 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.243574 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.147715 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0510761 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.32459 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0490492 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0436267 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.352674 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0575981 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0570117 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.798165 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.669014 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.131206 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.31109 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.111435 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.100951 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.34305 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.0494044 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.48251 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.127595 # DEPENDENCYPART_GRANDPAR
(0,1),(1,12),-0.377804 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.231596 # DEPENDENCYPART_GRANDPAR
(0,1),(1,17),1.64009 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.934805 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.548678 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.397248 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),1.08239 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),1.18022 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.179696 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.162629 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.0755395 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.0710212 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),-0.32957 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.0390581 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.357757 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.0477373 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.0626526 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),1.87942 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.916812 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),1.07316 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.250913 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.027135 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.0406706 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0099378 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.387712 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.176906 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),-0.402553 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),0.103012 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.336 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.105459 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),-0.164228 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),2.12616 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),1.14117 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.977906 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.355254 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.00472007 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.490831 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.176685 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.255233 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.017788 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.183869 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.389123 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.283432 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.034326 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.112544 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),2.10404 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.853859 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),1.34433 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.26757 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),-0.34784 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),0.857257 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.124095 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),-0.245322 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.154791 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),-0.463394 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),0.0250666 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.334872 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.156288 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),-0.16785 # DEPENDENCYPART_GRANDPAR
(0,7),(7,17),1.89384 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.83353 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),1.30066 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.249876 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.358308 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.813583 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.121392 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.177143 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.718538 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.442517 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.0627174 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.35182 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.124066 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.184798 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),1.88281 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.861803 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.890314 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.258765 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.255161 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.403238 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.113319 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.0229739 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.494615 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.207559 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.224973 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.525083 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.366336 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.379697 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),1.76106 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.98493 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.996573 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.33188 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.509498 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.146909 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.424138 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.470967 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.0659811 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.218836 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),1.81577 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.445733 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.237843 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.413464 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.340757 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.0471041 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.420222 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.184627 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),2.12831 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),0.161396 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.0447337 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),-0.508741 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),-0.280975 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.725878 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.673239 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),2.01614 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.760984 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.293061 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),0.408748 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.721032 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.13235 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.12284 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.105373 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.297406 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.00158984 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),0.0802802 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.00214791 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),0.127449 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.0481095 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.19388 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.422028 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.584792 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),-0.135753 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.245745 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.000369927 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.106947 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),0.0438076 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.0449552 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.0300113 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),0.115612 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),0.0758676 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.236187 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),0.0690032 # DEPENDENCYPART_GRANDPAR
(1,4),(4,16),-0.174222 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),-0.200674 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.266454 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.129492 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.754287 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),-0.287639 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.251883 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.148974 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.0422676 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.0115827 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),0.0305296 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.0765017 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),0.247301 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),0.227927 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.304068 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.177755 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.240059 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.359104 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.73176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),-0.132454 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),-0.121843 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),0.0788605 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.112918 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.0283709 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),0.188357 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),0.0243156 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),0.075893 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),0.13052 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),-0.234248 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.00961465 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),-0.174026 # DEPENDENCYPART_GRANDPAR
(1,7),(7,17),-0.242354 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.762729 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),-0.185571 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),-0.225358 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),0.0598 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.171753 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),0.141254 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),0.115742 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),-0.241835 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.0478462 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.759849 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),-0.18454 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),-0.147566 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.0600492 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),0.0608307 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.0387502 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.0808633 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.034881 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.0984173 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),0.169117 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.246699 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),0.0235529 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.186477 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.24788 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.776593 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,2),-0.296703 # DEPENDENCYPART_GRANDPAR
(1,10),(10,3),-0.242734 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),0.147547 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),-0.0513323 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),-0.175334 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),0.178466 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),0.0644161 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),0.156276 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.0386434 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),-0.284879 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.173524 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.246289 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),-0.404011 # DEPENDENCYPART_GRANDPAR
(1,11),(11,1),-0.657811 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,11),(11,2),-0.163252 # DEPENDENCYPART_GRANDPAR
(1,11),(11,3),-0.190352 # DEPENDENCYPART_GRANDPAR
(1,11),(11,5),0.0821191 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),0.258019 # DEPENDENCYPART_GRANDPAR
(1,11),(11,10),0.172588 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.45394 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.203441 # DEPENDENCYPART_GRANDPAR
(1,11),(11,16),-0.306662 # DEPENDENCYPART_GRANDPAR
(1,11),(11,17),-0.49448 # DEPENDENCYPART_GRANDPAR
(1,12),(12,8),0.224177 # DEPENDENCYPART_GRANDPAR
(1,12),(12,9),0.04194 # DEPENDENCYPART_GRANDPAR
(1,12),(12,10),0.200487 # DEPENDENCYPART_GRANDPAR
(1,12),(12,11),0.104906 # DEPENDENCYPART_GRANDPAR
(1,12),(12,13),0.104166 # DEPENDENCYPART_GRANDPAR
(1,12),(12,15),-0.401368 # DEPENDENCYPART_GRANDPAR
(1,12),(12,16),-0.196155 # DEPENDENCYPART_GRANDPAR
(1,12),(12,17),-0.201736 # DEPENDENCYPART_GRANDPAR
(1,13),(13,10),0.189419 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),-1.81723 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),-0.443732 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),-0.260828 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.88925 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.508832 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.678644 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.818516 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.784726 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.882432 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-1.01125 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.968737 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.820735 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),-0.908062 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-1.11556 # DEPENDENCYPART_GRANDPAR
(2,1),(1,13),-1.08856 # DEPENDENCYPART_GRANDPAR
(2,1),(1,17),-0.95393 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.656121 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.34435 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.188585 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.250003 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.400473 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.298853 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.479206 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.324545 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.285923 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.587575 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.650754 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.547516 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.362526 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.459583 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.533998 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.45085 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.283983 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-1.00223 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.777363 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.699756 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-1.26973 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-1.10407 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.673856 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.966239 # DEPENDENCYPART_GRANDPAR
(3,1),(1,12),-1.22133 # DEPENDENCYPART_GRANDPAR
(3,1),(1,13),-1.34622 # DEPENDENCYPART_GRANDPAR
(3,1),(1,17),-2.20137 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.594619 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.43799 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,5),-0.843903 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-1.30546 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-1.45039 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.876084 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.552427 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.235436 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.0869475 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.735133 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.51241 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.0652681 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.308141 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.432534 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.475488 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.600843 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),-1.78767 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.255924 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.12958 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-1.12494 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-1.2742 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.906335 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.624631 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.352345 # DEPENDENCYPART_GRANDPAR
