# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,7,10,11,12,4,4,18,18,15,18,19,20,26,20,25,26,21,4,
(2,7),(7,26),-1.05225 # DEPENDENCYPART_GRANDPAR
(2,7),(7,27),-1.32166 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.259611 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.17617 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.699004 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.854558 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.623116 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.822756 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.833033 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-1.1018 # DEPENDENCYPART_GRANDPAR
(3,1),(1,12),-1.23273 # DEPENDENCYPART_GRANDPAR
(3,1),(1,14),-0.82801 # DEPENDENCYPART_GRANDPAR
(3,1),(1,15),-0.818918 # DEPENDENCYPART_GRANDPAR
(3,1),(1,27),-1.66829 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.347363 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.18521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.735186 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.884935 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.857716 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.754293 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.606225 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.632182 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.245969 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.21457 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.382164 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.365436 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.257268 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.166284 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.437438 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.288724 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.328257 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.333431 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.571825 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),-0.483323 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.368781 # DEPENDENCYPART_GRANDPAR
(3,4),(4,19),-0.160587 # DEPENDENCYPART_GRANDPAR
(3,4),(4,20),-0.690248 # DEPENDENCYPART_GRANDPAR
(3,4),(4,21),-0.550241 # DEPENDENCYPART_GRANDPAR
(3,4),(4,22),-0.474585 # DEPENDENCYPART_GRANDPAR
(3,4),(4,23),-0.575076 # DEPENDENCYPART_GRANDPAR
(3,4),(4,24),-0.675395 # DEPENDENCYPART_GRANDPAR
(3,4),(4,27),-1.2039 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.782012 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.592678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.102196 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.0550922 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.320299 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.264972 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.240593 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.781119 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.700638 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.598452 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),-0.163898 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.276943 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.216136 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.31465 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.300829 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.212296 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.489082 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.290577 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.372777 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.521092 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.464508 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.49203 # DEPENDENCYPART_GRANDPAR
(3,6),(6,27),-1.17896 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.83614 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.726972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),-0.273448 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.318537 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.233898 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.52936 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.334634 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.12953 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.207246 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.409453 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.205849 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.296128 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.411401 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.626366 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.465247 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.36099 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.494685 # DEPENDENCYPART_GRANDPAR
(3,7),(7,20),-0.658566 # DEPENDENCYPART_GRANDPAR
(3,7),(7,21),-0.506692 # DEPENDENCYPART_GRANDPAR
(3,7),(7,22),-0.433847 # DEPENDENCYPART_GRANDPAR
(3,7),(7,23),-0.542947 # DEPENDENCYPART_GRANDPAR
(3,7),(7,24),-0.579445 # DEPENDENCYPART_GRANDPAR
(3,7),(7,26),-0.473709 # DEPENDENCYPART_GRANDPAR
(3,7),(7,27),-1.25826 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.0177296 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.0956705 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-0.910622 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.231735 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.34268 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),-0.22506 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.0597292 # DEPENDENCYPART_GRANDPAR
(4,1),(1,10),-0.338164 # DEPENDENCYPART_GRANDPAR
(4,1),(1,12),-0.499131 # DEPENDENCYPART_GRANDPAR
(4,1),(1,14),-0.581002 # DEPENDENCYPART_GRANDPAR
(4,1),(1,15),-0.511815 # DEPENDENCYPART_GRANDPAR
(4,1),(1,27),-1.1181 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.282744 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.102538 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.817766 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.149414 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.146265 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),0.181322 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.150617 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.836698 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.105956 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.258061 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.145132 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.168151 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.63079 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.468904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.150517 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.0654684 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.136388 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.16107 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),0.0655866 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-0.117352 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.423385 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.607063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.0411205 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.523383 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),0.43901 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),0.0574152 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.00599304 # DEPENDENCYPART_GRANDPAR
(4,6),(6,12),-0.104759 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.00159648 # DEPENDENCYPART_GRANDPAR
(4,6),(6,14),-0.072126 # DEPENDENCYPART_GRANDPAR
(4,6),(6,15),-0.244206 # DEPENDENCYPART_GRANDPAR
(4,6),(6,18),0.574781 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.0262814 # DEPENDENCYPART_GRANDPAR
(4,6),(6,27),-0.623333 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.169049 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.626873 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.377408 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.238332 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.0640849 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.148098 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.202598 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0787906 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.149234 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.262586 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.0720819 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.160287 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.212547 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.11914 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.189639 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),0.678577 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.403743 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.441056 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.439019 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.242755 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.207484 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-0.538263 # DEPENDENCYPART_GRANDPAR
(4,7),(7,26),-0.703433 # DEPENDENCYPART_GRANDPAR
(4,7),(7,27),-0.823788 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.0902416 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.295683 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.406369 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.0485126 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.0930364 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.0534455 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.147687 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.00323231 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.0165287 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.10684 # DEPENDENCYPART_GRANDPAR
(4,9),(9,16),-0.00272647 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),-0.252375 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),0.780142 # DEPENDENCYPART_GRANDPAR
(4,9),(9,20),-0.355067 # DEPENDENCYPART_GRANDPAR
(4,9),(9,21),-0.387665 # DEPENDENCYPART_GRANDPAR
(4,9),(9,27),-0.622322 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),0.481874 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.0631921 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.336414 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.0377907 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.102526 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.250499 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),0.492195 # DEPENDENCYPART_GRANDPAR
(4,10),(10,27),-0.856194 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),-0.0242965 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),0.342217 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.191755 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.0830976 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.0875458 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.138155 # DEPENDENCYPART_GRANDPAR
(4,11),(11,17),-0.205363 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),0.737242 # DEPENDENCYPART_GRANDPAR
(4,11),(11,20),-0.45416 # DEPENDENCYPART_GRANDPAR
(4,11),(11,21),-0.406087 # DEPENDENCYPART_GRANDPAR
(4,11),(11,23),-0.134743 # DEPENDENCYPART_GRANDPAR
(4,11),(11,26),-0.632069 # DEPENDENCYPART_GRANDPAR
(4,12),(12,9),0.371604 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),-0.0236517 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),-0.0819865 # DEPENDENCYPART_GRANDPAR
(4,12),(12,13),-0.0825655 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.166198 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),-0.248871 # DEPENDENCYPART_GRANDPAR
(4,12),(12,16),-0.106386 # DEPENDENCYPART_GRANDPAR
(4,12),(12,18),0.52005 # DEPENDENCYPART_GRANDPAR
(4,12),(12,26),-0.59616 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),0.0132269 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.196279 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.178749 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),-0.0879583 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),0.675119 # DEPENDENCYPART_GRANDPAR
(4,13),(13,20),-0.472345 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),-0.400495 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),0.00992523 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),-0.063513 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),1.2948 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),-0.191085 # DEPENDENCYPART_GRANDPAR
(4,15),(15,20),-0.285796 # DEPENDENCYPART_GRANDPAR
(4,15),(15,21),-0.312495 # DEPENDENCYPART_GRANDPAR
(4,15),(15,22),-0.053128 # DEPENDENCYPART_GRANDPAR
(4,15),(15,24),-0.500526 # DEPENDENCYPART_GRANDPAR
(4,16),(16,17),-0.247 # DEPENDENCYPART_GRANDPAR
(4,16),(16,19),-0.357586 # DEPENDENCYPART_GRANDPAR
(4,16),(16,20),-0.414743 # DEPENDENCYPART_GRANDPAR
(4,17),(17,16),-0.184053 # DEPENDENCYPART_GRANDPAR
(4,17),(17,19),-0.299838 # DEPENDENCYPART_GRANDPAR
(4,17),(17,21),-0.453482 # DEPENDENCYPART_GRANDPAR
(4,18),(18,1),-0.175413 # DEPENDENCYPART_GRANDPAR
(4,18),(18,2),-0.387313 # DEPENDENCYPART_GRANDPAR
(4,18),(18,3),-0.584704 # DEPENDENCYPART_GRANDPAR
(4,18),(18,4),-0.438018 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,18),(18,5),0.214798 # DEPENDENCYPART_GRANDPAR
(4,18),(18,6),0.0683036 # DEPENDENCYPART_GRANDPAR
(4,18),(18,7),0.182397 # DEPENDENCYPART_GRANDPAR
(4,18),(18,8),-0.24713 # DEPENDENCYPART_GRANDPAR
(4,18),(18,9),0.295374 # DEPENDENCYPART_GRANDPAR
(4,18),(18,10),-0.0582728 # DEPENDENCYPART_GRANDPAR
(4,18),(18,11),-0.0232985 # DEPENDENCYPART_GRANDPAR
(4,18),(18,12),-0.237467 # DEPENDENCYPART_GRANDPAR
(4,18),(18,13),-0.110105 # DEPENDENCYPART_GRANDPAR
(4,18),(18,14),-0.158186 # DEPENDENCYPART_GRANDPAR
(4,18),(18,15),-0.134439 # DEPENDENCYPART_GRANDPAR
(4,18),(18,16),0.0104808 # DEPENDENCYPART_GRANDPAR
(4,18),(18,17),-0.135704 # DEPENDENCYPART_GRANDPAR
(4,18),(18,19),0.0414729 # DEPENDENCYPART_GRANDPAR
(4,18),(18,20),-0.333523 # DEPENDENCYPART_GRANDPAR
(4,18),(18,21),-0.243907 # DEPENDENCYPART_GRANDPAR
(4,18),(18,22),-0.132127 # DEPENDENCYPART_GRANDPAR
(4,18),(18,23),0.0279289 # DEPENDENCYPART_GRANDPAR
(4,18),(18,24),-0.459701 # DEPENDENCYPART_GRANDPAR
(4,18),(18,26),-0.564222 # DEPENDENCYPART_GRANDPAR
(4,18),(18,27),-0.633856 # DEPENDENCYPART_GRANDPAR
(4,19),(19,3),-0.423385 # DEPENDENCYPART_GRANDPAR
(4,19),(19,4),-0.607063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,19),(19,9),-0.00862393 # DEPENDENCYPART_GRANDPAR
(4,19),(19,10),-0.306053 # DEPENDENCYPART_GRANDPAR
(4,19),(19,11),-0.297249 # DEPENDENCYPART_GRANDPAR
(4,19),(19,12),-0.395683 # DEPENDENCYPART_GRANDPAR
(4,19),(19,16),-0.291429 # DEPENDENCYPART_GRANDPAR
(4,19),(19,17),-0.380427 # DEPENDENCYPART_GRANDPAR
(4,19),(19,20),-0.0262814 # DEPENDENCYPART_GRANDPAR
(4,19),(19,21),-0.284818 # DEPENDENCYPART_GRANDPAR
(4,19),(19,22),-0.124241 # DEPENDENCYPART_GRANDPAR
(4,19),(19,23),-0.119324 # DEPENDENCYPART_GRANDPAR
(4,19),(19,24),-0.444675 # DEPENDENCYPART_GRANDPAR
(4,19),(19,26),-0.537121 # DEPENDENCYPART_GRANDPAR
(4,19),(19,27),-0.623333 # DEPENDENCYPART_GRANDPAR
(4,20),(20,3),-0.626999 # DEPENDENCYPART_GRANDPAR
(4,20),(20,4),-0.38396 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,20),(20,10),-0.0728464 # DEPENDENCYPART_GRANDPAR
(4,20),(20,11),-0.06585 # DEPENDENCYPART_GRANDPAR
(4,20),(20,12),-0.15576 # DEPENDENCYPART_GRANDPAR
(4,20),(20,13),-0.156554 # DEPENDENCYPART_GRANDPAR
(4,20),(20,16),-0.129877 # DEPENDENCYPART_GRANDPAR
(4,20),(20,17),-0.142813 # DEPENDENCYPART_GRANDPAR
(4,20),(20,21),-0.512806 # DEPENDENCYPART_GRANDPAR
(4,20),(20,22),-0.247361 # DEPENDENCYPART_GRANDPAR
(4,20),(20,23),-0.240377 # DEPENDENCYPART_GRANDPAR
(4,20),(20,24),-0.550983 # DEPENDENCYPART_GRANDPAR
(4,20),(20,25),-0.508857 # DEPENDENCYPART_GRANDPAR
(4,20),(20,26),-0.654239 # DEPENDENCYPART_GRANDPAR
(4,20),(20,27),-0.831365 # DEPENDENCYPART_GRANDPAR
(4,21),(21,22),-0.261808 # DEPENDENCYPART_GRANDPAR
(4,21),(21,23),-0.177921 # DEPENDENCYPART_GRANDPAR
(4,21),(21,24),-0.59981 # DEPENDENCYPART_GRANDPAR
(4,21),(21,25),-0.513514 # DEPENDENCYPART_GRANDPAR
(4,21),(21,26),-0.582315 # DEPENDENCYPART_GRANDPAR
(4,22),(22,17),-0.0630318 # DEPENDENCYPART_GRANDPAR
(4,22),(22,21),-0.334491 # DEPENDENCYPART_GRANDPAR
(4,22),(22,23),-0.0907402 # DEPENDENCYPART_GRANDPAR
(4,22),(22,24),-0.533043 # DEPENDENCYPART_GRANDPAR
(4,22),(22,25),-0.555668 # DEPENDENCYPART_GRANDPAR
(4,22),(22,26),-0.720875 # DEPENDENCYPART_GRANDPAR
(4,24),(24,22),-0.164923 # DEPENDENCYPART_GRANDPAR
(4,24),(24,23),-0.00760139 # DEPENDENCYPART_GRANDPAR
(4,24),(24,25),-0.592454 # DEPENDENCYPART_GRANDPAR
(4,24),(24,26),-0.625305 # DEPENDENCYPART_GRANDPAR
(4,24),(24,27),-0.739487 # DEPENDENCYPART_GRANDPAR
(4,27),(27,26),-0.711757 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.393891 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.400701 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.210599 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.66177 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.767515 # DEPENDENCYPART_GRANDPAR
(5,1),(1,7),-0.783091 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),-0.72104 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),-0.741765 # DEPENDENCYPART_GRANDPAR
(5,1),(1,12),-0.69652 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),-0.76226 # DEPENDENCYPART_GRANDPAR
(5,1),(1,15),-0.0803428 # DEPENDENCYPART_GRANDPAR
(5,1),(1,27),-1.61511 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.434578 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.563582 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.149253 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.63814 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.781602 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.804692 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.518079 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.655173 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.528306 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.59728 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.767109 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.779532 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.659281 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.770217 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.830263 # DEPENDENCYPART_GRANDPAR
(5,4),(4,12),-0.681888 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.933955 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.698417 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),0.00873092 # DEPENDENCYPART_GRANDPAR
(5,4),(4,16),-1.02242 # DEPENDENCYPART_GRANDPAR
(5,4),(4,17),-0.963145 # DEPENDENCYPART_GRANDPAR
(5,4),(4,18),-1.05496 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-1.20863 # DEPENDENCYPART_GRANDPAR
(5,4),(4,20),-1.02487 # DEPENDENCYPART_GRANDPAR
(5,4),(4,21),-1.0127 # DEPENDENCYPART_GRANDPAR
(5,4),(4,22),-0.9187 # DEPENDENCYPART_GRANDPAR
(5,4),(4,23),-0.968318 # DEPENDENCYPART_GRANDPAR
(5,4),(4,24),-1.24637 # DEPENDENCYPART_GRANDPAR
(5,4),(4,27),-1.44932 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.860353 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-0.968505 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.914564 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.684973 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.29067 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.188726 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.294164 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.328058 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.409373 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),-0.227304 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.503779 # DEPENDENCYPART_GRANDPAR
(5,6),(6,14),-0.344547 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),0.383317 # DEPENDENCYPART_GRANDPAR
(5,6),(6,18),-0.718908 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),-0.406709 # DEPENDENCYPART_GRANDPAR
(5,6),(6,27),-1.13603 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.886715 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.956028 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.697064 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-1.22851 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.309288 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.521247 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.370238 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.333498 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.488673 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.317938 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.507247 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.308162 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.421327 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.619184 # DEPENDENCYPART_GRANDPAR
(5,7),(7,17),-0.506509 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.694175 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),-0.925552 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),-0.643111 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.644932 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.531718 # DEPENDENCYPART_GRANDPAR
(5,7),(7,23),-0.578063 # DEPENDENCYPART_GRANDPAR
(5,7),(7,24),-0.791769 # DEPENDENCYPART_GRANDPAR
(5,7),(7,26),-0.585979 # DEPENDENCYPART_GRANDPAR
