# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(11,3),(11,23),0.0994877 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.161999 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0265825 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0587484 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0149557 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.00287978 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0153858 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0433005 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.027464 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0218755 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.020245 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0153858 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.00264639 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0327452 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0188138 # DEPENDENCYPART_SIBL
(11,5),(11,23),0.211207 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00837218 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.100654 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0276517 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0229137 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0972005 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.104267 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.11973 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00876688 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.00872444 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0972005 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0143064 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0561755 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.00872444 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.251859 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0154814 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.107068 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.032786 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0135519 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0179519 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0869339 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0720895 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0714755 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0135519 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0332563 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0641721 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0714755 # DEPENDENCYPART_SIBL
(11,7),(11,23),0.0668105 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0233745 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.00646068 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0427864 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0662804 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0973734 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0186742 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0195454 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0427864 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0451054 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.076127 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.0183198 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.0818704 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0301718 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.12334 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0625122 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.113237 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0837077 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0836653 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.12334 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0403995 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0338012 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0836653 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.00830717 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.04429 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.101602 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0803481 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0167258 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0166607 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.04429 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0675701 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0874712 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.0166607 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.000424297 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.199239 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.106604 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.122977 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.123232 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0525812 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.295734 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.170396 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.119679 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.0278497 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0553626 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0784318 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0785099 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.00765566 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.177176 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.320381 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.078376 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.00578375 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.139737 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.139683 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.078647 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.193857 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.153417 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.139817 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.0339372 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.201159 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0298422 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.127649 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.00299806 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.201293 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.0217263 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.017444 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.12741 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.00767293 # DEPENDENCYPART_SIBL
(11,16),(11,22),-0.19888 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.0325224 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.295734 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.170396 # DEPENDENCYPART_SIBL
(11,17),(11,22),0.119679 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.0278497 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0499968 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.116316 # DEPENDENCYPART_SIBL
(11,19),(11,23),0.0477844 # DEPENDENCYPART_SIBL
(11,20),(11,22),-0.169458 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.155774 # DEPENDENCYPART_SIBL
(11,22),(11,23),0.0321553 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.0314527 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.00518318 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.0125652 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.184427 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0314971 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.117554 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0256307 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0640143 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.052118 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0743268 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.312413 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0309761 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.00557601 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.132649 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.035828 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.113357 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0161494 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0239649 # DEPENDENCYPART_SIBL
(14,1),(14,23),0.415924 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.134652 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.129386 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.277177 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.230389 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.296359 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0815597 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0905008 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0279613 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0478413 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0675517 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.10586 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0900424 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0163318 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.120453 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.0676668 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.163049 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.10598 # DEPENDENCYPART_SIBL
(14,2),(14,23),-0.00798525 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0358784 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.267673 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.150253 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.592069 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.134687 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.147021 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.100623 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.255747 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.117668 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0385914 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0548907 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.00102901 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0537796 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0286125 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.109892 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.038953 # DEPENDENCYPART_SIBL
(14,3),(14,23),0.0570859 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.588985 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0876363 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.50594 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.299472 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.28798 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.225325 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.283648 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.356991 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.18463 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.168034 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0865004 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0921297 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.103788 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.115835 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.178864 # DEPENDENCYPART_SIBL
(14,5),(14,23),0.0853657 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.088644 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.301652 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0421549 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0618804 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0271747 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.115826 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.124373 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.00298898 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0119889 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.165217 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0824725 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.032833 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.151909 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.000271868 # DEPENDENCYPART_SIBL
(14,6),(14,23),-0.40502 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.291703 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.0795351 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0519449 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0127723 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.158589 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.166785 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.171015 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.155465 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.18216 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0811576 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0491708 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.114793 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.167726 # DEPENDENCYPART_SIBL
(14,7),(14,23),-0.0110752 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.103234 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.122627 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0775691 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.356855 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0935063 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.013187 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0290109 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0137021 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0932516 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.00223675 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.158242 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0130732 # DEPENDENCYPART_SIBL
(14,8),(14,23),0.0130748 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.125599 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0784004 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0235592 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.244553 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.194327 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.17935 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.183878 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0786068 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0903302 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0861149 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.19161 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0773642 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.00214899 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0362741 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.065836 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0336857 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0186851 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0106815 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0331597 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0210498 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0798521 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0309459 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.0294144 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.205438 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.147 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0356941 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0205214 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0345499 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0516303 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0467652 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.082699 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0327822 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.0730221 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.568542 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0150197 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0079332 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0972144 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0858447 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.00201803 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.183606 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0104689 # DEPENDENCYPART_SIBL
(14,12),(14,23),0.01006 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0359658 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0183778 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.180908 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.048676 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0676661 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0782152 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0367667 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.163678 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.287043 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0504154 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.108836 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.170778 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.02018 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.2895 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0922026 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0325808 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.103168 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.165103 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.0211122 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.281651 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0680305 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.194105 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.235531 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0428827 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0544952 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.220475 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.139911 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.131287 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.145308 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0935837 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0647258 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.150848 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.127682 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.136161 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.105475 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.069037 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0316027 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0586158 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.000555881 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00208018 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.043656 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0354911 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0133628 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0474897 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0381189 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0239798 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0602323 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.365351 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.918577 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.330426 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.681645 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0683417 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0385386 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0159476 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0598472 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0189111 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.06305 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.156222 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.328394 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.000642509 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.0960602 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.251297 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0110924 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0803028 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0938178 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.902488 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.0831214 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.132141 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.115559 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.145643 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.258238 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.225257 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0564173 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.193167 # DEPENDENCYPART_SIBL
(16,1),(16,23),0.0460819 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.20494 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0268115 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.0311098 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.0917243 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0486505 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0103404 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.254271 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.282189 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0735664 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0891544 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0912132 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00269837 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0365114 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.00294276 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0561099 # DEPENDENCYPART_SIBL
(16,3),(16,22),0.00276873 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.00670222 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.0758316 # DEPENDENCYPART_SIBL
(16,5),(16,7),0.169396 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.133266 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.0174742 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.103716 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0562725 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.190096 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.0631521 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.223765 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0570793 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.0246959 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.0234301 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0132375 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0665502 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0134547 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.0391705 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.00499846 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.01427 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0980131 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0407207 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.0236977 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0302162 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.100533 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0300555 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.165832 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.000500746 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0570474 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.122116 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0569558 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0717701 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.412268 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0670545 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0969641 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0277823 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.106789 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0792656 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00310492 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.164817 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0636425 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0695983 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0051611 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.00656657 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0370209 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.00907673 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.00137862 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0577201 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0056023 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.266007 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.2305 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0802379 # DEPENDENCYPART_SIBL
