# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,2,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
(12,11),(12,14),0.0088685 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0403229 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.110603 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.165561 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0265121 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0591396 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0375357 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0282217 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.215777 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0184829 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.0591396 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0166309 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0924594 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0101398 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.144583 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0542373 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.111701 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.09704 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.0303686 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.0968854 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0719996 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0135872 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0908935 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.121612 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.534999 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0226899 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0580226 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.155538 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0103202 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.000815649 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0499823 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0523153 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0729282 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.116855 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0560704 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.157251 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0669222 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.71288 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0590539 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0880828 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0289248 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0826977 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0300703 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0280824 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.111501 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.049359 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0594205 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.211735 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0935493 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.661665 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0439606 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.110586 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0544706 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.00493766 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00962564 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0308768 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0166848 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.00252844 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.0388424 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.27332 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.239037 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.112073 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.182147 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0155957 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.07052 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.270628 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00163598 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0267435 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0533711 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.0693328 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.164027 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.00226441 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0106161 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.00363448 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.125101 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00472921 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0141234 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.100097 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.00762487 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0425861 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0226899 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0580226 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.155538 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0103202 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.000815649 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0499823 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0523153 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0729282 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.116855 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0555548 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.000684438 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0853113 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0387636 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0140213 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0630572 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.000133561 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0582032 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.00468661 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0161635 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.018964 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.000272411 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.104246 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.00397498 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0546395 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.109 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00937232 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0474556 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.079516 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0202462 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0510499 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0236572 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0147182 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.134983 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.00565526 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0577991 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0353877 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.110569 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0699919 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0264272 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0522742 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.039854 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.142454 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0152651 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.11783 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0443154 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.00576678 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.0191592 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.1173 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.00983026 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0161779 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0191592 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0686694 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0223329 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0849644 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0437186 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.00209696 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0796214 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0453678 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0262989 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0154007 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.114891 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0183492 # DEPENDENCYPART_SIBL
(14,1),(14,23),0.339435 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0717471 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0247134 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0075865 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.203015 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0717471 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0637403 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.215364 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0850769 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.141767 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.213115 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0745685 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0837443 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.10337 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0382766 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0816293 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0170931 # DEPENDENCYPART_SIBL
(14,2),(14,23),-0.05327 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.165982 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.13571 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0542677 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0746752 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0319657 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0564265 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0370546 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0187315 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.029949 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0249404 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.00776503 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.034272 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.0638211 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.00422359 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.0767405 # DEPENDENCYPART_SIBL
(14,3),(14,23),0.0581918 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.00914914 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0368525 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.927446 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0314402 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0108469 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0105136 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0231595 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.0356083 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.078659 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0301268 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.0160089 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0249558 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0671166 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.0821178 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.0396626 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.161539 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.221098 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.126466 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0545012 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.116507 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.118725 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.16906 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.01988 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0350037 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.033309 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0626267 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0334866 # DEPENDENCYPART_SIBL
(14,5),(14,22),0.0755693 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.0203107 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.02006 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.309906 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.51965 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.294296 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.350366 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.742593 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.102595 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.113748 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0235375 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0800631 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0580194 # DEPENDENCYPART_SIBL
(14,7),(14,22),0.0309031 # DEPENDENCYPART_SIBL
(14,7),(14,23),-0.0877693 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0319657 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0564265 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0370546 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.0187315 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.029949 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0249404 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.00776503 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.034272 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0638211 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.00422359 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0767405 # DEPENDENCYPART_SIBL
(14,8),(14,23),0.0581918 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.00622618 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0686817 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0495091 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0226541 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0912827 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0896234 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0555313 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0116694 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.106655 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0288623 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0578625 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.209421 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.21211 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.258581 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0382047 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.00342625 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0152528 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.131933 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0121944 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.0632171 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.0267488 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0337497 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0887887 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0530471 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0250582 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0382282 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.00328862 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.048346 # DEPENDENCYPART_SIBL
(14,11),(14,22),0.0237901 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0289497 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.00365498 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0405872 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0751412 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.00388198 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.075681 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0815151 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0100924 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0608047 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0853299 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0758583 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0221097 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0360987 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.046012 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0350596 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0183512 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.124895 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.123171 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.160738 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0673697 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.167494 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0945153 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.23918 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0157657 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0412142 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.242743 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0647555 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.102544 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0228165 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.280578 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0218104 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.000886432 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.143054 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0729624 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.307136 # DEPENDENCYPART_SIBL
(14,19),(14,23),0.0163054 # DEPENDENCYPART_SIBL
(14,22),(14,23),0.0688844 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0114914 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0182032 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.121875 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.00361732 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.103169 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0109972 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.385551 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.048672 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0393071 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0582956 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.00683702 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0170398 # DEPENDENCYPART_SIBL
(17,7),(17,23),0.0589726 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0162583 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.129529 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.384094 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0314315 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.114091 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0253901 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0127604 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0673509 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0221367 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.297302 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.19765 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0048049 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.166108 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.00361904 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0769377 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.0534646 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.00484057 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.385106 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0578341 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.026475 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.030715 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0247543 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.00718702 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.0614327 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0405429 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0981625 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.42804 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.282403 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0383119 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0667282 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0315091 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.016681 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0692834 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0479886 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0165982 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0710292 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0640425 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.137466 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.0375359 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0254452 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0512902 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.0441511 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0835364 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0686181 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.037661 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0370838 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0653806 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.167206 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.365748 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.664196 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.865146 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0232628 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0392329 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.00175035 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.00665534 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.0161821 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0137791 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0236256 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0361474 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0573013 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0730162 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.117848 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.111206 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.276111 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0778661 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0413589 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0589314 # DEPENDENCYPART_SIBL
(22,10),(22,12),-0.0337739 # DEPENDENCYPART_SIBL
(22,10),(22,13),0.0560631 # DEPENDENCYPART_SIBL
(22,10),(22,15),-0.0992308 # DEPENDENCYPART_SIBL
(22,10),(22,16),-0.0261189 # DEPENDENCYPART_SIBL
(22,10),(22,17),0.0397604 # DEPENDENCYPART_SIBL
(22,10),(22,18),0.0278685 # DEPENDENCYPART_SIBL
(22,10),(22,19),0.160639 # DEPENDENCYPART_SIBL
(22,10),(22,20),-0.360551 # DEPENDENCYPART_SIBL
(22,10),(22,21),-0.0510228 # DEPENDENCYPART_SIBL
(22,10),(22,23),0.0171262 # DEPENDENCYPART_SIBL
(22,12),(22,13),0.0947994 # DEPENDENCYPART_SIBL
(22,12),(22,15),-0.176314 # DEPENDENCYPART_SIBL
(22,12),(22,16),-0.0782273 # DEPENDENCYPART_SIBL
(22,12),(22,17),0.0343214 # DEPENDENCYPART_SIBL
(22,12),(22,18),0.0388095 # DEPENDENCYPART_SIBL
(22,12),(22,19),0.128465 # DEPENDENCYPART_SIBL
(22,12),(22,20),-0.526377 # DEPENDENCYPART_SIBL
(22,12),(22,21),-0.121323 # DEPENDENCYPART_SIBL
(22,12),(22,23),-0.150274 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.321922 # DEPENDENCYPART_SIBL
(22,13),(22,16),-0.165162 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.168407 # DEPENDENCYPART_SIBL
(22,13),(22,18),-0.0357196 # DEPENDENCYPART_SIBL
(22,13),(22,19),0.0401118 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.538968 # DEPENDENCYPART_SIBL
(22,13),(22,21),-0.174976 # DEPENDENCYPART_SIBL
(22,13),(22,23),-0.0290115 # DEPENDENCYPART_SIBL
(22,15),(22,16),0.0185074 # DEPENDENCYPART_SIBL
(22,15),(22,17),0.0698331 # DEPENDENCYPART_SIBL
(22,15),(22,18),0.0279884 # DEPENDENCYPART_SIBL
(22,15),(22,19),0.317603 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.543425 # DEPENDENCYPART_SIBL
(22,15),(22,21),0.0676247 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0786167 # DEPENDENCYPART_SIBL
(22,16),(22,17),0.0723735 # DEPENDENCYPART_SIBL
(22,16),(22,18),0.0548637 # DEPENDENCYPART_SIBL
(22,16),(22,19),0.121051 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.512346 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.105757 # DEPENDENCYPART_SIBL
