# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(16,13),(16,15),0.0494477 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0919913 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0833472 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.025194 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.166883 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.407014 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.107156 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.101999 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.126401 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.096193 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0176648 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0684338 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0208006 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0126062 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0416112 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.112575 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.00620132 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.044324 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.050324 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0461866 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0201975 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0781848 # DEPENDENCYPART_SIBL
(17,1),(17,19),0.0592427 # DEPENDENCYPART_SIBL
(17,1),(17,20),0.022725 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.197307 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.248162 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.024315 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0495329 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0491723 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.039572 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.328992 # DEPENDENCYPART_SIBL
(19,2),(19,16),0.461514 # DEPENDENCYPART_SIBL
(19,2),(19,17),0.250606 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.795711 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.171249 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.181163 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0903344 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.204137 # DEPENDENCYPART_SIBL
(19,9),(19,20),0.0690352 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.00869425 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.388992 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0231199 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.394932 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0492257 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.218999 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.50185 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.0029512 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.0366268 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.16209 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.267959 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.370821 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.515862 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.132762 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),-0.0228957 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.11678 # DEPENDENCYPART_GRANDPAR
(0,1),(1,14),0.0732014 # DEPENDENCYPART_GRANDPAR
(0,1),(1,15),-0.819914 # DEPENDENCYPART_GRANDPAR
(0,1),(1,20),1.11034 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.783538 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.848311 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.295868 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.241225 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.326043 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.405632 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.328922 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.199337 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.274808 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.127262 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.113738 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.733722 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.456576 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.0614919 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),1.17739 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),1.14159 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),-0.677972 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.0663419 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.122176 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.186899 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.482324 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.536361 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.815872 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.218458 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.096085 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.338175 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.0359862 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.0804832 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.628382 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.487753 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),-0.0228758 # DEPENDENCYPART_GRANDPAR
(0,10),(10,20),1.5863 # DEPENDENCYPART_GRANDPAR
(1,2),(2,3),0.552146 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.24449 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.897795 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),1.02889 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.0325145 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.0792985 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.561868 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.202986 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.121503 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.618032 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.450789 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),0.0753691 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),0.41494 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-1.18984 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.780861 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),1.1245 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),1.25777 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),0.211869 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.159975 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.13088 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.580504 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),1.21725 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),1.18059 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.589202 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.271966 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.116216 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.42868 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.64044 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.164688 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.538961 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.231808 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),0.219175 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.956893 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.379115 # DEPENDENCYPART_GRANDPAR
(1,5),(5,20),-1.27888 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.146111 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.170455 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.0886918 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.348139 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.735027 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.409253 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.54138 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.959311 # DEPENDENCYPART_GRANDPAR
(1,6),(6,20),-1.37543 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),0.414838 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.125927 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),0.242619 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.0188583 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.640801 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),0.0660782 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.536765 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),0.178014 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),0.283547 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.937957 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,5),-0.0406551 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.0443172 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.0853396 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.281098 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.0450707 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.456021 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),0.137936 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),0.441028 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),-0.260749 # DEPENDENCYPART_GRANDPAR
(1,11),(11,1),-0.750562 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,11),(11,5),-0.126698 # DEPENDENCYPART_GRANDPAR
(1,11),(11,6),0.0645107 # DEPENDENCYPART_GRANDPAR
(1,11),(11,7),0.151294 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.237493 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),-0.406616 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.922102 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.877037 # DEPENDENCYPART_GRANDPAR
(1,11),(11,14),-0.0979417 # DEPENDENCYPART_GRANDPAR
(1,11),(11,15),0.434207 # DEPENDENCYPART_GRANDPAR
(1,11),(11,16),-0.952196 # DEPENDENCYPART_GRANDPAR
(1,11),(11,17),-0.942236 # DEPENDENCYPART_GRANDPAR
(1,11),(11,19),-0.333902 # DEPENDENCYPART_GRANDPAR
(1,11),(11,20),-1.26364 # DEPENDENCYPART_GRANDPAR
(1,13),(13,1),-0.760779 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,13),(13,5),0.122104 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),0.270361 # DEPENDENCYPART_GRANDPAR
(1,13),(13,7),0.186514 # DEPENDENCYPART_GRANDPAR
(1,13),(13,8),0.144138 # DEPENDENCYPART_GRANDPAR
(1,13),(13,9),-0.132381 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),-0.586933 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),-0.0133943 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),0.217678 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),-1.02993 # DEPENDENCYPART_GRANDPAR
(1,13),(13,19),-0.508389 # DEPENDENCYPART_GRANDPAR
(1,15),(15,14),-0.275474 # DEPENDENCYPART_GRANDPAR
(1,15),(15,16),-0.911918 # DEPENDENCYPART_GRANDPAR
(1,15),(15,17),-0.948392 # DEPENDENCYPART_GRANDPAR
(1,15),(15,19),-0.445415 # DEPENDENCYPART_GRANDPAR
(1,15),(15,20),-1.25499 # DEPENDENCYPART_GRANDPAR
(1,20),(20,19),-0.631004 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.874327 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.43592 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.41112 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.451019 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.460294 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.693106 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.721054 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.795953 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.750481 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-1.00268 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.584785 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),-1.61922 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.852745 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.5077 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.312488 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.648099 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.628952 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.75136 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.545189 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.53672 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.500004 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.657782 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.65767 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.682204 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.863905 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-1.0032 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.916275 # DEPENDENCYPART_GRANDPAR
(3,1),(1,13),-0.825354 # DEPENDENCYPART_GRANDPAR
(3,1),(1,14),-1.3939 # DEPENDENCYPART_GRANDPAR
(3,1),(1,15),-1.46057 # DEPENDENCYPART_GRANDPAR
(3,1),(1,20),-1.07336 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.55508 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.521063 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.747621 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.917032 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.03418 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,6),-0.359341 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.198152 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.359344 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.747626 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-1.06536 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-1.1808 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.000107467 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.196822 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.0223845 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.270631 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.395433 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.351267 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.354439 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.800625 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.923537 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.506198 # DEPENDENCYPART_GRANDPAR
(3,5),(5,19),-0.495671 # DEPENDENCYPART_GRANDPAR
(3,5),(5,20),-0.586183 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),-0.18504 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.1218 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.109601 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.288722 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.337169 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.420446 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.202576 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.354335 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.582252 # DEPENDENCYPART_GRANDPAR
(3,7),(7,4),-0.0509028 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.134625 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.0888098 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.335733 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.554338 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.470163 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.582706 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.865726 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-1.12114 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.780946 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),-0.0787909 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),-0.0571552 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.138338 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.552327 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.351663 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.411566 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.627646 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.812345 # DEPENDENCYPART_GRANDPAR
(3,9),(9,19),-0.541796 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-0.721023 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.110144 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),-0.058971 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.110793 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.4385 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.394551 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.372784 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.0268443 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-1.03091 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-1.12075 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.597214 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.656584 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.602548 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.679606 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),-1.09262 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),-0.400334 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),-0.69234 # DEPENDENCYPART_GRANDPAR
(3,15),(15,19),-0.467619 # DEPENDENCYPART_GRANDPAR
(3,15),(15,20),-0.582524 # DEPENDENCYPART_GRANDPAR
(3,20),(20,19),-0.784448 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.469474 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.399284 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.51303 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.680096 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.970778 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),-0.807305 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-1.00488 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-1.08559 # DEPENDENCYPART_GRANDPAR
(4,1),(1,11),-1.04902 # DEPENDENCYPART_GRANDPAR
(4,1),(1,13),-1.21331 # DEPENDENCYPART_GRANDPAR
(4,1),(1,14),-1.108 # DEPENDENCYPART_GRANDPAR
(4,1),(1,15),-1.0651 # DEPENDENCYPART_GRANDPAR
(4,1),(1,20),-1.26791 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.385388 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.47126 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,1),-0.298676 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.399817 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.47652 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.555203 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.989299 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.769193 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.973851 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-1.04057 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-1.01628 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),-1.07697 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-1.0378 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-1.24192 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.10061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.185771 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.0341696 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.51132 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.489685 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.559736 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.499124 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),-0.577452 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.825559 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.14827 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),-0.0750241 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.506464 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.211972 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.567688 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.326469 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.481533 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.315096 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.373037 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.159955 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.397414 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.0738466 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.3699 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.7536 # DEPENDENCYPART_GRANDPAR
(5,1),(1,7),-0.522778 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),-0.673647 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),-0.515184 # DEPENDENCYPART_GRANDPAR
(5,1),(1,11),-0.790367 # DEPENDENCYPART_GRANDPAR
(5,1),(1,13),-0.843469 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),-0.750664 # DEPENDENCYPART_GRANDPAR
(5,1),(1,15),-0.935014 # DEPENDENCYPART_GRANDPAR
(5,1),(1,20),-0.774994 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.343068 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.273026 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.0932407 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.088265 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),0.383569 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.31044 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.840696 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.548114 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.701281 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.529817 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.816186 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),-0.778298 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.986842 # DEPENDENCYPART_GRANDPAR
(5,3),(3,20),-0.807161 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.195195 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.241725 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.576342 # DEPENDENCYPART_GRANDPAR
(5,4),(4,6),-0.763468 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.515222 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.658194 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.410088 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.822626 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.303674 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.13329 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.0792554 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.0846342 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.057791 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),-0.376129 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),-0.32677 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.409038 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.817651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.166819 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.0283916 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.0760671 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.0415237 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.286344 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.105408 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.469946 # DEPENDENCYPART_GRANDPAR
