# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
(8,12),(8,26),-0.0101649 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.00296782 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0290405 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.1053 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.247526 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0389001 # DEPENDENCYPART_SIBL
(8,13),(8,26),0.0476089 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0714741 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0364912 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0619049 # DEPENDENCYPART_SIBL
(8,16),(8,22),0.0208799 # DEPENDENCYPART_SIBL
(8,16),(8,26),-0.00688758 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.26522 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.00481838 # DEPENDENCYPART_SIBL
(8,17),(8,22),0.071289 # DEPENDENCYPART_SIBL
(8,17),(8,26),0.0138544 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0785467 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.109322 # DEPENDENCYPART_SIBL
(8,19),(8,26),-0.0597944 # DEPENDENCYPART_SIBL
(8,20),(8,22),-0.0343902 # DEPENDENCYPART_SIBL
(8,20),(8,26),0.0230673 # DEPENDENCYPART_SIBL
(8,22),(8,26),0.101749 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.102755 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.100961 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.126124 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.176035 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.161882 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.178181 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.274021 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.065886 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0679066 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0224866 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0194551 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.122917 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0177188 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.504758 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0572848 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.452457 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.555412 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.00241419 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.15273 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.704243 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.990185 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.161453 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.181847 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.078835 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.66383 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.511588 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.222637 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0522341 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.319072 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.077251 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0832516 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.137215 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.00810205 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0311195 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.187489 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0328255 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0174271 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.00395164 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0137802 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00242216 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0597624 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.255429 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.136751 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.188738 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.248175 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.112588 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0344908 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0453924 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0979411 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0567925 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0801985 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0118764 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0403346 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.158048 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0304537 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00618018 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0153773 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0178142 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0211766 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0548865 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.100789 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0111425 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.107093 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.285259 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0115349 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.217867 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0221491 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0387616 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.274388 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0013186 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0204147 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0175575 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.00028892 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0300741 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.174121 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0590743 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00906112 # DEPENDENCYPART_SIBL
(11,9),(11,16),8.62782e-05 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0358274 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0307268 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.09494 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0169147 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0441066 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.116513 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00583932 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.449217 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.44864 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.133026 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.455109 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0284941 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0314324 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0264952 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0161526 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0634098 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0076888 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0466081 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.327134 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.184467 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0456513 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0959316 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.228443 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.00413718 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.218789 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.332357 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0466081 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0426374 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.00519179 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0450211 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0216381 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0176649 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0155515 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0101343 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0912759 # DEPENDENCYPART_SIBL
(13,1),(13,22),0.0259642 # DEPENDENCYPART_SIBL
(13,1),(13,25),0.0157184 # DEPENDENCYPART_SIBL
(13,1),(13,26),0.0916607 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.150812 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.00407327 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.154512 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.330862 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.000623065 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.296057 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.02623 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.111755 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0416827 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.00320076 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0487159 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.00659054 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.00172898 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.00567155 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0968416 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.0253576 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.071814 # DEPENDENCYPART_SIBL
(13,2),(13,22),0.0129382 # DEPENDENCYPART_SIBL
(13,2),(13,25),-0.0272712 # DEPENDENCYPART_SIBL
(13,2),(13,26),0.187291 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0653589 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.00322063 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0613964 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.10478 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.310657 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0694156 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.219825 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0938267 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.030619 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.05249 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0922226 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0892898 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.133479 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.140603 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.0949358 # DEPENDENCYPART_SIBL
(13,3),(13,21),0.140958 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.118266 # DEPENDENCYPART_SIBL
(13,3),(13,25),0.0731775 # DEPENDENCYPART_SIBL
(13,3),(13,26),-0.489019 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0776784 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0511793 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0405085 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.116294 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0871411 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.00308615 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.221557 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.103396 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0877303 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.04205 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.10608 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0258206 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0918254 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0966152 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.00377882 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0526076 # DEPENDENCYPART_SIBL
(13,4),(13,25),-0.0640603 # DEPENDENCYPART_SIBL
(13,4),(13,26),0.0551801 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0366757 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0683396 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0898127 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0558429 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0703007 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.285376 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0789758 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.102527 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0575605 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0445453 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0106553 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0688449 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.0675554 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.0106672 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.0494648 # DEPENDENCYPART_SIBL
(13,5),(13,25),-0.0832231 # DEPENDENCYPART_SIBL
(13,5),(13,26),0.0659538 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0496113 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0294978 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0345054 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0667 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.58276 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0701201 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0342777 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.00360733 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0200455 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0407772 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0584279 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0453809 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0139729 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.0354777 # DEPENDENCYPART_SIBL
(13,6),(13,25),-0.0119148 # DEPENDENCYPART_SIBL
(13,6),(13,26),0.0720006 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.00312538 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.277991 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.485741 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.00185911 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.124565 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0836641 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0339428 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0845598 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0631902 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0299453 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0418425 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.00454016 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.0278714 # DEPENDENCYPART_SIBL
(13,8),(13,25),-0.0609456 # DEPENDENCYPART_SIBL
(13,8),(13,26),0.0400696 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0053978 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.00736982 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.509072 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0654254 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0760597 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0124337 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0464672 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0429355 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0942079 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.00883429 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0210392 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.0275872 # DEPENDENCYPART_SIBL
(13,9),(13,25),-0.0465849 # DEPENDENCYPART_SIBL
(13,9),(13,26),0.0917148 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.150667 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.107125 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0144801 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0356342 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0808554 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0730801 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.00465017 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.00191212 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.00260463 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0377956 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.0152586 # DEPENDENCYPART_SIBL
(13,10),(13,25),0.075391 # DEPENDENCYPART_SIBL
(13,10),(13,26),0.0416775 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0904228 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.140095 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.170688 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.141548 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.115141 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.154416 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.118396 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0695377 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0610277 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.133318 # DEPENDENCYPART_SIBL
(13,11),(13,25),-0.150033 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.0864819 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00320076 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0487159 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.00659054 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.00172898 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00567155 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0968416 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0253576 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.071814 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.0129382 # DEPENDENCYPART_SIBL
(13,12),(13,25),-0.0272712 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.187291 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.158406 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.154259 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.174555 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.144762 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0860418 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0476987 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.110191 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.139133 # DEPENDENCYPART_SIBL
(13,14),(13,25),-0.14737 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.179613 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.223399 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0216065 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.099506 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0139484 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0987821 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.143188 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0190798 # DEPENDENCYPART_SIBL
(13,15),(13,25),-0.191226 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.0836594 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0170621 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0724219 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0495209 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0900459 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.127532 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.0145762 # DEPENDENCYPART_SIBL
(13,16),(13,25),-0.163681 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.0219217 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.00155977 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.07084 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0161637 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0980479 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.0428717 # DEPENDENCYPART_SIBL
(13,17),(13,25),0.0782111 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.0454134 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0237329 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0459138 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0592619 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.0405397 # DEPENDENCYPART_SIBL
(13,18),(13,25),-0.059711 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.00340963 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.149672 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0105573 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.200281 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.117169 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.0694475 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.181607 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.162119 # DEPENDENCYPART_SIBL
(13,20),(13,25),-0.203811 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.0640851 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0401565 # DEPENDENCYPART_SIBL
(13,21),(13,25),0.00687389 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.00143414 # DEPENDENCYPART_SIBL
(13,22),(13,25),0.0242027 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.15546 # DEPENDENCYPART_SIBL
(13,25),(13,26),-0.0524433 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0699517 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0432687 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.288615 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0722576 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0027439 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0455857 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.100362 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.084628 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0663062 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.474985 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.0673006 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.175887 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.113344 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.144385 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.177544 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.101423 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.474985 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0696089 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0280542 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00223992 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.167463 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.113763 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.135962 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0450366 # DEPENDENCYPART_SIBL
(16,3),(16,25),-0.0481323 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.00632611 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.00282854 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.102031 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.07898 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.018322 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0270806 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.182649 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.433535 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0654729 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.102031 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0771844 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.041237 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0366119 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0743385 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.00382661 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.129135 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0133859 # DEPENDENCYPART_SIBL
(16,4),(16,25),-0.0177438 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.0182573 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.361841 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0365375 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.116043 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0249675 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0641791 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.333145 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0390305 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.361841 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.0344546 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0475873 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0285064 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.098824 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0151984 # DEPENDENCYPART_SIBL
(16,5),(16,21),0.103492 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.120844 # DEPENDENCYPART_SIBL
(16,5),(16,25),-0.0284211 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0984921 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.0821295 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0114883 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.0530629 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.069081 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.737776 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0154838 # DEPENDENCYPART_SIBL
