# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,19,4,2,4,4,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(14,1),(14,13),0.192296 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0141293 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.711958 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.0493342 # DEPENDENCYPART_SIBL
(14,1),(14,18),0.0689279 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.0167098 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.112785 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0151828 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.120564 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0937345 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.454987 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0964297 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0281023 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0907053 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.093986 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.0405513 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0118583 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.134358 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0534609 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0569264 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0447397 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0649415 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.169758 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0580206 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.0194544 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.122415 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0164491 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.0202428 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0201761 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0484756 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.305034 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.194629 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0926749 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0418893 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.059355 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0489222 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0700497 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0242209 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0069582 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.357897 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.00988728 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0548517 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00618686 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00639339 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0149653 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.077356 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0276459 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0271361 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.054564 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0659018 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.00261258 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.116564 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0109242 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.118438 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0340773 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.114836 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0849029 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0591973 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0197771 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.103253 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0412608 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.068009 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.053364 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0753755 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.10144 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0550057 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0153994 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0514041 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0484512 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.166382 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0230035 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.0867639 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0735482 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.00839807 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0149505 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0385952 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0485842 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.149476 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0402685 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0382392 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0086518 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.174814 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0513398 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0035607 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0761887 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0260607 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.238288 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.00396203 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0571979 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0515106 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.175526 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0147496 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0966384 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0797307 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0107139 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0172663 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.0397254 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0500428 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0497667 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.00244086 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.271848 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0782721 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.00603462 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0366543 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0235371 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0295901 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0484133 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.166344 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0231149 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0886612 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0593649 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.00941597 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0159694 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0399859 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.232941 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00104368 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.113733 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0240508 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0216344 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0126958 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0346572 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0208402 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.000166685 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0991381 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0803981 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.113832 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.261372 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0248105 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.176813 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0839469 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.104751 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0792086 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.364539 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.621963 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.693074 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.353563 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.133075 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.14859 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0431164 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.11895 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0349399 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0156823 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.0181469 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0884926 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.119317 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0741015 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.19192 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.00953896 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.109791 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.138684 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0849893 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.206681 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.00930395 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.326892 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.27098 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.195133 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.11076 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.057817 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.156482 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0400133 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.319353 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.106073 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0047311 # DEPENDENCYPART_SIBL
(18,1),(18,2),0.0833676 # DEPENDENCYPART_SIBL
(18,1),(18,3),0.0856839 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.0814576 # DEPENDENCYPART_SIBL
(18,1),(18,6),0.100335 # DEPENDENCYPART_SIBL
(18,1),(18,8),0.0955293 # DEPENDENCYPART_SIBL
(18,1),(18,10),0.0987206 # DEPENDENCYPART_SIBL
(18,1),(18,12),0.143031 # DEPENDENCYPART_SIBL
(18,1),(18,13),0.262056 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.283785 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.0926656 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.902326 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.212931 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.0423579 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.0827578 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.0290497 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.0295283 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0253995 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.110447 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.0784694 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.108278 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.47011 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.0177199 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.326105 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.135839 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.166193 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.165404 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.167485 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.139482 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.208424 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.383128 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.488396 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.416656 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.323174 # DEPENDENCYPART_SIBL
(18,4),(18,6),0.00581166 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.00509917 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.00720403 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.112918 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.123858 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.183615 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.186011 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.166712 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.165194 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.000818349 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.00282434 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0551657 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.108963 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.141207 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.0192693 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.199575 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.229589 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.018721 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0241853 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0875705 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.122118 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0725173 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.192053 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.284569 # DEPENDENCYPART_SIBL
(18,10),(18,12),0.0550186 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.108868 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.141485 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0834051 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.206813 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.231853 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.405645 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.168911 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.127689 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.213971 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.207443 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.316592 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.259526 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.185438 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.105121 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.062396 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.163251 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.469936 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.312333 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.132881 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.330685 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.0795477 # DEPENDENCYPART_SIBL
(19,1),(19,3),-0.0807375 # DEPENDENCYPART_SIBL
(19,1),(19,4),0.0122245 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0378453 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.0718352 # DEPENDENCYPART_SIBL
(19,1),(19,7),0.0743268 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.097732 # DEPENDENCYPART_SIBL
(19,1),(19,9),0.0376179 # DEPENDENCYPART_SIBL
(19,1),(19,10),0.0739408 # DEPENDENCYPART_SIBL
(19,1),(19,11),0.0216353 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.056254 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.0743268 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.312413 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.129817 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0983452 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.415924 # DEPENDENCYPART_SIBL
(19,2),(19,3),-0.0770029 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.235368 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.12203 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.107641 # DEPENDENCYPART_SIBL
(19,2),(19,7),0.377764 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.0954231 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.082631 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.098734 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.0728967 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.0337355 # DEPENDENCYPART_SIBL
(19,2),(19,15),0.377764 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.260246 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.134401 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.0899648 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.0545466 # DEPENDENCYPART_SIBL
(19,3),(19,4),-0.306199 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.0635328 # DEPENDENCYPART_SIBL
(19,3),(19,6),-0.228813 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.114086 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.216871 # DEPENDENCYPART_SIBL
(19,3),(19,9),-0.277338 # DEPENDENCYPART_SIBL
(19,3),(19,10),-0.223752 # DEPENDENCYPART_SIBL
(19,3),(19,11),-0.17558 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.330058 # DEPENDENCYPART_SIBL
(19,3),(19,15),-0.114086 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.242103 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.712529 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.608436 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.0403034 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.129463 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.0926674 # DEPENDENCYPART_SIBL
(19,4),(19,7),0.245537 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.0806458 # DEPENDENCYPART_SIBL
(19,4),(19,9),-0.0954177 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.0875551 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.063538 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.00552854 # DEPENDENCYPART_SIBL
(19,4),(19,15),0.245537 # DEPENDENCYPART_SIBL
(19,4),(19,16),0.000773772 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.0422319 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.0203425 # DEPENDENCYPART_SIBL
(19,4),(19,20),0.0840678 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.0565675 # DEPENDENCYPART_SIBL
(19,5),(19,7),0.106438 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.0425737 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.0460563 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.0495821 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.0137431 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.00038188 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.106438 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.173567 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0845689 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.0455651 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.115099 # DEPENDENCYPART_SIBL
(19,6),(19,7),-0.0107104 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0264912 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.0338851 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.0334994 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.00239139 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0637924 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.0107104 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.0740918 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0895298 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.0687765 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0874514 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.00567899 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.0505729 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.00991508 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.0431184 # DEPENDENCYPART_SIBL
(19,7),(19,14),0.0757176 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.324472 # DEPENDENCYPART_SIBL
(19,7),(19,16),0.568542 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.165488 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.0664876 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.01006 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.0225457 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.0181474 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.0185532 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0427862 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.108194 # DEPENDENCYPART_SIBL
(19,8),(19,16),0.118585 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.0855011 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0647458 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.100024 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.0582027 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.0334583 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.0374542 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.016616 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.067242 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.155544 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.136172 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.0136093 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.00104439 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0595555 # DEPENDENCYPART_SIBL
(19,10),(19,15),0.0665697 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.084913 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.0915868 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.0708331 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.0407086 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0956253 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0587898 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.122266 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.169197 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.148382 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0647105 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.27018 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.374038 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.730613 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.569168 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.125774 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.568542 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.165488 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0664876 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.01006 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0611549 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0187876 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.163678 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.738218 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.16624 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0685041 # DEPENDENCYPART_SIBL
(0,4),(4,1),0.579463 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.153777 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.476364 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.608156 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.493086 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0141545 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.577458 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.388542 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.413637 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),-0.225607 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),-0.0958581 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),0.431341 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),0.239537 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),0.82109 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),0.72944 # DEPENDENCYPART_GRANDPAR
(0,4),(4,20),1.22524 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.64371 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.123867 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.39405 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.638225 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.0261609 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.226635 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.126516 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.465252 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.000431051 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.501208 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.374494 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.21886 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),0.198372 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),0.605297 # DEPENDENCYPART_GRANDPAR
(0,6),(6,19),0.678968 # DEPENDENCYPART_GRANDPAR
(0,19),(19,1),0.713517 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),0.134454 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),-0.304846 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),0.960248 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.140732 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.0397688 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),0.413358 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),0.0284339 # DEPENDENCYPART_GRANDPAR
