# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(10,13),(10,17),-0.571517 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0555282 # DEPENDENCYPART_SIBL
(10,14),(10,17),-1.05863 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.111343 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.19928 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.193549 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.234518 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.106067 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0352359 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0369471 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.123705 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0123521 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0459155 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.123237 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.356031 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0733969 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0457777 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.198209 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0800615 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0493194 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0575649 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.354077 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0701739 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0493331 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.202024 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.104048 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0531345 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0687861 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0788533 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0107778 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0116765 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.074367 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00263333 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0267424 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.417904 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.682284 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.406651 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.568742 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.299778 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0479369 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0454696 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0753517 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0512507 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.113824 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.364475 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0117368 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0807383 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0999275 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0729513 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.491317 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0512848 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.241746 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.155378 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.231328 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.482383 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.480867 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.301052 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.00932221 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.490229 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0512848 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0346953 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0631291 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0659735 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.115713 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.175809 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0644585 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.152241 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.035483 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.237362 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.152336 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.230104 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.371291 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.365416 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.29065 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00478245 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.374778 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.035483 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0490562 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0158024 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0261019 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0310065 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0996055 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.00239728 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.00733436 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.198915 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.0608622 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0182495 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0470284 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0683004 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.00805614 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.131869 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0392504 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0146693 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.00987711 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0402286 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0369332 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.037156 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.116459 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0267364 # DEPENDENCYPART_SIBL
(13,3),(13,20),0.024908 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0584033 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0551646 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.115562 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.107164 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.140066 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.183896 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.115541 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.161318 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.277188 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.042201 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0841909 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.210624 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0409635 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.124633 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.376555 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0646485 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0124566 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.00404771 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.062153 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.091949 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.012481 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.146662 # DEPENDENCYPART_SIBL
(13,5),(13,14),9.37117e-05 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0540944 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0339647 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0248694 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0284947 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0129748 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.00271663 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.017396 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.00899819 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0845746 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.034339 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0172622 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.034546 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0203248 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0720682 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.103252 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00964306 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0673798 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0287206 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0753936 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.3611 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.291328 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.00491987 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.371421 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0356242 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0468823 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0145697 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0271824 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0331804 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.104122 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.00645978 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.012013 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.291769 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.00553593 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.372878 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0360708 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0372275 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.025686 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0338603 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0428352 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.105517 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.00697314 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0032012 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0302568 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.529325 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0529903 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.00950441 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0267681 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0197829 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0271062 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0311259 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0450945 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0182183 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0307027 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.166222 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0488113 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0171395 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0274157 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0199446 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0359854 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0494188 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.00544102 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0539127 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0511307 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0245072 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0270189 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.028932 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0968208 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.00612917 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.00209082 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00987711 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0402286 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0369332 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.037156 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.116459 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0267364 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.024908 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0827846 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0262292 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.246001 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0522722 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.151297 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.0235067 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.10414 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0432268 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0291742 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0873502 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0320907 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.25459 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.102214 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.177993 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0409341 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.00917798 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.162388 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0067902 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.114806 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0109798 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.00986215 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0745125 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0644297 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.150145 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.279394 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.00585045 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00499798 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0895959 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.0429622 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0128641 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.321502 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.117128 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0275829 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0542823 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.122781 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.00680603 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.101551 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0312401 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.00298728 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0330153 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.0982224 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0188519 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0550358 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.228198 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0882827 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0155756 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0425247 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0274103 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0786856 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0292215 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.00533255 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.119965 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0649775 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0561886 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0464313 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0114001 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0773438 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0800013 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.00145516 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0194394 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0430718 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0599921 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.051367 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.02836 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0187349 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.050612 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0134809 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0715532 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0575148 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0892923 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0691793 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0209906 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0280062 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0260284 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.201718 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.100409 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.037921 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0245397 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.00271419 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.00264284 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0894368 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0451179 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0842593 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0597284 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0396653 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.158067 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0619318 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0687186 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.0127417 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.103008 # DEPENDENCYPART_SIBL
(15,2),(15,19),0.0860586 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.635349 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.181998 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.432393 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.144278 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.417057 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.170996 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0456896 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.119006 # DEPENDENCYPART_SIBL
(17,6),(17,9),0.106128 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.0682406 # DEPENDENCYPART_SIBL
(17,6),(17,11),0.118889 # DEPENDENCYPART_SIBL
(17,6),(17,14),0.0777342 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0537562 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0588367 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0391077 # DEPENDENCYPART_SIBL
(17,6),(17,19),0.250474 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0941434 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.142064 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.00864093 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0168484 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.177397 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0642905 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0206268 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.135597 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0478549 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.000139402 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0283053 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.0827499 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0476604 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0944668 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.143125 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.116783 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0138739 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0551171 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0952078 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.125599 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.206432 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.155245 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0630815 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0593266 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0128822 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.182494 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0600542 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.00153536 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.12017 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.0533263 # DEPENDENCYPART_SIBL
(17,11),(17,20),0.0178413 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0894732 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.164208 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0708845 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0125329 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.071838 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.130915 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0364466 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.00187755 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.134163 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.160228 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0374299 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0339544 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0467893 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0589441 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0320089 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0696313 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.00112085 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0942656 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.397828 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0467963 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0821614 # DEPENDENCYPART_SIBL
(0,1),(1,2),1.10038 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.142547 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-1.24981 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.317715 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.26537 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.108528 # DEPENDENCYPART_GRANDPAR
(0,1),(1,12),-0.302266 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),0.315696 # DEPENDENCYPART_GRANDPAR
(0,1),(1,20),1.09582 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.878624 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.149504 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-1.24596 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.318331 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-1.00561 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.39796 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.000223595 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.260881 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.111726 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.657905 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),-0.309222 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.319796 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),-0.472378 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.934625 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),-0.0920013 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),-0.429241 # DEPENDENCYPART_GRANDPAR
(0,2),(2,19),-0.991488 # DEPENDENCYPART_GRANDPAR
(0,2),(2,20),1.1019 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.437092 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.870201 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.0779575 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-1.15439 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.943399 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.51918 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.115728 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.115794 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.0602573 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.767921 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),-0.40721 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.152373 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.298257 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.579852 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),0.0489554 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),-0.219663 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-1.10524 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),1.5543 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.439852 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.850031 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),-0.0684009 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),-1.16512 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),0.109507 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-1.12034 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.7193 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.306058 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.305117 # DEPENDENCYPART_GRANDPAR
