# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(5,12),(12,15),-0.160571 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-0.219475 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),-0.187546 # DEPENDENCYPART_GRANDPAR
(5,12),(12,20),-0.368031 # DEPENDENCYPART_GRANDPAR
(5,12),(12,22),-0.393324 # DEPENDENCYPART_GRANDPAR
(5,12),(12,23),-0.424417 # DEPENDENCYPART_GRANDPAR
(5,12),(12,24),-0.280835 # DEPENDENCYPART_GRANDPAR
(5,12),(12,28),-0.38075 # DEPENDENCYPART_GRANDPAR
(5,12),(12,29),-0.497361 # DEPENDENCYPART_GRANDPAR
(5,12),(12,30),-0.568546 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.433454 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.0295208 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.0428723 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.26867 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-0.358272 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),-0.140342 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-0.120352 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.335956 # DEPENDENCYPART_GRANDPAR
(5,15),(15,24),-0.1636 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),0.290209 # DEPENDENCYPART_GRANDPAR
(5,15),(15,27),-0.354099 # DEPENDENCYPART_GRANDPAR
(5,15),(15,28),-0.203127 # DEPENDENCYPART_GRANDPAR
(5,15),(15,29),-0.299435 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.37957 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.408515 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.78014 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.486566 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.892569 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.986601 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-1.22271 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.658834 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-0.659975 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.830227 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.565804 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.33734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.797835 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.751151 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.299492 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.621597 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.66168 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),-0.191345 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.35946 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,8),-0.799165 # DEPENDENCYPART_GRANDPAR
(7,3),(3,9),-0.915024 # DEPENDENCYPART_GRANDPAR
(7,3),(3,10),-0.763238 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.868019 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-0.97704 # DEPENDENCYPART_GRANDPAR
(7,3),(3,14),-1.12304 # DEPENDENCYPART_GRANDPAR
(7,3),(3,15),-1.00022 # DEPENDENCYPART_GRANDPAR
(7,3),(3,16),-1.18003 # DEPENDENCYPART_GRANDPAR
(7,3),(3,17),-1.17636 # DEPENDENCYPART_GRANDPAR
(7,3),(3,23),-1.34818 # DEPENDENCYPART_GRANDPAR
(7,3),(3,30),-1.96893 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.397591 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.597922 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.361341 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.556408 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.238452 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.26289 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.751222 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.722843 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.771448 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-0.910095 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.722435 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-1.22762 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.756203 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.776472 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-1.02573 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-1.07384 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.705172 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.682524 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.159811 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.264766 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.247599 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.267436 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.570034 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.350004 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.64212 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.55626 # DEPENDENCYPART_GRANDPAR
(7,8),(8,23),-0.727855 # DEPENDENCYPART_GRANDPAR
(7,8),(8,30),-1.56741 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.807197 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-1.09048 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.890367 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.735106 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.733863 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),-0.156724 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.317652 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.394728 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.332752 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),-0.455036 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.605623 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.476815 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),-0.751654 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),-0.720675 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.952197 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),-0.803179 # DEPENDENCYPART_GRANDPAR
(7,9),(9,20),-0.679559 # DEPENDENCYPART_GRANDPAR
(7,9),(9,21),-0.935151 # DEPENDENCYPART_GRANDPAR
(7,9),(9,22),-0.807358 # DEPENDENCYPART_GRANDPAR
(7,9),(9,23),-0.74975 # DEPENDENCYPART_GRANDPAR
(7,9),(9,24),-0.866031 # DEPENDENCYPART_GRANDPAR
(7,9),(9,25),-0.853372 # DEPENDENCYPART_GRANDPAR
(7,9),(9,28),-1.1357 # DEPENDENCYPART_GRANDPAR
(7,9),(9,29),-0.526405 # DEPENDENCYPART_GRANDPAR
(7,9),(9,30),-1.59167 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-1.07893 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.90152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,12),-0.201598 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.225867 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.550654 # DEPENDENCYPART_GRANDPAR
(7,12),(12,3),-0.900719 # DEPENDENCYPART_GRANDPAR
(7,12),(12,6),-0.981846 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-0.647153 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,12),(12,8),-0.123277 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),-0.338096 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),0.248862 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.135182 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),-0.551256 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),-0.139171 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.579324 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.411286 # DEPENDENCYPART_GRANDPAR
(7,12),(12,20),-0.564606 # DEPENDENCYPART_GRANDPAR
(7,12),(12,22),-0.647767 # DEPENDENCYPART_GRANDPAR
(7,12),(12,23),-0.531837 # DEPENDENCYPART_GRANDPAR
(7,12),(12,24),-0.751119 # DEPENDENCYPART_GRANDPAR
(7,12),(12,28),-1.00966 # DEPENDENCYPART_GRANDPAR
(7,12),(12,29),-0.420517 # DEPENDENCYPART_GRANDPAR
(7,12),(12,30),-1.497 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),-0.425539 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),-0.463941 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),-0.709539 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),-0.62126 # DEPENDENCYPART_GRANDPAR
(7,13),(13,19),-0.5869 # DEPENDENCYPART_GRANDPAR
(7,15),(15,14),-0.761691 # DEPENDENCYPART_GRANDPAR
(7,15),(15,16),-0.666295 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),-0.590396 # DEPENDENCYPART_GRANDPAR
(7,15),(15,18),-0.478412 # DEPENDENCYPART_GRANDPAR
(7,15),(15,19),-0.561536 # DEPENDENCYPART_GRANDPAR
(7,15),(15,20),-0.746144 # DEPENDENCYPART_GRANDPAR
(7,15),(15,21),-0.778656 # DEPENDENCYPART_GRANDPAR
(7,15),(15,22),-0.323645 # DEPENDENCYPART_GRANDPAR
(7,15),(15,24),-1.19098 # DEPENDENCYPART_GRANDPAR
(7,15),(15,25),-0.737663 # DEPENDENCYPART_GRANDPAR
(7,15),(15,27),-0.347202 # DEPENDENCYPART_GRANDPAR
(7,15),(15,28),-1.38445 # DEPENDENCYPART_GRANDPAR
(7,15),(15,29),-0.569588 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.154258 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),0.181308 # DEPENDENCYPART_GRANDPAR
(8,2),(2,4),-0.290831 # DEPENDENCYPART_GRANDPAR
(8,2),(2,7),0.0125557 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-1.10396 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,1),-0.0150206 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.245317 # DEPENDENCYPART_GRANDPAR
(8,3),(3,4),-0.139988 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),0.290201 # DEPENDENCYPART_GRANDPAR
(8,3),(3,6),0.424014 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),-0.0288821 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.04338 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,9),-0.0245943 # DEPENDENCYPART_GRANDPAR
(8,3),(3,10),-0.296804 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-0.215427 # DEPENDENCYPART_GRANDPAR
(8,3),(3,13),-0.262866 # DEPENDENCYPART_GRANDPAR
(8,3),(3,14),-0.456041 # DEPENDENCYPART_GRANDPAR
(8,3),(3,15),-0.470244 # DEPENDENCYPART_GRANDPAR
(8,3),(3,16),-0.440163 # DEPENDENCYPART_GRANDPAR
(8,3),(3,17),-0.55304 # DEPENDENCYPART_GRANDPAR
(8,3),(3,23),-0.774673 # DEPENDENCYPART_GRANDPAR
(8,3),(3,30),-1.07772 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.109238 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),0.355778 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.123603 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.306283 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.258413 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),-0.0419698 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-1.10191 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,10),-0.36591 # DEPENDENCYPART_GRANDPAR
(8,5),(5,12),-0.23374 # DEPENDENCYPART_GRANDPAR
(8,5),(5,15),-0.500479 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),0.371052 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),0.260138 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.153491 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.102032 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.321902 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),0.269521 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),0.558306 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.0379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.0273568 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.301006 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.262398 # DEPENDENCYPART_GRANDPAR
(8,7),(7,13),-0.325491 # DEPENDENCYPART_GRANDPAR
(8,7),(7,15),-0.530595 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-0.422838 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-0.652779 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),0.404813 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),0.0546653 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.236951 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.668133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.125386 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.287549 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),0.287586 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.0300396 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),0.0854316 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),-0.0892062 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),-0.0550967 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.225525 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),-0.240029 # DEPENDENCYPART_GRANDPAR
(8,9),(9,19),-0.0177131 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),-0.205888 # DEPENDENCYPART_GRANDPAR
(8,9),(9,21),-0.268684 # DEPENDENCYPART_GRANDPAR
(8,9),(9,22),-0.190974 # DEPENDENCYPART_GRANDPAR
(8,9),(9,23),-0.108263 # DEPENDENCYPART_GRANDPAR
(8,9),(9,24),0.527337 # DEPENDENCYPART_GRANDPAR
(8,9),(9,25),-0.354465 # DEPENDENCYPART_GRANDPAR
(8,9),(9,28),0.140401 # DEPENDENCYPART_GRANDPAR
(8,9),(9,29),-0.162077 # DEPENDENCYPART_GRANDPAR
(8,9),(9,30),-0.67029 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.00332438 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-0.462154 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.138033 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.0153679 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),-0.0432434 # DEPENDENCYPART_GRANDPAR
(8,12),(12,3),-0.514864 # DEPENDENCYPART_GRANDPAR
(8,12),(12,6),-0.233456 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),-0.47859 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-0.44068 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,10),0.0380959 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),0.0247088 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),0.0264909 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),-0.0421405 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),-0.158022 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),-0.165619 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),-0.246783 # DEPENDENCYPART_GRANDPAR
(8,12),(12,20),-0.436833 # DEPENDENCYPART_GRANDPAR
(8,12),(12,22),-0.246611 # DEPENDENCYPART_GRANDPAR
(8,12),(12,23),-0.274232 # DEPENDENCYPART_GRANDPAR
(8,12),(12,24),0.415079 # DEPENDENCYPART_GRANDPAR
(8,12),(12,28),0.0369112 # DEPENDENCYPART_GRANDPAR
(8,12),(12,29),-0.277893 # DEPENDENCYPART_GRANDPAR
(8,12),(12,30),-0.695631 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),-0.0429783 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),-0.238941 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),-0.194889 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),-0.35108 # DEPENDENCYPART_GRANDPAR
(8,13),(13,19),-0.118946 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),-0.267401 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),0.255618 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),-0.150167 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),-0.180569 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),-0.243039 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),-0.18303 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.492212 # DEPENDENCYPART_GRANDPAR
(8,14),(14,23),-0.344995 # DEPENDENCYPART_GRANDPAR
(8,14),(14,24),0.434616 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.286392 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),0.0292075 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),-0.0976252 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),-0.438468 # DEPENDENCYPART_GRANDPAR
(8,15),(15,19),-0.0789923 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),-0.126105 # DEPENDENCYPART_GRANDPAR
(8,15),(15,21),-0.156237 # DEPENDENCYPART_GRANDPAR
(8,15),(15,22),-0.379286 # DEPENDENCYPART_GRANDPAR
(8,15),(15,24),0.603369 # DEPENDENCYPART_GRANDPAR
(8,15),(15,25),-0.155737 # DEPENDENCYPART_GRANDPAR
(8,15),(15,27),-0.445886 # DEPENDENCYPART_GRANDPAR
(8,15),(15,28),0.254734 # DEPENDENCYPART_GRANDPAR
(8,15),(15,29),-0.0758985 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),-0.131139 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),-0.444308 # DEPENDENCYPART_GRANDPAR
(8,16),(16,19),-0.169484 # DEPENDENCYPART_GRANDPAR
(8,16),(16,20),-0.252095 # DEPENDENCYPART_GRANDPAR
(8,16),(16,21),-0.233575 # DEPENDENCYPART_GRANDPAR
(8,16),(16,22),-0.369499 # DEPENDENCYPART_GRANDPAR
(8,16),(16,24),0.537364 # DEPENDENCYPART_GRANDPAR
(8,16),(16,28),0.16516 # DEPENDENCYPART_GRANDPAR
(8,16),(16,29),-0.172095 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.399862 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),-0.106849 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),-0.266407 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-0.284475 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),-0.308191 # DEPENDENCYPART_GRANDPAR
(8,17),(17,24),0.569794 # DEPENDENCYPART_GRANDPAR
(8,17),(17,27),-0.392984 # DEPENDENCYPART_GRANDPAR
(8,30),(30,29),-0.209802 # DEPENDENCYPART_GRANDPAR
(9,3),(3,1),-0.300688 # DEPENDENCYPART_GRANDPAR
(9,3),(3,2),-0.0787691 # DEPENDENCYPART_GRANDPAR
(9,3),(3,4),-0.403517 # DEPENDENCYPART_GRANDPAR
(9,3),(3,5),0.443367 # DEPENDENCYPART_GRANDPAR
(9,3),(3,6),-0.210149 # DEPENDENCYPART_GRANDPAR
(9,3),(3,7),-0.151055 # DEPENDENCYPART_GRANDPAR
(9,3),(3,8),-0.274091 # DEPENDENCYPART_GRANDPAR
(9,3),(3,9),-1.06227 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,3),(3,10),-0.0199578 # DEPENDENCYPART_GRANDPAR
(9,3),(3,12),-0.363141 # DEPENDENCYPART_GRANDPAR
(9,3),(3,13),0.109532 # DEPENDENCYPART_GRANDPAR
(9,3),(3,14),-0.656987 # DEPENDENCYPART_GRANDPAR
(9,3),(3,15),-0.274422 # DEPENDENCYPART_GRANDPAR
(9,3),(3,16),-0.397861 # DEPENDENCYPART_GRANDPAR
(9,3),(3,17),-0.32891 # DEPENDENCYPART_GRANDPAR
(9,3),(3,23),-0.890543 # DEPENDENCYPART_GRANDPAR
(9,3),(3,30),-1.27678 # DEPENDENCYPART_GRANDPAR
(9,4),(4,3),-0.167854 # DEPENDENCYPART_GRANDPAR
(9,4),(4,5),0.538445 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.131208 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-0.472738 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),-0.275977 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.0742629 # DEPENDENCYPART_GRANDPAR
(9,5),(5,8),-0.273498 # DEPENDENCYPART_GRANDPAR
(9,5),(5,10),0.00693819 # DEPENDENCYPART_GRANDPAR
(9,5),(5,12),-0.284535 # DEPENDENCYPART_GRANDPAR
(9,5),(5,15),-0.209586 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),0.494451 # DEPENDENCYPART_GRANDPAR
(9,7),(7,1),-0.386083 # DEPENDENCYPART_GRANDPAR
(9,7),(7,2),-0.0637779 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.0615409 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.370617 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),0.40677 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.267286 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),-0.25303 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.0431 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.00234331 # DEPENDENCYPART_GRANDPAR
(9,7),(7,12),-0.39343 # DEPENDENCYPART_GRANDPAR
(9,7),(7,13),0.105125 # DEPENDENCYPART_GRANDPAR
(9,7),(7,15),-0.308863 # DEPENDENCYPART_GRANDPAR
(9,8),(8,1),-0.526816 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.211375 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),-0.154134 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),-0.622559 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),0.386395 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.408019 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.279687 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.05572 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.00336412 # DEPENDENCYPART_GRANDPAR
(9,8),(8,12),-0.254118 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),0.0538732 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-0.584008 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.144956 # DEPENDENCYPART_GRANDPAR
(9,8),(8,16),-0.319281 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.24463 # DEPENDENCYPART_GRANDPAR
(9,8),(8,23),-0.722877 # DEPENDENCYPART_GRANDPAR
(9,8),(8,30),-1.10899 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),0.0998697 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.709074 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.17953 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.387477 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),-0.176046 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.664455 # DEPENDENCYPART_GRANDPAR
(9,12),(12,3),-0.606586 # DEPENDENCYPART_GRANDPAR
(9,12),(12,6),-0.946497 # DEPENDENCYPART_GRANDPAR
(9,12),(12,7),-0.806788 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.798907 # DEPENDENCYPART_GRANDPAR
(9,12),(12,10),0.390158 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.545229 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.476945 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.080956 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.100351 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.0741497 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),0.0945724 # DEPENDENCYPART_GRANDPAR
(9,12),(12,20),-0.11832 # DEPENDENCYPART_GRANDPAR
(9,12),(12,22),-0.176545 # DEPENDENCYPART_GRANDPAR
(9,12),(12,23),-0.222657 # DEPENDENCYPART_GRANDPAR
(9,12),(12,24),0.00539137 # DEPENDENCYPART_GRANDPAR
(9,12),(12,28),0.189483 # DEPENDENCYPART_GRANDPAR
(9,12),(12,29),-0.116902 # DEPENDENCYPART_GRANDPAR
(9,12),(12,30),-0.7763 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),-0.162392 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),3.92206e-05 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),-0.172702 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),-0.274776 # DEPENDENCYPART_GRANDPAR
(9,13),(13,19),-0.307483 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),0.294489 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),0.305456 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),0.120278 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),-0.0882752 # DEPENDENCYPART_GRANDPAR
(9,14),(14,17),0.0937948 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),-0.318329 # DEPENDENCYPART_GRANDPAR
(9,14),(14,20),-0.107295 # DEPENDENCYPART_GRANDPAR
(9,14),(14,23),-0.336354 # DEPENDENCYPART_GRANDPAR
