# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(3,20),(20,2),-0.514102 # DEPENDENCYPART_GRANDPAR
(3,20),(20,3),-0.939286 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,20),(20,4),0.261907 # DEPENDENCYPART_GRANDPAR
(3,20),(20,6),0.0130892 # DEPENDENCYPART_GRANDPAR
(3,20),(20,7),-0.00125032 # DEPENDENCYPART_GRANDPAR
(3,20),(20,8),-0.215339 # DEPENDENCYPART_GRANDPAR
(3,20),(20,9),-0.474487 # DEPENDENCYPART_GRANDPAR
(3,20),(20,10),-0.16835 # DEPENDENCYPART_GRANDPAR
(3,20),(20,11),-0.0694689 # DEPENDENCYPART_GRANDPAR
(3,20),(20,12),-0.362304 # DEPENDENCYPART_GRANDPAR
(3,20),(20,13),-0.271559 # DEPENDENCYPART_GRANDPAR
(3,20),(20,14),-0.162206 # DEPENDENCYPART_GRANDPAR
(3,20),(20,15),0.228876 # DEPENDENCYPART_GRANDPAR
(3,20),(20,16),-0.6175 # DEPENDENCYPART_GRANDPAR
(3,20),(20,17),-0.382613 # DEPENDENCYPART_GRANDPAR
(3,20),(20,18),-0.221935 # DEPENDENCYPART_GRANDPAR
(3,20),(20,19),-0.30242 # DEPENDENCYPART_GRANDPAR
(3,20),(20,21),-0.0762629 # DEPENDENCYPART_GRANDPAR
(3,20),(20,22),0.215873 # DEPENDENCYPART_GRANDPAR
(3,20),(20,23),-0.0805046 # DEPENDENCYPART_GRANDPAR
(3,20),(20,24),-1.20267 # DEPENDENCYPART_GRANDPAR
(3,20),(20,25),-0.261912 # DEPENDENCYPART_GRANDPAR
(3,20),(20,26),0.0910743 # DEPENDENCYPART_GRANDPAR
(3,20),(20,27),-0.603827 # DEPENDENCYPART_GRANDPAR
(3,22),(22,2),-0.621446 # DEPENDENCYPART_GRANDPAR
(3,22),(22,4),0.0855581 # DEPENDENCYPART_GRANDPAR
(3,22),(22,13),-0.283134 # DEPENDENCYPART_GRANDPAR
(3,22),(22,14),-0.237726 # DEPENDENCYPART_GRANDPAR
(3,22),(22,18),-0.30332 # DEPENDENCYPART_GRANDPAR
(3,22),(22,19),-0.198767 # DEPENDENCYPART_GRANDPAR
(3,22),(22,21),-0.646505 # DEPENDENCYPART_GRANDPAR
(3,22),(22,23),-0.342889 # DEPENDENCYPART_GRANDPAR
(3,22),(22,24),-1.22852 # DEPENDENCYPART_GRANDPAR
(3,22),(22,25),-0.41599 # DEPENDENCYPART_GRANDPAR
(3,22),(22,26),-0.0965124 # DEPENDENCYPART_GRANDPAR
(3,22),(22,27),-0.479483 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.641939 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.548731 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.22527 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,6),-0.533799 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.294281 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.606285 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.586674 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-0.756182 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.307284 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.446504 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.23392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.284955 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.409574 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.182506 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.511274 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.693804 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.440752 # DEPENDENCYPART_GRANDPAR
(4,3),(3,12),-1.12118 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-0.453464 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-1.01169 # DEPENDENCYPART_GRANDPAR
(4,3),(3,22),-0.410162 # DEPENDENCYPART_GRANDPAR
(4,3),(3,27),-1.94364 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.945184 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.734468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.0498475 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.233183 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-1.4852 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-1.03156 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.724168 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),-0.0662787 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.27165 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.583105 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-1.38568 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.939326 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.584406 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),-0.0753891 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.307924 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.070506 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.095451 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0718197 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),0.0272003 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.558563 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.318575 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.0143637 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.0543591 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),0.498335 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.122696 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.576414 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.0910141 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),0.362266 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.449145 # DEPENDENCYPART_GRANDPAR
(4,7),(7,26),-0.265284 # DEPENDENCYPART_GRANDPAR
(4,7),(7,27),-1.704 # DEPENDENCYPART_GRANDPAR
(4,8),(8,5),0.0105452 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.389657 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.01713 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.117383 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.104424 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.197556 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.432702 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.0999671 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.206142 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.193477 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.712198 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.341021 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.176071 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.15375 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),0.325142 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),-0.343373 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-1.30866 # DEPENDENCYPART_GRANDPAR
(4,10),(10,2),-1.37222 # DEPENDENCYPART_GRANDPAR
(4,10),(10,3),-0.9478 # DEPENDENCYPART_GRANDPAR
(4,10),(10,4),-0.761247 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,10),(10,5),0.120361 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.209508 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),0.444324 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.0262181 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),0.291195 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.0597093 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.685908 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.302927 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.127986 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.119434 # DEPENDENCYPART_GRANDPAR
(4,10),(10,17),-0.408975 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),0.374936 # DEPENDENCYPART_GRANDPAR
(4,10),(10,19),-0.209606 # DEPENDENCYPART_GRANDPAR
(4,10),(10,20),-0.646487 # DEPENDENCYPART_GRANDPAR
(4,10),(10,21),-0.336106 # DEPENDENCYPART_GRANDPAR
(4,10),(10,23),-0.627251 # DEPENDENCYPART_GRANDPAR
(4,10),(10,24),-1.65107 # DEPENDENCYPART_GRANDPAR
(4,10),(10,26),-0.310459 # DEPENDENCYPART_GRANDPAR
(4,15),(15,1),-1.31431 # DEPENDENCYPART_GRANDPAR
(4,15),(15,2),-1.34004 # DEPENDENCYPART_GRANDPAR
(4,15),(15,3),-0.951882 # DEPENDENCYPART_GRANDPAR
(4,15),(15,4),-0.582731 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,15),(15,5),0.00415547 # DEPENDENCYPART_GRANDPAR
(4,15),(15,6),0.171411 # DEPENDENCYPART_GRANDPAR
(4,15),(15,7),0.381312 # DEPENDENCYPART_GRANDPAR
(4,15),(15,8),0.0143021 # DEPENDENCYPART_GRANDPAR
(4,15),(15,9),0.24181 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),0.00938896 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),0.351201 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),-0.516386 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),-0.0661499 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),0.207761 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.813821 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),-0.153527 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),0.897626 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),-0.0455893 # DEPENDENCYPART_GRANDPAR
(4,15),(15,20),-0.357034 # DEPENDENCYPART_GRANDPAR
(4,15),(15,21),0.169349 # DEPENDENCYPART_GRANDPAR
(4,15),(15,22),0.562294 # DEPENDENCYPART_GRANDPAR
(4,15),(15,23),-0.0381149 # DEPENDENCYPART_GRANDPAR
(4,15),(15,24),-1.17583 # DEPENDENCYPART_GRANDPAR
(4,15),(15,25),-0.221471 # DEPENDENCYPART_GRANDPAR
(4,15),(15,26),0.242598 # DEPENDENCYPART_GRANDPAR
(4,15),(15,27),-1.56061 # DEPENDENCYPART_GRANDPAR
(4,20),(20,2),-1.3738 # DEPENDENCYPART_GRANDPAR
(4,20),(20,3),-0.969574 # DEPENDENCYPART_GRANDPAR
(4,20),(20,4),-0.574261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,20),(20,6),0.124057 # DEPENDENCYPART_GRANDPAR
(4,20),(20,7),0.452317 # DEPENDENCYPART_GRANDPAR
(4,20),(20,8),0.18106 # DEPENDENCYPART_GRANDPAR
(4,20),(20,9),0.418542 # DEPENDENCYPART_GRANDPAR
(4,20),(20,10),0.21374 # DEPENDENCYPART_GRANDPAR
(4,20),(20,11),0.310611 # DEPENDENCYPART_GRANDPAR
(4,20),(20,12),-0.522638 # DEPENDENCYPART_GRANDPAR
(4,20),(20,13),-0.0752473 # DEPENDENCYPART_GRANDPAR
(4,20),(20,14),0.235737 # DEPENDENCYPART_GRANDPAR
(4,20),(20,15),0.157355 # DEPENDENCYPART_GRANDPAR
(4,20),(20,16),-1.47064 # DEPENDENCYPART_GRANDPAR
(4,20),(20,17),-0.149739 # DEPENDENCYPART_GRANDPAR
(4,20),(20,18),0.676623 # DEPENDENCYPART_GRANDPAR
(4,20),(20,19),0.160714 # DEPENDENCYPART_GRANDPAR
(4,20),(20,21),0.117079 # DEPENDENCYPART_GRANDPAR
(4,20),(20,22),0.573714 # DEPENDENCYPART_GRANDPAR
(4,20),(20,23),0.0060467 # DEPENDENCYPART_GRANDPAR
(4,20),(20,24),-1.26188 # DEPENDENCYPART_GRANDPAR
(4,20),(20,25),-0.231784 # DEPENDENCYPART_GRANDPAR
(4,20),(20,26),0.224562 # DEPENDENCYPART_GRANDPAR
(4,20),(20,27),-1.74981 # DEPENDENCYPART_GRANDPAR
(4,22),(22,2),-1.36914 # DEPENDENCYPART_GRANDPAR
(4,22),(22,4),-0.696202 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,22),(22,13),-0.0297101 # DEPENDENCYPART_GRANDPAR
(4,22),(22,14),0.338445 # DEPENDENCYPART_GRANDPAR
(4,22),(22,18),0.777049 # DEPENDENCYPART_GRANDPAR
(4,22),(22,19),0.291605 # DEPENDENCYPART_GRANDPAR
(4,22),(22,21),-0.223909 # DEPENDENCYPART_GRANDPAR
(4,22),(22,23),-0.165915 # DEPENDENCYPART_GRANDPAR
(4,22),(22,24),-1.24157 # DEPENDENCYPART_GRANDPAR
(4,22),(22,25),-0.380662 # DEPENDENCYPART_GRANDPAR
(4,22),(22,26),0.112798 # DEPENDENCYPART_GRANDPAR
(4,22),(22,27),-1.4918 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.745547 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.737552 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.471933 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.59278 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.31266 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.714247 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.717147 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),-0.74992 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.822738 # DEPENDENCYPART_GRANDPAR
(5,3),(3,12),-1.05256 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.969644 # DEPENDENCYPART_GRANDPAR
(5,3),(3,20),-1.12603 # DEPENDENCYPART_GRANDPAR
(5,3),(3,22),-1.71487 # DEPENDENCYPART_GRANDPAR
(5,3),(3,27),-1.75236 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.828774 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.583668 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.58518 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.365459 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.745457 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.729797 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.748128 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.780424 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.861027 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),-1.0838 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-1.06943 # DEPENDENCYPART_GRANDPAR
(5,4),(4,20),-1.19656 # DEPENDENCYPART_GRANDPAR
(5,4),(4,22),-1.73947 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-1.14807 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-1.08379 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.901222 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.21075 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.30291 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.607712 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-1.14486 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.07769 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.876481 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-1.26208 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.238314 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.258499 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.251829 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.305764 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.369684 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.622421 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.463298 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.602219 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.642187 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.862662 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),-0.57809 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),-0.747754 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.849512 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-1.30277 # DEPENDENCYPART_GRANDPAR
(5,7),(7,23),-0.713931 # DEPENDENCYPART_GRANDPAR
(5,7),(7,26),-0.873843 # DEPENDENCYPART_GRANDPAR
(5,7),(7,27),-1.45439 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.606573 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.30868 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),-0.159545 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.57834 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.538901 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),-1.14429 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.897691 # DEPENDENCYPART_GRANDPAR
(6,2),(2,19),-1.25734 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.676736 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.531169 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.0363683 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),-0.551272 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.53797 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.503739 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.753222 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.867472 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-1.02425 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-1.03103 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.833929 # DEPENDENCYPART_GRANDPAR
(6,3),(3,20),-0.910054 # DEPENDENCYPART_GRANDPAR
(6,3),(3,22),-1.08247 # DEPENDENCYPART_GRANDPAR
(6,3),(3,27),-1.47086 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.717909 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.232411 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.635849 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.59731 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.538521 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.791848 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.788446 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.902152 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-1.06675 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.952919 # DEPENDENCYPART_GRANDPAR
(6,4),(4,19),-1.1798 # DEPENDENCYPART_GRANDPAR
(6,4),(4,20),-0.984617 # DEPENDENCYPART_GRANDPAR
(6,4),(4,22),-1.11095 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.410208 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.280813 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.57316 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.513917 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.953164 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.882191 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.522252 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.977556 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.09627 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.399979 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.365832 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.503539 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.633001 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.641532 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.388859 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.28932 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.529397 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.363164 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.746052 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.556775 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.670311 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.705977 # DEPENDENCYPART_GRANDPAR
(6,7),(7,23),-0.549937 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),-0.636536 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-1.20505 # DEPENDENCYPART_GRANDPAR
(6,13),(13,10),-0.4289 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),-0.592328 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.283939 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.0188975 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.0527865 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.0749417 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),-0.204003 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.42608 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,11),-0.952736 # DEPENDENCYPART_GRANDPAR
(7,2),(2,15),-0.769074 # DEPENDENCYPART_GRANDPAR
(7,2),(2,19),-0.955975 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.181193 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.412156 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),0.0426174 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.160878 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),-0.282195 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.36543 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,9),-0.586033 # DEPENDENCYPART_GRANDPAR
(7,3),(3,10),-0.630443 # DEPENDENCYPART_GRANDPAR
(7,3),(3,11),-0.807489 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.940191 # DEPENDENCYPART_GRANDPAR
(7,3),(3,15),-0.67882 # DEPENDENCYPART_GRANDPAR
(7,3),(3,20),-0.633456 # DEPENDENCYPART_GRANDPAR
(7,3),(3,22),-0.747259 # DEPENDENCYPART_GRANDPAR
(7,3),(3,27),-1.16148 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.43999 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),0.0433368 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.187668 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),-0.258637 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.31547 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),-0.28762 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),-0.537737 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),-0.581666 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),-0.764749 # DEPENDENCYPART_GRANDPAR
(7,4),(4,15),-0.722001 # DEPENDENCYPART_GRANDPAR
(7,4),(4,19),-0.767987 # DEPENDENCYPART_GRANDPAR
(7,4),(4,20),-0.625997 # DEPENDENCYPART_GRANDPAR
(7,4),(4,22),-0.692337 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.0233349 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.00346888 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.203853 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.37716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,2),-0.278371 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.0924985 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.0224839 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.154987 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.3739 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,13),-0.694678 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.602849 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.807877 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.029324 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.3636 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.611899 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.632321 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.802671 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.298098 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.0866741 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.40729 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.509055 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),-0.0391526 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.203062 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.301789 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.3129 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),-0.410529 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-0.636784 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.781799 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-0.615311 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.255688 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.602864 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.632641 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.809597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.355763 # DEPENDENCYPART_GRANDPAR
