# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,18,16,16,
(11,14),(11,17),0.503767 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.395117 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.284121 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0599888 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0961391 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.00956094 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.500106 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.0821493 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0668683 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0791614 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0308506 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0289212 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0658026 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0535399 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.136305 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0567737 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.10585 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0952971 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.00578606 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0975186 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.122317 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.122911 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.161288 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.148805 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0832739 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.10852 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0613962 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.143333 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.394128 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0976764 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0989113 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0939699 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0200217 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.030852 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0383442 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0505099 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00562401 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0185806 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.109445 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.12295 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0422569 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0398607 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0352697 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0615767 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.00440832 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.00304794 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.123296 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0514924 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0409788 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.044027 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0606367 # DEPENDENCYPART_SIBL
(13,10),(13,18),-3.40119e-05 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0241245 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.148744 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.108776 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0581025 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.080447 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0758906 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.15018 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.194412 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.418052 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.223615 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.482174 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0104642 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0748617 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0566079 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.00881022 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0283634 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0451417 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0409397 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0791743 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0125735 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0149471 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0373336 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0109916 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.16998 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0484122 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0197708 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0133428 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.00227204 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0475763 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0513558 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.022361 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.00703633 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0111478 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.292181 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.233025 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0157342 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.214976 # DEPENDENCYPART_SIBL
(16,1),(16,8),-0.128405 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.229482 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.257127 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0545258 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.197993 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.382004 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0111478 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.105803 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0530794 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.120702 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.0411574 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.11089 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.207592 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.139169 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.00938012 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0968931 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0133359 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0413552 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.071677 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.0262552 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.030177 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.000959273 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0488516 # DEPENDENCYPART_SIBL
(16,2),(16,17),-4.75535e-06 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.123662 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0636823 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.0991646 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0344239 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.105593 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.289728 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.105845 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.132155 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.426664 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0506948 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.253682 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.16227 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.152985 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0805263 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0364693 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.509031 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.0653907 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0718997 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.210106 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0727634 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.0983176 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.216864 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.100047 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.128874 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.260847 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.101127 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.141318 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.00942526 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0296585 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0825997 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.121222 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0828516 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.109161 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.118929 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0699216 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.123925 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.31431 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0377201 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0241887 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0440794 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.0493848 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.111434 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.720854 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.747804 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0963795 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.371438 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.67404 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.101397 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0675258 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0718055 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0716913 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0312551 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.120371 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.146474 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.113747 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0830201 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.161229 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.161123 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.00989791 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.106047 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0467193 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0254047 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.748825 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0896249 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.38084 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.674093 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0863298 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0637391 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0688804 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0851539 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.00234254 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0893041 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.380362 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.674007 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0856176 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0650494 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0754547 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0626899 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0509997 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0171435 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.00962752 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.43076 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.015375 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0192208 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0805609 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0586463 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.193374 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.158565 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0686035 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0539335 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0280953 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0354149 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0798328 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0461307 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.276187 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.149811 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.335789 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0488516 # DEPENDENCYPART_SIBL
(16,14),(16,17),-4.75535e-06 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.123662 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0636823 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0147433 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.154426 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.419631 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.00277076 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0253323 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.044159 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.167646 # DEPENDENCYPART_SIBL
(18,1),(18,2),0.0330219 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0799962 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.0340494 # DEPENDENCYPART_SIBL
(18,1),(18,5),0.0238243 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.00826664 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.0877924 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0143059 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.0235754 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0475685 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.0449978 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.0302659 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.0330219 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.115676 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0272146 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.0205108 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.111459 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.0930708 # DEPENDENCYPART_SIBL
(18,2),(18,4),0.0103335 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.055478 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.0497431 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.106575 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0745363 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.0426774 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.00844156 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.115966 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.129445 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0534912 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0154364 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.0224516 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0513667 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.08456 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.0515543 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0201795 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0294005 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.141988 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0211958 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.0291304 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.224779 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0165862 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0790357 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.0852631 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.0883893 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0326096 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0147762 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.418264 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.00221339 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.0944354 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.122237 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.102028 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.0948492 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.141381 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.0529559 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.109477 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.294249 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.0113455 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.0450616 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.0537774 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.0428969 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.0176019 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.137272 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0258066 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.017872 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.15302 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.00616796 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.0663275 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.184846 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0157442 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0207727 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0927205 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.0230963 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.00865304 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.126124 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.134698 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0343577 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0179902 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.107811 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.0136343 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.142367 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.0192681 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0027909 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.122057 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0352147 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0430866 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.146018 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0244801 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.00578066 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.148888 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0189512 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0546796 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0863758 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0769327 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.137704 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.029675 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0294297 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.109902 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.0250904 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.143944 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0189608 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.00405807 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.171092 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0293422 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0289425 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.109807 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0257633 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.142694 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0188604 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.00267246 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.121486 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0165465 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0569651 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.275478 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0055971 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0395017 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0996768 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0237159 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.0435734 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.135043 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0142352 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0228212 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0784102 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0102069 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0696813 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.160141 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.0569989 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.00147486 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0688666 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0154364 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0224516 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0513667 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.08456 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.00461815 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.00510027 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.342639 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0852546 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0538927 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0299124 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.0794527 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.877001 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.420907 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.0654557 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.252218 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.630208 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.784463 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.346238 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),-0.221594 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.396782 # DEPENDENCYPART_GRANDPAR
(0,1),(1,14),-0.266849 # DEPENDENCYPART_GRANDPAR
(0,1),(1,15),0.481372 # DEPENDENCYPART_GRANDPAR
(0,1),(1,16),-0.240696 # DEPENDENCYPART_GRANDPAR
(0,1),(1,17),-0.521155 # DEPENDENCYPART_GRANDPAR
(0,1),(1,18),-0.410897 # DEPENDENCYPART_GRANDPAR
(0,1),(1,19),1.26811 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.831539 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.0876049 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.769902 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.506866 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.20513 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.412026 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),-0.282374 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),-0.00883344 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.41824 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),-0.366603 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),0.69817 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),-0.111256 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),-0.346547 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),-0.0624106 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),1.85024 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),1.19894 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.306132 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.746819 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.447481 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.558916 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.175179 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.470756 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.698007 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.265069 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.0154283 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),-0.592135 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.35101 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.329429 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.682665 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.246248 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.325851 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),0.00762654 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),1.80966 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),0.817739 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.132453 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),-0.777877 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),0.0577974 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),0.18077 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.293572 # DEPENDENCYPART_GRANDPAR
