# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,28,20,18,23,23,20,23,18,28,28,7,28,29,30,5,
(16,18),(16,23),0.0690271 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0708973 # DEPENDENCYPART_SIBL
(16,18),(16,28),0.0689837 # DEPENDENCYPART_SIBL
(16,18),(16,31),0.127117 # DEPENDENCYPART_SIBL
(16,18),(16,32),0.167687 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.0715471 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.0664052 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.0666884 # DEPENDENCYPART_SIBL
(16,20),(16,31),0.051642 # DEPENDENCYPART_SIBL
(16,20),(16,32),0.0220602 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0229964 # DEPENDENCYPART_SIBL
(16,23),(16,28),-0.0365264 # DEPENDENCYPART_SIBL
(16,23),(16,31),0.0153639 # DEPENDENCYPART_SIBL
(16,23),(16,32),0.0245416 # DEPENDENCYPART_SIBL
(16,24),(16,28),-0.0393578 # DEPENDENCYPART_SIBL
(16,24),(16,31),0.016262 # DEPENDENCYPART_SIBL
(16,24),(16,32),0.0410172 # DEPENDENCYPART_SIBL
(16,28),(16,31),0.015898 # DEPENDENCYPART_SIBL
(16,28),(16,32),0.0273999 # DEPENDENCYPART_SIBL
(16,31),(16,32),0.0108466 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0229036 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0151166 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0775637 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.0166643 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0168262 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.15984 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.0886747 # DEPENDENCYPART_SIBL
(18,15),(18,28),0.0253417 # DEPENDENCYPART_SIBL
(18,15),(18,29),0.0548296 # DEPENDENCYPART_SIBL
(18,15),(18,31),-0.027243 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.00365564 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.260016 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.105785 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.102918 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.57557 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.000125105 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.115196 # DEPENDENCYPART_SIBL
(18,17),(18,29),-0.131894 # DEPENDENCYPART_SIBL
(18,17),(18,31),0.00209831 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.163139 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.165197 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.170073 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0174536 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0256893 # DEPENDENCYPART_SIBL
(18,19),(18,28),-0.159517 # DEPENDENCYPART_SIBL
(18,19),(18,29),-0.189622 # DEPENDENCYPART_SIBL
(18,19),(18,31),-0.076475 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.509034 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.52954 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.0198298 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.28478 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.508263 # DEPENDENCYPART_SIBL
(18,20),(18,29),-0.262805 # DEPENDENCYPART_SIBL
(18,20),(18,31),-0.366517 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.461975 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.0337555 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0770465 # DEPENDENCYPART_SIBL
(18,23),(18,28),-0.46572 # DEPENDENCYPART_SIBL
(18,23),(18,29),-0.270511 # DEPENDENCYPART_SIBL
(18,23),(18,31),-0.193985 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0646528 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0833557 # DEPENDENCYPART_SIBL
(18,24),(18,28),-0.477125 # DEPENDENCYPART_SIBL
(18,24),(18,29),-0.248744 # DEPENDENCYPART_SIBL
(18,24),(18,31),-0.199296 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.00661963 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.143984 # DEPENDENCYPART_SIBL
(18,25),(18,29),0.127365 # DEPENDENCYPART_SIBL
(18,25),(18,31),0.0247011 # DEPENDENCYPART_SIBL
(18,26),(18,28),-0.333384 # DEPENDENCYPART_SIBL
(18,26),(18,29),-0.263216 # DEPENDENCYPART_SIBL
(18,26),(18,31),-0.192933 # DEPENDENCYPART_SIBL
(18,28),(18,29),-0.272518 # DEPENDENCYPART_SIBL
(18,28),(18,31),-0.193082 # DEPENDENCYPART_SIBL
(18,29),(18,31),-0.127955 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.0226462 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.0319959 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0995685 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.00705209 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.00751892 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.00652633 # DEPENDENCYPART_SIBL
(20,1),(20,25),0.0304309 # DEPENDENCYPART_SIBL
(20,1),(20,27),-0.00937857 # DEPENDENCYPART_SIBL
(20,1),(20,28),0.00209572 # DEPENDENCYPART_SIBL
(20,1),(20,30),-0.000899329 # DEPENDENCYPART_SIBL
(20,1),(20,31),-0.0217018 # DEPENDENCYPART_SIBL
(20,1),(20,32),0.0708468 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.636861 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0698287 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.149457 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.0146427 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0289517 # DEPENDENCYPART_SIBL
(20,15),(20,25),-0.0031974 # DEPENDENCYPART_SIBL
(20,15),(20,27),0.133989 # DEPENDENCYPART_SIBL
(20,15),(20,28),0.0423326 # DEPENDENCYPART_SIBL
(20,15),(20,30),0.166797 # DEPENDENCYPART_SIBL
(20,15),(20,31),0.0256214 # DEPENDENCYPART_SIBL
(20,15),(20,32),0.0497898 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.150668 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0572475 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.048897 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0276618 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0522437 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.0420646 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0226293 # DEPENDENCYPART_SIBL
(20,19),(20,30),0.0744236 # DEPENDENCYPART_SIBL
(20,19),(20,31),-0.0301341 # DEPENDENCYPART_SIBL
(20,19),(20,32),-0.010966 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.069094 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.12489 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.125975 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0235748 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.064768 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.122251 # DEPENDENCYPART_SIBL
(20,21),(20,30),-0.0638044 # DEPENDENCYPART_SIBL
(20,21),(20,31),-0.0684136 # DEPENDENCYPART_SIBL
(20,21),(20,32),-0.0872962 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0221686 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0223138 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0332731 # DEPENDENCYPART_SIBL
(20,22),(20,27),0.0216613 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.0195291 # DEPENDENCYPART_SIBL
(20,22),(20,30),0.0226499 # DEPENDENCYPART_SIBL
(20,22),(20,31),0.020428 # DEPENDENCYPART_SIBL
(20,22),(20,32),-0.0111739 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0431346 # DEPENDENCYPART_SIBL
(20,23),(20,25),0.0551082 # DEPENDENCYPART_SIBL
(20,23),(20,27),0.0600028 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.0566726 # DEPENDENCYPART_SIBL
(20,23),(20,30),0.0550218 # DEPENDENCYPART_SIBL
(20,23),(20,31),0.0103213 # DEPENDENCYPART_SIBL
(20,23),(20,32),0.0320735 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0741839 # DEPENDENCYPART_SIBL
(20,24),(20,27),0.0608853 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.059503 # DEPENDENCYPART_SIBL
(20,24),(20,30),0.0559042 # DEPENDENCYPART_SIBL
(20,24),(20,31),0.0112204 # DEPENDENCYPART_SIBL
(20,24),(20,32),0.048551 # DEPENDENCYPART_SIBL
(20,25),(20,27),0.0782615 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.0428328 # DEPENDENCYPART_SIBL
(20,25),(20,30),0.0864295 # DEPENDENCYPART_SIBL
(20,25),(20,31),0.00105092 # DEPENDENCYPART_SIBL
(20,25),(20,32),0.00674354 # DEPENDENCYPART_SIBL
(20,27),(20,28),-0.0207858 # DEPENDENCYPART_SIBL
(20,27),(20,30),0.0206799 # DEPENDENCYPART_SIBL
(20,27),(20,31),0.0181583 # DEPENDENCYPART_SIBL
(20,27),(20,32),-0.00725529 # DEPENDENCYPART_SIBL
(20,28),(20,30),0.0555439 # DEPENDENCYPART_SIBL
(20,28),(20,31),0.0108554 # DEPENDENCYPART_SIBL
(20,28),(20,32),0.0349317 # DEPENDENCYPART_SIBL
(20,30),(20,31),0.0209736 # DEPENDENCYPART_SIBL
(20,30),(20,32),0.00905878 # DEPENDENCYPART_SIBL
(20,31),(20,32),-0.0123999 # DEPENDENCYPART_SIBL
(23,1),(23,4),0.32298 # DEPENDENCYPART_SIBL
(23,1),(23,5),0.0929216 # DEPENDENCYPART_SIBL
(23,1),(23,7),0.0125005 # DEPENDENCYPART_SIBL
(23,1),(23,11),-0.0419267 # DEPENDENCYPART_SIBL
(23,1),(23,12),-0.0729449 # DEPENDENCYPART_SIBL
(23,1),(23,15),-0.0757681 # DEPENDENCYPART_SIBL
(23,1),(23,16),-0.0126309 # DEPENDENCYPART_SIBL
(23,1),(23,17),-0.339733 # DEPENDENCYPART_SIBL
(23,1),(23,18),-0.0849635 # DEPENDENCYPART_SIBL
(23,1),(23,20),0.0121693 # DEPENDENCYPART_SIBL
(23,1),(23,21),-0.519851 # DEPENDENCYPART_SIBL
(23,1),(23,22),0.32298 # DEPENDENCYPART_SIBL
(23,1),(23,24),0.0534745 # DEPENDENCYPART_SIBL
(23,1),(23,25),-0.0357961 # DEPENDENCYPART_SIBL
(23,1),(23,26),-0.0826194 # DEPENDENCYPART_SIBL
(23,1),(23,27),-0.0282534 # DEPENDENCYPART_SIBL
(23,1),(23,28),0.0324862 # DEPENDENCYPART_SIBL
(23,1),(23,29),-0.0240283 # DEPENDENCYPART_SIBL
(23,1),(23,30),-0.0149698 # DEPENDENCYPART_SIBL
(23,1),(23,31),-0.0238674 # DEPENDENCYPART_SIBL
(23,1),(23,32),-0.0178253 # DEPENDENCYPART_SIBL
(23,4),(23,5),0.0811594 # DEPENDENCYPART_SIBL
(23,4),(23,7),-0.0818905 # DEPENDENCYPART_SIBL
(23,4),(23,11),-0.00139607 # DEPENDENCYPART_SIBL
(23,4),(23,12),0.126797 # DEPENDENCYPART_SIBL
(23,4),(23,15),-0.144928 # DEPENDENCYPART_SIBL
(23,4),(23,16),0.00509406 # DEPENDENCYPART_SIBL
(23,4),(23,17),-0.350732 # DEPENDENCYPART_SIBL
(23,4),(23,18),0.0312884 # DEPENDENCYPART_SIBL
(23,4),(23,20),-0.0821305 # DEPENDENCYPART_SIBL
(23,4),(23,21),-0.525361 # DEPENDENCYPART_SIBL
(23,4),(23,22),0.0998112 # DEPENDENCYPART_SIBL
(23,4),(23,24),0.0693662 # DEPENDENCYPART_SIBL
(23,4),(23,25),0.0594332 # DEPENDENCYPART_SIBL
(23,4),(23,26),0.0125694 # DEPENDENCYPART_SIBL
(23,4),(23,27),0.0462022 # DEPENDENCYPART_SIBL
(23,4),(23,28),0.0202476 # DEPENDENCYPART_SIBL
(23,4),(23,29),0.00183862 # DEPENDENCYPART_SIBL
(23,4),(23,30),0.059996 # DEPENDENCYPART_SIBL
(23,4),(23,31),-0.0672674 # DEPENDENCYPART_SIBL
(23,4),(23,32),0.0786488 # DEPENDENCYPART_SIBL
(23,5),(23,7),-0.0264406 # DEPENDENCYPART_SIBL
(23,5),(23,11),-0.0390532 # DEPENDENCYPART_SIBL
(23,5),(23,12),0.0725823 # DEPENDENCYPART_SIBL
(23,5),(23,15),-0.0502008 # DEPENDENCYPART_SIBL
(23,5),(23,16),0.110344 # DEPENDENCYPART_SIBL
(23,5),(23,17),-0.143356 # DEPENDENCYPART_SIBL
(23,5),(23,18),-0.0137511 # DEPENDENCYPART_SIBL
(23,5),(23,20),-0.0271169 # DEPENDENCYPART_SIBL
(23,5),(23,21),-0.318763 # DEPENDENCYPART_SIBL
(23,5),(23,22),0.037178 # DEPENDENCYPART_SIBL
(23,5),(23,24),0.0557337 # DEPENDENCYPART_SIBL
(23,5),(23,25),0.0557288 # DEPENDENCYPART_SIBL
(23,5),(23,26),-0.0180456 # DEPENDENCYPART_SIBL
(23,5),(23,27),0.032253 # DEPENDENCYPART_SIBL
(23,5),(23,28),0.0535705 # DEPENDENCYPART_SIBL
(23,5),(23,29),0.0140118 # DEPENDENCYPART_SIBL
(23,5),(23,30),0.0569393 # DEPENDENCYPART_SIBL
(23,5),(23,31),-0.0443172 # DEPENDENCYPART_SIBL
(23,5),(23,32),0.25038 # DEPENDENCYPART_SIBL
(23,7),(23,11),-0.177701 # DEPENDENCYPART_SIBL
(23,7),(23,12),-0.0701611 # DEPENDENCYPART_SIBL
(23,7),(23,15),-0.142563 # DEPENDENCYPART_SIBL
(23,7),(23,16),-0.691581 # DEPENDENCYPART_SIBL
(23,7),(23,17),-0.489773 # DEPENDENCYPART_SIBL
(23,7),(23,18),-0.0707942 # DEPENDENCYPART_SIBL
(23,7),(23,20),-0.732279 # DEPENDENCYPART_SIBL
(23,7),(23,21),-0.703394 # DEPENDENCYPART_SIBL
(23,7),(23,22),0.0268506 # DEPENDENCYPART_SIBL
(23,7),(23,24),0.0320439 # DEPENDENCYPART_SIBL
(23,7),(23,25),-0.0425092 # DEPENDENCYPART_SIBL
(23,7),(23,26),-0.0229549 # DEPENDENCYPART_SIBL
(23,7),(23,27),-0.0287753 # DEPENDENCYPART_SIBL
(23,7),(23,28),0.0130423 # DEPENDENCYPART_SIBL
(23,7),(23,29),-0.00205257 # DEPENDENCYPART_SIBL
(23,7),(23,30),-0.0174372 # DEPENDENCYPART_SIBL
(23,7),(23,31),-0.0227021 # DEPENDENCYPART_SIBL
(23,7),(23,32),-0.0132901 # DEPENDENCYPART_SIBL
(23,11),(23,12),-0.0468129 # DEPENDENCYPART_SIBL
(23,11),(23,15),-0.161615 # DEPENDENCYPART_SIBL
(23,11),(23,16),-0.0167269 # DEPENDENCYPART_SIBL
(23,11),(23,17),-0.189013 # DEPENDENCYPART_SIBL
(23,11),(23,18),-0.0735736 # DEPENDENCYPART_SIBL
(23,11),(23,20),-0.0276093 # DEPENDENCYPART_SIBL
(23,11),(23,21),-0.256862 # DEPENDENCYPART_SIBL
(23,11),(23,22),0.165862 # DEPENDENCYPART_SIBL
(23,11),(23,24),0.030011 # DEPENDENCYPART_SIBL
(23,11),(23,25),0.014187 # DEPENDENCYPART_SIBL
(23,11),(23,26),-0.0459727 # DEPENDENCYPART_SIBL
(23,11),(23,27),-0.0218968 # DEPENDENCYPART_SIBL
(23,11),(23,28),0.0223008 # DEPENDENCYPART_SIBL
(23,11),(23,29),-0.00972271 # DEPENDENCYPART_SIBL
(23,11),(23,30),-0.00702209 # DEPENDENCYPART_SIBL
(23,11),(23,31),-0.0479522 # DEPENDENCYPART_SIBL
(23,11),(23,32),-0.00462797 # DEPENDENCYPART_SIBL
(23,12),(23,15),-0.0526953 # DEPENDENCYPART_SIBL
(23,12),(23,16),0.00269415 # DEPENDENCYPART_SIBL
(23,12),(23,17),-0.279134 # DEPENDENCYPART_SIBL
(23,12),(23,18),-0.0599708 # DEPENDENCYPART_SIBL
(23,12),(23,20),0.0258401 # DEPENDENCYPART_SIBL
(23,12),(23,21),-0.397226 # DEPENDENCYPART_SIBL
(23,12),(23,22),0.302007 # DEPENDENCYPART_SIBL
(23,12),(23,24),0.0604715 # DEPENDENCYPART_SIBL
(23,12),(23,25),-0.0472756 # DEPENDENCYPART_SIBL
(23,12),(23,26),-0.0555543 # DEPENDENCYPART_SIBL
(23,12),(23,27),0.010354 # DEPENDENCYPART_SIBL
(23,12),(23,28),0.038562 # DEPENDENCYPART_SIBL
(23,12),(23,29),-0.0221323 # DEPENDENCYPART_SIBL
(23,12),(23,30),0.0236019 # DEPENDENCYPART_SIBL
(23,12),(23,31),-0.0295037 # DEPENDENCYPART_SIBL
(23,12),(23,32),-0.0103864 # DEPENDENCYPART_SIBL
(23,15),(23,16),-0.0599325 # DEPENDENCYPART_SIBL
(23,15),(23,17),-0.180745 # DEPENDENCYPART_SIBL
(23,15),(23,18),-0.0282807 # DEPENDENCYPART_SIBL
(23,15),(23,20),-0.0669042 # DEPENDENCYPART_SIBL
(23,15),(23,21),0.244616 # DEPENDENCYPART_SIBL
(23,15),(23,22),0.281017 # DEPENDENCYPART_SIBL
(23,15),(23,24),-0.0674349 # DEPENDENCYPART_SIBL
(23,15),(23,25),-0.0755452 # DEPENDENCYPART_SIBL
(23,15),(23,26),-0.136836 # DEPENDENCYPART_SIBL
(23,15),(23,27),-0.00881182 # DEPENDENCYPART_SIBL
(23,15),(23,28),-0.0675158 # DEPENDENCYPART_SIBL
(23,15),(23,29),0.047746 # DEPENDENCYPART_SIBL
(23,15),(23,30),0.018346 # DEPENDENCYPART_SIBL
(23,15),(23,31),-0.0750107 # DEPENDENCYPART_SIBL
(23,15),(23,32),-0.0974097 # DEPENDENCYPART_SIBL
(23,16),(23,17),-0.501912 # DEPENDENCYPART_SIBL
(23,16),(23,18),-0.116133 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.731652 # DEPENDENCYPART_SIBL
(23,16),(23,21),-0.720462 # DEPENDENCYPART_SIBL
(23,16),(23,22),0.0107848 # DEPENDENCYPART_SIBL
(23,16),(23,24),0.0363786 # DEPENDENCYPART_SIBL
(23,16),(23,25),-0.0753591 # DEPENDENCYPART_SIBL
(23,16),(23,26),0.00576059 # DEPENDENCYPART_SIBL
(23,16),(23,27),-0.00313795 # DEPENDENCYPART_SIBL
(23,16),(23,28),0.0180057 # DEPENDENCYPART_SIBL
(23,16),(23,29),0.150166 # DEPENDENCYPART_SIBL
(23,16),(23,30),0.00820016 # DEPENDENCYPART_SIBL
(23,16),(23,31),0.0327672 # DEPENDENCYPART_SIBL
(23,16),(23,32),-0.0182041 # DEPENDENCYPART_SIBL
(23,17),(23,18),0.168606 # DEPENDENCYPART_SIBL
(23,17),(23,20),0.0290765 # DEPENDENCYPART_SIBL
(23,17),(23,21),0.132442 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.101484 # DEPENDENCYPART_SIBL
(23,17),(23,24),-0.0028167 # DEPENDENCYPART_SIBL
(23,17),(23,25),0.184178 # DEPENDENCYPART_SIBL
(23,17),(23,26),-0.0350249 # DEPENDENCYPART_SIBL
(23,17),(23,27),0.00478686 # DEPENDENCYPART_SIBL
(23,17),(23,28),-0.0118005 # DEPENDENCYPART_SIBL
(23,17),(23,29),-0.0200258 # DEPENDENCYPART_SIBL
(23,17),(23,30),0.0572785 # DEPENDENCYPART_SIBL
(23,17),(23,31),-0.0377453 # DEPENDENCYPART_SIBL
(23,17),(23,32),-0.508699 # DEPENDENCYPART_SIBL
(23,18),(23,20),0.0165468 # DEPENDENCYPART_SIBL
(23,18),(23,21),-0.487241 # DEPENDENCYPART_SIBL
(23,18),(23,22),0.247401 # DEPENDENCYPART_SIBL
(23,18),(23,24),0.0339454 # DEPENDENCYPART_SIBL
(23,18),(23,25),-0.0373644 # DEPENDENCYPART_SIBL
(23,18),(23,26),-0.0839076 # DEPENDENCYPART_SIBL
(23,18),(23,27),-0.00635957 # DEPENDENCYPART_SIBL
(23,18),(23,28),0.0174339 # DEPENDENCYPART_SIBL
(23,18),(23,29),-0.0326904 # DEPENDENCYPART_SIBL
(23,18),(23,30),0.00686731 # DEPENDENCYPART_SIBL
(23,18),(23,31),-0.0097874 # DEPENDENCYPART_SIBL
(23,18),(23,32),-0.0185819 # DEPENDENCYPART_SIBL
(23,20),(23,21),-0.70403 # DEPENDENCYPART_SIBL
(23,20),(23,22),0.0262145 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.0285718 # DEPENDENCYPART_SIBL
(23,20),(23,25),-0.0453173 # DEPENDENCYPART_SIBL
(23,20),(23,26),-0.0261553 # DEPENDENCYPART_SIBL
(23,20),(23,27),-0.0311727 # DEPENDENCYPART_SIBL
(23,20),(23,28),0.0101071 # DEPENDENCYPART_SIBL
(23,20),(23,29),-0.00694874 # DEPENDENCYPART_SIBL
(23,20),(23,30),-0.0198346 # DEPENDENCYPART_SIBL
(23,20),(23,31),-0.0256398 # DEPENDENCYPART_SIBL
(23,20),(23,32),-0.0164665 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.203707 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.0702188 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.0704435 # DEPENDENCYPART_SIBL
(23,21),(23,26),-0.0811384 # DEPENDENCYPART_SIBL
(23,21),(23,27),-0.0135071 # DEPENDENCYPART_SIBL
(23,21),(23,28),0.0370396 # DEPENDENCYPART_SIBL
(23,21),(23,29),0.0548038 # DEPENDENCYPART_SIBL
(23,21),(23,30),-0.00380065 # DEPENDENCYPART_SIBL
(23,21),(23,31),-0.0267384 # DEPENDENCYPART_SIBL
(23,21),(23,32),-0.509312 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.0693662 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.0594332 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.0125694 # DEPENDENCYPART_SIBL
(23,22),(23,27),0.0462022 # DEPENDENCYPART_SIBL
(23,22),(23,28),0.0202476 # DEPENDENCYPART_SIBL
(23,22),(23,29),0.00183862 # DEPENDENCYPART_SIBL
(23,22),(23,30),0.059996 # DEPENDENCYPART_SIBL
(23,22),(23,31),-0.0672674 # DEPENDENCYPART_SIBL
(23,22),(23,32),0.0786488 # DEPENDENCYPART_SIBL
(23,24),(23,25),0.0394434 # DEPENDENCYPART_SIBL
(23,24),(23,26),0.030815 # DEPENDENCYPART_SIBL
(23,24),(23,27),0.00979753 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.0302397 # DEPENDENCYPART_SIBL
(23,24),(23,29),0.0766434 # DEPENDENCYPART_SIBL
(23,24),(23,30),0.00854013 # DEPENDENCYPART_SIBL
(23,24),(23,31),0.000507331 # DEPENDENCYPART_SIBL
(23,24),(23,32),0.0151978 # DEPENDENCYPART_SIBL
(23,25),(23,26),0.0119481 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.0137653 # DEPENDENCYPART_SIBL
(23,25),(23,28),0.0375479 # DEPENDENCYPART_SIBL
(23,25),(23,29),-0.216387 # DEPENDENCYPART_SIBL
(23,25),(23,30),-0.00799293 # DEPENDENCYPART_SIBL
(23,25),(23,31),-0.0166933 # DEPENDENCYPART_SIBL
(23,25),(23,32),-0.088127 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.0144017 # DEPENDENCYPART_SIBL
(23,26),(23,28),-0.0356018 # DEPENDENCYPART_SIBL
(23,26),(23,29),0.00165221 # DEPENDENCYPART_SIBL
(23,26),(23,30),-0.0133042 # DEPENDENCYPART_SIBL
(23,26),(23,31),-0.0449934 # DEPENDENCYPART_SIBL
(23,26),(23,32),-0.0492798 # DEPENDENCYPART_SIBL
(23,27),(23,28),-0.020445 # DEPENDENCYPART_SIBL
(23,27),(23,29),0.0229373 # DEPENDENCYPART_SIBL
(23,27),(23,30),0.0311503 # DEPENDENCYPART_SIBL
(23,27),(23,31),0.061927 # DEPENDENCYPART_SIBL
(23,27),(23,32),-0.031483 # DEPENDENCYPART_SIBL
(23,28),(23,29),-0.02005 # DEPENDENCYPART_SIBL
(23,28),(23,30),-0.00940427 # DEPENDENCYPART_SIBL
(23,28),(23,31),-0.0181488 # DEPENDENCYPART_SIBL
(23,28),(23,32),-0.0254588 # DEPENDENCYPART_SIBL
(23,29),(23,30),0.0151622 # DEPENDENCYPART_SIBL
(23,29),(23,31),0.0661462 # DEPENDENCYPART_SIBL
(23,29),(23,32),0.00333126 # DEPENDENCYPART_SIBL
(23,30),(23,31),0.0811813 # DEPENDENCYPART_SIBL
(23,30),(23,32),0.00843323 # DEPENDENCYPART_SIBL
(23,31),(23,32),0.0107737 # DEPENDENCYPART_SIBL
(24,1),(24,5),0.198987 # DEPENDENCYPART_SIBL
(24,1),(24,7),0.0352275 # DEPENDENCYPART_SIBL
(24,1),(24,11),-0.0204344 # DEPENDENCYPART_SIBL
(24,1),(24,12),-0.0459469 # DEPENDENCYPART_SIBL
(24,1),(24,16),0.0100961 # DEPENDENCYPART_SIBL
(24,1),(24,17),-0.28642 # DEPENDENCYPART_SIBL
(24,1),(24,18),-0.0592009 # DEPENDENCYPART_SIBL
(24,1),(24,20),0.0348963 # DEPENDENCYPART_SIBL
(24,1),(24,21),-0.453964 # DEPENDENCYPART_SIBL
(24,1),(24,22),0.384937 # DEPENDENCYPART_SIBL
(24,1),(24,23),0.0814922 # DEPENDENCYPART_SIBL
(24,1),(24,25),-0.037433 # DEPENDENCYPART_SIBL
(24,1),(24,26),-0.0949421 # DEPENDENCYPART_SIBL
(24,1),(24,27),-0.0453787 # DEPENDENCYPART_SIBL
(24,1),(24,28),-0.000596423 # DEPENDENCYPART_SIBL
(24,1),(24,29),-0.0380635 # DEPENDENCYPART_SIBL
(24,1),(24,30),-0.0320951 # DEPENDENCYPART_SIBL
(24,1),(24,31),-0.030895 # DEPENDENCYPART_SIBL
(24,1),(24,32),-0.00395668 # DEPENDENCYPART_SIBL
(24,5),(24,7),-0.0270202 # DEPENDENCYPART_SIBL
(24,5),(24,11),-0.0382418 # DEPENDENCYPART_SIBL
(24,5),(24,12),0.0709867 # DEPENDENCYPART_SIBL
(24,5),(24,16),0.109764 # DEPENDENCYPART_SIBL
(24,5),(24,17),-0.112871 # DEPENDENCYPART_SIBL
(24,5),(24,18),-0.016598 # DEPENDENCYPART_SIBL
(24,5),(24,20),-0.0276965 # DEPENDENCYPART_SIBL
(24,5),(24,21),-0.271588 # DEPENDENCYPART_SIBL
(24,5),(24,22),0.0814524 # DEPENDENCYPART_SIBL
(24,5),(24,23),0.0151595 # DEPENDENCYPART_SIBL
(24,5),(24,25),0.0764997 # DEPENDENCYPART_SIBL
