# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(19,14),(19,23),-0.0594507 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.00296005 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.368087 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.433276 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0459896 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.109718 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0626004 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.00467314 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0872502 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0459424 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0177024 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0520189 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0199548 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.109969 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0981278 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.114711 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0324373 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0239372 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0240961 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.0369746 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0456901 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0147898 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.0378026 # DEPENDENCYPART_SIBL
(21,22),(21,23),0.0663655 # DEPENDENCYPART_SIBL
(21,22),(21,24),0.0395392 # DEPENDENCYPART_SIBL
(21,23),(21,24),0.0211379 # DEPENDENCYPART_SIBL
(22,1),(22,3),0.108455 # DEPENDENCYPART_SIBL
(22,1),(22,4),0.0177431 # DEPENDENCYPART_SIBL
(22,1),(22,6),-0.344477 # DEPENDENCYPART_SIBL
(22,1),(22,10),0.117735 # DEPENDENCYPART_SIBL
(22,1),(22,11),0.0168915 # DEPENDENCYPART_SIBL
(22,1),(22,13),0.223429 # DEPENDENCYPART_SIBL
(22,1),(22,14),0.00859665 # DEPENDENCYPART_SIBL
(22,1),(22,15),0.223825 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.344477 # DEPENDENCYPART_SIBL
(22,1),(22,17),-0.00794792 # DEPENDENCYPART_SIBL
(22,1),(22,19),0.221492 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.314869 # DEPENDENCYPART_SIBL
(22,1),(22,21),0.0263681 # DEPENDENCYPART_SIBL
(22,1),(22,23),-0.0187719 # DEPENDENCYPART_SIBL
(22,1),(22,24),0.0156753 # DEPENDENCYPART_SIBL
(22,1),(22,25),0.0240553 # DEPENDENCYPART_SIBL
(22,3),(22,4),-0.0612065 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.143898 # DEPENDENCYPART_SIBL
(22,3),(22,10),-0.0690153 # DEPENDENCYPART_SIBL
(22,3),(22,11),0.228484 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.0150521 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.110661 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.0146217 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.143898 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.135423 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0206332 # DEPENDENCYPART_SIBL
(22,3),(22,20),-0.250582 # DEPENDENCYPART_SIBL
(22,3),(22,21),0.000843856 # DEPENDENCYPART_SIBL
(22,3),(22,23),-0.0172889 # DEPENDENCYPART_SIBL
(22,3),(22,24),-0.0380509 # DEPENDENCYPART_SIBL
(22,3),(22,25),0.067223 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.283996 # DEPENDENCYPART_SIBL
(22,4),(22,10),0.00281584 # DEPENDENCYPART_SIBL
(22,4),(22,11),-0.0130825 # DEPENDENCYPART_SIBL
(22,4),(22,13),0.0179237 # DEPENDENCYPART_SIBL
(22,4),(22,14),-0.0757675 # DEPENDENCYPART_SIBL
(22,4),(22,15),0.0184239 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.283996 # DEPENDENCYPART_SIBL
(22,4),(22,17),-0.0717687 # DEPENDENCYPART_SIBL
(22,4),(22,19),0.0186647 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.40096 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.0620098 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.0179201 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.0191109 # DEPENDENCYPART_SIBL
(22,4),(22,25),0.0378348 # DEPENDENCYPART_SIBL
(22,6),(22,10),0.104464 # DEPENDENCYPART_SIBL
(22,6),(22,11),0.0100314 # DEPENDENCYPART_SIBL
(22,6),(22,13),0.0353018 # DEPENDENCYPART_SIBL
(22,6),(22,14),0.0395174 # DEPENDENCYPART_SIBL
(22,6),(22,15),0.0362761 # DEPENDENCYPART_SIBL
(22,6),(22,16),-0.362906 # DEPENDENCYPART_SIBL
(22,6),(22,17),0.0767663 # DEPENDENCYPART_SIBL
(22,6),(22,19),0.02863 # DEPENDENCYPART_SIBL
(22,6),(22,20),0.154191 # DEPENDENCYPART_SIBL
(22,6),(22,21),0.0929085 # DEPENDENCYPART_SIBL
(22,6),(22,23),-0.0153244 # DEPENDENCYPART_SIBL
(22,6),(22,24),-0.015752 # DEPENDENCYPART_SIBL
(22,6),(22,25),-0.0135825 # DEPENDENCYPART_SIBL
(22,10),(22,11),0.211993 # DEPENDENCYPART_SIBL
(22,10),(22,13),-0.0241163 # DEPENDENCYPART_SIBL
(22,10),(22,14),-0.125871 # DEPENDENCYPART_SIBL
(22,10),(22,15),-0.0236859 # DEPENDENCYPART_SIBL
(22,10),(22,16),-0.155483 # DEPENDENCYPART_SIBL
(22,10),(22,17),-0.150633 # DEPENDENCYPART_SIBL
(22,10),(22,19),-0.0296973 # DEPENDENCYPART_SIBL
(22,10),(22,20),-0.262582 # DEPENDENCYPART_SIBL
(22,10),(22,21),-0.0101768 # DEPENDENCYPART_SIBL
(22,10),(22,23),-0.0242721 # DEPENDENCYPART_SIBL
(22,10),(22,24),-0.0360754 # DEPENDENCYPART_SIBL
(22,10),(22,25),0.075888 # DEPENDENCYPART_SIBL
(22,11),(22,13),-0.0111108 # DEPENDENCYPART_SIBL
(22,11),(22,14),-0.102884 # DEPENDENCYPART_SIBL
(22,11),(22,15),-0.0106102 # DEPENDENCYPART_SIBL
(22,11),(22,16),-0.328048 # DEPENDENCYPART_SIBL
(22,11),(22,17),-0.103193 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.0103694 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.379885 # DEPENDENCYPART_SIBL
(22,11),(22,21),-0.138279 # DEPENDENCYPART_SIBL
(22,11),(22,23),-0.021662 # DEPENDENCYPART_SIBL
(22,11),(22,24),-0.00809526 # DEPENDENCYPART_SIBL
(22,11),(22,25),0.0761209 # DEPENDENCYPART_SIBL
(22,13),(22,14),-0.106862 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.734054 # DEPENDENCYPART_SIBL
(22,13),(22,16),-0.491049 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.122014 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.73805 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.698343 # DEPENDENCYPART_SIBL
(22,13),(22,21),-0.0592974 # DEPENDENCYPART_SIBL
(22,13),(22,23),-0.015723 # DEPENDENCYPART_SIBL
(22,13),(22,24),-0.0560475 # DEPENDENCYPART_SIBL
(22,13),(22,25),0.012625 # DEPENDENCYPART_SIBL
(22,14),(22,15),-0.0423661 # DEPENDENCYPART_SIBL
(22,14),(22,16),-0.325161 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.091229 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0421253 # DEPENDENCYPART_SIBL
(22,14),(22,20),-0.407224 # DEPENDENCYPART_SIBL
(22,14),(22,21),-0.081033 # DEPENDENCYPART_SIBL
(22,14),(22,23),-0.0669549 # DEPENDENCYPART_SIBL
(22,14),(22,24),-0.018045 # DEPENDENCYPART_SIBL
(22,14),(22,25),0.0428204 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.489575 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.120527 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.73696 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.69591 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.0581062 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0139719 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.0550452 # DEPENDENCYPART_SIBL
(22,15),(22,25),0.0142168 # DEPENDENCYPART_SIBL
(22,16),(22,17),0.0767663 # DEPENDENCYPART_SIBL
(22,16),(22,19),0.02863 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.154191 # DEPENDENCYPART_SIBL
(22,16),(22,21),0.0929085 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0153244 # DEPENDENCYPART_SIBL
(22,16),(22,24),-0.015752 # DEPENDENCYPART_SIBL
(22,16),(22,25),-0.0135825 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.0179715 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.370945 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.0625393 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0179143 # DEPENDENCYPART_SIBL
(22,17),(22,24),0.00244779 # DEPENDENCYPART_SIBL
(22,17),(22,25),0.0401206 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.693843 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.0578248 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0101078 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0393102 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.0412987 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.124888 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.119167 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.00498159 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0113725 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0761035 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0218828 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0193599 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0686484 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0277878 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0245997 # DEPENDENCYPART_SIBL
(23,10),(23,21),0.315885 # DEPENDENCYPART_SIBL
(23,10),(23,24),0.0963886 # DEPENDENCYPART_SIBL
(23,10),(23,25),0.100453 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.214218 # DEPENDENCYPART_SIBL
(23,21),(23,25),0.132118 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.111552 # DEPENDENCYPART_SIBL
(24,14),(24,17),0.0419162 # DEPENDENCYPART_SIBL
(24,14),(24,23),0.0418728 # DEPENDENCYPART_SIBL
(24,17),(24,23),0.0172819 # DEPENDENCYPART_SIBL
(0,1),(1,3),0.717002 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.468916 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.251469 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),-0.226986 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.191294 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.66431 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.0886569 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.11424 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.404619 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.0484579 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.782276 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.239697 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.0921579 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.133765 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),-0.205622 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.534656 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.0786963 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),-0.548272 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),0.557219 # DEPENDENCYPART_GRANDPAR
(0,3),(3,23),0.122072 # DEPENDENCYPART_GRANDPAR
(0,3),(3,24),-0.122403 # DEPENDENCYPART_GRANDPAR
(0,3),(3,25),1.52861 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),-0.224768 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.851143 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.311258 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.181482 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.497014 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.183227 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.177035 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.00717513 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.200758 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.0758641 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.172698 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.10904 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.187111 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.494578 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),0.0624025 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),-0.552344 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),0.591856 # DEPENDENCYPART_GRANDPAR
(0,10),(10,23),0.0829809 # DEPENDENCYPART_GRANDPAR
(0,10),(10,24),-0.123185 # DEPENDENCYPART_GRANDPAR
(0,10),(10,25),1.54645 # DEPENDENCYPART_GRANDPAR
(0,22),(22,1),-0.215156 # DEPENDENCYPART_GRANDPAR
(0,22),(22,3),0.838923 # DEPENDENCYPART_GRANDPAR
(0,22),(22,4),0.323034 # DEPENDENCYPART_GRANDPAR
(0,22),(22,6),-0.501708 # DEPENDENCYPART_GRANDPAR
(0,22),(22,10),0.636549 # DEPENDENCYPART_GRANDPAR
(0,22),(22,11),0.0988276 # DEPENDENCYPART_GRANDPAR
(0,22),(22,13),-0.00349601 # DEPENDENCYPART_GRANDPAR
(0,22),(22,14),-0.464611 # DEPENDENCYPART_GRANDPAR
(0,22),(22,15),-0.188733 # DEPENDENCYPART_GRANDPAR
(0,22),(22,16),-0.593089 # DEPENDENCYPART_GRANDPAR
(0,22),(22,17),0.147838 # DEPENDENCYPART_GRANDPAR
(0,22),(22,19),-0.00948964 # DEPENDENCYPART_GRANDPAR
(0,22),(22,20),-1.84263 # DEPENDENCYPART_GRANDPAR
(0,22),(22,21),-0.807682 # DEPENDENCYPART_GRANDPAR
(0,22),(22,23),0.123527 # DEPENDENCYPART_GRANDPAR
(0,22),(22,24),-0.119118 # DEPENDENCYPART_GRANDPAR
(0,22),(22,25),1.53487 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.13355 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.157977 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.617996 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.81313 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.803172 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.823666 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.92106 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.781025 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.764529 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.801661 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.969992 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.991479 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.822073 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.925261 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-0.870205 # DEPENDENCYPART_GRANDPAR
(1,3),(3,22),-0.793802 # DEPENDENCYPART_GRANDPAR
(1,3),(3,23),-0.948182 # DEPENDENCYPART_GRANDPAR
(1,3),(3,24),-1.00556 # DEPENDENCYPART_GRANDPAR
(1,3),(3,25),-1.05004 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-1.23975 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,3),-0.36299 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.825859 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.920263 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.862045 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.79005 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.762587 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),-0.983413 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.53096 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.389517 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-1.09128 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.916291 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.604462 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.125919 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.216704 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.461738 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.0991983 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.160116 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),0.00478217 # DEPENDENCYPART_GRANDPAR
(3,5),(5,4),0.208507 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.259219 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.146107 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),0.0198649 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.162236 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.361144 # DEPENDENCYPART_GRANDPAR
(3,5),(5,22),-0.266339 # DEPENDENCYPART_GRANDPAR
(3,5),(5,24),-0.426271 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-1.08755 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.725248 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,4),0.077546 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),0.0386058 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.0757164 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),-0.309988 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.0731193 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),0.102512 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.185807 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),0.0402184 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.288861 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),-0.366527 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.213321 # DEPENDENCYPART_GRANDPAR
(3,10),(10,17),0.15598 # DEPENDENCYPART_GRANDPAR
(3,10),(10,19),-0.367546 # DEPENDENCYPART_GRANDPAR
(3,10),(10,21),-0.589317 # DEPENDENCYPART_GRANDPAR
(3,10),(10,22),-0.316484 # DEPENDENCYPART_GRANDPAR
(3,10),(10,23),-0.471314 # DEPENDENCYPART_GRANDPAR
(3,10),(10,24),-0.318487 # DEPENDENCYPART_GRANDPAR
(3,10),(10,25),-0.688361 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.735207 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,7),-0.645475 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.122215 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-1.11238 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.0426748 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.301725 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.375471 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.350102 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.0735305 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.474081 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,4),0.323934 # DEPENDENCYPART_GRANDPAR
(3,13),(13,6),-0.297446 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),0.135438 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),0.0716466 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.938922 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.152872 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.406437 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.508397 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.0242833 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),-0.405647 # DEPENDENCYPART_GRANDPAR
(3,13),(13,21),-0.613634 # DEPENDENCYPART_GRANDPAR
(3,13),(13,22),-0.27038 # DEPENDENCYPART_GRANDPAR
(3,13),(13,23),-0.765411 # DEPENDENCYPART_GRANDPAR
(3,13),(13,24),-0.35532 # DEPENDENCYPART_GRANDPAR
(3,14),(14,3),-0.67356 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,14),(14,7),-0.546317 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),-1.21887 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.463451 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.430434 # DEPENDENCYPART_GRANDPAR
(3,14),(14,17),-0.041966 # DEPENDENCYPART_GRANDPAR
(3,14),(14,19),-0.461557 # DEPENDENCYPART_GRANDPAR
(3,14),(14,22),-0.320075 # DEPENDENCYPART_GRANDPAR
(3,17),(17,3),-0.662139 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,17),(17,7),-0.512486 # DEPENDENCYPART_GRANDPAR
(3,17),(17,10),-0.0491623 # DEPENDENCYPART_GRANDPAR
(3,17),(17,11),-0.217404 # DEPENDENCYPART_GRANDPAR
(3,17),(17,14),-0.394682 # DEPENDENCYPART_GRANDPAR
(3,17),(17,16),-0.0667451 # DEPENDENCYPART_GRANDPAR
(3,17),(17,18),-1.32202 # DEPENDENCYPART_GRANDPAR
(3,17),(17,19),-0.242387 # DEPENDENCYPART_GRANDPAR
(3,17),(17,21),-0.606341 # DEPENDENCYPART_GRANDPAR
(3,17),(17,22),-0.254599 # DEPENDENCYPART_GRANDPAR
(3,17),(17,23),-0.523327 # DEPENDENCYPART_GRANDPAR
(3,19),(19,3),-0.473302 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,19),(19,10),0.136217 # DEPENDENCYPART_GRANDPAR
(3,19),(19,11),0.0720785 # DEPENDENCYPART_GRANDPAR
(3,19),(19,14),-0.147777 # DEPENDENCYPART_GRANDPAR
(3,19),(19,16),-0.398621 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),0.265511 # DEPENDENCYPART_GRANDPAR
(3,19),(19,18),-0.949094 # DEPENDENCYPART_GRANDPAR
(3,19),(19,21),-0.612344 # DEPENDENCYPART_GRANDPAR
(3,19),(19,22),-0.275092 # DEPENDENCYPART_GRANDPAR
(3,19),(19,23),-0.758042 # DEPENDENCYPART_GRANDPAR
(3,19),(19,24),-0.354031 # DEPENDENCYPART_GRANDPAR
(3,21),(21,22),-0.300608 # DEPENDENCYPART_GRANDPAR
(3,21),(21,23),-0.524788 # DEPENDENCYPART_GRANDPAR
(3,21),(21,24),-0.380911 # DEPENDENCYPART_GRANDPAR
(3,22),(22,1),-1.08752 # DEPENDENCYPART_GRANDPAR
(3,22),(22,3),-0.729132 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,22),(22,4),0.0676164 # DEPENDENCYPART_GRANDPAR
(3,22),(22,6),0.0529445 # DEPENDENCYPART_GRANDPAR
(3,22),(22,10),-0.111719 # DEPENDENCYPART_GRANDPAR
(3,22),(22,11),-0.1282 # DEPENDENCYPART_GRANDPAR
(3,22),(22,13),0.0519635 # DEPENDENCYPART_GRANDPAR
(3,22),(22,14),-0.418071 # DEPENDENCYPART_GRANDPAR
(3,22),(22,15),-0.346614 # DEPENDENCYPART_GRANDPAR
(3,22),(22,16),-0.0489805 # DEPENDENCYPART_GRANDPAR
(3,22),(22,17),-0.0185196 # DEPENDENCYPART_GRANDPAR
(3,22),(22,19),-0.342768 # DEPENDENCYPART_GRANDPAR
(3,22),(22,20),-1.1485 # DEPENDENCYPART_GRANDPAR
(3,22),(22,21),-0.570143 # DEPENDENCYPART_GRANDPAR
(3,22),(22,23),-0.466621 # DEPENDENCYPART_GRANDPAR
(3,22),(22,24),-0.327975 # DEPENDENCYPART_GRANDPAR
(3,22),(22,25),-0.711902 # DEPENDENCYPART_GRANDPAR
(3,23),(23,10),0.0513052 # DEPENDENCYPART_GRANDPAR
(3,23),(23,21),-0.535283 # DEPENDENCYPART_GRANDPAR
(3,23),(23,24),-0.270495 # DEPENDENCYPART_GRANDPAR
(3,23),(23,25),-0.776972 # DEPENDENCYPART_GRANDPAR
(3,24),(24,14),-0.154232 # DEPENDENCYPART_GRANDPAR
(3,24),(24,17),0.0951541 # DEPENDENCYPART_GRANDPAR
(3,24),(24,23),-0.435764 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.910662 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.37504 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,6),-1.21758 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.294848 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.4805 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.46884 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.000104481 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-1.34168 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-1.27353 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.935095 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.672593 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-1.12359 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-1.37669 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),-0.70396 # DEPENDENCYPART_GRANDPAR
(4,3),(3,16),-1.44682 # DEPENDENCYPART_GRANDPAR
(4,3),(3,17),-1.31854 # DEPENDENCYPART_GRANDPAR
