# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,5,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(14,17),(14,24),-0.0663257 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0526086 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.435322 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.282639 # DEPENDENCYPART_SIBL
(14,19),(14,24),-0.427379 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0824681 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.0707001 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.0727456 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.0447243 # DEPENDENCYPART_SIBL
(14,21),(14,24),-0.280551 # DEPENDENCYPART_SIBL
(14,22),(14,24),-0.0938175 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.107012 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.164781 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0170753 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.592053 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.502182 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.357305 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.0882304 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0699221 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0252143 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0449138 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.029619 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.0768341 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.123409 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0623888 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0801179 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.121758 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.030158 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0308098 # DEPENDENCYPART_SIBL
(16,2),(16,23),-0.0330068 # DEPENDENCYPART_SIBL
(16,2),(16,24),-0.01171 # DEPENDENCYPART_SIBL
(16,2),(16,25),-0.00698789 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.176765 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.145673 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.365868 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.13139 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0223308 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.239088 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0901309 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0116246 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0239615 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.0464207 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.174941 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.0251616 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.103005 # DEPENDENCYPART_SIBL
(16,4),(16,25),-0.00943496 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.143628 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.363309 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.124701 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0146053 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.233545 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.093289 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.0121153 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0219393 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0446013 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.180673 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.0257359 # DEPENDENCYPART_SIBL
(16,5),(16,24),-0.108737 # DEPENDENCYPART_SIBL
(16,5),(16,25),-0.0100092 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.189382 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.143931 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.215558 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.120439 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0567097 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0756999 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.152088 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0207953 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0164681 # DEPENDENCYPART_SIBL
(16,6),(16,23),0.162451 # DEPENDENCYPART_SIBL
(16,6),(16,24),0.047895 # DEPENDENCYPART_SIBL
(16,6),(16,25),0.176828 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.159129 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.140841 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0273592 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.112033 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0453822 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0150346 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.166226 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0548457 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0222721 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0475068 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.00788165 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0403108 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0990166 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.186603 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0980204 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0500437 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0600445 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.102105 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0174426 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0692055 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.00863522 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.209348 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.12168 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0330597 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0197816 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0272325 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.186433 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0386999 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.11366 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.0216185 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.133071 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0489683 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0630314 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0625731 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.042045 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.0166369 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0562589 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.04912 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.00363866 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.00889508 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0183354 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0178605 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0259174 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.00142757 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.031163 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0178851 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0750032 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0658619 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0208708 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.0572947 # DEPENDENCYPART_SIBL
(16,18),(16,25),-0.00955584 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0264736 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.017094 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.000445353 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.00382302 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.0175076 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0685888 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.0880331 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0436213 # DEPENDENCYPART_SIBL
(16,20),(16,25),0.0863967 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.0433446 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.0720324 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.0398186 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0210019 # DEPENDENCYPART_SIBL
(16,23),(16,25),0.0218684 # DEPENDENCYPART_SIBL
(16,24),(16,25),0.0568138 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.135576 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.182115 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0133039 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0515634 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0584468 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0817412 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.455284 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.352189 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.44734 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0098797 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.0209221 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.000157195 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0970978 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.32749 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.122511 # DEPENDENCYPART_SIBL
(19,2),(19,3),0.0105397 # DEPENDENCYPART_SIBL
(19,2),(19,4),0.0882297 # DEPENDENCYPART_SIBL
(19,2),(19,5),0.0699214 # DEPENDENCYPART_SIBL
(19,2),(19,6),0.0252142 # DEPENDENCYPART_SIBL
(19,2),(19,8),0.166439 # DEPENDENCYPART_SIBL
(19,2),(19,10),0.0449056 # DEPENDENCYPART_SIBL
(19,2),(19,11),0.0293252 # DEPENDENCYPART_SIBL
(19,2),(19,12),0.0768334 # DEPENDENCYPART_SIBL
(19,2),(19,14),0.042869 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.121025 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.0952027 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.0308728 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.00821102 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.0451465 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.0335853 # DEPENDENCYPART_SIBL
(19,2),(19,24),0.0108888 # DEPENDENCYPART_SIBL
(19,2),(19,25),-0.00756639 # DEPENDENCYPART_SIBL
(19,3),(19,4),0.171343 # DEPENDENCYPART_SIBL
(19,3),(19,5),0.152891 # DEPENDENCYPART_SIBL
(19,3),(19,6),0.115428 # DEPENDENCYPART_SIBL
(19,3),(19,8),0.195138 # DEPENDENCYPART_SIBL
(19,3),(19,10),0.0820773 # DEPENDENCYPART_SIBL
(19,3),(19,11),0.0947219 # DEPENDENCYPART_SIBL
(19,3),(19,12),0.134476 # DEPENDENCYPART_SIBL
(19,3),(19,14),0.109655 # DEPENDENCYPART_SIBL
(19,3),(19,15),0.0806479 # DEPENDENCYPART_SIBL
(19,3),(19,18),0.0680236 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.00179684 # DEPENDENCYPART_SIBL
(19,3),(19,21),-0.0746147 # DEPENDENCYPART_SIBL
(19,3),(19,22),-0.146044 # DEPENDENCYPART_SIBL
(19,3),(19,23),-0.0640191 # DEPENDENCYPART_SIBL
(19,3),(19,24),-0.0276606 # DEPENDENCYPART_SIBL
(19,3),(19,25),-0.0551948 # DEPENDENCYPART_SIBL
(19,4),(19,5),0.176759 # DEPENDENCYPART_SIBL
(19,4),(19,6),0.145668 # DEPENDENCYPART_SIBL
(19,4),(19,8),0.668983 # DEPENDENCYPART_SIBL
(19,4),(19,10),0.365855 # DEPENDENCYPART_SIBL
(19,4),(19,11),0.131091 # DEPENDENCYPART_SIBL
(19,4),(19,12),0.022325 # DEPENDENCYPART_SIBL
(19,4),(19,14),0.0626556 # DEPENDENCYPART_SIBL
(19,4),(19,15),0.241466 # DEPENDENCYPART_SIBL
(19,4),(19,18),0.208636 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.045765 # DEPENDENCYPART_SIBL
(19,4),(19,21),-0.154529 # DEPENDENCYPART_SIBL
(19,4),(19,22),-0.15321 # DEPENDENCYPART_SIBL
(19,4),(19,23),-0.025167 # DEPENDENCYPART_SIBL
(19,4),(19,24),-0.082593 # DEPENDENCYPART_SIBL
(19,4),(19,25),-0.00944036 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.143623 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.666348 # DEPENDENCYPART_SIBL
(19,5),(19,10),0.363295 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.124402 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.0145994 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.0593722 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.235923 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.202865 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0439456 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.160261 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.158825 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0257413 # DEPENDENCYPART_SIBL
(19,5),(19,24),-0.0883247 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.0100146 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.336087 # DEPENDENCYPART_SIBL
(19,6),(19,10),0.188366 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.142629 # DEPENDENCYPART_SIBL
(19,6),(19,12),0.214549 # DEPENDENCYPART_SIBL
(19,6),(19,14),0.104545 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.119799 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.237885 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0214477 # DEPENDENCYPART_SIBL
(19,6),(19,21),0.0368765 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.0974473 # DEPENDENCYPART_SIBL
(19,6),(19,23),0.162442 # DEPENDENCYPART_SIBL
(19,6),(19,24),0.0683034 # DEPENDENCYPART_SIBL
(19,6),(19,25),0.176819 # DEPENDENCYPART_SIBL
(19,8),(19,10),0.0970549 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.0806833 # DEPENDENCYPART_SIBL
(19,8),(19,12),0.110276 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.0527388 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.0457537 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.0697498 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.00869561 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.0208341 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.0980633 # DEPENDENCYPART_SIBL
(19,8),(19,23),-0.0069436 # DEPENDENCYPART_SIBL
(19,8),(19,24),0.0384585 # DEPENDENCYPART_SIBL
(19,8),(19,25),0.00817597 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.160492 # DEPENDENCYPART_SIBL
(19,10),(19,12),0.142765 # DEPENDENCYPART_SIBL
(19,10),(19,14),0.0420809 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.0186691 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.0411875 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.17311 # DEPENDENCYPART_SIBL
(19,10),(19,21),-0.0199771 # DEPENDENCYPART_SIBL
(19,10),(19,22),-0.0701477 # DEPENDENCYPART_SIBL
(19,10),(19,23),-0.0163654 # DEPENDENCYPART_SIBL
(19,10),(19,24),-0.0126382 # DEPENDENCYPART_SIBL
(19,10),(19,25),-0.001975 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.0403101 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0615165 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0966322 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0722258 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0593297 # DEPENDENCYPART_SIBL
(19,11),(19,21),-0.0795065 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.135556 # DEPENDENCYPART_SIBL
(19,11),(19,23),-0.0180211 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.0466067 # DEPENDENCYPART_SIBL
(19,11),(19,25),-0.00921372 # DEPENDENCYPART_SIBL
(19,12),(19,14),0.101195 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.211725 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.180114 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0265768 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.16602 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.193484 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.0387053 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0932481 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.0216239 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0097691 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0368627 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.00807031 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0248048 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.105105 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0304918 # DEPENDENCYPART_SIBL
(19,14),(19,24),0.0397291 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.0434231 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.626146 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0428849 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0108686 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.347523 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.0363358 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.109173 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0688189 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0403091 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.115655 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.281169 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.141674 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.207331 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.168142 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0784021 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.00976922 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0855774 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0534346 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.083941 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0405166 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0506955 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0652712 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0471695 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.228436 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.139847 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.22434 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0268372 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.0218443 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0641647 # DEPENDENCYPART_SIBL
(21,2),(21,3),0.061394 # DEPENDENCYPART_SIBL
(21,2),(21,4),0.0729644 # DEPENDENCYPART_SIBL
(21,2),(21,5),0.0125027 # DEPENDENCYPART_SIBL
(21,2),(21,6),0.125393 # DEPENDENCYPART_SIBL
(21,2),(21,7),0.0844793 # DEPENDENCYPART_SIBL
(21,2),(21,8),-0.113965 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.318542 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.207965 # DEPENDENCYPART_SIBL
(21,2),(21,11),0.275543 # DEPENDENCYPART_SIBL
(21,2),(21,12),0.0966562 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.0484606 # DEPENDENCYPART_SIBL
(21,2),(21,14),0.0701515 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.048126 # DEPENDENCYPART_SIBL
(21,2),(21,17),0.264281 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.0481248 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.318542 # DEPENDENCYPART_SIBL
(21,2),(21,22),0.215155 # DEPENDENCYPART_SIBL
(21,2),(21,23),0.115764 # DEPENDENCYPART_SIBL
(21,2),(21,24),0.323797 # DEPENDENCYPART_SIBL
(21,2),(21,25),0.153875 # DEPENDENCYPART_SIBL
(21,2),(21,26),0.21925 # DEPENDENCYPART_SIBL
(21,3),(21,4),0.0967571 # DEPENDENCYPART_SIBL
(21,3),(21,5),0.0360091 # DEPENDENCYPART_SIBL
(21,3),(21,6),0.121943 # DEPENDENCYPART_SIBL
(21,3),(21,7),0.0549352 # DEPENDENCYPART_SIBL
(21,3),(21,8),-0.206578 # DEPENDENCYPART_SIBL
(21,3),(21,9),-0.383411 # DEPENDENCYPART_SIBL
(21,3),(21,10),-0.289901 # DEPENDENCYPART_SIBL
(21,3),(21,11),0.257447 # DEPENDENCYPART_SIBL
(21,3),(21,12),0.0704442 # DEPENDENCYPART_SIBL
(21,3),(21,13),-0.0537465 # DEPENDENCYPART_SIBL
(21,3),(21,14),0.0465576 # DEPENDENCYPART_SIBL
(21,3),(21,16),-0.0533676 # DEPENDENCYPART_SIBL
(21,3),(21,17),0.237179 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0533735 # DEPENDENCYPART_SIBL
(21,3),(21,20),-0.383411 # DEPENDENCYPART_SIBL
(21,3),(21,22),0.124615 # DEPENDENCYPART_SIBL
(21,3),(21,23),0.0843404 # DEPENDENCYPART_SIBL
(21,3),(21,24),0.245378 # DEPENDENCYPART_SIBL
(21,3),(21,25),0.113202 # DEPENDENCYPART_SIBL
(21,3),(21,26),0.213259 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.0770513 # DEPENDENCYPART_SIBL
(21,4),(21,6),0.0992485 # DEPENDENCYPART_SIBL
(21,4),(21,7),0.0727847 # DEPENDENCYPART_SIBL
(21,4),(21,8),0.0688894 # DEPENDENCYPART_SIBL
(21,4),(21,9),-0.0920363 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.114758 # DEPENDENCYPART_SIBL
(21,4),(21,11),0.210182 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.327144 # DEPENDENCYPART_SIBL
(21,4),(21,13),0.0295272 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0802052 # DEPENDENCYPART_SIBL
(21,4),(21,16),0.0298644 # DEPENDENCYPART_SIBL
(21,4),(21,17),0.149411 # DEPENDENCYPART_SIBL
(21,4),(21,19),0.0293774 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.0920363 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.176225 # DEPENDENCYPART_SIBL
(21,4),(21,23),-0.0554851 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.0497636 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.0125595 # DEPENDENCYPART_SIBL
(21,4),(21,26),0.0178991 # DEPENDENCYPART_SIBL
(21,5),(21,6),0.0855927 # DEPENDENCYPART_SIBL
(21,5),(21,7),0.050703 # DEPENDENCYPART_SIBL
(21,5),(21,8),0.0542451 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.109539 # DEPENDENCYPART_SIBL
(21,5),(21,10),-0.129258 # DEPENDENCYPART_SIBL
(21,5),(21,11),0.186798 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.352761 # DEPENDENCYPART_SIBL
(21,5),(21,13),0.011473 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.096797 # DEPENDENCYPART_SIBL
(21,5),(21,16),0.0118102 # DEPENDENCYPART_SIBL
(21,5),(21,17),0.1253 # DEPENDENCYPART_SIBL
(21,5),(21,19),0.0113232 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.109539 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.197487 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.0663358 # DEPENDENCYPART_SIBL
(21,5),(21,24),0.0281124 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.0234102 # DEPENDENCYPART_SIBL
(21,5),(21,26),0.023626 # DEPENDENCYPART_SIBL
(21,6),(21,7),0.0571263 # DEPENDENCYPART_SIBL
(21,6),(21,8),-0.0132108 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.309892 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.117003 # DEPENDENCYPART_SIBL
(21,6),(21,11),0.31337 # DEPENDENCYPART_SIBL
(21,6),(21,12),0.0285773 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.000337567 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.0618606 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.00061783 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.00688864 # DEPENDENCYPART_SIBL
(21,6),(21,19),0.00338816 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.309892 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.042711 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.0443296 # DEPENDENCYPART_SIBL
(21,6),(21,24),0.0295378 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.010898 # DEPENDENCYPART_SIBL
(21,6),(21,26),0.0442367 # DEPENDENCYPART_SIBL
(21,7),(21,8),-0.15527 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.379087 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.249777 # DEPENDENCYPART_SIBL
(21,7),(21,11),0.20017 # DEPENDENCYPART_SIBL
(21,7),(21,12),0.0334173 # DEPENDENCYPART_SIBL
(21,7),(21,13),-0.0988625 # DEPENDENCYPART_SIBL
(21,7),(21,14),0.00644942 # DEPENDENCYPART_SIBL
(21,7),(21,16),-0.098528 # DEPENDENCYPART_SIBL
(21,7),(21,17),0.197944 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.0985267 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.379087 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.096994 # DEPENDENCYPART_SIBL
(21,7),(21,23),0.107829 # DEPENDENCYPART_SIBL
(21,7),(21,24),0.306795 # DEPENDENCYPART_SIBL
(21,7),(21,25),0.136678 # DEPENDENCYPART_SIBL
(21,7),(21,26),0.24396 # DEPENDENCYPART_SIBL
(21,8),(21,9),-0.266162 # DEPENDENCYPART_SIBL
(21,8),(21,10),-0.144663 # DEPENDENCYPART_SIBL
