# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,8,10,14,14,0,14,17,15,14,20,18,20,21,24,22,24,14,
(14,8),(14,24),-0.0185468 # DEPENDENCYPART_SIBL
(14,8),(14,25),-0.00571794 # DEPENDENCYPART_SIBL
(14,8),(14,26),0.0268422 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0357656 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.364195 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.142597 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.155661 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0323345 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0115444 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0284304 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.0144629 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0292972 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.00427168 # DEPENDENCYPART_SIBL
(14,9),(14,24),0.00133641 # DEPENDENCYPART_SIBL
(14,9),(14,25),-0.0216215 # DEPENDENCYPART_SIBL
(14,9),(14,26),-0.475052 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.488769 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0858757 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.122299 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0293158 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0330533 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0167572 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.00765185 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.00979204 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.019956 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.0206102 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.0075462 # DEPENDENCYPART_SIBL
(14,10),(14,26),0.0232995 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.142597 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.155661 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0323345 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0115444 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0284304 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0144629 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0292972 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.00427168 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.00133641 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.0216215 # DEPENDENCYPART_SIBL
(14,11),(14,26),-0.475052 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.59741 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.128296 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.148565 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.12535 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.103639 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0223312 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.172946 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.108934 # DEPENDENCYPART_SIBL
(14,12),(14,25),-0.0238834 # DEPENDENCYPART_SIBL
(14,12),(14,26),0.10733 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.108613 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0374903 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.183817 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0723968 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.0510481 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.126417 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.059772 # DEPENDENCYPART_SIBL
(14,13),(14,25),0.0490283 # DEPENDENCYPART_SIBL
(14,13),(14,26),0.0918009 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0251262 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.188013 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.00365447 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0358388 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.209057 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.00369355 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0109836 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.00677415 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.106727 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.220293 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0125661 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.0737166 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.218332 # DEPENDENCYPART_SIBL
(14,17),(14,25),-0.00724657 # DEPENDENCYPART_SIBL
(14,17),(14,26),0.0594362 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.0465053 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0281386 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.0628815 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0487316 # DEPENDENCYPART_SIBL
(14,18),(14,25),-0.00402996 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.00899206 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0420107 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.028608 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.246429 # DEPENDENCYPART_SIBL
(14,20),(14,25),-0.0366912 # DEPENDENCYPART_SIBL
(14,20),(14,26),-0.00340299 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.132341 # DEPENDENCYPART_SIBL
(14,21),(14,24),-0.0477312 # DEPENDENCYPART_SIBL
(14,21),(14,25),-0.173605 # DEPENDENCYPART_SIBL
(14,21),(14,26),0.00322569 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.0151826 # DEPENDENCYPART_SIBL
(14,22),(14,25),0.0919435 # DEPENDENCYPART_SIBL
(14,22),(14,26),0.0200872 # DEPENDENCYPART_SIBL
(14,24),(14,25),-0.0325983 # DEPENDENCYPART_SIBL
(14,24),(14,26),-0.00614576 # DEPENDENCYPART_SIBL
(14,25),(14,26),0.0338775 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.257292 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0252872 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.248621 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.131894 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.0826487 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.113154 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.87061 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.26188 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.0448194 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.190918 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.302158 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.161456 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.259735 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.0506267 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.113156 # DEPENDENCYPART_SIBL
(17,2),(17,7),0.0463009 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.0833791 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.0278651 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.0540134 # DEPENDENCYPART_SIBL
(17,2),(17,20),0.000849295 # DEPENDENCYPART_SIBL
(17,2),(17,21),-0.0578198 # DEPENDENCYPART_SIBL
(17,2),(17,22),-0.0348319 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.00206093 # DEPENDENCYPART_SIBL
(17,2),(17,25),-0.0453833 # DEPENDENCYPART_SIBL
(17,2),(17,26),-0.0352454 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0276952 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0568451 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0343984 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.019996 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0341958 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.027599 # DEPENDENCYPART_SIBL
(17,7),(17,24),0.018636 # DEPENDENCYPART_SIBL
(17,7),(17,25),-0.0240668 # DEPENDENCYPART_SIBL
(17,7),(17,26),0.081041 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.0177583 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0123805 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0644898 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0204314 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0734068 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0630956 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.0103051 # DEPENDENCYPART_SIBL
(17,15),(17,26),0.0715284 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.256292 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.15191 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.115147 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.285725 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.157592 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0926651 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0446179 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0801674 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0682856 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.238398 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0780992 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.0887455 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.19395 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0205408 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0359397 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.00659297 # DEPENDENCYPART_SIBL
(17,20),(17,25),0.0202571 # DEPENDENCYPART_SIBL
(17,20),(17,26),0.00815929 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.0125384 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.000107418 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.0469159 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.015207 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0784321 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0750066 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.240032 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.0221927 # DEPENDENCYPART_SIBL
(17,24),(17,26),0.00221296 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.00369756 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0780406 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.00660988 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.00504565 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0696862 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.368913 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.10135 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.982452 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.211646 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.541371 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.201856 # DEPENDENCYPART_SIBL
(20,2),(20,7),0.0462759 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.0833577 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.0350951 # DEPENDENCYPART_SIBL
(20,2),(20,18),0.0752947 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.00694547 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0316985 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0390764 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.00759736 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.019262 # DEPENDENCYPART_SIBL
(20,2),(20,26),-0.0535105 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.0273795 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.0634089 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0122657 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.012026 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.00524479 # DEPENDENCYPART_SIBL
(20,7),(20,22),0.0259388 # DEPENDENCYPART_SIBL
(20,7),(20,24),0.0160128 # DEPENDENCYPART_SIBL
(20,7),(20,25),0.00488422 # DEPENDENCYPART_SIBL
(20,7),(20,26),0.0651487 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0243181 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.00272879 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0241062 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.00852379 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0717509 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0604766 # DEPENDENCYPART_SIBL
(20,15),(20,25),0.0186501 # DEPENDENCYPART_SIBL
(20,15),(20,26),0.055643 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0627355 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.624151 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0144598 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.246241 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.123831 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.00802222 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0528989 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.145855 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0131985 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0313153 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.00132001 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0030744 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0729393 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.209731 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0122154 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0766103 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.232212 # DEPENDENCYPART_SIBL
(20,19),(20,26),0.154699 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.00704753 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.00978222 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0267443 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0245408 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.079446 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0944759 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.208624 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0284403 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.0295083 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.0130314 # DEPENDENCYPART_SIBL
(21,15),(21,19),0.0182294 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.0622597 # DEPENDENCYPART_SIBL
(21,15),(21,24),0.0460117 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.00770637 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0321733 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0163072 # DEPENDENCYPART_SIBL
(21,19),(21,25),0.0868482 # DEPENDENCYPART_SIBL
(21,22),(21,24),0.0335708 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.211134 # DEPENDENCYPART_SIBL
(21,24),(21,25),0.0879013 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0189866 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0274675 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.444529 # DEPENDENCYPART_SIBL
(24,18),(24,19),0.145713 # DEPENDENCYPART_SIBL
(24,18),(24,21),-0.0367163 # DEPENDENCYPART_SIBL
(24,18),(24,23),0.13166 # DEPENDENCYPART_SIBL
(24,18),(24,25),-0.00651502 # DEPENDENCYPART_SIBL
(24,18),(24,26),0.0692151 # DEPENDENCYPART_SIBL
(24,19),(24,21),0.157466 # DEPENDENCYPART_SIBL
(24,19),(24,23),-0.787852 # DEPENDENCYPART_SIBL
(24,19),(24,25),0.192862 # DEPENDENCYPART_SIBL
(24,19),(24,26),0.129796 # DEPENDENCYPART_SIBL
(24,21),(24,23),-0.398659 # DEPENDENCYPART_SIBL
(24,21),(24,25),0.0225374 # DEPENDENCYPART_SIBL
(24,21),(24,26),0.0147679 # DEPENDENCYPART_SIBL
(24,23),(24,25),-0.00898189 # DEPENDENCYPART_SIBL
(24,23),(24,26),-0.0376921 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.0106449 # DEPENDENCYPART_SIBL
(25,15),(25,18),0.0953391 # DEPENDENCYPART_SIBL
(25,15),(25,23),0.0104726 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.0535136 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.418711 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.196987 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.118194 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.244856 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.525176 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.0727133 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.399316 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.245603 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.267989 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.171609 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.0287249 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.132687 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),0.213058 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),-0.328363 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),-0.0863444 # DEPENDENCYPART_GRANDPAR
(0,2),(2,20),0.2178 # DEPENDENCYPART_GRANDPAR
(0,2),(2,21),-0.257606 # DEPENDENCYPART_GRANDPAR
(0,2),(2,22),0.0883247 # DEPENDENCYPART_GRANDPAR
(0,2),(2,25),-0.29209 # DEPENDENCYPART_GRANDPAR
(0,2),(2,26),2.60722 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.40444 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.777998 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.0696873 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.119349 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.100229 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.397671 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.26999 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.266673 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.195996 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.0391167 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),0.122299 # DEPENDENCYPART_GRANDPAR
(0,6),(6,26),2.58895 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.762999 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.0644676 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.65042 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.066653 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.584996 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.599315 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.157252 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.0287249 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.132687 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),-0.0907235 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),0.0839456 # DEPENDENCYPART_GRANDPAR
(0,10),(10,26),2.6144 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.987663 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),-0.302668 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.395916 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.365324 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.776979 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-0.229032 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.702985 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),1.53438 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),0.268803 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),0.192297 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),-0.177445 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.122916 # DEPENDENCYPART_GRANDPAR
(0,13),(13,22),-0.204835 # DEPENDENCYPART_GRANDPAR
(0,13),(13,26),2.50829 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),0.133709 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),1.03546 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),-0.297957 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),0.0531152 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.439193 # DEPENDENCYPART_GRANDPAR
(0,14),(14,6),-0.34721 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.355501 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.312776 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),-0.778924 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.181236 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.704929 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),1.55096 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),0.210833 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),0.277931 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),-0.142873 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),-0.0208645 # DEPENDENCYPART_GRANDPAR
(0,14),(14,20),0.415678 # DEPENDENCYPART_GRANDPAR
(0,14),(14,21),-0.0906166 # DEPENDENCYPART_GRANDPAR
(0,14),(14,22),-0.108946 # DEPENDENCYPART_GRANDPAR
(0,14),(14,24),-0.209342 # DEPENDENCYPART_GRANDPAR
(0,14),(14,25),-0.0990562 # DEPENDENCYPART_GRANDPAR
(0,14),(14,26),2.61688 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.3428 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.279349 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.915067 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.603621 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-1.30449 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.247135 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.988248 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.586531 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.977375 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.611635 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.5307 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.485512 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.601386 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-1.56231 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-0.629898 # DEPENDENCYPART_GRANDPAR
(1,2),(2,20),-1.62723 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-1.00412 # DEPENDENCYPART_GRANDPAR
(1,2),(2,22),-0.590955 # DEPENDENCYPART_GRANDPAR
(1,2),(2,25),-1.0376 # DEPENDENCYPART_GRANDPAR
(1,2),(2,26),-0.781366 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.38221 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.634806 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.970214 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.620679 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-1.33819 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.357683 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.688867 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.713971 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.653977 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.48397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.564175 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-1.06529 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.522174 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.0468519 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.0613445 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.0131743 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),0.00785738 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.173474 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.103556 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.0985188 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.0208208 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.0140659 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.0580827 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.226193 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.023969 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.134327 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),0.0938866 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.23408 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.218629 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.295072 # DEPENDENCYPART_GRANDPAR
(2,4),(4,26),-1.6129 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-1.10389 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.671381 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.242002 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.0687585 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.0524516 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.18762 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.0110592 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.0964139 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.0588584 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.235634 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.220181 # DEPENDENCYPART_GRANDPAR
