# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,17,17,14,9,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(2,21),(21,19),0.0299829 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),0.205974 # DEPENDENCYPART_GRANDPAR
(2,21),(21,22),-0.321851 # DEPENDENCYPART_GRANDPAR
(2,21),(21,23),-0.197465 # DEPENDENCYPART_GRANDPAR
(2,21),(21,24),-2.0333 # DEPENDENCYPART_GRANDPAR
(2,21),(21,26),-0.363654 # DEPENDENCYPART_GRANDPAR
(2,21),(21,27),-0.319981 # DEPENDENCYPART_GRANDPAR
(2,21),(21,28),-0.215099 # DEPENDENCYPART_GRANDPAR
(2,21),(21,29),0.198419 # DEPENDENCYPART_GRANDPAR
(2,21),(21,30),-0.278649 # DEPENDENCYPART_GRANDPAR
(2,21),(21,31),-0.460695 # DEPENDENCYPART_GRANDPAR
(2,21),(21,33),-0.229257 # DEPENDENCYPART_GRANDPAR
(2,22),(22,20),0.0921601 # DEPENDENCYPART_GRANDPAR
(2,22),(22,23),0.206045 # DEPENDENCYPART_GRANDPAR
(2,22),(22,24),-1.97319 # DEPENDENCYPART_GRANDPAR
(2,22),(22,26),0.00274496 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.324035 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.37803 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,1),-0.0372813 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.29758 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.136998 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-1.02026 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-1.8353 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.70144 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.617438 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.667571 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.733854 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-1.48323 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-1.10166 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-1.02364 # DEPENDENCYPART_GRANDPAR
(3,2),(2,17),-0.951524 # DEPENDENCYPART_GRANDPAR
(3,2),(2,18),-1.42067 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-0.981017 # DEPENDENCYPART_GRANDPAR
(3,2),(2,21),-1.16981 # DEPENDENCYPART_GRANDPAR
(3,2),(2,22),-1.32499 # DEPENDENCYPART_GRANDPAR
(3,2),(2,36),-2.73255 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-1.18328 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),-0.205802 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.236244 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.44809 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.569917 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.239929 # DEPENDENCYPART_GRANDPAR
(3,4),(4,36),-1.89571 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-1.18328 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-1.29015 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.631106 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,5),-0.0523274 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.874735 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.0225131 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.451469 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),0.401598 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),0.211282 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.555504 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.225517 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.605312 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.00779353 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.601489 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),0.118746 # DEPENDENCYPART_GRANDPAR
(3,7),(7,21),-0.226098 # DEPENDENCYPART_GRANDPAR
(3,7),(7,22),-0.321188 # DEPENDENCYPART_GRANDPAR
(3,7),(7,24),-0.948127 # DEPENDENCYPART_GRANDPAR
(3,7),(7,26),-0.149529 # DEPENDENCYPART_GRANDPAR
(3,7),(7,27),-1.28687 # DEPENDENCYPART_GRANDPAR
(3,7),(7,28),-0.00479982 # DEPENDENCYPART_GRANDPAR
(3,7),(7,29),-0.133075 # DEPENDENCYPART_GRANDPAR
(3,7),(7,36),-1.89098 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.589586 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.704346 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-1.2908 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.559896 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.262984 # DEPENDENCYPART_GRANDPAR
(4,7),(7,5),0.410489 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.317794 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.781225 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.051749 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0662747 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.338117 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.0948583 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.161607 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-1.61703 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.402566 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.213697 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.306276 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.467472 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.314175 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-2.39093 # DEPENDENCYPART_GRANDPAR
(4,7),(7,26),-0.776433 # DEPENDENCYPART_GRANDPAR
(4,7),(7,27),-0.505132 # DEPENDENCYPART_GRANDPAR
(4,7),(7,28),-0.405396 # DEPENDENCYPART_GRANDPAR
(4,7),(7,29),-0.184102 # DEPENDENCYPART_GRANDPAR
(4,7),(7,36),-1.92467 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-1.32005 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.703889 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-0.496411 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.763594 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.384595 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),-0.0635853 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.687645 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.0274226 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.191143 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.0109082 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.0457514 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-1.35402 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),-0.254913 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.176242 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),-0.14566 # DEPENDENCYPART_GRANDPAR
(4,9),(9,21),-0.319672 # DEPENDENCYPART_GRANDPAR
(4,9),(9,28),-0.205733 # DEPENDENCYPART_GRANDPAR
(4,9),(9,29),0.0310479 # DEPENDENCYPART_GRANDPAR
(4,9),(9,32),-0.145774 # DEPENDENCYPART_GRANDPAR
(4,9),(9,36),-1.94205 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),-0.0940858 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.155803 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-1.40952 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),-0.289136 # DEPENDENCYPART_GRANDPAR
(4,14),(14,5),0.444525 # DEPENDENCYPART_GRANDPAR
(4,14),(14,10),0.0736415 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.0860552 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),0.0749251 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),-1.39507 # DEPENDENCYPART_GRANDPAR
(4,14),(14,17),-0.275066 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),-0.251949 # DEPENDENCYPART_GRANDPAR
(4,14),(14,19),-0.313181 # DEPENDENCYPART_GRANDPAR
(4,14),(14,21),-0.339971 # DEPENDENCYPART_GRANDPAR
(4,14),(14,22),-0.402282 # DEPENDENCYPART_GRANDPAR
(4,14),(14,26),-0.647588 # DEPENDENCYPART_GRANDPAR
(4,14),(14,28),-0.350456 # DEPENDENCYPART_GRANDPAR
(4,14),(14,29),-0.131817 # DEPENDENCYPART_GRANDPAR
(4,14),(14,31),-0.877994 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-1.54894 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.36145 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-1.14935 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.11626 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.17044 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.485469 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.502041 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.531976 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-1.33704 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-1.23992 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-1.16474 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.941516 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-1.52378 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.805799 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.743115 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-1.58928 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.820074 # DEPENDENCYPART_GRANDPAR
(6,7),(7,24),-1.0023 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),-1.72727 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-1.45795 # DEPENDENCYPART_GRANDPAR
(6,7),(7,28),-0.797288 # DEPENDENCYPART_GRANDPAR
(6,7),(7,29),-0.608955 # DEPENDENCYPART_GRANDPAR
(6,7),(7,36),-1.22111 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),-0.419872 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),-1.27489 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),-1.20467 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),-1.11299 # DEPENDENCYPART_GRANDPAR
(6,10),(10,17),-1.46208 # DEPENDENCYPART_GRANDPAR
(6,10),(10,18),-0.977363 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),0.102973 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),0.272061 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.745259 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.0906195 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.468824 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.212896 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),0.238699 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.43975 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,9),-0.52206 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.388678 # DEPENDENCYPART_GRANDPAR
(7,2),(2,12),-0.821253 # DEPENDENCYPART_GRANDPAR
(7,2),(2,13),-0.966463 # DEPENDENCYPART_GRANDPAR
(7,2),(2,14),-0.880981 # DEPENDENCYPART_GRANDPAR
(7,2),(2,15),-1.55564 # DEPENDENCYPART_GRANDPAR
(7,2),(2,17),-0.826081 # DEPENDENCYPART_GRANDPAR
(7,2),(2,18),-1.05509 # DEPENDENCYPART_GRANDPAR
(7,2),(2,19),-0.813041 # DEPENDENCYPART_GRANDPAR
(7,2),(2,21),-1.06383 # DEPENDENCYPART_GRANDPAR
(7,2),(2,22),-0.702398 # DEPENDENCYPART_GRANDPAR
(7,2),(2,36),-2.469 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.756912 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),0.0273559 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.333573 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),0.0269877 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.50577 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,7),-1.46916 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,10),-0.638623 # DEPENDENCYPART_GRANDPAR
(7,8),(8,9),0.104811 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.164873 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-1.53615 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-1.19049 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.927841 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-1.37662 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.908763 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.604326 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),1.749 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.242893 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.081636 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),-0.137078 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.0426977 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.894623 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),0.0780088 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.142872 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),0.000685867 # DEPENDENCYPART_GRANDPAR
(7,9),(9,21),-0.159682 # DEPENDENCYPART_GRANDPAR
(7,9),(9,28),-0.114536 # DEPENDENCYPART_GRANDPAR
(7,9),(9,29),0.25773 # DEPENDENCYPART_GRANDPAR
(7,9),(9,32),0.0583184 # DEPENDENCYPART_GRANDPAR
(7,9),(9,36),-1.68798 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.257467 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),0.284862 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.153922 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.0748652 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),0.279707 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),-0.249037 # DEPENDENCYPART_GRANDPAR
(7,12),(12,2),-1.0465 # DEPENDENCYPART_GRANDPAR
(7,12),(12,6),-0.871355 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.221275 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),-0.43506 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.22926 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),-0.166786 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),-1.1619 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.0690517 # DEPENDENCYPART_GRANDPAR
(7,12),(12,18),-0.184492 # DEPENDENCYPART_GRANDPAR
(7,12),(12,19),-0.168581 # DEPENDENCYPART_GRANDPAR
(7,12),(12,21),-0.306889 # DEPENDENCYPART_GRANDPAR
(7,12),(12,22),-0.00623282 # DEPENDENCYPART_GRANDPAR
(7,12),(12,24),-1.77016 # DEPENDENCYPART_GRANDPAR
(7,12),(12,27),-0.419673 # DEPENDENCYPART_GRANDPAR
(7,12),(12,36),-1.67476 # DEPENDENCYPART_GRANDPAR
(7,13),(13,11),-0.414946 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),-0.156078 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),-0.953448 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),-0.259093 # DEPENDENCYPART_GRANDPAR
(7,14),(14,5),-0.823839 # DEPENDENCYPART_GRANDPAR
(7,14),(14,10),0.331645 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),-0.406915 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),-0.0545729 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-0.938997 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),0.0537482 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),-0.221906 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.170163 # DEPENDENCYPART_GRANDPAR
(7,14),(14,21),-0.184089 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),-0.0896547 # DEPENDENCYPART_GRANDPAR
(7,14),(14,26),-0.324812 # DEPENDENCYPART_GRANDPAR
(7,14),(14,28),-0.262587 # DEPENDENCYPART_GRANDPAR
(7,14),(14,29),0.0915382 # DEPENDENCYPART_GRANDPAR
(7,14),(14,31),-0.438592 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),-0.1289 # DEPENDENCYPART_GRANDPAR
(7,17),(17,2),-1.0465 # DEPENDENCYPART_GRANDPAR
(7,17),(17,5),-0.802217 # DEPENDENCYPART_GRANDPAR
(7,17),(17,7),-0.675402 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,17),(17,9),0.256854 # DEPENDENCYPART_GRANDPAR
(7,17),(17,10),0.221477 # DEPENDENCYPART_GRANDPAR
(7,17),(17,11),-0.435014 # DEPENDENCYPART_GRANDPAR
(7,17),(17,13),-0.265536 # DEPENDENCYPART_GRANDPAR
(7,17),(17,14),-0.174904 # DEPENDENCYPART_GRANDPAR
(7,17),(17,15),-0.642024 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),0.119019 # DEPENDENCYPART_GRANDPAR
(7,17),(17,18),-0.184388 # DEPENDENCYPART_GRANDPAR
(7,17),(17,19),-0.168475 # DEPENDENCYPART_GRANDPAR
(7,17),(17,21),-0.306673 # DEPENDENCYPART_GRANDPAR
(7,17),(17,22),-0.00372791 # DEPENDENCYPART_GRANDPAR
(7,17),(17,24),-1.77006 # DEPENDENCYPART_GRANDPAR
(7,17),(17,26),-0.44874 # DEPENDENCYPART_GRANDPAR
(7,17),(17,27),-0.420341 # DEPENDENCYPART_GRANDPAR
(7,17),(17,29),0.0340351 # DEPENDENCYPART_GRANDPAR
(7,19),(19,2),-1.1966 # DEPENDENCYPART_GRANDPAR
(7,19),(19,5),-0.917093 # DEPENDENCYPART_GRANDPAR
(7,19),(19,7),-0.598143 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,19),(19,8),1.68679 # DEPENDENCYPART_GRANDPAR
(7,19),(19,9),0.265052 # DEPENDENCYPART_GRANDPAR
(7,19),(19,10),0.168022 # DEPENDENCYPART_GRANDPAR
(7,19),(19,12),0.0201604 # DEPENDENCYPART_GRANDPAR
(7,19),(19,13),-0.190154 # DEPENDENCYPART_GRANDPAR
(7,19),(19,14),-0.087144 # DEPENDENCYPART_GRANDPAR
(7,19),(19,15),0.360479 # DEPENDENCYPART_GRANDPAR
(7,19),(19,16),-0.145683 # DEPENDENCYPART_GRANDPAR
(7,19),(19,17),0.0155326 # DEPENDENCYPART_GRANDPAR
(7,19),(19,18),0.0359417 # DEPENDENCYPART_GRANDPAR
(7,19),(19,21),-0.1362 # DEPENDENCYPART_GRANDPAR
(7,19),(19,22),0.00016832 # DEPENDENCYPART_GRANDPAR
(7,19),(19,23),-0.241868 # DEPENDENCYPART_GRANDPAR
(7,19),(19,24),-1.45198 # DEPENDENCYPART_GRANDPAR
(7,19),(19,26),-0.274243 # DEPENDENCYPART_GRANDPAR
(7,19),(19,27),-0.284822 # DEPENDENCYPART_GRANDPAR
(7,19),(19,28),-0.137105 # DEPENDENCYPART_GRANDPAR
(7,19),(19,29),0.235391 # DEPENDENCYPART_GRANDPAR
(7,19),(19,30),-0.247129 # DEPENDENCYPART_GRANDPAR
(7,19),(19,31),-0.391361 # DEPENDENCYPART_GRANDPAR
(7,19),(19,32),0.0300279 # DEPENDENCYPART_GRANDPAR
(7,19),(19,35),-0.406134 # DEPENDENCYPART_GRANDPAR
(7,19),(19,36),-1.62125 # DEPENDENCYPART_GRANDPAR
(7,21),(21,16),0.11924 # DEPENDENCYPART_GRANDPAR
(7,21),(21,18),-0.0378647 # DEPENDENCYPART_GRANDPAR
(7,21),(21,19),-0.0521889 # DEPENDENCYPART_GRANDPAR
(7,21),(21,20),-0.144213 # DEPENDENCYPART_GRANDPAR
(7,21),(21,22),-0.00257002 # DEPENDENCYPART_GRANDPAR
(7,21),(21,23),-0.446314 # DEPENDENCYPART_GRANDPAR
(7,21),(21,24),-1.77006 # DEPENDENCYPART_GRANDPAR
(7,21),(21,26),-0.451291 # DEPENDENCYPART_GRANDPAR
(7,21),(21,27),-0.420143 # DEPENDENCYPART_GRANDPAR
(7,21),(21,28),-0.322745 # DEPENDENCYPART_GRANDPAR
(7,21),(21,29),0.0340344 # DEPENDENCYPART_GRANDPAR
(7,21),(21,30),-0.379029 # DEPENDENCYPART_GRANDPAR
(7,21),(21,31),-0.563727 # DEPENDENCYPART_GRANDPAR
(7,21),(21,33),-0.0987504 # DEPENDENCYPART_GRANDPAR
(7,22),(22,20),-0.252353 # DEPENDENCYPART_GRANDPAR
(7,22),(22,23),-0.0937478 # DEPENDENCYPART_GRANDPAR
(7,22),(22,24),-1.74402 # DEPENDENCYPART_GRANDPAR
(7,22),(22,26),-0.135836 # DEPENDENCYPART_GRANDPAR
(7,24),(24,26),-0.507429 # DEPENDENCYPART_GRANDPAR
(7,26),(26,20),-0.134763 # DEPENDENCYPART_GRANDPAR
(7,26),(26,22),-0.0974836 # DEPENDENCYPART_GRANDPAR
(7,26),(26,24),-1.24888 # DEPENDENCYPART_GRANDPAR
(7,26),(26,25),0.537746 # DEPENDENCYPART_GRANDPAR
(7,26),(26,27),-0.416342 # DEPENDENCYPART_GRANDPAR
(7,26),(26,28),-0.32072 # DEPENDENCYPART_GRANDPAR
(7,26),(26,29),0.03606 # DEPENDENCYPART_GRANDPAR
(7,26),(26,30),-0.375228 # DEPENDENCYPART_GRANDPAR
(7,26),(26,31),-0.548251 # DEPENDENCYPART_GRANDPAR
(7,26),(26,32),-0.0883863 # DEPENDENCYPART_GRANDPAR
(7,26),(26,33),-0.111613 # DEPENDENCYPART_GRANDPAR
(7,26),(26,35),-0.562192 # DEPENDENCYPART_GRANDPAR
(7,27),(27,25),0.524837 # DEPENDENCYPART_GRANDPAR
(7,27),(27,28),-0.263039 # DEPENDENCYPART_GRANDPAR
(7,27),(27,30),-0.372275 # DEPENDENCYPART_GRANDPAR
(7,28),(28,2),-1.19049 # DEPENDENCYPART_GRANDPAR
(7,28),(28,5),-0.908763 # DEPENDENCYPART_GRANDPAR
(7,28),(28,7),-0.621333 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,28),(28,8),1.74291 # DEPENDENCYPART_GRANDPAR
(7,28),(28,9),0.322189 # DEPENDENCYPART_GRANDPAR
(7,28),(28,15),0.180837 # DEPENDENCYPART_GRANDPAR
(7,28),(28,17),-0.00765738 # DEPENDENCYPART_GRANDPAR
(7,28),(28,19),0.0415132 # DEPENDENCYPART_GRANDPAR
(7,28),(28,21),-0.246247 # DEPENDENCYPART_GRANDPAR
(7,28),(28,23),-0.421288 # DEPENDENCYPART_GRANDPAR
(7,28),(28,24),-0.427424 # DEPENDENCYPART_GRANDPAR
(7,28),(28,25),0.308851 # DEPENDENCYPART_GRANDPAR
(7,28),(28,26),-0.380143 # DEPENDENCYPART_GRANDPAR
(7,28),(28,27),-0.432187 # DEPENDENCYPART_GRANDPAR
(7,28),(28,29),0.253228 # DEPENDENCYPART_GRANDPAR
(7,28),(28,30),-0.27894 # DEPENDENCYPART_GRANDPAR
(7,28),(28,31),-0.408952 # DEPENDENCYPART_GRANDPAR
(7,28),(28,32),0.0594604 # DEPENDENCYPART_GRANDPAR
(7,28),(28,33),-0.0718265 # DEPENDENCYPART_GRANDPAR
(7,28),(28,35),-0.423724 # DEPENDENCYPART_GRANDPAR
(7,28),(28,36),-1.71098 # DEPENDENCYPART_GRANDPAR
(7,29),(29,2),-1.19049 # DEPENDENCYPART_GRANDPAR
(7,29),(29,5),-0.908763 # DEPENDENCYPART_GRANDPAR
(7,29),(29,7),-0.596371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,29),(29,8),1.75269 # DEPENDENCYPART_GRANDPAR
(7,29),(29,9),0.32177 # DEPENDENCYPART_GRANDPAR
(7,29),(29,12),0.0219326 # DEPENDENCYPART_GRANDPAR
(7,29),(29,13),-0.239618 # DEPENDENCYPART_GRANDPAR
(7,29),(29,14),-0.136609 # DEPENDENCYPART_GRANDPAR
(7,29),(29,15),0.199329 # DEPENDENCYPART_GRANDPAR
(7,29),(29,17),0.0173047 # DEPENDENCYPART_GRANDPAR
(7,29),(29,19),0.0410956 # DEPENDENCYPART_GRANDPAR
(7,29),(29,21),-0.221284 # DEPENDENCYPART_GRANDPAR
(7,29),(29,22),-0.06905 # DEPENDENCYPART_GRANDPAR
(7,29),(29,23),-0.396606 # DEPENDENCYPART_GRANDPAR
(7,29),(29,24),-0.408932 # DEPENDENCYPART_GRANDPAR
(7,29),(29,25),0.31189 # DEPENDENCYPART_GRANDPAR
(7,29),(29,26),-0.355181 # DEPENDENCYPART_GRANDPAR
(7,29),(29,27),-0.425632 # DEPENDENCYPART_GRANDPAR
(7,29),(29,28),-0.026614 # DEPENDENCYPART_GRANDPAR
(7,29),(29,30),-0.278917 # DEPENDENCYPART_GRANDPAR
(7,29),(29,31),-0.394589 # DEPENDENCYPART_GRANDPAR
(7,29),(29,32),0.0661321 # DEPENDENCYPART_GRANDPAR
(7,29),(29,33),-0.0543838 # DEPENDENCYPART_GRANDPAR
(7,29),(29,35),-0.409361 # DEPENDENCYPART_GRANDPAR
(7,29),(29,36),-1.70375 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-1.11215 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-0.822621 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-1.07377 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-1.09782 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.823349 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.913829 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),0.138772 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
