# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(12,16),(12,22),0.560691 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.136981 # DEPENDENCYPART_SIBL
(12,16),(12,24),0.653982 # DEPENDENCYPART_SIBL
(12,16),(12,25),-0.408285 # DEPENDENCYPART_SIBL
(12,16),(12,27),0.67369 # DEPENDENCYPART_SIBL
(12,16),(12,29),0.0024635 # DEPENDENCYPART_SIBL
(12,16),(12,31),0.134793 # DEPENDENCYPART_SIBL
(12,16),(12,32),0.0206646 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0406255 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0485405 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.155141 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.11297 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.117696 # DEPENDENCYPART_SIBL
(12,18),(12,24),-0.0632208 # DEPENDENCYPART_SIBL
(12,18),(12,25),-0.0390425 # DEPENDENCYPART_SIBL
(12,18),(12,27),-0.0520176 # DEPENDENCYPART_SIBL
(12,18),(12,29),0.0126303 # DEPENDENCYPART_SIBL
(12,18),(12,31),-0.0636559 # DEPENDENCYPART_SIBL
(12,18),(12,32),-0.0558509 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.36751 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0030687 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.00665957 # DEPENDENCYPART_SIBL
(12,19),(12,23),-0.0993677 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0435973 # DEPENDENCYPART_SIBL
(12,19),(12,25),0.213074 # DEPENDENCYPART_SIBL
(12,19),(12,27),0.035717 # DEPENDENCYPART_SIBL
(12,19),(12,29),-0.14614 # DEPENDENCYPART_SIBL
(12,19),(12,31),-0.0145247 # DEPENDENCYPART_SIBL
(12,19),(12,32),-0.0658348 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.169992 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.577601 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.209771 # DEPENDENCYPART_SIBL
(12,20),(12,24),0.646029 # DEPENDENCYPART_SIBL
(12,20),(12,25),-0.144299 # DEPENDENCYPART_SIBL
(12,20),(12,27),0.657468 # DEPENDENCYPART_SIBL
(12,20),(12,29),0.0741145 # DEPENDENCYPART_SIBL
(12,20),(12,31),0.156774 # DEPENDENCYPART_SIBL
(12,20),(12,32),0.132069 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0547704 # DEPENDENCYPART_SIBL
(12,21),(12,23),0.00659053 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0195224 # DEPENDENCYPART_SIBL
(12,21),(12,25),-0.0198526 # DEPENDENCYPART_SIBL
(12,21),(12,27),-0.016176 # DEPENDENCYPART_SIBL
(12,21),(12,29),0.0235061 # DEPENDENCYPART_SIBL
(12,21),(12,31),0.0594255 # DEPENDENCYPART_SIBL
(12,21),(12,32),-0.0205653 # DEPENDENCYPART_SIBL
(12,22),(12,23),-0.0411959 # DEPENDENCYPART_SIBL
(12,22),(12,24),-0.052941 # DEPENDENCYPART_SIBL
(12,22),(12,25),-0.00565887 # DEPENDENCYPART_SIBL
(12,22),(12,27),-0.0511769 # DEPENDENCYPART_SIBL
(12,22),(12,29),-0.0123516 # DEPENDENCYPART_SIBL
(12,22),(12,31),-0.0267531 # DEPENDENCYPART_SIBL
(12,22),(12,32),-0.0540549 # DEPENDENCYPART_SIBL
(12,23),(12,24),-0.0280425 # DEPENDENCYPART_SIBL
(12,23),(12,25),0.00324772 # DEPENDENCYPART_SIBL
(12,23),(12,27),-0.0387002 # DEPENDENCYPART_SIBL
(12,23),(12,29),-0.194011 # DEPENDENCYPART_SIBL
(12,23),(12,31),-0.116098 # DEPENDENCYPART_SIBL
(12,23),(12,32),-0.0207614 # DEPENDENCYPART_SIBL
(12,24),(12,25),0.0223413 # DEPENDENCYPART_SIBL
(12,24),(12,27),-0.020931 # DEPENDENCYPART_SIBL
(12,24),(12,29),0.020927 # DEPENDENCYPART_SIBL
(12,24),(12,31),-0.00468489 # DEPENDENCYPART_SIBL
(12,24),(12,32),0.0232979 # DEPENDENCYPART_SIBL
(12,25),(12,27),0.67369 # DEPENDENCYPART_SIBL
(12,25),(12,29),0.0024635 # DEPENDENCYPART_SIBL
(12,25),(12,31),0.134793 # DEPENDENCYPART_SIBL
(12,25),(12,32),0.0206646 # DEPENDENCYPART_SIBL
(12,27),(12,29),0.0295213 # DEPENDENCYPART_SIBL
(12,27),(12,31),0.00474197 # DEPENDENCYPART_SIBL
(12,27),(12,32),0.0395184 # DEPENDENCYPART_SIBL
(12,29),(12,31),-0.0391812 # DEPENDENCYPART_SIBL
(12,29),(12,32),-0.00490064 # DEPENDENCYPART_SIBL
(12,31),(12,32),0.0198467 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0865074 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0124054 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.03773 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.341435 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.49856 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.349265 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.0403842 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.168289 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.21731 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.239873 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0333489 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0353542 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0418591 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.00189505 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.0204201 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.146515 # DEPENDENCYPART_SIBL
(15,6),(15,23),-0.0380616 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.106669 # DEPENDENCYPART_SIBL
(15,6),(15,27),-0.0998793 # DEPENDENCYPART_SIBL
(15,6),(15,31),-0.11741 # DEPENDENCYPART_SIBL
(15,6),(15,32),0.0214093 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.00353486 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.040685 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0213103 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.0560942 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0726006 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.00545832 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.0392694 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0293813 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0307304 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.0060661 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.00689529 # DEPENDENCYPART_SIBL
(15,8),(15,27),0.00868132 # DEPENDENCYPART_SIBL
(15,8),(15,31),0.0079156 # DEPENDENCYPART_SIBL
(15,8),(15,32),0.05416 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.217307 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.239869 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0333729 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0352704 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0438634 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.00188305 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0204201 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.146878 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.0442288 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.107032 # DEPENDENCYPART_SIBL
(15,12),(15,27),-0.100242 # DEPENDENCYPART_SIBL
(15,12),(15,31),-0.11741 # DEPENDENCYPART_SIBL
(15,12),(15,32),0.0175452 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.866471 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0739614 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.044711 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0261193 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0669477 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0326822 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.148461 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.000350283 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0757411 # DEPENDENCYPART_SIBL
(15,13),(15,27),-0.064895 # DEPENDENCYPART_SIBL
(15,13),(15,31),-0.0523825 # DEPENDENCYPART_SIBL
(15,13),(15,32),-0.00494141 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.02571 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0864576 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0557417 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0522568 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0286206 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0116933 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.152845 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.0620546 # DEPENDENCYPART_SIBL
(15,14),(15,27),0.0765018 # DEPENDENCYPART_SIBL
(15,14),(15,31),-0.043249 # DEPENDENCYPART_SIBL
(15,14),(15,32),-0.0251179 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.619355 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.029907 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0865346 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.668863 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0905653 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.25735 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.132505 # DEPENDENCYPART_SIBL
(15,16),(15,27),0.137198 # DEPENDENCYPART_SIBL
(15,16),(15,31),0.30578 # DEPENDENCYPART_SIBL
(15,16),(15,32),0.00500387 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0277139 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0217272 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.00299709 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0129889 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0366649 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.00657708 # DEPENDENCYPART_SIBL
(15,18),(15,27),0.00835416 # DEPENDENCYPART_SIBL
(15,18),(15,31),0.0512113 # DEPENDENCYPART_SIBL
(15,18),(15,32),-0.01389 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.316182 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.119276 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0164614 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0150773 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.000932735 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.00666456 # DEPENDENCYPART_SIBL
(15,19),(15,31),0.0395793 # DEPENDENCYPART_SIBL
(15,19),(15,32),0.0304499 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.358766 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.182682 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.135026 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.210537 # DEPENDENCYPART_SIBL
(15,20),(15,27),0.211852 # DEPENDENCYPART_SIBL
(15,20),(15,31),0.175228 # DEPENDENCYPART_SIBL
(15,20),(15,32),0.0667465 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.02046 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0179829 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0108525 # DEPENDENCYPART_SIBL
(15,21),(15,27),-0.0128269 # DEPENDENCYPART_SIBL
(15,21),(15,31),0.0348416 # DEPENDENCYPART_SIBL
(15,21),(15,32),-0.00814292 # DEPENDENCYPART_SIBL
(15,22),(15,23),0.0139308 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0670573 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.0701407 # DEPENDENCYPART_SIBL
(15,22),(15,31),0.0126125 # DEPENDENCYPART_SIBL
(15,22),(15,32),-0.00481352 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.00517044 # DEPENDENCYPART_SIBL
(15,23),(15,27),-0.0101421 # DEPENDENCYPART_SIBL
(15,23),(15,31),0.0845215 # DEPENDENCYPART_SIBL
(15,23),(15,32),0.00667935 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.0499004 # DEPENDENCYPART_SIBL
(15,24),(15,31),0.0266943 # DEPENDENCYPART_SIBL
(15,24),(15,32),0.0424667 # DEPENDENCYPART_SIBL
(15,27),(15,31),0.0257937 # DEPENDENCYPART_SIBL
(15,27),(15,32),0.0453063 # DEPENDENCYPART_SIBL
(15,31),(15,32),0.0471729 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.00942596 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.0394581 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.16829 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.213193 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.235755 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.669264 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0821726 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0346961 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.00711819 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.0214766 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.147344 # DEPENDENCYPART_SIBL
(18,6),(18,23),-0.0351687 # DEPENDENCYPART_SIBL
(18,6),(18,24),-0.107498 # DEPENDENCYPART_SIBL
(18,6),(18,25),-0.0226438 # DEPENDENCYPART_SIBL
(18,6),(18,31),-0.11741 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.00352447 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.0448141 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0254393 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.504357 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.103712 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0106564 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0425284 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0256532 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0347709 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.00514806 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.00285478 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0648349 # DEPENDENCYPART_SIBL
(18,8),(18,31),0.00595197 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.213189 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.235751 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.669261 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0821693 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0367004 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0071062 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0214766 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.147706 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0413359 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.10786 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.0226678 # DEPENDENCYPART_SIBL
(18,12),(18,31),-0.11741 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.870596 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0499152 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.864351 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.00953364 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0346523 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0527317 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.127506 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0275018 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0547862 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.0301726 # DEPENDENCYPART_SIBL
(18,13),(18,31),-0.0310629 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0398793 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.795917 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.020069 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0199415 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0486899 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.00928108 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.180028 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0830289 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.0180986 # DEPENDENCYPART_SIBL
(18,14),(18,31),-0.0219095 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.136846 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.00676502 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0104141 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0113679 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0349674 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.109498 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.00133776 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0494365 # DEPENDENCYPART_SIBL
(18,16),(18,31),-0.053535 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0440495 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0316942 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.168774 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0248321 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.450313 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0484922 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0934978 # DEPENDENCYPART_SIBL
(18,17),(18,31),0.114964 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.273954 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0940369 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0645692 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0417525 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.047175 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.273459 # DEPENDENCYPART_SIBL
(18,19),(18,31),0.0143436 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.362672 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.168391 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.136484 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.196246 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.155545 # DEPENDENCYPART_SIBL
(18,20),(18,31),0.179136 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.031629 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0195167 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0220215 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.00982493 # DEPENDENCYPART_SIBL
(18,21),(18,31),0.0347514 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0235526 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0669379 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.0729938 # DEPENDENCYPART_SIBL
(18,22),(18,31),0.0237346 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0184963 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.00797516 # DEPENDENCYPART_SIBL
(18,23),(18,31),0.074526 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0917314 # DEPENDENCYPART_SIBL
(18,24),(18,31),0.0378164 # DEPENDENCYPART_SIBL
(18,25),(18,31),0.31365 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0591284 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.00218348 # DEPENDENCYPART_SIBL
(21,20),(21,27),0.00011217 # DEPENDENCYPART_SIBL
(21,23),(21,24),0.0017956 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.00790854 # DEPENDENCYPART_SIBL
(21,24),(21,27),-0.11968 # DEPENDENCYPART_SIBL
(22,2),(22,4),0.122492 # DEPENDENCYPART_SIBL
(22,2),(22,15),0.0295691 # DEPENDENCYPART_SIBL
(22,2),(22,18),0.0329601 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.368522 # DEPENDENCYPART_SIBL
(22,2),(22,20),0.0962178 # DEPENDENCYPART_SIBL
(22,2),(22,21),-0.0610472 # DEPENDENCYPART_SIBL
(22,2),(22,23),-0.0445409 # DEPENDENCYPART_SIBL
(22,2),(22,24),-0.0244259 # DEPENDENCYPART_SIBL
(22,2),(22,25),-0.027663 # DEPENDENCYPART_SIBL
(22,2),(22,27),-0.00245653 # DEPENDENCYPART_SIBL
(22,2),(22,29),-0.0491338 # DEPENDENCYPART_SIBL
(22,2),(22,32),-0.487892 # DEPENDENCYPART_SIBL
(22,4),(22,15),0.032435 # DEPENDENCYPART_SIBL
(22,4),(22,18),0.043173 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.493906 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.433779 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.00368136 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.0763929 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.0106253 # DEPENDENCYPART_SIBL
(22,4),(22,25),-0.0200334 # DEPENDENCYPART_SIBL
(22,4),(22,27),0.00311982 # DEPENDENCYPART_SIBL
(22,4),(22,29),0.0849991 # DEPENDENCYPART_SIBL
(22,4),(22,32),-0.495634 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.731563 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.490763 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.0734632 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.0118987 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0397648 # DEPENDENCYPART_SIBL
(22,15),(22,24),0.00481456 # DEPENDENCYPART_SIBL
(22,15),(22,25),0.0252088 # DEPENDENCYPART_SIBL
(22,15),(22,27),0.0148478 # DEPENDENCYPART_SIBL
(22,15),(22,29),-0.00630272 # DEPENDENCYPART_SIBL
(22,15),(22,32),0.009661 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.480086 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0631305 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.00298049 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.0436276 # DEPENDENCYPART_SIBL
(22,18),(22,24),0.00542034 # DEPENDENCYPART_SIBL
(22,18),(22,25),0.0275097 # DEPENDENCYPART_SIBL
(22,18),(22,27),0.0154536 # DEPENDENCYPART_SIBL
(22,18),(22,29),-0.00925609 # DEPENDENCYPART_SIBL
(22,18),(22,32),0.0187672 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.0962178 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.0610472 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0445409 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0244259 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.027663 # DEPENDENCYPART_SIBL
(22,19),(22,27),-0.00245653 # DEPENDENCYPART_SIBL
(22,19),(22,29),-0.0491338 # DEPENDENCYPART_SIBL
(22,19),(22,32),-0.487892 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.0163215 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.187948 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0343385 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0402184 # DEPENDENCYPART_SIBL
(22,20),(22,27),-0.0201539 # DEPENDENCYPART_SIBL
(22,20),(22,29),-0.115012 # DEPENDENCYPART_SIBL
(22,20),(22,32),0.0402724 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.00158905 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0278795 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0717232 # DEPENDENCYPART_SIBL
(22,21),(22,27),-0.0146787 # DEPENDENCYPART_SIBL
(22,21),(22,29),-0.0376621 # DEPENDENCYPART_SIBL
(22,21),(22,32),-0.0321561 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0263584 # DEPENDENCYPART_SIBL
(22,23),(22,25),0.00322214 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0370161 # DEPENDENCYPART_SIBL
(22,23),(22,29),-0.193329 # DEPENDENCYPART_SIBL
(22,23),(22,32),-0.0293579 # DEPENDENCYPART_SIBL
(22,24),(22,25),0.0159484 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0260603 # DEPENDENCYPART_SIBL
(22,24),(22,29),0.0154287 # DEPENDENCYPART_SIBL
(22,24),(22,32),-0.00131856 # DEPENDENCYPART_SIBL
(22,25),(22,27),0.676786 # DEPENDENCYPART_SIBL
(22,25),(22,29),0.00476005 # DEPENDENCYPART_SIBL
(22,25),(22,32),0.012619 # DEPENDENCYPART_SIBL
(22,27),(22,29),0.024023 # DEPENDENCYPART_SIBL
(22,27),(22,32),0.0149019 # DEPENDENCYPART_SIBL
(22,29),(22,32),-0.0118971 # DEPENDENCYPART_SIBL
(23,14),(23,24),0.092777 # DEPENDENCYPART_SIBL
(23,14),(23,25),0.096049 # DEPENDENCYPART_SIBL
(23,14),(23,26),-0.0408995 # DEPENDENCYPART_SIBL
(23,14),(23,27),0.0966775 # DEPENDENCYPART_SIBL
(23,14),(23,29),0.22879 # DEPENDENCYPART_SIBL
(23,24),(23,25),0.178334 # DEPENDENCYPART_SIBL
(23,24),(23,26),0.0232174 # DEPENDENCYPART_SIBL
(23,24),(23,27),-0.270647 # DEPENDENCYPART_SIBL
(23,24),(23,29),-0.0922991 # DEPENDENCYPART_SIBL
(23,25),(23,26),0.202975 # DEPENDENCYPART_SIBL
(23,25),(23,27),0.319517 # DEPENDENCYPART_SIBL
(23,25),(23,29),0.74712 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.200802 # DEPENDENCYPART_SIBL
(23,26),(23,29),-0.159251 # DEPENDENCYPART_SIBL
(23,27),(23,29),-0.0927183 # DEPENDENCYPART_SIBL
(24,1),(24,2),-0.209917 # DEPENDENCYPART_SIBL
(24,1),(24,4),-0.237557 # DEPENDENCYPART_SIBL
(24,1),(24,6),0.0924183 # DEPENDENCYPART_SIBL
(24,1),(24,7),-0.0065763 # DEPENDENCYPART_SIBL
(24,1),(24,8),0.004764 # DEPENDENCYPART_SIBL
(24,1),(24,10),0.0412581 # DEPENDENCYPART_SIBL
(24,1),(24,12),0.0889404 # DEPENDENCYPART_SIBL
(24,1),(24,14),-0.0518511 # DEPENDENCYPART_SIBL
(24,1),(24,15),0.0463307 # DEPENDENCYPART_SIBL
(24,1),(24,16),0.0335494 # DEPENDENCYPART_SIBL
