# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(19,17),(19,22),-0.0287325 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.438639 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.302391 # DEPENDENCYPART_SIBL
(21,5),(21,11),0.287718 # DEPENDENCYPART_SIBL
(21,5),(21,17),0.0407468 # DEPENDENCYPART_SIBL
(21,5),(21,20),0.115895 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.124665 # DEPENDENCYPART_SIBL
(21,5),(21,23),0.021418 # DEPENDENCYPART_SIBL
(21,11),(21,17),0.348965 # DEPENDENCYPART_SIBL
(21,11),(21,20),0.0181885 # DEPENDENCYPART_SIBL
(21,11),(21,22),0.00736531 # DEPENDENCYPART_SIBL
(21,11),(21,23),-0.316267 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.0098422 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.0149682 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.0218699 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.027712 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.00868291 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.0194388 # DEPENDENCYPART_SIBL
(22,13),(22,17),0.0639102 # DEPENDENCYPART_SIBL
(22,13),(22,20),0.0732903 # DEPENDENCYPART_SIBL
(22,13),(22,23),-0.0218454 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.0782302 # DEPENDENCYPART_SIBL
(22,17),(22,23),-9.65143e-05 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0363901 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.61665 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.18535 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.403355 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.184136 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.278004 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.230685 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.331136 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),0.104133 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.08884 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.325787 # DEPENDENCYPART_GRANDPAR
(0,2),(2,23),2.48932 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.34125 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.975232 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.71256 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-1.46074 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.0302545 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.276915 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.0160894 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.456435 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.307167 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.0899288 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.22318 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.0453981 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.109159 # DEPENDENCYPART_GRANDPAR
(0,5),(5,23),2.5061 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),0.964989 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),-0.734719 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),-1.46612 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),0.476813 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),-0.767043 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-0.0973732 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.470851 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.75756 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.141226 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.880505 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.0906668 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.25272 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),0.0468835 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.539938 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.622811 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),-0.108421 # DEPENDENCYPART_GRANDPAR
(0,12),(12,21),-0.180353 # DEPENDENCYPART_GRANDPAR
(0,12),(12,22),-0.172368 # DEPENDENCYPART_GRANDPAR
(0,12),(12,23),2.50483 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.85434 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,1),-0.649589 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.737138 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.556228 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),1.29736 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.00895424 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.102766 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.0619731 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),0.360542 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.113187 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),0.00354257 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.392667 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),0.0493635 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.20008 # DEPENDENCYPART_GRANDPAR
(2,5),(5,23),-1.1741 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.833282 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),0.554404 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.169509 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.238832 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.587254 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.186938 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.25384 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),0.309254 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.361507 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.0806286 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.588386 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.0557626 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.132771 # DEPENDENCYPART_GRANDPAR
(2,7),(7,19),-0.284251 # DEPENDENCYPART_GRANDPAR
(2,7),(7,21),-0.71596 # DEPENDENCYPART_GRANDPAR
(2,7),(7,22),-0.138797 # DEPENDENCYPART_GRANDPAR
(2,7),(7,23),-1.18612 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.681384 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),0.0956397 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),0.259792 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.150607 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.000852692 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),0.00542111 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.10595 # DEPENDENCYPART_GRANDPAR
(2,8),(8,19),-0.204475 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.83542 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,5),0.236695 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.591589 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.14217 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.528514 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),0.295889 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.365304 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.0891219 # DEPENDENCYPART_GRANDPAR
(2,10),(10,19),-0.292744 # DEPENDENCYPART_GRANDPAR
(2,12),(12,2),-0.741332 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,12),(12,3),0.54517 # DEPENDENCYPART_GRANDPAR
(2,12),(12,4),1.30259 # DEPENDENCYPART_GRANDPAR
(2,12),(12,5),0.333923 # DEPENDENCYPART_GRANDPAR
(2,12),(12,6),-0.929872 # DEPENDENCYPART_GRANDPAR
(2,12),(12,7),-0.0663445 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),-0.104449 # DEPENDENCYPART_GRANDPAR
(2,12),(12,9),-0.76313 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.138724 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),0.454194 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),0.0168323 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.397153 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),0.0665532 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.0764038 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.302387 # DEPENDENCYPART_GRANDPAR
(2,12),(12,19),-0.18679 # DEPENDENCYPART_GRANDPAR
(2,12),(12,21),-0.527029 # DEPENDENCYPART_GRANDPAR
(2,12),(12,22),-0.00188393 # DEPENDENCYPART_GRANDPAR
(2,12),(12,23),-1.16394 # DEPENDENCYPART_GRANDPAR
(2,13),(13,5),0.253489 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),0.315667 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.165572 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.569937 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),-0.237872 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),0.00542111 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.10595 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.143371 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.204475 # DEPENDENCYPART_GRANDPAR
(2,13),(13,23),-1.19731 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.956464 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.5591 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,5),-0.391867 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.69749 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.453675 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.724793 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.641997 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.561432 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.43171 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.718691 # DEPENDENCYPART_GRANDPAR
(3,2),(2,23),-0.550487 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.85856 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.578292 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.436698 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),0.0381466 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,7),0.193113 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.38774 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.00471479 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.166147 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.816158 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.686489 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.242407 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.528441 # DEPENDENCYPART_GRANDPAR
(4,5),(5,19),-0.88873 # DEPENDENCYPART_GRANDPAR
(4,5),(5,23),-0.926611 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.528121 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.408233 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.685495 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),-0.00186783 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.534181 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.286408 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0294343 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.123086 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.808491 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.585158 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.272146 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.51184 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.486205 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.787399 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.323947 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.76924 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.854476 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.460771 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.0655182 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.273916 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.704028 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.654742 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.479761 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.603687 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.856983 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.124547 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.335093 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.34814 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,7),-0.302444 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.122883 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.58443 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-1.14564 # DEPENDENCYPART_GRANDPAR
(5,2),(2,12),-0.64366 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),-0.0633661 # DEPENDENCYPART_GRANDPAR
(5,2),(2,16),-0.978241 # DEPENDENCYPART_GRANDPAR
(5,2),(2,23),-1.91282 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.625076 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.22226 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,7),-0.204575 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.109376 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-1.29037 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.18043 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.660094 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.321412 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),1.69474 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.208108 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.118129 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.4188 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.119004 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),0.267625 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.0385605 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.083233 # DEPENDENCYPART_GRANDPAR
(5,7),(7,17),0.162169 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),0.0969092 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.089582 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.126197 # DEPENDENCYPART_GRANDPAR
(5,7),(7,23),-1.17628 # DEPENDENCYPART_GRANDPAR
(5,8),(8,6),1.44804 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.121731 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.277555 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),0.130693 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),0.132049 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-0.164174 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.0228072 # DEPENDENCYPART_GRANDPAR
(5,8),(8,19),-0.0386667 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),-1.29043 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.321441 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),1.69362 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.29866 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.396705 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.422455 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.120247 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.264171 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),0.093456 # DEPENDENCYPART_GRANDPAR
(5,12),(12,2),-1.59257 # DEPENDENCYPART_GRANDPAR
(5,12),(12,3),-1.41871 # DEPENDENCYPART_GRANDPAR
(5,12),(12,4),-1.10291 # DEPENDENCYPART_GRANDPAR
(5,12),(12,5),-0.587613 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,12),(12,6),1.41805 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),0.441063 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),0.073941 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),-0.702991 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),0.162367 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),0.00671982 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),0.106424 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),0.0653348 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-0.151125 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),-0.00401571 # DEPENDENCYPART_GRANDPAR
(5,12),(12,18),-0.417704 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),-0.0642915 # DEPENDENCYPART_GRANDPAR
(5,12),(12,21),-0.0725419 # DEPENDENCYPART_GRANDPAR
(5,12),(12,22),-0.114768 # DEPENDENCYPART_GRANDPAR
(5,12),(12,23),-1.07585 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),-0.579177 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,11),-0.112978 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),0.128642 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.825073 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),0.0616692 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),-0.164174 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.0228072 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),-0.418819 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),-0.0386667 # DEPENDENCYPART_GRANDPAR
(5,13),(13,23),-1.17834 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-1.2904 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),-0.312953 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,8),0.305339 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.384967 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.288096 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),0.364856 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.630942 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.0749667 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),0.154546 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.430764 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),0.0693404 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-0.0881182 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.133861 # DEPENDENCYPART_GRANDPAR
(5,15),(15,23),-1.18256 # DEPENDENCYPART_GRANDPAR
(5,19),(19,17),-0.145888 # DEPENDENCYPART_GRANDPAR
(5,19),(19,21),-0.0814116 # DEPENDENCYPART_GRANDPAR
(5,19),(19,22),-0.0744004 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.53107 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-1.40335 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-1.02783 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.45227 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.35056 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.341069 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.934784 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.687105 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.557695 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.57873 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-1.54189 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.753258 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.727353 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.628097 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-1.58289 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-1.14963 # DEPENDENCYPART_GRANDPAR
(6,7),(7,23),-0.668045 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-1.32015 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,10),-0.936215 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.830577 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.555864 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.713492 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.790571 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.908184 # DEPENDENCYPART_GRANDPAR
(6,8),(8,19),-0.762859 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.277151 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.648412 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.146921 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.49622 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.47276 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.12446 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.688906 # DEPENDENCYPART_GRANDPAR
(7,2),(2,11),-0.704999 # DEPENDENCYPART_GRANDPAR
(7,2),(2,12),-0.842906 # DEPENDENCYPART_GRANDPAR
(7,2),(2,13),-0.631123 # DEPENDENCYPART_GRANDPAR
(7,2),(2,16),-0.909226 # DEPENDENCYPART_GRANDPAR
(7,2),(2,23),-1.84837 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.682071 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.474048 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.4485 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),-0.224878 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.577778 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.512529 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.318879 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.384916 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.61675 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.414354 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.832889 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),-0.811545 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-1.00569 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.921018 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-1.10775 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.997905 # DEPENDENCYPART_GRANDPAR
(7,5),(5,19),-1.12476 # DEPENDENCYPART_GRANDPAR
(7,5),(5,23),-1.941 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.49948 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.368845 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-1.49371 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-1.07265 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.418216 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.0989718 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.0669849 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.0155972 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.134425 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.137412 # DEPENDENCYPART_GRANDPAR
(7,8),(8,19),-0.188141 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-1.41109 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-1.28651 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-1.10006 # DEPENDENCYPART_GRANDPAR
(7,10),(10,8),0.486124 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),-0.430434 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.150587 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.258362 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.0653771 # DEPENDENCYPART_GRANDPAR
(7,10),(10,19),-0.269115 # DEPENDENCYPART_GRANDPAR
(7,12),(12,2),-1.55512 # DEPENDENCYPART_GRANDPAR
(7,12),(12,3),-1.30559 # DEPENDENCYPART_GRANDPAR
(7,12),(12,4),-1.15466 # DEPENDENCYPART_GRANDPAR
(7,12),(12,5),-1.45051 # DEPENDENCYPART_GRANDPAR
(7,12),(12,6),-1.12083 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-0.633765 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,12),(12,8),0.520331 # DEPENDENCYPART_GRANDPAR
(7,12),(12,9),-0.679352 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.151287 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),0.280194 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.0161904 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),-0.0529994 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.110101 # DEPENDENCYPART_GRANDPAR
