# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,28,33,28,33,34,2,
(9,10),(9,21),-0.0117815 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.00972339 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0565343 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.00884936 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.103424 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.0169616 # DEPENDENCYPART_SIBL
(9,11),(9,22),0.141192 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.133465 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0501368 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.0295409 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0427087 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.399854 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.371714 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.390251 # DEPENDENCYPART_SIBL
(9,16),(9,21),0.0415323 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.00805738 # DEPENDENCYPART_SIBL
(9,21),(9,22),0.0618375 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0437933 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.06311 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0182848 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0473781 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0347407 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0294141 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0348091 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0269546 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.000104058 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0294141 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.00453483 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0499478 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.06311 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0182848 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0473781 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0347407 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0294141 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0348091 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0269546 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.000104058 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0294141 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.00453483 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0499478 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.129214 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0424525 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0498115 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00804763 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0498116 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0200273 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00943274 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.00804763 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0241704 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0232841 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0574678 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.128483 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0481739 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.128509 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.106247 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.594498 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0481739 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0698289 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0408599 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.00637906 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.15244 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.00654902 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0615441 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.223814 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.15244 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0020608 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.0163387 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0777739 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.20063 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0412399 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0865368 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0777739 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0800672 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.0108708 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.342546 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.445893 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.178488 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.144091 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.29409 # DEPENDENCYPART_SIBL
(11,14),(11,22),0.37871 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0435907 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0881148 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.0759766 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.0799006 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.0132217 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.262988 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.156421 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0134749 # DEPENDENCYPART_SIBL
(11,16),(11,22),-0.0457452 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.354868 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.0370545 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.0200418 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.29409 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.37871 # DEPENDENCYPART_SIBL
(11,21),(11,22),0.0521852 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.460675 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0489448 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.114997 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.09565 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0273969 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0782364 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0270724 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0148718 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.111359 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.0782364 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.012357 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.00333071 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.0481637 # DEPENDENCYPART_SIBL
(12,4),(12,28),0.0107768 # DEPENDENCYPART_SIBL
(12,4),(12,33),0.0458755 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.13768 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.104058 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.155294 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.10118 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0836531 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.100923 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0118538 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0837544 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0836531 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0112906 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0787728 # DEPENDENCYPART_SIBL
(12,6),(12,24),0.024596 # DEPENDENCYPART_SIBL
(12,6),(12,28),-0.0361265 # DEPENDENCYPART_SIBL
(12,6),(12,33),0.0204517 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.114997 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.09565 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0273969 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0782364 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0270724 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0148718 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.111359 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0782364 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.012357 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.00333071 # DEPENDENCYPART_SIBL
(12,7),(12,24),-0.0481637 # DEPENDENCYPART_SIBL
(12,7),(12,28),0.0107768 # DEPENDENCYPART_SIBL
(12,7),(12,33),0.0458755 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.409191 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0283075 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.172805 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0285891 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0637247 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.545915 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.172805 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.049874 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0312831 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.0942035 # DEPENDENCYPART_SIBL
(12,10),(12,28),-0.154522 # DEPENDENCYPART_SIBL
(12,10),(12,33),-0.0349258 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0113757 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0127431 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0116318 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.127376 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.000206854 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0127431 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0458392 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.160771 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.107678 # DEPENDENCYPART_SIBL
(12,11),(12,28),0.0914402 # DEPENDENCYPART_SIBL
(12,11),(12,33),0.170795 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.224014 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.858561 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.00341206 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0822874 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.224014 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.415852 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.00997193 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0497695 # DEPENDENCYPART_SIBL
(12,13),(12,28),0.121049 # DEPENDENCYPART_SIBL
(12,13),(12,33),-0.0183006 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.277573 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.940906 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.000131988 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.218175 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.30521 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.946147 # DEPENDENCYPART_SIBL
(12,14),(12,24),1.06305 # DEPENDENCYPART_SIBL
(12,14),(12,28),1.06309 # DEPENDENCYPART_SIBL
(12,14),(12,33),0.9748 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0115327 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.0896409 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.219999 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.41286 # DEPENDENCYPART_SIBL
(12,15),(12,22),0.0180925 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.0222667 # DEPENDENCYPART_SIBL
(12,15),(12,28),0.13077 # DEPENDENCYPART_SIBL
(12,15),(12,33),-0.01018 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0327395 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.15267 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.101348 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.114954 # DEPENDENCYPART_SIBL
(12,16),(12,24),-0.176088 # DEPENDENCYPART_SIBL
(12,16),(12,28),-0.00693932 # DEPENDENCYPART_SIBL
(12,16),(12,33),-0.0969298 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.138368 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.109922 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.249423 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.327051 # DEPENDENCYPART_SIBL
(12,19),(12,28),0.362376 # DEPENDENCYPART_SIBL
(12,19),(12,33),0.316599 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.30521 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.946147 # DEPENDENCYPART_SIBL
(12,20),(12,24),1.06305 # DEPENDENCYPART_SIBL
(12,20),(12,28),1.06309 # DEPENDENCYPART_SIBL
(12,20),(12,33),0.9748 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0230358 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.046633 # DEPENDENCYPART_SIBL
(12,21),(12,28),0.109964 # DEPENDENCYPART_SIBL
(12,21),(12,33),-0.0216567 # DEPENDENCYPART_SIBL
(12,22),(12,24),-0.0897587 # DEPENDENCYPART_SIBL
(12,22),(12,28),0.0697116 # DEPENDENCYPART_SIBL
(12,22),(12,33),0.00532684 # DEPENDENCYPART_SIBL
(12,24),(12,28),-0.060857 # DEPENDENCYPART_SIBL
(12,24),(12,33),-0.154991 # DEPENDENCYPART_SIBL
(12,28),(12,33),-0.0634119 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00536332 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0142203 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0681548 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0173796 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0539663 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.00536332 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0490151 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0826738 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0324876 # DEPENDENCYPART_SIBL
(13,11),(13,26),0.0206712 # DEPENDENCYPART_SIBL
(13,11),(13,27),-0.0142203 # DEPENDENCYPART_SIBL
(13,11),(13,35),-0.0368814 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.603779 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.115055 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.608259 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0421701 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.306405 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0714464 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0773632 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.246561 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.129632 # DEPENDENCYPART_SIBL
(13,14),(13,27),0.603779 # DEPENDENCYPART_SIBL
(13,14),(13,35),0.248992 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0136713 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.0151395 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0321434 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0441797 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.00621683 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.00900732 # DEPENDENCYPART_SIBL
(13,15),(13,24),0.0508064 # DEPENDENCYPART_SIBL
(13,15),(13,26),0.0569805 # DEPENDENCYPART_SIBL
(13,15),(13,27),0.0138429 # DEPENDENCYPART_SIBL
(13,15),(13,35),0.0275303 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.039046 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0616266 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0262749 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.00711729 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.0414434 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.0225565 # DEPENDENCYPART_SIBL
(13,16),(13,26),0.0486916 # DEPENDENCYPART_SIBL
(13,16),(13,27),0.0495535 # DEPENDENCYPART_SIBL
(13,16),(13,35),0.0531496 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0321043 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.0347645 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.00730302 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0185586 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.0486499 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0513681 # DEPENDENCYPART_SIBL
(13,18),(13,27),0.0217708 # DEPENDENCYPART_SIBL
(13,18),(13,35),0.0256997 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.272076 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0593592 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0235699 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.037264 # DEPENDENCYPART_SIBL
(13,19),(13,26),0.374287 # DEPENDENCYPART_SIBL
(13,19),(13,27),0.37524 # DEPENDENCYPART_SIBL
(13,19),(13,35),0.00105164 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.0714464 # DEPENDENCYPART_SIBL
(13,20),(13,22),0.0773632 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.246561 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.129632 # DEPENDENCYPART_SIBL
(13,20),(13,27),0.603779 # DEPENDENCYPART_SIBL
(13,20),(13,35),0.248992 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0388033 # DEPENDENCYPART_SIBL
(13,21),(13,24),0.0432302 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.0569692 # DEPENDENCYPART_SIBL
(13,21),(13,27),0.0348648 # DEPENDENCYPART_SIBL
(13,21),(13,35),0.0217401 # DEPENDENCYPART_SIBL
(13,22),(13,24),0.125202 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0846428 # DEPENDENCYPART_SIBL
(13,22),(13,27),0.0748052 # DEPENDENCYPART_SIBL
(13,22),(13,35),0.068611 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.0904442 # DEPENDENCYPART_SIBL
(13,24),(13,27),0.0132299 # DEPENDENCYPART_SIBL
(13,24),(13,35),0.06972 # DEPENDENCYPART_SIBL
(13,26),(13,27),0.541762 # DEPENDENCYPART_SIBL
(13,26),(13,35),0.157648 # DEPENDENCYPART_SIBL
(13,27),(13,35),0.0275303 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.42346 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0225338 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.047395 # DEPENDENCYPART_SIBL
(15,7),(15,20),0.0222422 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0143035 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0580716 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0776526 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0601381 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.00887423 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0392377 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.026275 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.00711723 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0347667 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.00730075 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0718152 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0856346 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0913406 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.407556 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0099573 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.00887034 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.134712 # DEPENDENCYPART_SIBL
(16,18),(16,28),-0.0483377 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.102076 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0799104 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.294577 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.412619 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.246638 # DEPENDENCYPART_SIBL
(16,19),(16,28),0.28296 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.319511 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.951763 # DEPENDENCYPART_SIBL
(16,20),(16,24),1.11898 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.0080426 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.914925 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.000368527 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0142088 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0816468 # DEPENDENCYPART_SIBL
(16,21),(16,28),0.0235451 # DEPENDENCYPART_SIBL
(16,22),(16,24),0.00568228 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.233818 # DEPENDENCYPART_SIBL
(16,22),(16,28),0.00849111 # DEPENDENCYPART_SIBL
(16,24),(16,26),0.21045 # DEPENDENCYPART_SIBL
(16,24),(16,28),-0.0962907 # DEPENDENCYPART_SIBL
(16,26),(16,28),0.777234 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0476694 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0505617 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.0529259 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.00447608 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.011477 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.0730553 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0553449 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.026355 # DEPENDENCYPART_SIBL
(18,7),(18,27),0.0261453 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0505617 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0529259 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.00447608 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.011477 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0730553 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.0553449 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.026355 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.0261453 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0668855 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.125023 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.000962199 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0966012 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.055185 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0930288 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.022186 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.231949 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0626627 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0368176 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0511544 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.34866 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.34181 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0684324 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0624949 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.230716 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.152265 # DEPENDENCYPART_SIBL
(18,20),(18,27),0.570338 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0352365 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0390206 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.0436905 # DEPENDENCYPART_SIBL
(18,21),(18,27),0.0175679 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.118864 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0622851 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.0443247 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.0699702 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0137478 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.516353 # DEPENDENCYPART_SIBL
(21,2),(21,6),0.0390376 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.160807 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.167551 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.0118641 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.160807 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.027505 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.0950581 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.0378393 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.167551 # DEPENDENCYPART_SIBL
(21,2),(21,20),0.0390376 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.104512 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.147953 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.135354 # DEPENDENCYPART_SIBL
(21,2),(21,25),-0.135946 # DEPENDENCYPART_SIBL
(21,2),(21,26),-0.119544 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.136036 # DEPENDENCYPART_SIBL
(21,2),(21,28),-0.100729 # DEPENDENCYPART_SIBL
(21,2),(21,30),-0.136212 # DEPENDENCYPART_SIBL
(21,2),(21,31),-0.088293 # DEPENDENCYPART_SIBL
(21,2),(21,32),-0.0934271 # DEPENDENCYPART_SIBL
(21,2),(21,35),-0.0718166 # DEPENDENCYPART_SIBL
(21,2),(21,36),-0.0996903 # DEPENDENCYPART_SIBL
(21,6),(21,7),0.031278 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.323748 # DEPENDENCYPART_SIBL
(21,6),(21,11),0.0196982 # DEPENDENCYPART_SIBL
(21,6),(21,12),0.031278 # DEPENDENCYPART_SIBL
(21,6),(21,15),0.0163 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.0144915 # DEPENDENCYPART_SIBL
(21,6),(21,18),0.00664064 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.323748 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.0107669 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.016785 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.188236 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.0284904 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.181903 # DEPENDENCYPART_SIBL
