# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=25,3,1,6,6,3,6,9,7,9,12,9,12,13,14,17,14,17,1,22,20,25,22,23,0,25,28,26,28,29,30,31,31,25,
(1,9),(9,29),-1.18825 # DEPENDENCYPART_GRANDPAR
(1,19),(19,17),-0.226746 # DEPENDENCYPART_GRANDPAR
(1,19),(19,18),-0.293875 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.60039 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.445086 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.618747 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.669492 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-1.21371 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.989689 # DEPENDENCYPART_GRANDPAR
(3,1),(1,15),-1.07582 # DEPENDENCYPART_GRANDPAR
(3,1),(1,19),-1.2097 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-1.33513 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.646643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.601568 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),1.52363 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.282989 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.183816 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.140237 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.0936008 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.0348162 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.226368 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.411053 # DEPENDENCYPART_GRANDPAR
(3,6),(6,19),-0.273061 # DEPENDENCYPART_GRANDPAR
(3,6),(6,25),-0.358373 # DEPENDENCYPART_GRANDPAR
(3,6),(6,26),-0.0208656 # DEPENDENCYPART_GRANDPAR
(3,6),(6,32),-0.104289 # DEPENDENCYPART_GRANDPAR
(3,6),(6,34),-1.85519 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-1.33512 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.696711 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.569565 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),1.42804 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.178344 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.184627 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.0830612 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.0944127 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.0171488 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.442581 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.169193 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.411987 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.0811341 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.256927 # DEPENDENCYPART_GRANDPAR
(3,7),(7,22),-0.348077 # DEPENDENCYPART_GRANDPAR
(3,7),(7,25),-0.373694 # DEPENDENCYPART_GRANDPAR
(3,7),(7,26),-0.0361867 # DEPENDENCYPART_GRANDPAR
(3,7),(7,29),-0.265953 # DEPENDENCYPART_GRANDPAR
(3,7),(7,32),-0.0471135 # DEPENDENCYPART_GRANDPAR
(3,7),(7,34),-1.86199 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-1.11328 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),0.570643 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.162508 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.119544 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.674663 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.260395 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.338768 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.219681 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.679087 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.346526 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),-0.64097 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.254505 # DEPENDENCYPART_GRANDPAR
(3,9),(9,19),-0.355079 # DEPENDENCYPART_GRANDPAR
(3,9),(9,22),-0.583592 # DEPENDENCYPART_GRANDPAR
(3,9),(9,23),-0.309996 # DEPENDENCYPART_GRANDPAR
(3,9),(9,24),-0.656277 # DEPENDENCYPART_GRANDPAR
(3,9),(9,25),-0.719836 # DEPENDENCYPART_GRANDPAR
(3,9),(9,26),-0.365564 # DEPENDENCYPART_GRANDPAR
(3,9),(9,28),-0.914192 # DEPENDENCYPART_GRANDPAR
(3,9),(9,29),-0.468485 # DEPENDENCYPART_GRANDPAR
(3,12),(12,1),-1.11326 # DEPENDENCYPART_GRANDPAR
(3,12),(12,4),0.567296 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),0.116718 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),-0.688733 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.395405 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),-0.234619 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),0.352734 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),-0.214109 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),-0.693322 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),-0.362354 # DEPENDENCYPART_GRANDPAR
(3,12),(12,17),-0.655205 # DEPENDENCYPART_GRANDPAR
(3,12),(12,18),-0.251367 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),-0.352769 # DEPENDENCYPART_GRANDPAR
(3,12),(12,22),-0.597826 # DEPENDENCYPART_GRANDPAR
(3,12),(12,23),-0.299253 # DEPENDENCYPART_GRANDPAR
(3,12),(12,24),-0.670511 # DEPENDENCYPART_GRANDPAR
(3,12),(12,26),-0.36407 # DEPENDENCYPART_GRANDPAR
(3,12),(12,28),-0.928426 # DEPENDENCYPART_GRANDPAR
(3,12),(12,29),-0.462914 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),0.294389 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.123084 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.481507 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.148184 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.351427 # DEPENDENCYPART_GRANDPAR
(3,22),(22,1),-1.11327 # DEPENDENCYPART_GRANDPAR
(3,22),(22,6),0.16077 # DEPENDENCYPART_GRANDPAR
(3,22),(22,7),0.117807 # DEPENDENCYPART_GRANDPAR
(3,22),(22,16),0.239665 # DEPENDENCYPART_GRANDPAR
(3,22),(22,18),-0.292887 # DEPENDENCYPART_GRANDPAR
(3,22),(22,20),0.21231 # DEPENDENCYPART_GRANDPAR
(3,22),(22,21),-0.323108 # DEPENDENCYPART_GRANDPAR
(3,22),(22,23),-0.314429 # DEPENDENCYPART_GRANDPAR
(3,22),(22,24),-0.666457 # DEPENDENCYPART_GRANDPAR
(3,22),(22,25),-0.721641 # DEPENDENCYPART_GRANDPAR
(3,22),(22,26),-0.36737 # DEPENDENCYPART_GRANDPAR
(3,22),(22,28),-0.924262 # DEPENDENCYPART_GRANDPAR
(3,22),(22,29),-0.482274 # DEPENDENCYPART_GRANDPAR
(3,22),(22,31),-0.442328 # DEPENDENCYPART_GRANDPAR
(3,22),(22,33),-0.35267 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.81526 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.816056 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.398455 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),0.0369752 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.146402 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.173683 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.432129 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),-0.0278974 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.393208 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),-0.472706 # DEPENDENCYPART_GRANDPAR
(5,6),(6,17),0.103016 # DEPENDENCYPART_GRANDPAR
(5,6),(6,19),-0.333204 # DEPENDENCYPART_GRANDPAR
(5,6),(6,25),-0.873859 # DEPENDENCYPART_GRANDPAR
(5,6),(6,26),-0.620355 # DEPENDENCYPART_GRANDPAR
(5,6),(6,32),-0.786908 # DEPENDENCYPART_GRANDPAR
(5,6),(6,34),-1.10916 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.700288 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.369989 # DEPENDENCYPART_GRANDPAR
(5,9),(9,6),-0.156949 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),-0.0732311 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.726976 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.399265 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.045608 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.408586 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.0966337 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.439843 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),0.0869682 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.464233 # DEPENDENCYPART_GRANDPAR
(5,9),(9,19),-0.287569 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.0856966 # DEPENDENCYPART_GRANDPAR
(5,9),(9,23),-0.693889 # DEPENDENCYPART_GRANDPAR
(5,9),(9,24),-0.00340821 # DEPENDENCYPART_GRANDPAR
(5,9),(9,25),-0.909477 # DEPENDENCYPART_GRANDPAR
(5,9),(9,26),-0.649443 # DEPENDENCYPART_GRANDPAR
(5,9),(9,28),0.324899 # DEPENDENCYPART_GRANDPAR
(5,9),(9,29),-0.736122 # DEPENDENCYPART_GRANDPAR
(5,12),(12,1),-0.700268 # DEPENDENCYPART_GRANDPAR
(5,12),(12,4),-0.369989 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),-0.0730806 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),-0.732619 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),0.252296 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),-0.243362 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),-0.517568 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.401975 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.109411 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),-0.454551 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),0.0741904 # DEPENDENCYPART_GRANDPAR
(5,12),(12,18),-0.460071 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),-0.284101 # DEPENDENCYPART_GRANDPAR
(5,12),(12,22),-0.0984744 # DEPENDENCYPART_GRANDPAR
(5,12),(12,23),-0.682085 # DEPENDENCYPART_GRANDPAR
(5,12),(12,24),-0.016186 # DEPENDENCYPART_GRANDPAR
(5,12),(12,26),-0.647028 # DEPENDENCYPART_GRANDPAR
(5,12),(12,28),0.312122 # DEPENDENCYPART_GRANDPAR
(5,12),(12,29),-0.729511 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.42403 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),0.178427 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-1.67139 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,7),-0.216725 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),-0.720998 # DEPENDENCYPART_GRANDPAR
(6,1),(1,10),-0.905481 # DEPENDENCYPART_GRANDPAR
(6,1),(1,15),-0.980807 # DEPENDENCYPART_GRANDPAR
(6,1),(1,19),-1.0166 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.410393 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.450017 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.10599 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.56013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.105481 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.565351 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.804253 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-0.565288 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.332508 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.87958 # DEPENDENCYPART_GRANDPAR
(6,3),(3,22),-0.870805 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.43821 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,9),-0.469222 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-0.469158 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.947972 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-1.56491 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-1.27053 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.01128 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.876658 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,9),0.231429 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.19972 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),0.235051 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),0.0312716 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.294228 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),0.124394 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),0.0867598 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.275886 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),0.143063 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.0770443 # DEPENDENCYPART_GRANDPAR
(6,7),(7,25),0.327334 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),0.157883 # DEPENDENCYPART_GRANDPAR
(6,7),(7,29),-0.283539 # DEPENDENCYPART_GRANDPAR
(6,7),(7,32),-0.170754 # DEPENDENCYPART_GRANDPAR
(6,7),(7,34),-1.2499 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.538987 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-1.03201 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.540727 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.923909 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.56058 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.117055 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),0.150149 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.12867 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.372714 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),0.0417288 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),0.00888438 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),-0.345901 # DEPENDENCYPART_GRANDPAR
(6,9),(9,19),-0.198399 # DEPENDENCYPART_GRANDPAR
(6,9),(9,22),-0.156611 # DEPENDENCYPART_GRANDPAR
(6,9),(9,23),-0.299182 # DEPENDENCYPART_GRANDPAR
(6,9),(9,24),-0.794098 # DEPENDENCYPART_GRANDPAR
(6,9),(9,25),0.297065 # DEPENDENCYPART_GRANDPAR
(6,9),(9,26),0.14134 # DEPENDENCYPART_GRANDPAR
(6,9),(9,28),-0.388215 # DEPENDENCYPART_GRANDPAR
(6,9),(9,29),-0.44348 # DEPENDENCYPART_GRANDPAR
(6,12),(12,1),-0.538929 # DEPENDENCYPART_GRANDPAR
(6,12),(12,4),-1.03199 # DEPENDENCYPART_GRANDPAR
(6,12),(12,7),0.924392 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),0.554918 # DEPENDENCYPART_GRANDPAR
(6,12),(12,9),0.444721 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),0.209533 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),-0.165746 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.146518 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.405437 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),0.00825832 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.0238388 # DEPENDENCYPART_GRANDPAR
(6,12),(12,18),-0.355441 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),-0.215271 # DEPENDENCYPART_GRANDPAR
(6,12),(12,22),-0.189335 # DEPENDENCYPART_GRANDPAR
(6,12),(12,23),-0.306537 # DEPENDENCYPART_GRANDPAR
(6,12),(12,24),-0.826821 # DEPENDENCYPART_GRANDPAR
(6,12),(12,26),0.129149 # DEPENDENCYPART_GRANDPAR
(6,12),(12,28),-0.420938 # DEPENDENCYPART_GRANDPAR
(6,12),(12,29),-0.461329 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),-0.392525 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),0.267926 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.379179 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.0334784 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),0.0214206 # DEPENDENCYPART_GRANDPAR
(6,17),(17,1),-0.542698 # DEPENDENCYPART_GRANDPAR
(6,17),(17,7),0.898118 # DEPENDENCYPART_GRANDPAR
(6,17),(17,11),-0.117335 # DEPENDENCYPART_GRANDPAR
(6,17),(17,13),0.373755 # DEPENDENCYPART_GRANDPAR
(6,17),(17,15),0.193883 # DEPENDENCYPART_GRANDPAR
(6,17),(17,16),-0.720461 # DEPENDENCYPART_GRANDPAR
(6,17),(17,18),-0.299455 # DEPENDENCYPART_GRANDPAR
(6,17),(17,19),-0.217314 # DEPENDENCYPART_GRANDPAR
(6,17),(17,22),-0.187945 # DEPENDENCYPART_GRANDPAR
(6,17),(17,23),-0.33637 # DEPENDENCYPART_GRANDPAR
(6,17),(17,24),-0.825432 # DEPENDENCYPART_GRANDPAR
(6,17),(17,25),0.258463 # DEPENDENCYPART_GRANDPAR
(6,17),(17,26),0.102738 # DEPENDENCYPART_GRANDPAR
(6,17),(17,28),-0.419549 # DEPENDENCYPART_GRANDPAR
(6,17),(17,29),-0.484315 # DEPENDENCYPART_GRANDPAR
(6,17),(17,31),-0.740044 # DEPENDENCYPART_GRANDPAR
(6,17),(17,33),-0.543826 # DEPENDENCYPART_GRANDPAR
(6,19),(19,17),-0.0714382 # DEPENDENCYPART_GRANDPAR
(6,19),(19,18),-0.555284 # DEPENDENCYPART_GRANDPAR
(6,25),(25,1),-0.950343 # DEPENDENCYPART_GRANDPAR
(6,25),(25,4),-1.27331 # DEPENDENCYPART_GRANDPAR
(6,25),(25,5),-1.01407 # DEPENDENCYPART_GRANDPAR
(6,25),(25,6),-0.83126 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,25),(25,7),0.664632 # DEPENDENCYPART_GRANDPAR
(6,25),(25,9),0.198193 # DEPENDENCYPART_GRANDPAR
(6,25),(25,10),-0.145786 # DEPENDENCYPART_GRANDPAR
(6,25),(25,12),0.203276 # DEPENDENCYPART_GRANDPAR
(6,25),(25,13),-0.00139673 # DEPENDENCYPART_GRANDPAR
(6,25),(25,14),-0.310126 # DEPENDENCYPART_GRANDPAR
(6,25),(25,17),0.0367357 # DEPENDENCYPART_GRANDPAR
(6,25),(25,18),-0.47763 # DEPENDENCYPART_GRANDPAR
(6,25),(25,19),0.292297 # DEPENDENCYPART_GRANDPAR
(6,25),(25,20),-0.718494 # DEPENDENCYPART_GRANDPAR
(6,25),(25,22),-0.106677 # DEPENDENCYPART_GRANDPAR
(6,25),(25,23),-0.383518 # DEPENDENCYPART_GRANDPAR
(6,25),(25,24),-0.740348 # DEPENDENCYPART_GRANDPAR
(6,25),(25,26),0.241157 # DEPENDENCYPART_GRANDPAR
(6,25),(25,28),-0.228688 # DEPENDENCYPART_GRANDPAR
(6,25),(25,29),-0.242419 # DEPENDENCYPART_GRANDPAR
(6,25),(25,30),-0.648882 # DEPENDENCYPART_GRANDPAR
(6,25),(25,31),-0.62692 # DEPENDENCYPART_GRANDPAR
(6,25),(25,32),-0.142963 # DEPENDENCYPART_GRANDPAR
(6,25),(25,33),-0.441783 # DEPENDENCYPART_GRANDPAR
(6,25),(25,34),-1.19529 # DEPENDENCYPART_GRANDPAR
(6,26),(26,1),-0.947971 # DEPENDENCYPART_GRANDPAR
(6,26),(26,4),-1.27053 # DEPENDENCYPART_GRANDPAR
(6,26),(26,5),-1.01128 # DEPENDENCYPART_GRANDPAR
(6,26),(26,6),-0.855938 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,26),(26,7),0.639955 # DEPENDENCYPART_GRANDPAR
(6,26),(26,9),0.173436 # DEPENDENCYPART_GRANDPAR
(6,26),(26,10),-0.148766 # DEPENDENCYPART_GRANDPAR
(6,26),(26,12),0.17852 # DEPENDENCYPART_GRANDPAR
(6,26),(26,13),-0.0254644 # DEPENDENCYPART_GRANDPAR
(6,26),(26,14),-0.334883 # DEPENDENCYPART_GRANDPAR
(6,26),(26,15),-0.224092 # DEPENDENCYPART_GRANDPAR
(6,26),(26,17),0.0119791 # DEPENDENCYPART_GRANDPAR
(6,26),(26,18),-0.496731 # DEPENDENCYPART_GRANDPAR
(6,26),(26,19),0.225195 # DEPENDENCYPART_GRANDPAR
(6,26),(26,20),-0.745605 # DEPENDENCYPART_GRANDPAR
(6,26),(26,22),-0.131434 # DEPENDENCYPART_GRANDPAR
(6,26),(26,23),-0.403478 # DEPENDENCYPART_GRANDPAR
(6,26),(26,24),-0.765105 # DEPENDENCYPART_GRANDPAR
(6,26),(26,25),0.269657 # DEPENDENCYPART_GRANDPAR
(6,26),(26,28),-0.267741 # DEPENDENCYPART_GRANDPAR
(6,26),(26,29),-0.265014 # DEPENDENCYPART_GRANDPAR
(6,26),(26,30),-0.686674 # DEPENDENCYPART_GRANDPAR
(6,26),(26,31),-0.658474 # DEPENDENCYPART_GRANDPAR
(6,26),(26,32),-0.213613 # DEPENDENCYPART_GRANDPAR
(6,26),(26,33),-0.473337 # DEPENDENCYPART_GRANDPAR
(6,26),(26,34),-1.22923 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-0.435015 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-0.048434 # DEPENDENCYPART_GRANDPAR
(7,1),(1,6),-0.542408 # DEPENDENCYPART_GRANDPAR
(7,1),(1,7),-1.32089 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,1),(1,9),-0.467885 # DEPENDENCYPART_GRANDPAR
(7,1),(1,10),-0.781669 # DEPENDENCYPART_GRANDPAR
(7,1),(1,15),-0.757363 # DEPENDENCYPART_GRANDPAR
(7,1),(1,19),-0.804164 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.638309 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.897268 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.371687 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),-0.397055 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.20962 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,9),-0.312624 # DEPENDENCYPART_GRANDPAR
(7,3),(3,10),-0.680559 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.362484 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-0.117303 # DEPENDENCYPART_GRANDPAR
(7,3),(3,15),-0.656253 # DEPENDENCYPART_GRANDPAR
(7,3),(3,22),-0.651706 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.613102 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-0.216109 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.265969 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.403165 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.520888 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.28847 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.88777 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.59757 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,9),-0.615713 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.925997 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.665572 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.508497 # DEPENDENCYPART_GRANDPAR
(7,6),(6,15),-0.901691 # DEPENDENCYPART_GRANDPAR
(7,6),(6,17),-0.860062 # DEPENDENCYPART_GRANDPAR
(7,6),(6,19),-0.952674 # DEPENDENCYPART_GRANDPAR
(7,6),(6,25),-0.702293 # DEPENDENCYPART_GRANDPAR
(7,6),(6,26),-1.01803 # DEPENDENCYPART_GRANDPAR
(7,6),(6,32),-1.16162 # DEPENDENCYPART_GRANDPAR
(7,6),(6,34),-2.20001 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.802935 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-1.26793 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-1.42276 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.191895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),1.40126 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.236763 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.364602 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.127559 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.180585 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.261068 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),0.183283 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.0911186 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),0.0376298 # DEPENDENCYPART_GRANDPAR
(7,9),(9,22),0.0741376 # DEPENDENCYPART_GRANDPAR
(7,9),(9,23),0.505044 # DEPENDENCYPART_GRANDPAR
(7,9),(9,24),-0.49443 # DEPENDENCYPART_GRANDPAR
(7,9),(9,25),0.460924 # DEPENDENCYPART_GRANDPAR
(7,9),(9,26),0.124576 # DEPENDENCYPART_GRANDPAR
(7,9),(9,28),-0.200803 # DEPENDENCYPART_GRANDPAR
(7,9),(9,29),0.217144 # DEPENDENCYPART_GRANDPAR
(7,12),(12,1),-0.802876 # DEPENDENCYPART_GRANDPAR
(7,12),(12,4),-1.26791 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-0.191412 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
