# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,13,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(17,27),(17,30),-0.262355 # DEPENDENCYPART_SIBL
(17,27),(17,31),-0.0485262 # DEPENDENCYPART_SIBL
(17,27),(17,32),0.0175192 # DEPENDENCYPART_SIBL
(17,27),(17,34),-0.251587 # DEPENDENCYPART_SIBL
(17,27),(17,35),-0.0240067 # DEPENDENCYPART_SIBL
(17,28),(17,30),-0.0809856 # DEPENDENCYPART_SIBL
(17,28),(17,31),-0.125997 # DEPENDENCYPART_SIBL
(17,28),(17,32),-0.0310975 # DEPENDENCYPART_SIBL
(17,28),(17,34),-0.0758505 # DEPENDENCYPART_SIBL
(17,28),(17,35),-0.0431199 # DEPENDENCYPART_SIBL
(17,30),(17,31),-0.0602576 # DEPENDENCYPART_SIBL
(17,30),(17,32),0.00608531 # DEPENDENCYPART_SIBL
(17,30),(17,34),-0.24845 # DEPENDENCYPART_SIBL
(17,30),(17,35),-0.0435519 # DEPENDENCYPART_SIBL
(17,31),(17,32),-0.162951 # DEPENDENCYPART_SIBL
(17,31),(17,34),-0.0555677 # DEPENDENCYPART_SIBL
(17,31),(17,35),0.00151062 # DEPENDENCYPART_SIBL
(17,32),(17,34),-0.00945113 # DEPENDENCYPART_SIBL
(17,32),(17,35),-0.0086322 # DEPENDENCYPART_SIBL
(17,34),(17,35),-0.0315114 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.00621559 # DEPENDENCYPART_SIBL
(19,2),(19,8),0.0317496 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.0475011 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.124062 # DEPENDENCYPART_SIBL
(19,2),(19,14),0.179803 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.0484926 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.013671 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.0896009 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.00661902 # DEPENDENCYPART_SIBL
(19,2),(19,22),0.0276113 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.00388986 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.0209147 # DEPENDENCYPART_SIBL
(19,2),(19,27),0.0196714 # DEPENDENCYPART_SIBL
(19,2),(19,28),-0.0312667 # DEPENDENCYPART_SIBL
(19,2),(19,31),-0.0143155 # DEPENDENCYPART_SIBL
(19,2),(19,32),0.0340833 # DEPENDENCYPART_SIBL
(19,2),(19,35),0.0633827 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.175022 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.0522929 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.299891 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.384933 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.140343 # DEPENDENCYPART_SIBL
(19,5),(19,17),0.176526 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.139764 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0376365 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.018725 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0860938 # DEPENDENCYPART_SIBL
(19,5),(19,24),-0.0367414 # DEPENDENCYPART_SIBL
(19,5),(19,27),-0.0520763 # DEPENDENCYPART_SIBL
(19,5),(19,28),-0.0066424 # DEPENDENCYPART_SIBL
(19,5),(19,31),-0.105784 # DEPENDENCYPART_SIBL
(19,5),(19,32),-0.0537481 # DEPENDENCYPART_SIBL
(19,5),(19,35),0.0446592 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.046078 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.0617205 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.230283 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.171497 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.173574 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.072116 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.000852482 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.000635404 # DEPENDENCYPART_SIBL
(19,8),(19,23),-0.000867876 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0475382 # DEPENDENCYPART_SIBL
(19,8),(19,27),-0.00590458 # DEPENDENCYPART_SIBL
(19,8),(19,28),-0.0388935 # DEPENDENCYPART_SIBL
(19,8),(19,31),-0.0343917 # DEPENDENCYPART_SIBL
(19,8),(19,32),-0.0393869 # DEPENDENCYPART_SIBL
(19,8),(19,35),-0.0469288 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.0674656 # DEPENDENCYPART_SIBL
(19,9),(19,14),0.179704 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.00554317 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0325196 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0437597 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.0288224 # DEPENDENCYPART_SIBL
(19,9),(19,22),0.00872657 # DEPENDENCYPART_SIBL
(19,9),(19,23),-0.0017795 # DEPENDENCYPART_SIBL
(19,9),(19,24),0.0170389 # DEPENDENCYPART_SIBL
(19,9),(19,27),-0.017586 # DEPENDENCYPART_SIBL
(19,9),(19,28),-0.0258646 # DEPENDENCYPART_SIBL
(19,9),(19,31),0.0186728 # DEPENDENCYPART_SIBL
(19,9),(19,32),0.0985098 # DEPENDENCYPART_SIBL
(19,9),(19,35),0.0122157 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.45962 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.206089 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.365165 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.0189207 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.334314 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0677132 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.134804 # DEPENDENCYPART_SIBL
(19,11),(19,24),0.0224841 # DEPENDENCYPART_SIBL
(19,11),(19,27),-0.05164 # DEPENDENCYPART_SIBL
(19,11),(19,28),0.0335042 # DEPENDENCYPART_SIBL
(19,11),(19,31),0.0068744 # DEPENDENCYPART_SIBL
(19,11),(19,32),0.0319624 # DEPENDENCYPART_SIBL
(19,11),(19,35),-0.316524 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.159704 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.114383 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0350862 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.166001 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0219767 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.03689 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.120374 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.0195529 # DEPENDENCYPART_SIBL
(19,14),(19,28),-0.0613138 # DEPENDENCYPART_SIBL
(19,14),(19,31),-0.0362216 # DEPENDENCYPART_SIBL
(19,14),(19,32),-0.111838 # DEPENDENCYPART_SIBL
(19,14),(19,35),-0.110012 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.200955 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0352909 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0309745 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.109309 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.0750643 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.000452072 # DEPENDENCYPART_SIBL
(19,15),(19,27),0.111405 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.0416638 # DEPENDENCYPART_SIBL
(19,15),(19,31),-0.00483252 # DEPENDENCYPART_SIBL
(19,15),(19,32),-0.0147389 # DEPENDENCYPART_SIBL
(19,15),(19,35),0.0589085 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.124372 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0425066 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0253494 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0972537 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0640099 # DEPENDENCYPART_SIBL
(19,17),(19,27),-0.036151 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0321392 # DEPENDENCYPART_SIBL
(19,17),(19,31),-0.123428 # DEPENDENCYPART_SIBL
(19,17),(19,32),-0.0791695 # DEPENDENCYPART_SIBL
(19,17),(19,35),0.0204936 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.013729 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.157292 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0914261 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.108558 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.182882 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.373054 # DEPENDENCYPART_SIBL
(19,18),(19,31),0.0434444 # DEPENDENCYPART_SIBL
(19,18),(19,32),0.181426 # DEPENDENCYPART_SIBL
(19,18),(19,35),0.0669013 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0952851 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0402196 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0235718 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.343405 # DEPENDENCYPART_SIBL
(19,20),(19,28),-0.0372657 # DEPENDENCYPART_SIBL
(19,20),(19,31),-5.12438e-06 # DEPENDENCYPART_SIBL
(19,20),(19,32),0.041233 # DEPENDENCYPART_SIBL
(19,20),(19,35),0.00669217 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0156477 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0412872 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.00687951 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0147312 # DEPENDENCYPART_SIBL
(19,22),(19,31),0.019739 # DEPENDENCYPART_SIBL
(19,22),(19,32),-0.0155511 # DEPENDENCYPART_SIBL
(19,22),(19,35),-0.00242363 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.0458699 # DEPENDENCYPART_SIBL
(19,23),(19,27),0.0224023 # DEPENDENCYPART_SIBL
(19,23),(19,28),0.0525583 # DEPENDENCYPART_SIBL
(19,23),(19,31),0.0168349 # DEPENDENCYPART_SIBL
(19,23),(19,32),0.0718457 # DEPENDENCYPART_SIBL
(19,23),(19,35),0.049908 # DEPENDENCYPART_SIBL
(19,24),(19,27),0.0600203 # DEPENDENCYPART_SIBL
(19,24),(19,28),0.125085 # DEPENDENCYPART_SIBL
(19,24),(19,31),0.066578 # DEPENDENCYPART_SIBL
(19,24),(19,32),0.223003 # DEPENDENCYPART_SIBL
(19,24),(19,35),0.171177 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.0485579 # DEPENDENCYPART_SIBL
(19,27),(19,31),0.0219368 # DEPENDENCYPART_SIBL
(19,27),(19,32),-0.0390922 # DEPENDENCYPART_SIBL
(19,27),(19,35),-0.00881038 # DEPENDENCYPART_SIBL
(19,28),(19,31),0.0669732 # DEPENDENCYPART_SIBL
(19,28),(19,32),0.094078 # DEPENDENCYPART_SIBL
(19,28),(19,35),0.00655991 # DEPENDENCYPART_SIBL
(19,31),(19,32),-0.0439183 # DEPENDENCYPART_SIBL
(19,31),(19,35),-0.0391125 # DEPENDENCYPART_SIBL
(19,32),(19,35),0.217348 # DEPENDENCYPART_SIBL
(21,24),(21,27),0.0705719 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.157179 # DEPENDENCYPART_SIBL
(22,20),(22,24),0.0858508 # DEPENDENCYPART_SIBL
(22,20),(22,27),0.106649 # DEPENDENCYPART_SIBL
(22,20),(22,28),0.109357 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0527134 # DEPENDENCYPART_SIBL
(22,23),(22,27),0.00704953 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.00817889 # DEPENDENCYPART_SIBL
(22,24),(22,27),0.0549147 # DEPENDENCYPART_SIBL
(22,24),(22,28),0.0273269 # DEPENDENCYPART_SIBL
(22,27),(22,28),0.0201527 # DEPENDENCYPART_SIBL
(23,2),(23,5),-0.0604745 # DEPENDENCYPART_SIBL
(23,2),(23,8),0.00176014 # DEPENDENCYPART_SIBL
(23,2),(23,9),-0.120518 # DEPENDENCYPART_SIBL
(23,2),(23,11),-0.378575 # DEPENDENCYPART_SIBL
(23,2),(23,12),-0.143014 # DEPENDENCYPART_SIBL
(23,2),(23,13),-0.0740443 # DEPENDENCYPART_SIBL
(23,2),(23,14),-0.137051 # DEPENDENCYPART_SIBL
(23,2),(23,17),-0.0592983 # DEPENDENCYPART_SIBL
(23,2),(23,18),-0.127177 # DEPENDENCYPART_SIBL
(23,2),(23,19),0.00518198 # DEPENDENCYPART_SIBL
(23,2),(23,20),-0.378575 # DEPENDENCYPART_SIBL
(23,2),(23,21),-0.491885 # DEPENDENCYPART_SIBL
(23,2),(23,22),-0.0716651 # DEPENDENCYPART_SIBL
(23,2),(23,24),-0.0405315 # DEPENDENCYPART_SIBL
(23,2),(23,26),-0.0536254 # DEPENDENCYPART_SIBL
(23,2),(23,27),-0.00766749 # DEPENDENCYPART_SIBL
(23,2),(23,28),-0.019185 # DEPENDENCYPART_SIBL
(23,2),(23,30),-0.0307362 # DEPENDENCYPART_SIBL
(23,2),(23,31),-0.0461241 # DEPENDENCYPART_SIBL
(23,2),(23,32),-0.0425404 # DEPENDENCYPART_SIBL
(23,2),(23,34),-0.0214743 # DEPENDENCYPART_SIBL
(23,2),(23,35),-0.0318418 # DEPENDENCYPART_SIBL
(23,5),(23,8),-0.0322664 # DEPENDENCYPART_SIBL
(23,5),(23,9),-0.156743 # DEPENDENCYPART_SIBL
(23,5),(23,11),-0.153043 # DEPENDENCYPART_SIBL
(23,5),(23,12),-0.0405501 # DEPENDENCYPART_SIBL
(23,5),(23,13),-0.0622724 # DEPENDENCYPART_SIBL
(23,5),(23,14),-0.139229 # DEPENDENCYPART_SIBL
(23,5),(23,17),-0.0998504 # DEPENDENCYPART_SIBL
(23,5),(23,18),-0.0587722 # DEPENDENCYPART_SIBL
(23,5),(23,19),-0.0294195 # DEPENDENCYPART_SIBL
(23,5),(23,20),-0.153043 # DEPENDENCYPART_SIBL
(23,5),(23,21),-0.275529 # DEPENDENCYPART_SIBL
(23,5),(23,22),-0.0269383 # DEPENDENCYPART_SIBL
(23,5),(23,24),0.0677042 # DEPENDENCYPART_SIBL
(23,5),(23,26),-0.0115315 # DEPENDENCYPART_SIBL
(23,5),(23,27),-0.0594355 # DEPENDENCYPART_SIBL
(23,5),(23,28),-0.016106 # DEPENDENCYPART_SIBL
(23,5),(23,30),-0.0558399 # DEPENDENCYPART_SIBL
(23,5),(23,31),-0.00534378 # DEPENDENCYPART_SIBL
(23,5),(23,32),0.0359925 # DEPENDENCYPART_SIBL
(23,5),(23,34),-0.075522 # DEPENDENCYPART_SIBL
(23,5),(23,35),0.0404027 # DEPENDENCYPART_SIBL
(23,8),(23,9),-0.154269 # DEPENDENCYPART_SIBL
(23,8),(23,11),-0.488551 # DEPENDENCYPART_SIBL
(23,8),(23,12),-0.15979 # DEPENDENCYPART_SIBL
(23,8),(23,13),-0.172281 # DEPENDENCYPART_SIBL
(23,8),(23,14),-0.143827 # DEPENDENCYPART_SIBL
(23,8),(23,17),-0.00223955 # DEPENDENCYPART_SIBL
(23,8),(23,18),-0.138497 # DEPENDENCYPART_SIBL
(23,8),(23,19),-0.722398 # DEPENDENCYPART_SIBL
(23,8),(23,20),-0.488551 # DEPENDENCYPART_SIBL
(23,8),(23,21),-0.679333 # DEPENDENCYPART_SIBL
(23,8),(23,22),-0.00778588 # DEPENDENCYPART_SIBL
(23,8),(23,24),0.0801072 # DEPENDENCYPART_SIBL
(23,8),(23,26),0.0300695 # DEPENDENCYPART_SIBL
(23,8),(23,27),0.0103512 # DEPENDENCYPART_SIBL
(23,8),(23,28),0.0258126 # DEPENDENCYPART_SIBL
(23,8),(23,30),-0.00590848 # DEPENDENCYPART_SIBL
(23,8),(23,31),0.0271628 # DEPENDENCYPART_SIBL
(23,8),(23,32),0.054898 # DEPENDENCYPART_SIBL
(23,8),(23,34),0.000325947 # DEPENDENCYPART_SIBL
(23,8),(23,35),0.0388752 # DEPENDENCYPART_SIBL
(23,9),(23,11),-0.346682 # DEPENDENCYPART_SIBL
(23,9),(23,12),-0.158157 # DEPENDENCYPART_SIBL
(23,9),(23,13),-0.0998709 # DEPENDENCYPART_SIBL
(23,9),(23,14),-0.163794 # DEPENDENCYPART_SIBL
(23,9),(23,17),-0.142193 # DEPENDENCYPART_SIBL
(23,9),(23,18),-0.118202 # DEPENDENCYPART_SIBL
(23,9),(23,19),-0.0472214 # DEPENDENCYPART_SIBL
(23,9),(23,20),-0.346682 # DEPENDENCYPART_SIBL
(23,9),(23,21),-0.487935 # DEPENDENCYPART_SIBL
(23,9),(23,22),-0.0452503 # DEPENDENCYPART_SIBL
(23,9),(23,24),-0.0261339 # DEPENDENCYPART_SIBL
(23,9),(23,26),-0.0808565 # DEPENDENCYPART_SIBL
(23,9),(23,27),-0.144238 # DEPENDENCYPART_SIBL
(23,9),(23,28),-0.0211779 # DEPENDENCYPART_SIBL
(23,9),(23,30),-0.173984 # DEPENDENCYPART_SIBL
(23,9),(23,31),-0.0735579 # DEPENDENCYPART_SIBL
(23,9),(23,32),0.0164006 # DEPENDENCYPART_SIBL
(23,9),(23,34),-0.160577 # DEPENDENCYPART_SIBL
(23,9),(23,35),-0.0965154 # DEPENDENCYPART_SIBL
(23,11),(23,12),-0.127067 # DEPENDENCYPART_SIBL
(23,11),(23,13),0.00149679 # DEPENDENCYPART_SIBL
(23,11),(23,14),0.312247 # DEPENDENCYPART_SIBL
(23,11),(23,17),0.0829007 # DEPENDENCYPART_SIBL
(23,11),(23,18),-0.067501 # DEPENDENCYPART_SIBL
(23,11),(23,19),0.02595 # DEPENDENCYPART_SIBL
(23,11),(23,20),-0.377421 # DEPENDENCYPART_SIBL
(23,11),(23,21),0.134648 # DEPENDENCYPART_SIBL
(23,11),(23,22),-0.0853609 # DEPENDENCYPART_SIBL
(23,11),(23,24),-0.013862 # DEPENDENCYPART_SIBL
(23,11),(23,26),-0.0565477 # DEPENDENCYPART_SIBL
(23,11),(23,27),-0.0160589 # DEPENDENCYPART_SIBL
(23,11),(23,28),-0.0193626 # DEPENDENCYPART_SIBL
(23,11),(23,30),0.0149752 # DEPENDENCYPART_SIBL
(23,11),(23,31),-0.0469024 # DEPENDENCYPART_SIBL
(23,11),(23,32),-0.00842355 # DEPENDENCYPART_SIBL
(23,11),(23,34),-0.0331226 # DEPENDENCYPART_SIBL
(23,11),(23,35),-0.527316 # DEPENDENCYPART_SIBL
(23,12),(23,13),0.00356784 # DEPENDENCYPART_SIBL
(23,12),(23,14),-0.180195 # DEPENDENCYPART_SIBL
(23,12),(23,17),0.000739591 # DEPENDENCYPART_SIBL
(23,12),(23,18),-0.375028 # DEPENDENCYPART_SIBL
(23,12),(23,19),-0.0269564 # DEPENDENCYPART_SIBL
(23,12),(23,20),-0.18949 # DEPENDENCYPART_SIBL
(23,12),(23,21),0.356496 # DEPENDENCYPART_SIBL
(23,12),(23,22),0.15045 # DEPENDENCYPART_SIBL
(23,12),(23,24),0.0557111 # DEPENDENCYPART_SIBL
(23,12),(23,26),-0.0286216 # DEPENDENCYPART_SIBL
(23,12),(23,27),0.0119105 # DEPENDENCYPART_SIBL
(23,12),(23,28),0.0366384 # DEPENDENCYPART_SIBL
(23,12),(23,30),-0.0193709 # DEPENDENCYPART_SIBL
(23,12),(23,31),-0.0220972 # DEPENDENCYPART_SIBL
(23,12),(23,32),0.077245 # DEPENDENCYPART_SIBL
(23,12),(23,34),0.00430859 # DEPENDENCYPART_SIBL
(23,12),(23,35),-0.0714605 # DEPENDENCYPART_SIBL
(23,13),(23,14),-0.0709011 # DEPENDENCYPART_SIBL
(23,13),(23,17),-0.0165979 # DEPENDENCYPART_SIBL
(23,13),(23,18),-0.175082 # DEPENDENCYPART_SIBL
(23,13),(23,19),-0.018667 # DEPENDENCYPART_SIBL
(23,13),(23,20),-0.188015 # DEPENDENCYPART_SIBL
(23,13),(23,21),-0.245312 # DEPENDENCYPART_SIBL
(23,13),(23,22),0.0268274 # DEPENDENCYPART_SIBL
(23,13),(23,24),0.00165239 # DEPENDENCYPART_SIBL
(23,13),(23,26),-0.0531641 # DEPENDENCYPART_SIBL
(23,13),(23,27),-0.0343676 # DEPENDENCYPART_SIBL
(23,13),(23,28),-0.0616866 # DEPENDENCYPART_SIBL
(23,13),(23,30),-0.0536131 # DEPENDENCYPART_SIBL
(23,13),(23,31),-0.0507143 # DEPENDENCYPART_SIBL
(23,13),(23,32),-0.0280619 # DEPENDENCYPART_SIBL
(23,13),(23,34),-0.0439304 # DEPENDENCYPART_SIBL
(23,13),(23,35),-0.0267223 # DEPENDENCYPART_SIBL
(23,14),(23,17),-0.0203938 # DEPENDENCYPART_SIBL
(23,14),(23,18),-0.0955552 # DEPENDENCYPART_SIBL
(23,14),(23,19),0.23034 # DEPENDENCYPART_SIBL
(23,14),(23,20),-0.363043 # DEPENDENCYPART_SIBL
(23,14),(23,21),-0.249353 # DEPENDENCYPART_SIBL
(23,14),(23,22),0.139345 # DEPENDENCYPART_SIBL
(23,14),(23,24),0.0123753 # DEPENDENCYPART_SIBL
(23,14),(23,26),0.0449142 # DEPENDENCYPART_SIBL
(23,14),(23,27),0.0468659 # DEPENDENCYPART_SIBL
(23,14),(23,28),-0.0322588 # DEPENDENCYPART_SIBL
(23,14),(23,30),0.0523843 # DEPENDENCYPART_SIBL
(23,14),(23,31),0.0504408 # DEPENDENCYPART_SIBL
(23,14),(23,32),-0.0198661 # DEPENDENCYPART_SIBL
(23,14),(23,34),0.0324449 # DEPENDENCYPART_SIBL
(23,14),(23,35),-0.236624 # DEPENDENCYPART_SIBL
(23,17),(23,18),-0.050375 # DEPENDENCYPART_SIBL
(23,17),(23,19),-0.0117436 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.148738 # DEPENDENCYPART_SIBL
(23,17),(23,21),-0.257994 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.0138931 # DEPENDENCYPART_SIBL
(23,17),(23,24),0.0277374 # DEPENDENCYPART_SIBL
(23,17),(23,26),-0.0309791 # DEPENDENCYPART_SIBL
(23,17),(23,27),-0.0375128 # DEPENDENCYPART_SIBL
(23,17),(23,28),-0.0536601 # DEPENDENCYPART_SIBL
(23,17),(23,30),-0.0339169 # DEPENDENCYPART_SIBL
(23,17),(23,31),-0.0247878 # DEPENDENCYPART_SIBL
(23,17),(23,32),-0.000301032 # DEPENDENCYPART_SIBL
(23,17),(23,34),-0.0535993 # DEPENDENCYPART_SIBL
(23,17),(23,35),-0.0087973 # DEPENDENCYPART_SIBL
(23,18),(23,19),-0.0599929 # DEPENDENCYPART_SIBL
(23,18),(23,20),-0.180976 # DEPENDENCYPART_SIBL
(23,18),(23,21),0.251387 # DEPENDENCYPART_SIBL
(23,18),(23,22),0.1121 # DEPENDENCYPART_SIBL
(23,18),(23,24),-0.000644118 # DEPENDENCYPART_SIBL
(23,18),(23,26),-0.0811734 # DEPENDENCYPART_SIBL
(23,18),(23,27),-0.0783585 # DEPENDENCYPART_SIBL
(23,18),(23,28),0.0853646 # DEPENDENCYPART_SIBL
(23,18),(23,30),-0.0964985 # DEPENDENCYPART_SIBL
(23,18),(23,31),-0.0748054 # DEPENDENCYPART_SIBL
(23,18),(23,32),0.0728468 # DEPENDENCYPART_SIBL
(23,18),(23,34),-0.0870874 # DEPENDENCYPART_SIBL
(23,18),(23,35),-0.104857 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.48218 # DEPENDENCYPART_SIBL
(23,19),(23,21),-0.677578 # DEPENDENCYPART_SIBL
(23,19),(23,22),-0.00602417 # DEPENDENCYPART_SIBL
(23,19),(23,24),0.0719936 # DEPENDENCYPART_SIBL
(23,19),(23,26),-0.00128732 # DEPENDENCYPART_SIBL
(23,19),(23,27),-0.00861532 # DEPENDENCYPART_SIBL
(23,19),(23,28),0.0262914 # DEPENDENCYPART_SIBL
(23,19),(23,30),-0.024875 # DEPENDENCYPART_SIBL
(23,19),(23,31),-0.004194 # DEPENDENCYPART_SIBL
(23,19),(23,32),0.0545806 # DEPENDENCYPART_SIBL
(23,19),(23,34),-0.0186411 # DEPENDENCYPART_SIBL
(23,19),(23,35),0.00765597 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.134648 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.0853609 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.013862 # DEPENDENCYPART_SIBL
(23,20),(23,26),-0.0565477 # DEPENDENCYPART_SIBL
(23,20),(23,27),-0.0160589 # DEPENDENCYPART_SIBL
(23,20),(23,28),-0.0193626 # DEPENDENCYPART_SIBL
(23,20),(23,30),0.0149752 # DEPENDENCYPART_SIBL
(23,20),(23,31),-0.0469024 # DEPENDENCYPART_SIBL
(23,20),(23,32),-0.00842355 # DEPENDENCYPART_SIBL
(23,20),(23,34),-0.0331226 # DEPENDENCYPART_SIBL
(23,20),(23,35),-0.527316 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.0777388 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.175388 # DEPENDENCYPART_SIBL
(23,21),(23,26),-0.0162403 # DEPENDENCYPART_SIBL
(23,21),(23,27),0.0158272 # DEPENDENCYPART_SIBL
(23,21),(23,28),0.00422675 # DEPENDENCYPART_SIBL
(23,21),(23,30),-0.0385966 # DEPENDENCYPART_SIBL
(23,21),(23,31),-0.0134029 # DEPENDENCYPART_SIBL
(23,21),(23,32),0.111479 # DEPENDENCYPART_SIBL
(23,21),(23,34),-0.00232224 # DEPENDENCYPART_SIBL
(23,21),(23,35),-0.501364 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.0335957 # DEPENDENCYPART_SIBL
(23,22),(23,26),-0.0230484 # DEPENDENCYPART_SIBL
(23,22),(23,27),-0.0147755 # DEPENDENCYPART_SIBL
(23,22),(23,28),0.0939387 # DEPENDENCYPART_SIBL
(23,22),(23,30),-0.0693131 # DEPENDENCYPART_SIBL
(23,22),(23,31),-0.0199041 # DEPENDENCYPART_SIBL
(23,22),(23,32),0.135271 # DEPENDENCYPART_SIBL
(23,22),(23,34),-0.0285675 # DEPENDENCYPART_SIBL
(23,22),(23,35),-0.0780857 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.03606 # DEPENDENCYPART_SIBL
(23,24),(23,27),0.0413991 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.120724 # DEPENDENCYPART_SIBL
(23,24),(23,30),0.0669564 # DEPENDENCYPART_SIBL
(23,24),(23,31),-0.0315912 # DEPENDENCYPART_SIBL
(23,24),(23,32),-0.0639202 # DEPENDENCYPART_SIBL
(23,24),(23,34),0.0423472 # DEPENDENCYPART_SIBL
(23,24),(23,35),-0.00725371 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.0558901 # DEPENDENCYPART_SIBL
(23,26),(23,28),-0.0842287 # DEPENDENCYPART_SIBL
(23,26),(23,30),-0.0506202 # DEPENDENCYPART_SIBL
