# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(12,19),(12,23),0.0169553 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.0179799 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.036287 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.00076979 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.171873 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.703654 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0169082 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0242301 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0144461 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0102766 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.06732 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.001643 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.150269 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.00178253 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0868003 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0247185 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0267527 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0168981 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0279676 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0431212 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0589317 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0347594 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.00103226 # DEPENDENCYPART_SIBL
(14,19),(14,22),0.0311146 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0330978 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0474295 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0638154 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0686685 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0462966 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.000985416 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0470947 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.00174121 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.685121 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0385781 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0754235 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.145747 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0722226 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.10091 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0512328 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0545546 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0476168 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0469146 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0408988 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.00755472 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.00440237 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.00612855 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0208926 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.116399 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0932365 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.00528839 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0409112 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.0354918 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.00695003 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.286821 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.240054 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.0128968 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.10157 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.672162 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.734142 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.00544555 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.491827 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.175596 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.193092 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.491827 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.672162 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.00715721 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0516745 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.0498654 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.0179912 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0514977 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.307112 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0194284 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0785909 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.153004 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0264498 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0679172 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.153004 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.307112 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.00463643 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0334845 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0611702 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.0290429 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.392843 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0170747 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0517263 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.313634 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.00359314 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0519164 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.313634 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.392843 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.00971827 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0240876 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0455668 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.0259155 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.16733 # DEPENDENCYPART_SIBL
(18,10),(18,12),0.16389 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.55095 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.129305 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0256808 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.55095 # DEPENDENCYPART_SIBL
(18,10),(18,17),-1.28809 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0201409 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0668322 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0156813 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.517078 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.00336889 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.488437 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.172207 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.189702 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.488437 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.668771 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0206301 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.0477662 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0449812 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0270967 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.143899 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.019766 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0613071 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.143899 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.300123 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.00307946 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0282386 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0554403 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0298 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0544462 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.00808698 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.361012 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.515511 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.000803057 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.00483583 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0630798 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.472047 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0331054 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.179868 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.303753 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0465448 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0645793 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0401374 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0153218 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.200321 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.285108 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0740137 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0092688 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0655642 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0511651 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.515511 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.000803057 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.00483583 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0630798 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.472047 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0201409 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0668322 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0156813 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.517078 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0138785 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.00867512 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0200235 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0186983 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0396431 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.00333532 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0109839 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.180929 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.166272 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0222464 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.055338 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0592935 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.678897 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.386646 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0552881 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0229513 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.176798 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.330018 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0380124 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0131931 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0937562 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0124955 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0513099 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.175987 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.26082 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.113317 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.048663 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.754557 # DEPENDENCYPART_SIBL
(20,2),(20,7),0.112837 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.0382791 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.109858 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.672842 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.752284 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.0308279 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.50168 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.183884 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.201381 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.50168 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.672842 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.0308134 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.0497628 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0291167 # DEPENDENCYPART_SIBL
(20,2),(20,23),-0.000940483 # DEPENDENCYPART_SIBL
(20,5),(20,7),0.160335 # DEPENDENCYPART_SIBL
(20,5),(20,8),0.00172018 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.092437 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.654356 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.743114 # DEPENDENCYPART_SIBL
(20,5),(20,12),0.00917141 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.480196 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.16536 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.183381 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.480196 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.654356 # DEPENDENCYPART_SIBL
(20,5),(20,18),0.00918593 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.00172783 # DEPENDENCYPART_SIBL
(20,5),(20,22),0.0504776 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.107114 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.0275905 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.00393178 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.283386 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.0304948 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0239345 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.137101 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.000848189 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.0497451 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.137101 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.283386 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.02392 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.240957 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.091971 # DEPENDENCYPART_SIBL
(20,7),(20,23),0.227154 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0611931 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.30846 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0383324 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.107639 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.163971 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.0361451 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0776128 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.163971 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.30846 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.107625 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0624897 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.0840621 # DEPENDENCYPART_SIBL
(20,8),(20,23),-0.0318583 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.384531 # DEPENDENCYPART_SIBL
(20,9),(20,11),0.00782737 # DEPENDENCYPART_SIBL
(20,9),(20,12),0.0381736 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.314936 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.00362891 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.0519524 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.314936 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.384531 # DEPENDENCYPART_SIBL
(20,9),(20,18),0.0382182 # DEPENDENCYPART_SIBL
(20,9),(20,19),0.00241301 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0484933 # DEPENDENCYPART_SIBL
(20,9),(20,23),-0.00578792 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.12635 # DEPENDENCYPART_SIBL
(20,10),(20,12),0.116756 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.578443 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.104944 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.00131983 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.578443 # DEPENDENCYPART_SIBL
(20,10),(20,17),-1.30667 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.116799 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.0581355 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.00941853 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.574244 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.0220135 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.498291 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.180495 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.197991 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.498291 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.669452 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0219989 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.036328 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0242325 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.00816498 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.154865 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0294613 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.0710027 # DEPENDENCYPART_SIBL
(20,12),(20,16),-0.154865 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.301471 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.10193 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.072409 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0783323 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.0311012 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.0475763 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0149572 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.369149 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.515398 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0869132 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0425886 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0707712 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.508405 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.0331052 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.181135 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.295405 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.082349 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.12021 # DEPENDENCYPART_SIBL
(20,14),(20,22),0.037833 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.0160049 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.201611 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.276784 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0352627 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0678036 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0678691 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0824921 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.515398 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0869132 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0425886 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0707712 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.508405 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.116799 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0581355 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.00941853 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.574244 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0724102 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0782731 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0310142 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0577091 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0341228 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0294257 # DEPENDENCYPART_SIBL
(22,9),(22,15),-0.00225544 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.0280298 # DEPENDENCYPART_SIBL
(22,9),(22,19),-0.00565328 # DEPENDENCYPART_SIBL
(22,9),(22,20),0.16447 # DEPENDENCYPART_SIBL
(22,9),(22,21),-0.106777 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.0371456 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.0393361 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.125115 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.0346393 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.457708 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.015224 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.169073 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.335857 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.191208 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.255312 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.00300602 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.130917 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0580762 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.103451 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0230449 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.075971 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.382434 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.0536423 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.236325 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.336341 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.263332 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.238506 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.920014 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.742063 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),-0.300492 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.290127 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.103638 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.521887 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.0639397 # DEPENDENCYPART_GRANDPAR
(0,2),(2,23),2.31633 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),1.02018 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),0.379544 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),1.07484 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.210157 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),0.315412 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.365592 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.598269 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),0.137881 # DEPENDENCYPART_GRANDPAR
(0,7),(7,18),-0.297533 # DEPENDENCYPART_GRANDPAR
(0,7),(7,19),0.34681 # DEPENDENCYPART_GRANDPAR
(0,7),(7,20),-0.10525 # DEPENDENCYPART_GRANDPAR
(0,7),(7,23),2.09742 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.274793 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),1.06644 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.0826614 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),-0.611047 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),0.427463 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),1.23034 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.496866 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.419826 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),-0.585911 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.582923 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.0962601 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),-0.416008 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),0.259811 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),-0.352377 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.189821 # DEPENDENCYPART_GRANDPAR
(0,8),(8,17),-0.0695595 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),-0.0282008 # DEPENDENCYPART_GRANDPAR
(0,8),(8,19),0.357589 # DEPENDENCYPART_GRANDPAR
(0,8),(8,20),0.164183 # DEPENDENCYPART_GRANDPAR
(0,8),(8,22),0.0234263 # DEPENDENCYPART_GRANDPAR
(0,8),(8,23),2.33141 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.257882 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),1.0497 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),-0.113513 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),0.41072 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),0.476376 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),0.342885 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.0646969 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-1.01814 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.649791 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.426865 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),0.254767 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.343558 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.200678 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.0725803 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.0236149 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),0.353757 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),0.168769 # DEPENDENCYPART_GRANDPAR
(0,12),(12,22),0.0616378 # DEPENDENCYPART_GRANDPAR
(0,12),(12,23),2.32539 # DEPENDENCYPART_GRANDPAR
(0,18),(18,2),1.05013 # DEPENDENCYPART_GRANDPAR
(0,18),(18,8),0.34291 # DEPENDENCYPART_GRANDPAR
(0,18),(18,9),-0.0642806 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),-1.01914 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),-0.649353 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),-0.226179 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.822288 # DEPENDENCYPART_GRANDPAR
