# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,18,26,24,11,
(13,7),(13,19),0.340118 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.288111 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.310612 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.04142 # DEPENDENCYPART_SIBL
(13,7),(13,24),-0.0288854 # DEPENDENCYPART_SIBL
(13,7),(13,26),0.12522 # DEPENDENCYPART_SIBL
(13,7),(13,27),-0.0372559 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.204288 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.200533 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.173985 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.08054 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0234748 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.00499899 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.00593135 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.00453043 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.00593135 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0013861 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.00477868 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.0249798 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.0259859 # DEPENDENCYPART_SIBL
(13,8),(13,26),0.00260239 # DEPENDENCYPART_SIBL
(13,8),(13,27),-0.0615197 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.223252 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.192473 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0118254 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0399499 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0442368 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.00146499 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0450076 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.00146499 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0360622 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0450175 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0790767 # DEPENDENCYPART_SIBL
(13,9),(13,24),-0.0021613 # DEPENDENCYPART_SIBL
(13,9),(13,26),-0.0338744 # DEPENDENCYPART_SIBL
(13,9),(13,27),0.0796247 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.176033 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0855667 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0600074 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0185606 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.114474 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0176212 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.114474 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0233518 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0191768 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0421372 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.124926 # DEPENDENCYPART_SIBL
(13,10),(13,26),-0.0586959 # DEPENDENCYPART_SIBL
(13,10),(13,27),0.0875252 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.11568 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0156719 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0263971 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0490973 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0254769 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0490973 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0341677 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0270324 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0519428 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.10453 # DEPENDENCYPART_SIBL
(13,11),(13,26),1.40646e-05 # DEPENDENCYPART_SIBL
(13,11),(13,27),0.0102976 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.369437 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.160262 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.289358 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.165098 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.289358 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.131686 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.165106 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0362847 # DEPENDENCYPART_SIBL
(13,12),(13,24),0.0142196 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.131048 # DEPENDENCYPART_SIBL
(13,12),(13,27),0.0174882 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0200646 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0157725 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0300928 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0157725 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0115848 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.030067 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.076546 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.0492762 # DEPENDENCYPART_SIBL
(13,14),(13,26),0.0493472 # DEPENDENCYPART_SIBL
(13,14),(13,27),-0.0493748 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.000973603 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.00878348 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.000973603 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.00172507 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.00880074 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.0175174 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.0012344 # DEPENDENCYPART_SIBL
(13,16),(13,26),0.0124477 # DEPENDENCYPART_SIBL
(13,16),(13,27),-0.016564 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0379181 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0983726 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.031796 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.037888 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.0543638 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.0946373 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.0257718 # DEPENDENCYPART_SIBL
(13,17),(13,27),-0.0506478 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.00173589 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.00307252 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.0101482 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.00947043 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.00395123 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0104115 # DEPENDENCYPART_SIBL
(13,18),(13,27),-0.0228826 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.031796 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.037888 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0543638 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.0946373 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.0257718 # DEPENDENCYPART_SIBL
(13,19),(13,27),-0.0506478 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.0333835 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0262927 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0222375 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.00503421 # DEPENDENCYPART_SIBL
(13,20),(13,27),-0.0392691 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0128662 # DEPENDENCYPART_SIBL
(13,21),(13,24),0.000125392 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.010418 # DEPENDENCYPART_SIBL
(13,21),(13,27),-0.0206921 # DEPENDENCYPART_SIBL
(13,22),(13,24),-0.0544677 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0372972 # DEPENDENCYPART_SIBL
(13,22),(13,27),-0.0100629 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.0519244 # DEPENDENCYPART_SIBL
(13,24),(13,27),0.0178058 # DEPENDENCYPART_SIBL
(13,26),(13,27),0.0690875 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.063526 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.105439 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.219962 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.106131 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.219962 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0927403 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0763781 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.104397 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0763781 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0452283 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.915649 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0452283 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0926671 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.08841 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.020282 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.24089 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.325139 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.580786 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.0455794 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0545255 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.114574 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0249728 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.0313556 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0348179 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.0313556 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.0240654 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0348253 # DEPENDENCYPART_SIBL
(16,1),(16,22),-0.00618441 # DEPENDENCYPART_SIBL
(16,1),(16,24),-0.0164563 # DEPENDENCYPART_SIBL
(16,1),(16,26),0.0744534 # DEPENDENCYPART_SIBL
(16,1),(16,27),0.0432269 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.00347752 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0303653 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0291538 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0161064 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0476356 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.0161064 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0386902 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.0476455 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0623111 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0016049 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.0366466 # DEPENDENCYPART_SIBL
(16,9),(16,27),0.0960204 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.115616 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.765714 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.301753 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.183621 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.301753 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.150209 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.183629 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.00292213 # DEPENDENCYPART_SIBL
(16,12),(16,24),0.0226765 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.125877 # DEPENDENCYPART_SIBL
(16,12),(16,27),0.0559507 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0211959 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0297048 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.000707205 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0297048 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0114759 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00069976 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0456134 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0256094 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.0268701 # DEPENDENCYPART_SIBL
(16,14),(16,27),-0.015097 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.265568 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.099591 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.265568 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0880405 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0996013 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0352547 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0538067 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.063569 # DEPENDENCYPART_SIBL
(16,15),(16,27),-0.0045899 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.00625423 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0320848 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.000132127 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.00622407 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.00668349 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0735988 # DEPENDENCYPART_SIBL
(16,17),(16,26),-0.00614793 # DEPENDENCYPART_SIBL
(16,17),(16,27),0.00711284 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0235997 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0126532 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0197289 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0292499 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.00546922 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.0103308 # DEPENDENCYPART_SIBL
(16,18),(16,27),-0.00593266 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.000132127 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.00622407 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.00668349 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0735988 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.00614793 # DEPENDENCYPART_SIBL
(16,19),(16,27),0.00711284 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0238027 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.00651326 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0237555 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.00511496 # DEPENDENCYPART_SIBL
(16,20),(16,27),-0.0223192 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0326457 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.0013926 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0103372 # DEPENDENCYPART_SIBL
(16,21),(16,27),-0.00374221 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0555784 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0363872 # DEPENDENCYPART_SIBL
(16,22),(16,27),0.00588624 # DEPENDENCYPART_SIBL
(16,24),(16,26),0.0475465 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.0298172 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.0820811 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0980036 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.182794 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.110293 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.156974 # DEPENDENCYPART_SIBL
(17,15),(17,26),0.13868 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0212203 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.934373 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0145536 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.45154 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0927562 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.165867 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.0653997 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0392762 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.473404 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.0759641 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.248904 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0652518 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0768125 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0499324 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0479263 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.04809 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0310594 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0249674 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0248159 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0451802 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0107852 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0221715 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00706258 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0174903 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.00627674 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0320964 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.00487257 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.00917543 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0489928 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0364949 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.0482444 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.013574 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0252383 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.00527626 # DEPENDENCYPART_SIBL
(19,17),(19,26),0.189223 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.969013 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.493267 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.473404 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.464437 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.451499 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.14238 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0887875 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0720303 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0757578 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0698352 # DEPENDENCYPART_SIBL
(20,15),(20,26),0.0327201 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0123859 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0173788 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.0256105 # DEPENDENCYPART_SIBL
(20,17),(20,26),0.136493 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0172476 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.00566913 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.00457956 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0570538 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.0189141 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.0510135 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.0307664 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0283401 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0206364 # DEPENDENCYPART_SIBL
(21,19),(21,26),0.118653 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.00271804 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0210941 # DEPENDENCYPART_SIBL
(21,20),(21,26),-0.00262458 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0488743 # DEPENDENCYPART_SIBL
(21,22),(21,26),0.0365323 # DEPENDENCYPART_SIBL
(21,24),(21,26),0.0482462 # DEPENDENCYPART_SIBL
(24,1),(24,3),-0.00611956 # DEPENDENCYPART_SIBL
(24,1),(24,6),-0.285833 # DEPENDENCYPART_SIBL
(24,1),(24,8),0.0145784 # DEPENDENCYPART_SIBL
(24,1),(24,9),0.0200489 # DEPENDENCYPART_SIBL
(24,1),(24,10),0.11465 # DEPENDENCYPART_SIBL
(24,1),(24,11),0.00442945 # DEPENDENCYPART_SIBL
(24,1),(24,13),-0.00772719 # DEPENDENCYPART_SIBL
(24,1),(24,16),0.00129126 # DEPENDENCYPART_SIBL
(24,1),(24,17),-0.114023 # DEPENDENCYPART_SIBL
(24,1),(24,18),0.00434024 # DEPENDENCYPART_SIBL
(24,1),(24,19),-0.114023 # DEPENDENCYPART_SIBL
(24,1),(24,20),-0.00569933 # DEPENDENCYPART_SIBL
(24,1),(24,21),0.00434189 # DEPENDENCYPART_SIBL
(24,1),(24,22),-0.285833 # DEPENDENCYPART_SIBL
(24,1),(24,23),-0.387483 # DEPENDENCYPART_SIBL
(24,1),(24,26),-0.0303551 # DEPENDENCYPART_SIBL
(24,1),(24,27),-0.000221357 # DEPENDENCYPART_SIBL
(24,3),(24,6),-0.4928 # DEPENDENCYPART_SIBL
(24,3),(24,8),-0.729469 # DEPENDENCYPART_SIBL
(24,3),(24,9),0.0405306 # DEPENDENCYPART_SIBL
(24,3),(24,10),0.131897 # DEPENDENCYPART_SIBL
(24,3),(24,11),0.00585057 # DEPENDENCYPART_SIBL
(24,3),(24,13),-0.749461 # DEPENDENCYPART_SIBL
(24,3),(24,16),-0.741347 # DEPENDENCYPART_SIBL
(24,3),(24,17),-0.154049 # DEPENDENCYPART_SIBL
(24,3),(24,18),-0.739416 # DEPENDENCYPART_SIBL
(24,3),(24,19),-0.154049 # DEPENDENCYPART_SIBL
(24,3),(24,20),-0.746106 # DEPENDENCYPART_SIBL
(24,3),(24,21),-0.739414 # DEPENDENCYPART_SIBL
(24,3),(24,22),-0.4928 # DEPENDENCYPART_SIBL
(24,3),(24,23),-0.69744 # DEPENDENCYPART_SIBL
(24,3),(24,26),-0.0202092 # DEPENDENCYPART_SIBL
(24,3),(24,27),0.0296927 # DEPENDENCYPART_SIBL
(24,6),(24,8),0.0563088 # DEPENDENCYPART_SIBL
(24,6),(24,9),-0.0218334 # DEPENDENCYPART_SIBL
(24,6),(24,10),0.282436 # DEPENDENCYPART_SIBL
(24,6),(24,11),0.138786 # DEPENDENCYPART_SIBL
(24,6),(24,13),0.0355657 # DEPENDENCYPART_SIBL
(24,6),(24,16),0.0487002 # DEPENDENCYPART_SIBL
(24,6),(24,17),0.0728581 # DEPENDENCYPART_SIBL
(24,6),(24,18),0.0506316 # DEPENDENCYPART_SIBL
(24,6),(24,19),0.0728581 # DEPENDENCYPART_SIBL
(24,6),(24,20),0.0409151 # DEPENDENCYPART_SIBL
(24,6),(24,21),0.0506332 # DEPENDENCYPART_SIBL
(24,6),(24,22),-0.346481 # DEPENDENCYPART_SIBL
(24,6),(24,23),0.190403 # DEPENDENCYPART_SIBL
(24,6),(24,26),0.0434619 # DEPENDENCYPART_SIBL
(24,6),(24,27),-0.410036 # DEPENDENCYPART_SIBL
(24,8),(24,9),0.041666 # DEPENDENCYPART_SIBL
(24,8),(24,10),0.137329 # DEPENDENCYPART_SIBL
(24,8),(24,11),0.00968334 # DEPENDENCYPART_SIBL
(24,8),(24,13),-0.748326 # DEPENDENCYPART_SIBL
(24,8),(24,16),-0.740212 # DEPENDENCYPART_SIBL
(24,8),(24,17),-0.156575 # DEPENDENCYPART_SIBL
(24,8),(24,18),-0.738281 # DEPENDENCYPART_SIBL
(24,8),(24,19),-0.156575 # DEPENDENCYPART_SIBL
(24,8),(24,20),-0.744971 # DEPENDENCYPART_SIBL
(24,8),(24,21),-0.738279 # DEPENDENCYPART_SIBL
(24,8),(24,22),-0.494095 # DEPENDENCYPART_SIBL
(24,8),(24,23),-0.691859 # DEPENDENCYPART_SIBL
(24,8),(24,26),-0.0249808 # DEPENDENCYPART_SIBL
(24,8),(24,27),0.0371861 # DEPENDENCYPART_SIBL
(24,9),(24,10),0.216748 # DEPENDENCYPART_SIBL
(24,9),(24,11),0.0730517 # DEPENDENCYPART_SIBL
(24,9),(24,13),-0.0116577 # DEPENDENCYPART_SIBL
(24,9),(24,16),-0.00389295 # DEPENDENCYPART_SIBL
(24,9),(24,17),-0.051354 # DEPENDENCYPART_SIBL
(24,9),(24,18),-0.00140992 # DEPENDENCYPART_SIBL
(24,9),(24,19),-0.051354 # DEPENDENCYPART_SIBL
(24,9),(24,20),-0.00996346 # DEPENDENCYPART_SIBL
(24,9),(24,21),-0.00140826 # DEPENDENCYPART_SIBL
(24,9),(24,22),-0.276823 # DEPENDENCYPART_SIBL
(24,9),(24,23),-0.169831 # DEPENDENCYPART_SIBL
(24,9),(24,26),-0.112921 # DEPENDENCYPART_SIBL
(24,9),(24,27),0.0877457 # DEPENDENCYPART_SIBL
(24,10),(24,11),-0.0139189 # DEPENDENCYPART_SIBL
(24,10),(24,13),-0.0384404 # DEPENDENCYPART_SIBL
(24,10),(24,16),-0.0317573 # DEPENDENCYPART_SIBL
(24,10),(24,17),0.00527583 # DEPENDENCYPART_SIBL
(24,10),(24,18),-0.0281788 # DEPENDENCYPART_SIBL
(24,10),(24,19),0.00527583 # DEPENDENCYPART_SIBL
(24,10),(24,20),-0.0382064 # DEPENDENCYPART_SIBL
(24,10),(24,21),-0.0281771 # DEPENDENCYPART_SIBL
(24,10),(24,22),-0.142411 # DEPENDENCYPART_SIBL
(24,10),(24,23),-0.304753 # DEPENDENCYPART_SIBL
(24,10),(24,26),-0.00281703 # DEPENDENCYPART_SIBL
(24,10),(24,27),0.309082 # DEPENDENCYPART_SIBL
(24,11),(24,13),-0.0292969 # DEPENDENCYPART_SIBL
(24,11),(24,16),-0.0226139 # DEPENDENCYPART_SIBL
(24,11),(24,17),-0.128852 # DEPENDENCYPART_SIBL
(24,11),(24,18),-0.0190354 # DEPENDENCYPART_SIBL
(24,11),(24,19),-0.128852 # DEPENDENCYPART_SIBL
(24,11),(24,20),-0.0290576 # DEPENDENCYPART_SIBL
(24,11),(24,21),-0.0190337 # DEPENDENCYPART_SIBL
(24,11),(24,22),-0.148099 # DEPENDENCYPART_SIBL
(24,11),(24,23),-0.250358 # DEPENDENCYPART_SIBL
(24,11),(24,26),0.0262897 # DEPENDENCYPART_SIBL
(24,11),(24,27),0.0506089 # DEPENDENCYPART_SIBL
(24,13),(24,16),-0.749993 # DEPENDENCYPART_SIBL
(24,13),(24,17),-0.164138 # DEPENDENCYPART_SIBL
(24,13),(24,18),-0.748062 # DEPENDENCYPART_SIBL
(24,13),(24,19),-0.164138 # DEPENDENCYPART_SIBL
(24,13),(24,20),-0.754752 # DEPENDENCYPART_SIBL
(24,13),(24,21),-0.74806 # DEPENDENCYPART_SIBL
(24,13),(24,22),-0.501446 # DEPENDENCYPART_SIBL
(24,13),(24,23),-0.705863 # DEPENDENCYPART_SIBL
(24,13),(24,26),-0.0402902 # DEPENDENCYPART_SIBL
(24,13),(24,27),-0.0144041 # DEPENDENCYPART_SIBL
