# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(14,13),(14,22),-0.0709109 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0314764 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0190787 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.030981 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0197183 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0231851 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.260832 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0390411 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.079873 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0563612 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.0067008 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.578499 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0530222 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.193999 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.267267 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.193999 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.137394 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.16673 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.125735 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.116857 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.00433193 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0492607 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0140408 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0492607 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0397237 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.00534145 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0309514 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.0104404 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.193999 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.267267 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.193999 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.137394 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.16673 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.125735 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.116857 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.310385 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0238165 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0203409 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0228917 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0133208 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.165008 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0374955 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0375344 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0864001 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0222289 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0755597 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0203409 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0228917 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0133208 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.165008 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0804682 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.133947 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0483544 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0479119 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0932245 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0727322 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.157309 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.161923 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0152809 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.549577 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.526448 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.348534 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.161597 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.168166 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0859804 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.237386 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0656904 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0745098 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.00839873 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.164883 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.00442254 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0574601 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0648172 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0113112 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.0468958 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0842496 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.234757 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0533513 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0580082 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0145063 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.406268 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.084916 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.00872795 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0184615 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0765688 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0302927 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0164667 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0442177 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.133899 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0253381 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.337638 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.172635 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.055761 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.167146 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0218051 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.00824252 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0251129 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.190757 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0080611 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0154921 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0944004 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.127454 # DEPENDENCYPART_SIBL
(21,6),(21,10),0.00457349 # DEPENDENCYPART_SIBL
(21,6),(21,12),0.0042694 # DEPENDENCYPART_SIBL
(21,6),(21,14),0.00268295 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.060407 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.0225649 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.0345269 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.0418675 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.0957019 # DEPENDENCYPART_SIBL
(21,6),(21,22),0.0679223 # DEPENDENCYPART_SIBL
(21,10),(21,12),0.166802 # DEPENDENCYPART_SIBL
(21,10),(21,14),0.167612 # DEPENDENCYPART_SIBL
(21,10),(21,15),0.0919213 # DEPENDENCYPART_SIBL
(21,10),(21,16),0.246978 # DEPENDENCYPART_SIBL
(21,10),(21,18),0.0562285 # DEPENDENCYPART_SIBL
(21,10),(21,19),0.215604 # DEPENDENCYPART_SIBL
(21,10),(21,20),0.109556 # DEPENDENCYPART_SIBL
(21,10),(21,22),0.0582807 # DEPENDENCYPART_SIBL
(21,12),(21,14),0.171309 # DEPENDENCYPART_SIBL
(21,12),(21,15),0.0199425 # DEPENDENCYPART_SIBL
(21,12),(21,16),-0.0364627 # DEPENDENCYPART_SIBL
(21,12),(21,18),0.0309916 # DEPENDENCYPART_SIBL
(21,12),(21,19),0.0585206 # DEPENDENCYPART_SIBL
(21,12),(21,20),4.18255e-05 # DEPENDENCYPART_SIBL
(21,12),(21,22),0.121429 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.0901905 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.244349 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.0525408 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.212964 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.106773 # DEPENDENCYPART_SIBL
(21,14),(21,22),0.0643883 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.395736 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.0970223 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.329757 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.404547 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.0647221 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.0835607 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.642263 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.771087 # DEPENDENCYPART_SIBL
(21,16),(21,22),0.0396885 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.0516408 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.108294 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0737468 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.865379 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.00685482 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.0863973 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.385243 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.0342987 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.172876 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.113626 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.508078 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.214934 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.0248409 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.311645 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.139114 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),0.248831 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.0497976 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.246217 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.185919 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),-0.100825 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),0.453457 # DEPENDENCYPART_GRANDPAR
(0,2),(2,21),-0.352683 # DEPENDENCYPART_GRANDPAR
(0,2),(2,22),2.57465 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.677382 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.050907 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.223651 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.213603 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.0906708 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.718463 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.494095 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.145572 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.338691 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.0433392 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),0.428432 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.250862 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),1.07465 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.181752 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.0899849 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.621649 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.0419736 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.125054 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.483182 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.450279 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.130347 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),0.209914 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.319258 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.388227 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.0474604 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.0470244 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),0.514349 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),-0.171412 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),2.53343 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),0.216669 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),1.03581 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),-0.128815 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.699848 # DEPENDENCYPART_GRANDPAR
(0,14),(14,6),-0.0143142 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.163884 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.561381 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),0.389207 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),0.235692 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.489145 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.0348782 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.678056 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.0623002 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),0.0147135 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),0.48558 # DEPENDENCYPART_GRANDPAR
(0,14),(14,21),-0.203723 # DEPENDENCYPART_GRANDPAR
(0,14),(14,22),2.47015 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.30492 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.182346 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-1.36435 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.659145 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.401503 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-1.12795 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.668638 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.484909 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.698328 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),-0.723836 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.697011 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.466353 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.736146 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-1.29643 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-0.571328 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-1.85012 # DEPENDENCYPART_GRANDPAR
(1,2),(2,22),-0.828763 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.23659 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,4),-1.41836 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.834621 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.526565 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-1.17829 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.844115 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.552746 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.868074 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.517967 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.61855 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.642963 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.785295 # DEPENDENCYPART_GRANDPAR
(2,3),(3,4),0.185852 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.0374594 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.13438 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),0.00719282 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.113615 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.0376305 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.229844 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.15719 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.808918 # DEPENDENCYPART_GRANDPAR
(2,4),(4,3),0.228751 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.0997985 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.112698 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.262609 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),0.0236432 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.147307 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.201701 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.269205 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.151294 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.290863 # DEPENDENCYPART_GRANDPAR
(2,4),(4,17),-0.38926 # DEPENDENCYPART_GRANDPAR
(2,4),(4,22),-1.46861 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.772335 # DEPENDENCYPART_GRANDPAR
(2,6),(6,3),0.175449 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.120167 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.403893 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.271446 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.450103 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.292344 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.421349 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.321622 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.370942 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.412209 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.823094 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,5),0.213096 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),0.0453417 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.0103128 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.157243 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.225053 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.28104 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.174646 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.300798 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.312624 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.417151 # DEPENDENCYPART_GRANDPAR
(2,7),(7,22),-1.49198 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.0937339 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-0.831498 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.7009 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.285468 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),0.0248193 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),0.252064 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),0.23653 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.14674 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.175909 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.0803893 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.337812 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.171052 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.287405 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.0375749 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.191758 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.243664 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.0975741 # DEPENDENCYPART_GRANDPAR
(2,10),(10,21),-0.308124 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-1.53639 # DEPENDENCYPART_GRANDPAR
(2,12),(12,3),0.198919 # DEPENDENCYPART_GRANDPAR
(2,12),(12,5),0.12695 # DEPENDENCYPART_GRANDPAR
(2,12),(12,6),0.0468655 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),0.0507949 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),-0.332097 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.390864 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.265007 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.338293 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.237036 # DEPENDENCYPART_GRANDPAR
(2,12),(12,22),-1.7063 # DEPENDENCYPART_GRANDPAR
(2,14),(14,1),-0.828554 # DEPENDENCYPART_GRANDPAR
(2,14),(14,2),-0.750559 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,14),(14,4),-0.0248391 # DEPENDENCYPART_GRANDPAR
(2,14),(14,5),0.178338 # DEPENDENCYPART_GRANDPAR
(2,14),(14,6),0.195236 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),-0.196399 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),0.102182 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),-0.130408 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),0.0400631 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.250144 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.156131 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.199737 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.141936 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.183539 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.0782077 # DEPENDENCYPART_GRANDPAR
(2,14),(14,21),-0.247999 # DEPENDENCYPART_GRANDPAR
(2,14),(14,22),-1.45714 # DEPENDENCYPART_GRANDPAR
(2,15),(15,5),0.202664 # DEPENDENCYPART_GRANDPAR
(2,15),(15,6),0.133313 # DEPENDENCYPART_GRANDPAR
(2,15),(15,8),0.126509 # DEPENDENCYPART_GRANDPAR
(2,15),(15,11),-0.141435 # DEPENDENCYPART_GRANDPAR
(2,15),(15,12),-0.0408562 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.0910282 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.366015 # DEPENDENCYPART_GRANDPAR
(2,15),(15,18),-0.271055 # DEPENDENCYPART_GRANDPAR
(2,15),(15,21),-0.432099 # DEPENDENCYPART_GRANDPAR
(2,15),(15,22),-1.62853 # DEPENDENCYPART_GRANDPAR
(2,17),(17,10),-0.00638805 # DEPENDENCYPART_GRANDPAR
(2,17),(17,12),-0.108946 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),-0.138795 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.323494 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),-0.350565 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.347731 # DEPENDENCYPART_GRANDPAR
(2,17),(17,21),-0.527085 # DEPENDENCYPART_GRANDPAR
(2,17),(17,22),-1.49167 # DEPENDENCYPART_GRANDPAR
(2,18),(18,10),-0.00598854 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.453758 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-1.31861 # DEPENDENCYPART_GRANDPAR
(2,18),(18,21),-0.487047 # DEPENDENCYPART_GRANDPAR
(2,18),(18,22),-1.67605 # DEPENDENCYPART_GRANDPAR
(2,21),(21,6),-0.00798864 # DEPENDENCYPART_GRANDPAR
(2,21),(21,10),-0.0546257 # DEPENDENCYPART_GRANDPAR
(2,21),(21,12),-0.16578 # DEPENDENCYPART_GRANDPAR
(2,21),(21,14),-0.187032 # DEPENDENCYPART_GRANDPAR
(2,21),(21,15),-0.37999 # DEPENDENCYPART_GRANDPAR
(2,21),(21,16),-0.428261 # DEPENDENCYPART_GRANDPAR
(2,21),(21,18),-0.271002 # DEPENDENCYPART_GRANDPAR
(2,21),(21,19),-1.11372 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.39347 # DEPENDENCYPART_GRANDPAR
(2,21),(21,22),-1.52032 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.201368 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.46725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,1),-1.60051 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.236617 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0508422 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.559826 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.129259 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.0390437 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),0.348289 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.0993372 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.450738 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.0181159 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.0915627 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),-0.352764 # DEPENDENCYPART_GRANDPAR
(3,4),(4,22),-1.02833 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-1.45227 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.438393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,5),-0.0315509 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.182978 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.113373 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0185598 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.21561 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.0576455 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.365218 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.0598076 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.193119 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-1.24701 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.0781848 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.0187695 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.0652901 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),0.332882 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),0.0781586 # DEPENDENCYPART_GRANDPAR
