# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,16,16,16,6,16,17,18,19,3,
(16,8),(16,11),-0.149337 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0173285 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.341437 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.518958 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0436177 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.00274794 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0336641 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0206331 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.02525 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.00767714 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.000503802 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0731612 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0272253 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.188273 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.247292 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.118506 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0729936 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.049208 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0496853 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0230566 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.00094256 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.218075 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0938591 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.509548 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.599048 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.1875 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.189348 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.242607 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0986318 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.070404 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.128653 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0173285 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.341437 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.518958 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0436177 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.00274794 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0336641 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0206331 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.02525 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.00767714 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.492776 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.711986 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0955344 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0163508 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0284458 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00626333 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0167437 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0474621 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.15412 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0137417 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0487073 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00975863 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.025674 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.00844264 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.472048 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.343844 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0943054 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0412722 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0118045 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.00989988 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.467069 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0286677 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0681291 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0382497 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0155779 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0119851 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0374288 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0889389 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.148192 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0141233 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0517536 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0167962 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.00323969 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0555603 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.00524599 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.00321132 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.180029 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.181316 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0421516 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.00390511 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.00909356 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.0763845 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.206416 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.233374 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.148169 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0584029 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.219779 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.218868 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0813656 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0738697 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.227821 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.371798 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.26941 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0471583 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.11118 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.00683586 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0329398 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0411206 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.254598 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0136315 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0750437 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.0596162 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0476503 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0126093 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0516174 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.052871 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.0762297 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.0960044 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0318623 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0293489 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.119729 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.0304383 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0568461 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0047374 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.0614821 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.107009 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.15993 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0199745 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.0451216 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0126132 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.0275709 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0750437 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0596162 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0476503 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0126093 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.0516174 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.052871 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.198456 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0861811 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.00243933 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.02361 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0404379 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.107543 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.113516 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0388832 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.00477329 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.00434777 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0735207 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0457329 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0608244 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0311867 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0887604 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.00911079 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.0291086 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0509846 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0311827 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0258247 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0367296 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.0502634 # DEPENDENCYPART_SIBL
(20,8),(20,13),0.0163969 # DEPENDENCYPART_SIBL
(20,8),(20,17),0.0510741 # DEPENDENCYPART_SIBL
(20,8),(20,18),0.161975 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0741479 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.0699205 # DEPENDENCYPART_SIBL
(20,11),(20,13),0.0163969 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0510741 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.161975 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.0741479 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0699205 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.183452 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.2478 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.109208 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0873959 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.153329 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.06526 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0195523 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0623239 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.00406036 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0582711 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.748624 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.410592 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.211059 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.132741 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.352603 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),1.3402 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.47504 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.081132 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.255484 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.172325 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.22161 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.39913 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.19597 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.264055 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.0243948 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.244603 # DEPENDENCYPART_GRANDPAR
(0,2),(2,19),-0.0304459 # DEPENDENCYPART_GRANDPAR
(0,2),(2,20),-0.27684 # DEPENDENCYPART_GRANDPAR
(0,2),(2,21),2.38049 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),1.42833 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.876956 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.0183101 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.163364 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.245981 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.155589 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.321428 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.122313 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),-0.00315432 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.171935 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.0481242 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),-0.122505 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.0355758 # DEPENDENCYPART_GRANDPAR
(0,3),(3,20),-0.204433 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),2.499 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),1.41782 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.862445 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),0.419759 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),-0.852403 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),-0.134843 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.584824 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),-0.216115 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),-0.452314 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),-1.11361 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.584409 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),-0.0933329 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.593395 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-1.647 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.14782 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),0.0132995 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.165495 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),0.0157926 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),-0.223772 # DEPENDENCYPART_GRANDPAR
(0,16),(16,21),2.4702 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.9279 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.212157 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.344324 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.163184 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.40686 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.301703 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.280609 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.396661 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.409659 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.410088 # DEPENDENCYPART_GRANDPAR
(1,2),(2,16),-1.1416 # DEPENDENCYPART_GRANDPAR
(1,2),(2,19),-0.252793 # DEPENDENCYPART_GRANDPAR
(1,2),(2,20),-0.275181 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-0.957475 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.890514 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.150215 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.343711 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.163353 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.403145 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.301692 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.273454 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.392946 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.98373 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.409828 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.403572 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-1.11066 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.252782 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-0.268777 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-0.94425 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-1.07943 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),-0.0809659 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.0668449 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.660272 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.563472 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.0449871 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.442643 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.255678 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.250556 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.432444 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.925243 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.291462 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-1.06457 # DEPENDENCYPART_GRANDPAR
(1,6),(6,19),-0.205092 # DEPENDENCYPART_GRANDPAR
(1,6),(6,20),-0.208201 # DEPENDENCYPART_GRANDPAR
(1,6),(6,21),-0.814879 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.23861 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.642171 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.248491 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.17194 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.386038 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.290335 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.414441 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.972312 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.388349 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-1.08321 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.369546 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),-0.243888 # DEPENDENCYPART_GRANDPAR
(1,9),(9,20),-0.226414 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.84585 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.487253 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-1.10076 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-1.40572 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-1.55356 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.983117 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.11267 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,6),-0.509711 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.57939 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.395839 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.858093 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.481384 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.267383 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.864325 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-1.0534 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.482864 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.350492 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.733034 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),-0.365205 # DEPENDENCYPART_GRANDPAR
(2,3),(3,21),-1.45304 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.566391 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.919994 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.437184 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),-0.15793 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.593642 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.787178 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.532446 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.855574 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.563342 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.40399 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.838905 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-1.26119 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.239999 # DEPENDENCYPART_GRANDPAR
(2,6),(6,19),-0.727307 # DEPENDENCYPART_GRANDPAR
(2,6),(6,20),-0.410795 # DEPENDENCYPART_GRANDPAR
(2,6),(6,21),-1.53919 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.50079 # DEPENDENCYPART_GRANDPAR
(2,8),(8,3),0.361872 # DEPENDENCYPART_GRANDPAR
(2,8),(8,4),-0.271036 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),-0.809962 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.303106 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.266044 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.83638 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.612233 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.304965 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.626868 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-1.05742 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.4851 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.160039 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.562537 # DEPENDENCYPART_GRANDPAR
(2,8),(8,20),-0.319875 # DEPENDENCYPART_GRANDPAR
(2,8),(8,21),-1.44781 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),-0.788985 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.324014 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.450787 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.171183 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.628099 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.328434 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.858857 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-1.14674 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.310122 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.473589 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.753946 # DEPENDENCYPART_GRANDPAR
(2,9),(9,20),-0.371934 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.809962 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),-0.266044 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.251322 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.977588 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.546896 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.626868 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-1.05742 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.4851 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.160039 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.562537 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.885108 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.353175 # DEPENDENCYPART_GRANDPAR
(2,16),(16,1),-0.983117 # DEPENDENCYPART_GRANDPAR
(2,16),(16,2),-1.1168 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,16),(16,3),0.182201 # DEPENDENCYPART_GRANDPAR
(2,16),(16,5),-0.853046 # DEPENDENCYPART_GRANDPAR
(2,16),(16,6),-0.427199 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),-0.348176 # DEPENDENCYPART_GRANDPAR
(2,16),(16,8),-0.428243 # DEPENDENCYPART_GRANDPAR
(2,16),(16,9),-0.980446 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.6725 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),-0.299787 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.779814 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.822189 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-1.03991 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.230184 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.546882 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.916571 # DEPENDENCYPART_GRANDPAR
(2,16),(16,19),-0.73479 # DEPENDENCYPART_GRANDPAR
(2,16),(16,20),-0.366075 # DEPENDENCYPART_GRANDPAR
(2,16),(16,21),-1.45706 # DEPENDENCYPART_GRANDPAR
(2,19),(19,11),-0.0425812 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.315499 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),-0.371951 # DEPENDENCYPART_GRANDPAR
(2,19),(19,21),-1.57019 # DEPENDENCYPART_GRANDPAR
(2,20),(20,8),-0.296145 # DEPENDENCYPART_GRANDPAR
(2,20),(20,11),-0.167689 # DEPENDENCYPART_GRANDPAR
(2,20),(20,13),-0.773228 # DEPENDENCYPART_GRANDPAR
(2,20),(20,17),-0.256786 # DEPENDENCYPART_GRANDPAR
(2,20),(20,18),-0.851455 # DEPENDENCYPART_GRANDPAR
(2,20),(20,19),-0.807365 # DEPENDENCYPART_GRANDPAR
(2,20),(20,21),-1.54867 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.137166 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.1761 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,6),-0.467758 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-1.00624 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.891399 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.175822 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.63737 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,6),-0.833293 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-1.34187 # DEPENDENCYPART_GRANDPAR
